<page title>|actual weight|attributes|brightness lumens|brightness nitscdm2|color|color support|compatibility notes|compliant standards|connector|connector type|contents|contrast ratio|diagonal size|digital video standard|display position adjustments|display size|display technology|display type|dot pitch|energy star qualified|energy star version|form factor|horizontal frequency khz|image aspect ratio|image brightness|image size max|image size min|internal resolution max|lamp type|native resolution|os notes|physical dimensions|portsconnectors|power notes|product type|projector type|refurbished type|resolution modes|response timerate|returns policy|screen distance min|speakers included|system requirements|target use|vertical frequency hz|viewing angle hv degrees|warranty  labor|warranty  parts|warranty details|weight
"Buy Peerless SmartMountLT Articulating Wall Mount for 22""-46"" Stands & Mounts - AV SAL746 today at PC Connection"|||||['Powder coat', 'Black']||"Fits 22"" to 46"" displays, up to 70 pounds.
Extends display 14.72"" (374mm) from the wall.
Retracts to hold display 2.59"" (66mm) from the wall.
±90° of pivot allows for perfect display positioning.
Quick and easy, Hook-and-Hang one-person installation.
Integrated cable management provides clean, professional installation finish.
Easy leveling ±5° after display installation.
Landscape or portrait mounting options increases display versatility.
Mounts to wood studs, concrete, cinder block or metal studs (metal stud accessory required).
VESA 75, 100, 200 x 100, 200 x 200, 300 x 200, 300 x 300, 400 x 300, and 400 x 400mm compliant.
Installation hardware included.
UL Listed."|['CULus', 'RoHS']|||Mount, documentation||||||||||||||||||||||||Wall mount|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||5 Years|5 Years||
"Buy 3M 17"" ChassisTouch Capacitive Touchscreen LCD Monitor, USB Monitors - LCD 11-4945-225-00 today at PC Connection"|10.10 lb(s)|Touch screen||||||RoHS|['HDDB15', 'Power', 'USB']|['USB', 'VGA', 'Power']|Monitor, documentation|350:1||||17 in|['LCD', 'Touch screen']|Standard|0.264 mm||||||215 cd/m2|||1280 x 1024|||PC compatible.|"13.2""h x 16""w x 1.9""d"|"(1) HDDB15
(1) USB
(1) Power in"|Consumption: 20W||||||||||||150/135|3 Years|3 Years|Limited|
Buy Targus 23.6” Widescreen Privacy Screen (16:9) Glare Filters & Privacy Screens ASF236W9USZ today at PC Connection|13.60 lb(s)||||Tinted||"Size:
Designed to fit 23.6” widescreen LCD monitors with 16:9 ratio screens.
Functionality:
Protects valuable information by narrowing the viewing angle; onlookers see only a dark screen instead of sensitive information.
Easy to install:
Use included adhesive strips to stick the screen to your LCD or use the included tabs that stick to the outsize frame of the LCD screen."||||privacy screen, documentation||||||||||||||||||||||||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
"Buy ELO Touch Solutions 42"" 4201L Optical Multi-Touch LED-LCD Monitors - Large-Format LED-LCD E107085 today at PC Connection"|||||Black|||||||||||42 in||||||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
"Buy HP Smart Buy 20"" E201 LED-LCD Monitor, Black Monitors - LED-LCD C9V73A8#ABA today at PC Connection"||||250 nit(s)|Black||"Get vibrant text and graphics from the LED backlit panel, which also makes the monitor thin, light, and easy to position on a desk.
Find your most comfortable working position so you can power through your day. Customizable tilt, height adjustment, swivel, and pivot settings—the most adjustability available on an HP business display—help you find your sweet spot.
Reduce power consumption and help lower your costs with an intelligent, energy efficient design that carries ENERGY STAR, EPEAT Gold, and TCO certifications.
100 x 100mm VESA mounting pattern."|Energy Star|['HDDB15', 'DVI-D', 'DisplayPort', 'Power']|['DisplayPort', 'VGA', 'Power', 'DVI-D']|Monitor, VGA cable, USB cable, software, CD, documentation|1000:1||Digital Visual Interface (DVI)|['Swivel', 'Pivot (rotation)', 'Height', 'Tilt']|20 in|['LCD', 'LED-backlit']|Widescreen|0.276 mm|Yes|||||250 cd/m2|||1600 x 900|||||"(1) HDDB15 VGA
(1) DVI-D
(1) DisplayPort
(1) Power in"|Consumption: 30W (typ.)|||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.||||||170/160|3 Years|3 Years|limited|
"Buy Asus 24"" VN247H-P LED-LCD Monitor Monitors - LED-LCD 90LMGF101T0226UL- today at PC Connection"||||250 cd/m2|Black|||['CCC', 'RoHS', 'GOST-R', 'TCO Displays 6.0', 'CB', 'EPEAT Gold', 'TCO Displays 5.0', 'BSMI', 'FCC', 'VCCI', 'C-Tick', 'CUL', 'WHQL']|||||||Tilt|23.6 in|||0.2715 mm|Yes|||||250 cd/m2||||||||||||||||||||||3 Years|3 Years||
"Buy 3M 15.4"" Widescreen Notebook Privacy Filter Glare Filters & Privacy Screens PF15.4W today at PC Connection"|||||||||||Filter, documentation||||||||||||||||||||||||Display screen filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||"Notebook with 15.4"" screen"||||1 Year|1 Year||
Buy Belkin Under-Cabinet Mount for Tablets Stands & Mounts - AV F5L100TT today at PC Connection|||||||||||Mount, documentation||||||||||||||||||||||||Mounting kit|||||"This product is subject to our return policy. Please see our complete return policy for details.NOTE: The manufacturer does not permit returns on custom cables or cables with manufacturer part numbers beginning with ""RFQ""."||||Tablet PC|||1 Year|1 Year||
Buy Elite Tripod Projection Screen, MaxWhite, 4:3, 120in Projector Screens T120NWV1 today at PC Connection|||||||||||Projector screen, tripod, case, documentation|||||||||||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
Buy Tripp Lite 4-Port DVI Single Link Splitter Audio and Signal Video Extenders & Splitters B116-004A today at PC Connection|||||Black||||||Splitter, mounting hardware, external power supply, documentation||||||||||||||||||||||"Connector A: (6) DVI-I (F)
Connector B: (6) 3.5mm Audio(F)"|"Input: 100-240V, 50/60Hz, 0.5A
Output: 5V, 2A"|['Video splitter', 'Extender']|||||This product is subject to our return policy. Please see our complete return policy for details.|||"Computer with DVI video and 3.5mm stereo audio connectors
Monitor with a DVI video connector
Monitor with a 3.5mm stereo audio connector; or, a set of speakers with a 3.5mm stereo audio connector"||||1 Year|1 Year|Limited|
"Buy LG 47.2"" LY340C Full HD LED-LCD TV, Black Televisions - LED-LCD Commercial 47LY340C today at PC Connection"|||||||||||||47 in|||||||Yes||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.||2 speakers|||||2 Years|2 Years||
Buy C2G 4-Port UXGA Monitor Splitter Extender Video Extenders & Splitters 29504 today at PC Connection|2.00 lb(s)||||Gray||||RJ-45||Splitter, power adapter, documentation|||||||||||||||||||||"0.75""h x 7.25""w x 3.25""d"|(5) HDDB15 (4 out, 1 in)||['Extender', 'Video splitter']|||||This product is subject to our return policy. Please see our complete return policy for details.|||"Any system with an HD15 VGA video card
One Male-to-Male HD15 cable (to connect the splitter to a computer) and four Male-to-Male HD15 cables (to connect the splitter to the monitors). Each cable must have UXGA resolution to deliver the true potential resolution of this splitter"||||1 Year|1 Year||
"Buy Lenovo 12.5"" Widescreen Privacy Filter Stands & Mounts - AV 0A61770 today at PC Connection"|||||||"For 12.5"" widescreen notebooks."||||Filter, documentation||||||||||||||||||||||||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.||||Notebook|||1 Year|1 Year||
Buy IOGEAR USB 2.0 External DVI Video Card, EXCLUSIVE Buy - Save $9 Video Extenders & Splitters GUC2020DW6 today at PC Connection|0.30 lb(s)||||||||||Unit, USB cable, CD, documentation|||||||||||||||||||||"0.8""h x 2.3""w x 3.5""d"|"(1) DVI (F)
(1) USB 2.0 Type mini-B"|Consumption: 5V||||||This product is subject to our return policy. Please see our complete return policy for details.|||"Windows XP, Windows Vista 32-bit
Mac OS X 10.4 and above
Available USB 2.0 port (not compatible with USB 1.x)
DVI monitor or VGA monitor with DVI to VGA adapter"||||3 Years|3 Years||
Buy Acer P1173 SVGA DLP Projector, 3000 Lumens, White Projectors MR.JH511.00A today at PC Connection|4.40 lb(s)|['Keystone correction', 'Speaker Included', 'Single speaker', 'Remote control']|3000 ANSI lumens||White|1.07 billion colors|||['USB', 'Power', 'HDDB15', 'HDMI']|['VGA', 'HDMI', 'Power', 'USB']|projector, power cord, VGA cable, remote with battery, carrying case, CD, documentation|17000:1|||||Digital Light Processing (DLP)|||||['Ceiling-mount front projection', 'Ceiling-mount rear projection']||4:3||25 ft|2 ft|1920 x 1200|P-VIP|800 x 600||"3.1""h x 10.4""w x 8.7""d"|"(1) HDMI
(1) HDDB15 VGA
(1) USB
(1) Power in"|Supply: 110-220VAC||DLP projector||Multiscan|||3.3 ft||||||1 Year|1 Year|90 days on lamp|4.4 lb(s)
"Buy Lenovo 24"" LT2423 Full HD LED-LCD Monitor Monitors - LED-LCD 60A8KAR2US today at PC Connection"|8.30 lb(s)|['Dual speakers', 'Speakers Included']||250 cd/m2|Black|16.7 million colors|"Two 3W stereo speakers
Supports Lenovo Tiny PC and 3rd party thin client via VESA mount
Arsenic free / Pb free / Mercury free
Energy Star 6.0, EPEAT Gold, ULE Gold, TCO Displays 6.0, TCO Edge 1.2, TUV Green Mark, RoHs, 85% PCC plastic resins, China Energy Label Tier 1"|['Energy Star 6.0', 'RoHS', 'TUV', 'TCO Displays 6.0', 'EPEAT Gold']|['Power', 'HDDB15', 'HDMI']|['HDMI', 'VGA', 'Power']|monitor, stand and base, VGA cable, audio cable, power cord, CD, documentation|1000:1|||Tilt|24 in|['LED-backlit', 'LCD']|Widescreen|0.27 mm|Yes|6.0||||250 cd/m2|||1920 x 1080||||"13.5""h x 22.3""w x 2""d"|"(1) HDDB15 VGA
(1) HDMI
(1) Power in"||||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
"Buy AOC 22"" E2260SWDN LED-LCD Full HD Monitor, Black Monitors - LED-LCD E2260SWDN today at PC Connection"|5.90 lb(s)|||200 cd/m2|Black|16.7 million colors|"User Friendly Graphical OSD Menu
VESA 100mm Wall Mount Compliant
Kensington Security Slot
Includes AOC's e-Saver
Screen+ and iMenu Software"|['FCC', 'RoHS', 'EPEAT Silver', 'EPA 5.1']|['HDDB15', 'DVI-D', 'Power']|['DVI-D', 'Power', 'VGA']|Monitor, documentation|20,000,000:1||Digital Visual Interface (DVI)|Tilt|21.5 in|['LCD', 'LED-backlit']|Widescreen|0.248 mm|Yes|||30-83||200 cd/m2|||1920 x 1080||||"14.7""h x 20.1""w x 7.3""d"|"(1) HDD15 VGA
(1) DVI-D
(1) Power in"|"Supply: 100-240VAC, 50/60Hz
Consumption: 30W (max)"|||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.|||||50-75|90/60|Call for Warranty|Call for Warranty||
Buy C2G 2-Port UXGA Monitor Splitter Extender Video Extenders & Splitters 29503 today at PC Connection|2.10 lb(s)||||Black|||RoHS|||Splitter, power adapter, documentation|||||||||||||||||||||"0.75""h x 7.25""w x 3.25""d"|(3) HDDB15 VGA (2 out, 1 in)||['Video splitter', 'Extender']|||||This product is subject to our return policy. Please see our complete return policy for details.|||"Any system with an HD15 VGA video card
One Male-to-Male HD15 cable (to connect the splitter to a computer) and two Male-to-Male HD15 cables (to connect the splitter to the monitors). Each cable must have UXGA resolution to deliver the true potential resolution of this splitter."||||1 Year|1 Year||
"Buy DoubleSight 27"" DS-279W LCD Monitor Monitors - LCD DS-279W today at PC Connection"|||||Piano black|||||||||||27 in|||0.2331 mm||||||350 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
Buy Draper Carrying Case for 40x40in Consul Tripod Screens Projector Screen Accessories 217001 today at PC Connection|||||Black||Compatible with 40x40in Consul tripod screens.||||Case, documentation||||||||||||||||||||||||Carrying case|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||N/A|N/A||
Buy Targus 21.5” Widescreen LCD Monitor Privacy Screen (16:9) Glare Filters & Privacy Screens ASF215W9USZ today at PC Connection|0.90 lb(s)||||Tinted||"Designed to fit 21.5” widescreen LCD Monitors with 16:9 ratio screens.
Protects valuable information by narrowing the viewing angle; onlookers see only a dark screen instead of sensitive information.
Use included adhesive strips to stick the screen to your LCD or use the included tabs that stick to the outsize frame of the LCD screen."||||Privacy filter, documentation||||||||||||||||||||||||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year|limited|
Buy Elite ez-Cinema Series Matte White Portable Projection Screen, Projector Screens F100NWV today at PC Connection|||||White||||||Screen, aluminum case, carry bag, documentation|||||||||||||||||||||"91.3""h x 87.5""w"|||Projection screen|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
"Buy NEC 17"" LCD175M-BK Analog Digital LCD Monitor with Speakers, Monitors - LCD LCD175M-BK today at PC Connection"|8.80 lb(s)|Tilt|||Black|16 million colors||['Energy Star 5.0', 'TCO Displays 5.0', 'Windows 7']|['HDDB15', 'Power', 'DVI-D']|['Power', 'VGA', 'DVI-D']|Monitor, base, audio cable, power cord, VGA cable, CD, cable management cover, documentation|1000:1||Digital Visual Interface (DVI)|['Tilt', 'Height']|17 in|LCD|Standard|.264 mm|Yes|||31.5-81.1||250 nit(s)|||1280 x 1024||||"12.6""h x 14.5""w x 2.4""d"|"(1) DVI-D
(1) HDDB15 VGA
(1) Power in"|"Voltage: 100-120/220-240VAC
Consumption: 21W (on); 19W (Eco mode); 14W (Eco mode, no USB or audio); 0.4W (power save)"|||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.|||||56-76|170/170|3 Years|3 Years|Includes backlight|
"Buy 3M Privacy Filter for 17.3"" Widescreen LCD Display, 16:9 Glare Filters & Privacy Screens PF17.3W today at PC Connection"|||||||"17.3"" widescreen"||||Privacy filter, documentation||||||||||||||||||||||||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||N/A|N/A||
"Buy Peerless Universal Adapter Plate for 32""-60"" Flat Panel Screens Stands & Mounts - AV PLP-UNL today at PC Connection"|0.00 lb(s)||||Black||"Compatible with most 32""-60"" flat panel displays. Please see manufacturer's website for complete compatibility listing."||||Adapter plate, hardware, documentation||||||||||||||||||||||||Adapter plate kit|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||N/A|N/A||
"Buy DoubleSight 22"" DS-220C Full HD LCD Monitor with Webcam, TAA Monitors - LCD DS-220C today at PC Connection"|||||Black||||||||||Tilt|21.5 in|||0.248 mm|Yes|||||250 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
Buy Joy Factory Elevate Floor Standing Kiosk for iPad 4th 3rd 2nd Stands & Mounts - AV KAA101 today at PC Connection|||||White||"Quality You Can Trust:
Aluminum-alloy construction makes these kiosks lightweight, yet completely sturdy. Elevate kiosks are equally useful as a temporary tradeshow display or in a permanent museum installation.
Elegant Design:
The sleek modern look of the Elevate is designed compliment a variety applications and settings.
Adjustable and Secure:
The Elevate iPad holder rotates easily between portrait and landscape views and allows the user to adjust the kiosk’s viewing angle. The kiosk can also be locked, so the installed iPad cannot be removed. The Elevate also blocks the iPad’s home button, giving you maximum control over the features and content your viewers can access.
Versatile Powering Options:
The Elevate provides two options for powering the iPad inside. First, you can use the included charge & sync cable which can be fed through the included cable trough. The Elevate iPad holder also features a designated space that will discretely stow a power bank for cable-free power. Power bank sold separately."||||Kiosk, documentation||||||||||||||||||||||||iPad stand|||||||||['iPad 2', 'iPad 3']|||Call for Warranty|Call for Warranty||
"Buy LG 54.6"" WS50BS-B Full HD LED-LCD Monitor, Black Monitors - Large-Format LED-LCD 55WS50BS-B today at PC Connection"||||||||||||||||55 in||||Yes||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
"Buy Miracle Business 15"" TFT LCD Monitor Monitors - LCD LT15A today at PC Connection"|||||Black|||['CCIB', 'GOST', 'CB', 'MIC', 'VESA DPMS', 'FCC', 'TCO99', 'CUL']||||||||15.1 in|||0.297 mm||||||200 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
"Buy LG 47"" WS50BS-B Full HD LED-LCD Monitor, Black Monitors - Large-Format LED-LCD 47WS50BS-B today at PC Connection"||||||||||||||||47 in||||Yes||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||3 Years|3 Years||
"Buy Peerless SmartMountLT Articulating Wall Mount for 22""-37"" Stands & Mounts - AV SAL737 today at PC Connection"|||||Black||"Fits 22"" to 37"" displays, up to 55 pounds.
Extends display 14.58"" from the wall.
Retracts to hold display 2.48"" from the wall.
±90° of pivot allows for perfect display positioning.
Quick and easy, Hook-and-Hang one-person installation.
Integrated cable management provides clean, professional installation finish.
Easy leveling ±5° after display installation.
Landscape or portrait mounting options increases display versatility.
Mounts to wood studs, concrete, cinder block or metal studs (metal stud accessory required).
VESA 75, 100, 200 x 100, and 200 x 200mm compliant.
Installation hardware included.
UL Listed."|['RoHS', 'CULus']|||Mount, documentation||||||||||||||||||||||||Wall mount|||||This product is subject to our return policy. Please see our complete return policy for details.||||Flat panel display|||5 Years|5 Years||
Buy Tripp Lite HDMI Extender Equalizer, Active Repeater for Video Video Extenders & Splitters B122-000-60 today at PC Connection|||||Black||||||Extender, Power Supply, Documentation||||||||||||||||||||||(2) HDMI (F)||Extender|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
Buy Axis 23XD Pole Mount Tool Stands & Mounts - AV 21776 today at PC Connection|||||||For AXIS 231D/232D Network Dome Cameras||||Mounting tool, documentation|||||||||||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||N/A|N/A||
"Buy AOC 22"" i2267Fw Full HD LED-LCD Monitor, Black Monitors - LED-LCD i2267Fw today at PC Connection"|||||['Black', 'Silver']|||['BSMI', 'CB', 'TCO Displays 6.0', 'DDC-2B', 'EPA', 'ISO 9241-307', 'CCC', 'FCC', 'CTUVus', 'Halogen-free', 'TUV GS']|||||||Tilt|21.5 in|||0.24795 mm||||||250 cd/m2|||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Call for Warranty|Call for Warranty||
"Buy Peerless Fixed Extension Column, 18"", White Stands & Mounts - AV EXT018-AW today at PC Connection"|0.00 lb(s)||||White||Max load capacity: 1200 lbs.|['CUL', 'UL']|||Extension column, documentation|||||||||||||||||||||"18""l"|||Projector ceiling mount extension tube|||||This product is subject to our return policy. Please see our complete return policy for details.||||['Projector', 'Monitor']|||Call for Warranty|Call for Warranty||
"Buy Acer 27"" S275HL bmii Full HD LED-LCD Monitor with Speakers Monitors - LED-LCD UM.HS5AA.001 today at PC Connection"|15.00 lb(s)|['Speakers Included', 'Dual speakers']||250 nit(s)|Black|16.7 million colors|"Impressive:
Games are more exciting and entertainment is truly cinematic with the excellent detail of Full HD. In addition, an astounding contrast ratio and wide viewing angle deliver fantastic clarity, making it easier to read and collaborate on documents. Exceptionally low response times mean you always get a flicker-free image, easy on the eyes.
Living color:
Set your display's colors, resolution and image quality any way you like with Acer eColor Management. A host of available ports, including HDMI, DVI, DisplayPort and VGA, let you connect other devices -- like your tablet, notebook or HDTV -- to expand your perspective to a bigger screen. Plus, select models include internal speakers.
Eco safe:
Safe for you and our world, Design Series monitors are ENERGY STAR 5.01 and RoHS compliant. They use mercury-free white LED backlighting, which means up to 68% less power consumption. Acer also employs recyclable packaging to further reduce ecological impact -- one more effort to keep our Earth clean."|Energy Star|['HDMI', 'HDDB15', 'Power']|['VGA', 'Power', 'HDMI']|Monitor, VGA cable, power cord, HDMI cable, documentation|100,000,000:1|||Tilt|27 in|['LED-backlit', 'LCD']|Widescreen||Yes|||||250 cd/m2|||1920 x 1080||||"17.7""h x 24.5""w x 5.6""d"|"(2) HDMI
(1) HDDB15 VGA
(1) Power in"|"Supply: 110-220VAC
Consumption: 36W (typ.); 0.5W (standby/off mode)"|||||6 ms|||||||178/178|3 Years|3 Years|limited|
"Buy HP 21.5"" W2271d Full HD LED-LCD Monitor, Black Monitors - LED-LCD D7X01AA#ABA today at PC Connection"|6.80 lb(s)|||200 nit(s)|Black||"The budget-friendly display with a high-class design:
Updated with a sleek and refined texture, this is the everyday display you’ll want to show off. Save space and satisfy your sense of style. Place the compact, thin design wherever you need it.
High-class presentation features and a large screen for multi-tasking:
Multi-task on the large 21.5-inch diagonal screen, perfect for surfing the web, catching up on finances or chatting with friends and family. Enjoy crisp clear views of your documents, web content, videos, and games with 1920 x 1028 HD resolution, 3M:1 dynamic contrast ratio, and 5 ms on/off response time.
Get easy device connectivity from VGA and DVI-D inputs.
Built with the environment in mind, and supported by HP:
Be a better environmental consumer with a monitor that features China Energy Label certification, arsenicfree display glass, and mercury-free display
backlighting. Get the support you need with a standard, three-year limited warranty from HP."|['FCC', 'C-Tick', 'CCC', 'CE']|['HDDB15', 'DVI-D', 'Power']|['DVI-D', 'VGA', 'Power']|monitor, documentation|['600:1', '3,000,000:1']||Digital Visual Interface (DVI)|Tilt|21.5 in|['LED-backlit', 'LCD']|Widescreen||Yes|||24-94||200 cd/m2|||1920 x 1080||||"14.9""h x 20.4""w x 1.9""d"|"(1) HDDB15 VGA
(1) DVI-D
(1) Power in"|Consumption: 29W (max); 23W (typ.); 0.5W (power saving mode)|||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.|||||50-76|90/50|1 Year|1 Year||
"Buy LG 42.1"" LY340C Full HD LED-LCD Commercial TV, Black Televisions - LED-LCD Commercial 42LY340C today at PC Connection"|||||||||||||42 in|||||||Yes||||||||||||||||||||This product is subject to our return policy. Please see our complete return policy for details.||2 speakers|||||Call for Warranty|Call for Warranty||
"Buy Planar 22"" PLL2210MW Widescreen LED-LCD Monitor with Speaker, Monitors - LED-LCD 997-6404-00 today at PC Connection"|7.00 lb(s)|['Speaker Included', 'Single speaker', 'Tilt']||250 nit(s)|White|16.7 million colors||['WEEE', 'RoHS', 'CE', 'CTUVus', 'FCC Class B certified']|['Power', '3.5mm audio', 'HDDB15', 'DVI-D']|['Power', 'VGA', 'Audio', 'DVI-HDCP']|Monitor, power cord, VGA cable, DVI cable, audio cable, documentation|1000:1|||Tilt|21.5 in|LED-backlit||0.248 mm||||||250 cd/m2|||1920 x 1080||||"12.6""h x 19.9""w x 1.9""d"|"(1) HDDB15 VGA
(1) DVI-D (HDCP)
(1) 3.5mm audio
(1) Power in"|"Requirements: 100-240VAC
Consumption: 25W (typ.); 0.5W (standby)"|||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.||||||170/160|3 Years|3 Years|Customer First warranty featuring FREE 2-Day Advance Replacement for three full years.|
Buy HP Integrated Work Center Stand for Ultra Slim Desktops and Thin Stands & Mounts - AV E8H16AT today at PC Connection|||||Black||"Cable management clips help keep cables neatly dressed and concealed behind the stand.
Industry-standard VESA mounting holes enable high or low positioning of the USDT or Thin Client.
An adjustable stand with tilt, height and swivel lets you change positions throughout the day, helping you stay comfortable and productive.
Built-in HP Quick Release enables easy installation and removal of monitor.
Spring loaded retention drawer securely holds power supplies of many sizes."||||stand, documentation||||||||||||||||||||||||Stand|||||This product is subject to our return policy. Please see our complete return policy for details.||||['Thin client', 'Desktop']|||Call for Warranty|Call for Warranty||6.800 lb(s)
"Buy Acer 24"" B243PWL AJBMDRZ IPS LED Monitor, Black Monitors - LED-LCD UM.FB3AA.A01 today at PC Connection"|16.90 lb(s)|['Speakers Included', 'Dual speakers']||300 nit(s)|Black|16.7 million colors|"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Prepared:
Collaborating with others is faster and more productive when you have plenty of ports available. Professional Series monitors allow you to connect to a wide variety of useful devices including notebooks, tablets and giant screen TVs, thanks to helpful VGA, DVI, HDMI, USB and even DisplayPort connectivity options.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact."|['EPEAT Silver', 'TCO Displays 5.0']|['USB', 'DisplayPort', 'DVI', 'Power', 'HDDB15']|['DisplayPort', 'DVI', 'USB', 'Power', 'VGA']|Monitor, VGA cable, DVI cable, USB cable, power cord, documentation|100,000,000:1||Digital Visual Interface (DVI)|['Pivot (rotation)', 'Height', 'Tilt', 'Swivel']|24 in|['LED-backlit', 'LCD']|Widescreen|0.27 mm|Yes|||||300 cd/m2|||1920 x 1200||||"20.5""h x 22.2""w x 9.3""d"|"(1) DVI
(1) HDDB15 VGA
(1) USB
(1) DisplayPort
(1) Power in"|"Supply: 110-220VAC
Consumption: 29.6W (typ.); 0.5W (standby/off mode)"|||||14 ms|||||||178/178|3 Years|3 Years||
"Buy HP 23"" ProDisplay P232 Full HD LED-LCD Monitor, Black Monitors - LED-LCD E4S07AA#ABA today at PC Connection"|8.50 lb(s)|||250 nit(s)|Black||"Smart business design with DVI and VGA connectivity options and cable management clip.
Work comfortably with up to 30 degrees of tilt.
HP Display Assistant provides color adjustment, theft deterrence and power saving settings.
ENERGY STAR qualified, EPEAT Gold, Low Halogen components."|EPEAT Gold|['Power', 'DVI-D', 'HDDB15']|['DVI-D', 'VGA', 'Power']|monitor, documentation|1000:1||Digital Visual Interface (DVI)|Tilt|23 in|['LED-backlit', 'LCD']|Widescreen|0.265 mm|Yes|||||250 cd/m2|||1920 x 1080||||"13""h x 21.4""w x 2""d"|"(1) HDDB15 VGA
(1) DVI-D
(1) Power in"|Consumption: 31W (max)|||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.||||||170/160|3 Years|3 Years||
