3d compatibility|<page title>|ac adapter included|ac power in|analog signal format system|aspect ratio|audio input|audio output|backlight type|bezel width side|bluetooth|builtin camera|builtin microphone|builtin speakers|builtin subwoofer|cable lock slot|cables included|card reader integrated|certification|colour of product|common interface ci|common interface plus ci|compatible memory cards|compliance industry standards|component video ypbprycbcr in|composite sync|composite video in|contrast ratio dynamic|contrast ratio typical|dcin jack|depth|depth with stand|digital horizontal frequency|digital vertical frequency|dimensions w x d x h with stand|dimensions wxdxh|display|display brightness|display diagonal|display diagonal metric|display number of colours|display resolution|display srgb|display surface|display technology|display viewable area hxv|displayports quantity|dvi port|dvid ports quantity|dvii ports quantity|effective viewing area|energy efficiency class|energy star certified|epeat compliance|ethernet lan|feet colour|handheld remote control|hd type|hdcp|hdmi|hdmi ports quantity|headphone connectivity|headphone out|height|height adjustment|height with stand|horizontal scan range|input frequency|input voltage|led indicators|linux operating systems supported|mac operating systems supported|manual|maximum resolution|mean time between failures mtbf|microphone in|mobile highdefinition link mhl|nonoperating altitude|number of loudspeakers|number of osd languages|number of products included|on screen display osd|on screen display osd languages|onoff switch|operating altitude|operating relative humidity hh|operating temperature tt|package dimensions wxdxh|package weight|packaging depth|packaging height|packaging width|pc audio in|picture enhancement|pictureinpicture|pivot|pivot angle|pixel pitch|placement supported|plug and play|power consumption max|power consumption off|power consumption powersave|power consumption standby|power consumption typical|power cord included|power led|power requirements|product type|quantity|quick start guide|relative humidity|response time|rms rated power|rs232 ports|safety|screen format adjustments|screen saving functions|separate hv sync|source datasheet|standby led|storage relative humidity hh|storage temperature tt|supported graphics resolutions|supported video modes|svideo inputs quantity|swivel angle range|swivelling|syncongreen sog|thin client installed|tilt adjustment|tilt angle|tv tuner integrated|usb 20 ports quantity|usb 30 ports quantity|vertical scan range|vesa mounting interfaces compatibility|vga dsub ports quantity|video dot rate|viewable size diagonal|viewable size horizontal|viewable size vertical|viewing angle horizontal|viewing angle vertical|volume control|wall mountable|weight|weight with stand|width|width with stand|wifi|windows operating systems supported
|ASUS VS207NE - MediaShopUK||||16:9||||||||||['Kensington', 'Kensington']|||Energy Star®, CB, CCC, CE, CEL level 1, C-Tick, ErP, FCC, Gost-R, RoHS, UL/cUL, VCCI, WEEE, WHQL|['Black', 'Black']||||||||80000000:1|||355.5 mm||||||LED|200 cd/m²|"495.3 mm (19.5 "")"|49.5 cm|16.77 M|1600 x 900 pixels||||||Yes|1||||Yes||||||Yes|||||185 mm|||||||||||||||||||||||||['3.99 kg', '3.99 kg']|['412 mm', '412 mm']|['115 mm', '115 mm']|['530 mm', '530 mm']||||||0.27 x 0.27 mm||||0.5 W||0.5 W|16.4 W||||||||5 ms|||||||||||1600 x 900|||||||||||||75 x 75 mm|1|||||90 °|65 °||Yes|2.59 kg||468 mm|||
|Acer V 176Lb - MediaShopUK||||5:4||||||['No', 'No', 'No']||['No', 'No', 'No']||||||['Black', 'Black']||||||||100000000:1|||55 mm|191 mm|||||LCD|250 cd/m²|"431.8 mm (17 "")"|43.2 cm|16.77 M|1280 x 1024 pixels||||||No||||Unspecified||Gold|||||No|||||308.7 mm||394.5 mm||||||||||||||||||||||||||||||||||||0.35 W||0.45 W|13 W||||||||5 ms|||||||['.', '.']||||||||||No|||['No', 'No']||||100 x 100 mm|1|||||170 °|160 °||Yes|2.2 kg|2.6 kg|369 mm|369 mm||
No|HP Z22i - MediaShopUK||Yes||16:9||||||['No', 'No', 'No']||['No', 'No', 'No']||['Yes', 'Yes']|['AC, DisplayPort, USB, VGA', 'AC, DisplayPort, USB, VGA']|||['Black', 'Black']||||||||5000000:1|1000:1||51 mm|237 mm|||||LED|250 cd/m²|"546.1 mm (21.5 "")"|54.6 cm|16.77 M|1920 x 1080 pixels||Matt|IPS||1|Yes|1|||Unspecified|Yes||No|||Full HD|Yes|||||309 mm||460 mm||50/60 Hz|90 - 264 V|['Yes', 'Yes']|['Yes', 'Yes']||['Yes', 'Yes']|||||||||['Yes', 'Yes']||['Yes', 'Yes']||20 - 80 %|5 - 35 °C|||||||||||0.248 x 0.248 mm||['Yes', 'Yes']|31 W|||0.5 W|26 W||['Yes', 'Yes']||||['Yes', 'Yes']||8 ms|||||||['.', '.']|['Yes', 'Yes']|||1920 x 1080 (HD 1080)|1080p||0 - 360 °|Yes||No|Yes|-5 - 30 °|['No', 'No']|3||||1|||||178 °|178 °|||5.82 kg||509 mm|509 mm|No|['Yes', 'Yes']
|Packard Bell Maestro 236DBD - MediaShopUK||||16:9||||||['No', 'No']||||||||Black||||||||100000000:1|||||||||LED|250 cd/m²|"584.2 mm (23 "")"|58 cm||1920 x 1080 pixels|||LCD|||||||||||||Full HD|Yes||||||No|||60 Hz|110 - 220 V||||||||||||||||||||||||||||||||220 W|||45 W|110 W||||||||||||||||||||||||||||No||||No|1|||||178 °|178 °||No||||||
Yes|Benq XL2411T 24 LED - MediaShopUK||||16:9||||||['No', 'No', 'No']||['No', 'No', 'No']||['Yes', 'Yes']||||['Black', 'Black']||||||||12000000:1|1000:1||223 mm||||||LED|350 cd/m²|"609.6 mm (24 "")"||16.77 M|1920 x 1080 pixels|||TN+Film|||||||||||||No|Yes||1|||431 mm|Yes|||||||||||||||['17', '17']||['Yes', 'Yes']||||||||||||||||0.276 x 0.276 mm||||||22 W|||||||||5 ms|||||||||||1920 x 1080 (HD 1080)||||||No|||['No', 'No']||||100 x 100 mm|1|||||160 °|170 °||Yes|6 kg||570 mm|||
Yes|ASUS VG27AH - MediaShopUK||Yes||16:9||||||['No', 'No']||['Yes', 'Yes']||['Kensington', 'Kensington']|['AC, Audio (3.5mm), DVI, VGA', 'AC, Audio (3.5mm), DVI, VGA']||cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, J-MOSS, PSE, RoHS, WEEE, Windows 7 WHQL|['Black', 'Black']||||||||80000000:1||||249.6 mm|24 - 83 kHz|50 - 75 Hz|||LED|250 cd/m²|"685.8 mm (27 "")"|68.6 cm|16.77 M|1920 x 1080 pixels|||IPS||||1||||Yes|||||Full HD||['Yes', 'Yes']|2|3.5 mm|1||Yes|438.7 mm|||||||['Yes', 'Yes']|['1920 x 1080 pixels', '1920 x 1080 pixels']|||||['2', '2']||['1 pcs', '1 pcs']|['Yes', 'Yes']||['Yes', 'Yes']|||||12.1 kg|282 mm|542 mm|711 mm|Yes|||||0.311 x 0.311 mm|['Horizontal', 'Horizontal']|||1 W||1 W|65 W||['Yes', 'Yes']||||||5 ms|['6 W', '6 W']||||||['.', '.']|['Yes', 'Yes']|||1920 x 1080 (HD 1080)||||||No||-5 - 15 °|No||||100 x 100 mm|1|||||178 °|178 °|['Digital', 'Digital']|Yes||8.3 kg||643 mm||['Yes', 'Yes']
No|LG 22EA63V - MediaShopUK||Yes||16:9|||W-LED|10.8 mm|No|['No', 'No']|['No', 'No']|['No', 'No']||['No', 'No']|['AC, VGA', 'AC, VGA']|['No', 'No']|CE, TÜV-Typ, EPA, FCC-B, UL, cUL|['Black', 'Black']|||['No', 'No']|||Yes||10000000:1|1000:1||74 mm|178 mm|30 - 83 kHz|56 - 75 Hz|||LED|250 cd/m²|"546.1 mm (21.5 "")"|54.6 cm|16.77 M|1920 x 1080 pixels|||IPS||||1|||Unspecified|Yes||No|||Full HD|Yes||1|3.5 mm|1|307 mm|No|380 mm||47-63 Hz|100 - 240 V||||['Yes', 'Yes']|||||||['15', '15']||['Yes', 'Yes']|['CHI (SIMPL), DEU, ENG, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SWE, UKR', 'CHI (SIMPL), DEU, ENG, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SWE, UKR']|['Yes', 'Yes']|||||3.92 kg|125 mm|394 mm|601 mm||||No||0.248 x 0.248 mm||['Yes', 'Yes']||0.3 W||0.3 W|26 W||||||||5 ms||||['4:3, 16:9', '4:3, 16:9']||Yes|['.', '.']||||1920 x 1080 (HD 1080)|1080p|||No|Yes|No|Yes|-5 - 20 °|No||||75 x 75 mm|1|||475.97 mm|267.73 mm|178 °|178 °||Yes|2.5 kg|2.7 kg|500 mm|500 mm|No|
|Philips 224E5QHAB - MediaShopUK||Yes||16:9|||W-LED|||['No', 'No']||['Yes', 'Yes']|||||RoHS, Lead-free, Mercury Free|['Black, Cherry', 'Black, Cherry']||||||||20000000:1|1000:1||47 mm|213 mm|||||LED|250 cd/m²|"546.1 mm (21.5 "")"|54.6 cm|16.77 M|1920 x 1080 pixels|Yes|||||||||Unspecified|Yes|Silver|||||||1||1|306 mm||394 mm|30 - 83 kHz|||['Operation, Stand-by', 'Operation, Stand-by']|||||['30.000 h', '30.000 h']||Yes||['2', '2']|||['Yes', 'Yes']|['CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR', 'CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR']|['Yes', 'Yes']||20 - 80 %|0 - 40 °C||5.01 kg|106 mm|466 mm|562 mm|Yes|||||0.248 x 0.248 mm||['Yes', 'Yes']||0.3 W||0.5 W|20.4 W||||||||5 ms|['10 W', '10 W']|||||Yes|['.', '.']|||-20 - 60 °C||||||Yes|No||||||56 - 75 Hz|100 x 100 mm|1|||476.1 mm|276.8 mm|178 °|178 °||Yes|2.82 kg|3.14 kg|500 mm|500 mm||
No|ASUS 22T1EH - MediaShopUK|||PAL, SECAM|16:9||||||['No', 'No']||['Yes', 'Yes']||['Kensington', 'Kensington']|||RoHS|['Black', 'Black']|Yes||||1|Yes|1|10000000:1|1000:1||191.2 mm||31 - 83 kHz|56 - 76 Hz|||LED|250 cd/m²|"546.1 mm (21.5 "")"|||1920 x 1080 pixels||||||No||||Unspecified|Yes||||['Yes', 'Yes']|Full HD|Yes|['Yes', 'Yes']|1|3.5 mm||438.5 mm|No||31 - 83 kHz|50/60 Hz|100 - 240 V|||||||Yes|||['2', '2']|||||||||||||||||||0.248 x 0.248 mm|||60 W|||0.5 W|||||||||5 ms|['14 W', '14 W']||||||['.', '.']|['Yes', 'Yes']|||1920 x 1080 (HD 1080)||1||||No||-5 - 15 °|Yes|||56 - 76 Hz||1|||||170 °|160 °|['Digital', 'Digital']|Yes|6.1 kg||540.6 mm|||
|NEC E224WI-BK - MediaShopUK||||16:9|||W-LED|||['No', 'No']|||||['DVI', 'DVI']||TCO, RoHS|['Black', 'Black']|||||||||||58.5 mm|213.9 mm|||||LED|250 cd/m²|"546.1 mm (21.5 "")"||16.77 M|1920 x 1080 pixels||||||Yes|1|||Unspecified|Yes|Silver||||Full HD|Yes|||||301.1 mm||474.5 mm|31.5 - 81.1 kHz||||||['Yes', 'Yes']|||||0 - 12192 m||||['Yes', 'Yes']|||0 - 2000 m|20 - 80 %|5 - 35 °C|||||||||Yes||0.25 x 0.25 mm||['Yes', 'Yes']|||0.4 W||26 W||||||||6 ms|||||||['.', '.']||10 - 85 %|-10 - 60 °C|1920 x 1080 (HD 1080)|1080p|||Yes|||Yes|||||56 - 76 Hz|100 x 100 mm|1|||||178 °|178 °||Yes|3.9 kg|5.9 kg|507.4 mm|507.4 mm||
No|ASUS VW22AT - MediaShopUK||Yes||16:10||||||['No', 'No']||['Yes', 'Yes']||['Kensington', 'Kensington']|['AC, Audio (3.5mm), DVI, VGA', 'AC, Audio (3.5mm), DVI, VGA']||BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL (Windows 7)|['Black', 'Black']||||||||50000000:1|||63.34 mm|210.32 mm|24 - 83 kHz|50 - 75 Hz|||LED|250 cd/m²|"558.8 mm (22 "")"|55.9 cm|16.77 M|1680 x 1050 pixels|||||||1|||Unspecified|Yes|||||No|Yes|||||340.79 mm|No|406.23 mm|31 - 83 kHz|50/60 Hz|100 - 240 V|||||['1680 x 1050 pixels', '1680 x 1050 pixels']|||||['2', '2']||['1 pcs', '1 pcs']|['Yes', 'Yes']||['Yes', 'Yes']|||||5.4 kg|146 mm|452 mm|588 mm|Yes|||||0.282 x 0.282 mm|['Horizontal', 'Horizontal']|||0.3 W|0.5 W||33 W||['Yes', 'Yes']||||['Yes', 'Yes']||5 ms|['2 W', '2 W']||||['Yes', 'Yes']||['.', '.']|['Yes', 'Yes']|||1680 x 1050 (WSXGA+)||||||No||-5 - 20 °|No|||56 - 76 Hz|100 x 100 mm|1|||||170 °|160 °|['Digital', 'Digital']|Yes|3.9 kg||513.95 mm|513.95 mm||['Yes', 'Yes']
No|AOC q2963Pm - MediaShopUK||Yes||21:9|||||No|['No', 'No']|['No', 'No']|['Yes', 'Yes']||['Kensington', 'Kensington']||['No', 'No']|TCO 6.0|['Black', 'Black']|||['No', 'No']|||||50000000:1|1000:1||211.99 mm||30 - 83 kHz|55 - 75 Hz|||LED|250 cd/m²|"736.6 mm (29 "")"|73.7 cm|16.77 M|2560 x 1080 pixels|||||2||1|||Unspecified|Yes||No||||Yes||1|||387.91 mm|No|||50/60 Hz|90 - 240 V|||||||No|||['1', '1']|||['Yes', 'Yes']||['Yes', 'Yes']||||||||||||No||0.876 x 0.876 mm||['Yes', 'Yes']||0.5 W||0.5 W|30 W||||||||5 ms|||||||['.', '.']||||2560 x 1080||||No||No|Yes|-5 - 20 °|No||||100 x 100 mm|1|['146 MHz', '146 MHz']||694.6 mm|308.9 mm|178 °|178 °||Yes|6.9 kg|9.79 kg|713.57 mm||No|
No|ASUS MX279H LED display - MediaShopUK||||16:9||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']||['Kensington', 'Kensington']|['AC, Audio (3.5mm), VGA', 'AC, Audio (3.5mm), VGA']||BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, PSE, RoHS, UL/cUL, VCCI, WEEE,|['Black, Silver', 'Black, Silver']||||||||80000000:1|1000:1||225.2 mm||30 - 80 kHz|56 - 76 Hz|||LED|250 cd/m²|"685.8 mm (27 "")"|68.6 cm|16.77 M|1920 x 1080 pixels|Yes||IPS|||No||||Unspecified|Yes|||||Full HD|Yes||2|3.5 mm||441.3 mm|No|||50/60 Hz|100 - 240 V||||||||||['2', '2', '2']|||||['Yes', 'Yes']|||||['8 kg', '8 kg']|['114 mm', '114 mm']|['537 mm', '537 mm']|['700 mm', '700 mm']|Yes|||||0.311 x 0.311 mm||||0.5 W|0.5 W||37 W||['Yes', 'Yes']||||['Yes', 'Yes']||5 ms|['6 W', '6 W', '6 W']||||||||||1920 x 1080 (HD 1080)||||||No||20 - -5 °|['No', 'No']||||No|1|||||178 °|178 °|['Digital', 'Digital']|No|5.2 kg||622.6 mm|||['Windows 7 Home Premium, Windows 8', 'Windows 7 Home Premium, Windows 8']
No|Philips 190SL1SB - MediaShopUK||||16:10||||||['No', 'No']||['No', 'No']||['Kensington', 'Kensington']|||BSMI, CE Mark, FCC Class B, GOST, SEMKO, TCO 5.2, TUV/GS, TUV Ergo, UL/cUL, WEEE|['Black', 'Black']||||||||20000000:1|1000:1||68 mm|183 mm|||||LED|250 cd/m²|"482.6 mm (19 "")"|48.3 cm|16.77 M|1440 x 900 pixels|Yes||||||1||||Yes|Silver||||No|Yes|||||305 mm|No|372 mm|30 - 83 kHz|50/60 Hz|100 - 240 V||||||['30000 h', '30000 h']|||||['9', '9']||['Yes', 'Yes']|['CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS', 'CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS']||||0 - 40 °C|488 x 420 x 141 mm||||||||||0.283 x 0.283 mm||['Yes', 'Yes']|||7.7 W|0.3 W|11.4 W|||||||20-80 %|5 ms||||||Yes|['.', '.']|||-20 - 60 °C|1440 x 900 (WXGA+)|||||Yes|No|Yes|-5 - 20 °|No|||56 - 75 Hz|100 x 100 mm|1|||408.24 mm|255.15 mm|170 °|160 °||Yes|3.04 kg|3.31 kg|436 mm|436 mm||
No|LG 22EA53VQ-P LED display - MediaShopUK||||4:3, 16:9|||W-LED|||['No', 'No', 'No']||['No', 'No', 'No']||['Kensington', 'Kensington']|['AC, VGA', 'AC, VGA']||TCO6.0, CE, TÜV, FCC, UL, cUL, RoHS|['Black', 'Black']||||||Yes||5000000:1|1000:1|Yes|55 mm|181 mm|30 - 83 kHz|56 - 75 Hz|||LED|250 cd/m²|"546.1 mm (21.5 "")"|54.61 cm|16.77 M|1920 x 1080 pixels|||IPS|['475.97 x 267.73 mm', '475.97 x 267.73 mm']||Yes|1|||Unspecified|Yes|||||Full HD|Yes||1|3.5 mm|1|312 mm|No|385 mm|||100 - 240 V|['Yes', 'Yes']|||['Yes', 'Yes']||['50000 h', '50000 h']|||||['17', '17']||['Yes', 'Yes']|['DEU, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SER, UKR', 'DEU, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SER, UKR']|['Yes', 'Yes']||10 - 80 %|10 - 35 °C||['3.8 kg', '3.8 kg']|['116 mm', '116 mm']|['381 mm', '381 mm']|['577 mm', '577 mm']||||||0.248 x 0.248 mm||['Yes', 'Yes']|25 W|0.3 W||0.3 W|||['Yes', 'Yes']||||||5 ms||||||Yes|['.', '.']|['Yes', 'Yes']|5 - 90 %|-20 - 60 °C|1920 x 1080 (HD 1080)|1080p||||Yes|No|Yes|-5 - 20 °|['No', 'No']||||75 x 75 mm|1|||||178 °|178 °||Yes|2.58 kg|2.8 kg|508 mm|508 mm||['Windows 8', 'Windows 8']
No|Viewsonic LED LCD VX2370SMH-LED LED display - MediaShopUK||Yes||16:9|Yes|Yes|||No|||['Yes', 'Yes', 'Yes']|||['AC, HDMI, VGA', 'AC, HDMI, VGA']||CE,CB, BSMI, SASO, C-tick, e-standby, KC, UL/cUL,FCC-B (including ICES003), NOM, GOST-R/Hygienic, UkrSEPRO, Erp, CCC, China Energy, SVHC|['Black', 'Black']||||||||30000000:1|1000:1||179.5 mm||||||LCD|250 cd/m²|"584.2 mm (23 "")"||16.77 M|1920 x 1080 pixels|||IPS||||1|||Unspecified||Silver||||Full HD|Yes|['Yes', 'Yes']|1|||409 mm|||24 - 83 kHz|50/60 Hz|100 - 240 V|['Yes', 'Yes']|['Yes', 'Yes']|['Yes', 'Yes']|['Yes', 'Yes']||||||['2', '2', '2']||['1 pcs', '1 pcs']|['Yes', 'Yes']||['Yes', 'Yes']||10 - 80 %|10 - 40 °C||6.1 kg|177 mm|476 mm|587 mm||||||||['Yes', 'Yes']|||||27 W||['Yes', 'Yes']||||['Yes', 'Yes']||7 ms|['3 W', '3 W', '3 W']||RoHS, WEEE|||Yes|['.', '.']|['Yes', 'Yes']|5 - 90 %|-20 - 60 °C|1920 x 1080 (HD 1080)||||||No||-5 - 20 °|['No', 'No']|||50 - 76 Hz||1|||||178 °|178 °|||3.9 kg||532.6 mm||No|['Yes', 'Yes']
No|Edge10 EF185a - MediaShopUK||||16:9||||||['No', 'No']||['Yes', 'Yes']||['Kensington', 'Kensington']|['VGA', 'VGA']|||['Black', 'Black']||||||||10000:1|1000:1||53 mm|180 mm|||||LED|250 cd/m²|"469.9 mm (18.5 "")"|47 cm|16.77 M|1366 x 768 pixels||||||Yes|1|||Unspecified||||||HD-ready||||||302 mm|No|370 mm||50/60 Hz|100 - 240 V||||||||||['2', '2']|||['Yes', 'Yes']||||5 - 90 %|0 - 40 °C|||||||||||0.3 x 0.3 mm||||||1 W|19 W|['Yes', 'Yes']|||||||5 ms|['4 W', '4 W']||||||||||1366 x 768||||||No|Yes|-5 - 15 °|No||||100 x 100 mm|1|||||170 °|160 °||Yes|3.18 kg||438 mm|438 mm||
No|Philips 239C4QHSW - MediaShopUK||||16:9|||W-LED|||['No', 'No', 'No']||['No', 'No', 'No']||['Kensington', 'Kensington']|||RoHS|['White', 'White']||||||||20000000:1|1000:1||34 mm|180 mm|||||LCD|250 cd/m²|"584.2 mm (23 "")"|58.4 cm|16.77 M|1920 x 1080 pixels|||IPS||||||||Yes|Silver||||Full HD|No||2|||337 mm||550 mm|30 - 83 kHz||100 - 240 V|['Yes', 'Yes']|||||['30000 h', '30000 h']|||||['9', '9']||['Yes', 'Yes']|['DUT, ENG, ESP, FRE, ITA, POR, RUS', 'DUT, ENG, ESP, FRE, ITA, POR, RUS']|['Yes', 'Yes']|||0 - 40 °C||['4.89 kg', '4.89 kg']|['139 mm', '139 mm']|['557 mm', '557 mm']|['594 mm', '594 mm']||||||0.265 x 0.265 mm||['Yes', 'Yes']||0.3 W||0.3 W|28.5 W|||||||20 - 80 %|7 ms||||||Yes|['.', '.']|||-20 - 60 °C|1920 x 1080 (HD 1080)|||||Yes|No||-3 - 15 °|['No', 'No']|||56 - 75 Hz||1|||||178 °|178 °|||2.07 kg|3.05 kg|550 mm|550 mm||['Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64', 'Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64']
|ASUS VB198TL - MediaShopUK||||5:4||||||['No', 'No']||['Yes', 'Yes']||['Kensington', 'Kensington']|['DVI, VGA', 'DVI, VGA']|['No', 'No']|BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, ISO-9241-307, J-MOSS, PSB, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL|['Black', 'Black']||||||||50000000:1||||214 mm|53 - 80 kHz|50 - 76 Hz|||LED|250 cd/m²|"482.6 mm (19 "")"|48.3 cm|16.77 M|1280 x 1024 pixels|||||||1||||Yes||||||Yes||||||Yes|413 mm|53 - 80 kHz||||||||||||['2', '2']||||||||||6.4 kg|410 mm|210 mm|565 mm|Yes|||Yes||0.294 x 0.294 mm||||0.2 W|0.3 W||27 W||||||['Yes', 'Yes']||5 ms|['2 W', '2 W']||||||['.', '.']||||1280 x 1024 (SXGA)||||Yes||No|Yes|-5 - 15 °||||50 - 76 Hz|100 x 100 mm|1|||||170 °|160 °||Yes||4.7 kg||466 mm||
No|ASUS VE228DR - MediaShopUK||||16:9||||||['No', 'No']||['No', 'No']||['Kensington', 'Kensington']|['AC, VGA', 'AC, VGA']||CEL, UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS, RoHS,WEEE|['Black', 'Black']||||||||80000000:1|||56.9 mm|201.82 mm|||||LCD|250 cd/m²|"546.1 mm (21.5 "")"|54.6 cm|16.77 M|1920 x 1080 pixels|||||||||||Yes|||||Full HD||||||305.51 mm|No|385.96 mm|30 - 83 kHz|50/60 Hz|100 - 240 V|||||||||||||||||||||148 mm|468 mm|576 mm||||||0.248 x 0.248 mm||['Yes', 'Yes']||0.5 W||0.5 W|35 W||||||['Yes', 'Yes']||5 ms|||||||['.', '.']||||1920 x 1080 (HD 1080)|1080p|||||No||-5 - 20 °|No|||50 - 76 Hz|100 x 100 mm|1|||||170 °|160 °||Yes|4.1 kg||512.84 mm|512.84 mm||
No|ASUS VB178T - MediaShopUK||||5:4||||||['No', 'No']||['Yes', 'Yes']||['Kensington', 'Kensington']|['AC, DVI, VGA', 'AC, DVI, VGA']||L/cUL, CB, CE, ErP, FCC,CCC, BSMI, Gost-R, C-Tick, VCCI,PSB,TCO5.2, ISO9241-307, TUV-GS/ERGO, J-MOSS, RoHS, WEEE, Windows 7 WHQL|['Black', 'Black']||||||||50000000:1|||60 mm|210 mm|30 - 83 kHz|55 - 75 Hz|||LED|250 cd/m²|"431.8 mm (17 "")"||16.77 M|1280 x 1024 pixels|||||||1||||Yes|||||No|Yes|||3.5 mm||314.2 mm|No|386 mm|30 - 83 kHz|50/60 Hz|100 - 240 V||||||||||['2', '2']||||||||||||||Yes|||||0.264 x 0.264 mm||||||1 W|25 W||||||['Yes', 'Yes']||5 ms|['2 W', '2 W']||||||['.', '.']||||1280 x 1024 (SXGA)||||||No||-5 - 20 °|No|||55 - 75 Hz|100 x 100 mm|1|||||170 °|160 °||Yes|3.5 kg|5.1 kg|377 mm|377 mm||
|Benq BL902TM - MediaShopUK||||5:4||||||['No', 'No']||||['Kensington', 'Kensington']|||TCO5.0|['Black', 'Black']||||||||12000000:1|1000:1||222.6 mm|419.2 mm||||||250 cd/m²|"482.6 mm (19 "")"|||1280 x 1024 pixels|||||||||||||||||Yes||||1|419.2 mm||56.05 mm||||||||||||||||||||||||||||||||0.294 x 0.294 mm|||||||25.8 W|||100 - 240 VAC|||||5 ms|['2 W', '2 W']|||||||['Yes', 'Yes']||||||-45 - 45 °|||||-5 - 20 °|No||||100 x 100 mm|1|||||170 °|160 °|||5.1 kg|7.6 kg|432.35 mm|361.25 mm||
No|Philips 249C4QHSB - MediaShopUK||||16:9|||W-LED|||['No', 'No', 'No']||['No', 'No', 'No']||['Kensington', 'Kensington']|||RoHS|['Black', 'Black']||||BSMI, CE Mark, FCC Class B, GOST, SASO, SEMKO, TCO 5.2, TUV/ISO9241-307, UL/cUL, WEEE||||20000000:1|5000:1||34 mm|180 mm|||||LCD|250 cd/m²|"609.6 mm (24 "")"|61 cm|16.77 M|1920 x 1080 pixels|Yes||A-MVA|||No|||||Yes|Silver||||Full HD|Yes||2|||350 mm|No|434 mm|30 - 83 kHz|50/60 Hz|100 - 240 V||||||['30000 h', '30000 h']|||||['9', '9']||['Yes', 'Yes']|['CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR', 'CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR']||||0 - 40 °C||['5.02 kg', '5.02 kg']|['133 mm', '133 mm']|['569 mm', '569 mm']|['617 mm', '617 mm']||||||0.276 x 0.276 mm||['Yes', 'Yes']||0.3 W||0.3 W|24.2 W||['Yes', 'Yes']|||||20 - 80 %|6 ms||||||Yes|['.', '.']|['Yes', 'Yes']||-20 - 60 °C|1920 x 1080 (HD 1080)|||||Yes|No||-3 - 15 °|['No', 'No']|||56 - 75 Hz||1|||531.36 mm|298.89 mm|178 °|178 °|||2.33 kg|3.33 kg|569 mm|569 mm||
