<page title>|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|color|color supported|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|features|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|manufacturer website address|maximum adjustable height|maximum resolution|mount type|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|panel technology|pccanadacom|platform supported|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
"32WL30MS-B - Lg 32"" Class (31.5"" Measured Diagonally) Ips Edge Led Super Narrow Bezel - PC-Canada.com"|Yes|||16:9|Edge LED|LG|400 cd/mÂ²||"ULcULCB schemeTUVFCC Class ""B""VCCIC-tickCEKCC"|Black|16.7 Million Colors|1,300:1||"1.4"" (35.6 mm)"|"11.9"" (302.3 mm)"|Landscape/Portrait||Yes|Digital Signage Ready, Temperature Sensor, Picture in Picture, Security Lock||ErP, ENERGY STAR 5.1, TCO|Yes|Yes|Yes||"17.4"" (442 mm)"|"19.6"" (497.8 mm)"|178Â°|110 V AC, 220 V AC|3 Year|LG Electronics|32WL30MS-B|http://www.lg.com/ca||1920 x 1080||1|2|500 mW|65 W||In-plane Switching (IPS) Technology|does not accept phone orders.|||32WL30MS-B|"32"" Class (31.5"" Measured Diagonally) IPS Edge LED Super Narrow Bezel"||LCD Monitor|||25 ms|Full HD|"32"""|Anti-glare|Yes|60 Hz|||||Yes||178Â°|Yes|200 x 200|Yes||7.89 kg|8.66 kg|"29.1"" (739.1 mm)"|"29.1"" (739.1 mm)"
25UM65-P - Lg 25um65-p Widescreen Lcd Monitor - PC-Canada.com||||21:9|LED|LG||Speaker||Black|||||||Yes|Yes|Mobile High-Definition Link (MHL)|||||Yes|||||||LG Electronics|25UM65-P|http://www.lg.com/ca||2560 x 1080||1|2||||In-plane Switching (IPS) Technology|does not accept phone orders.|||25UM65-P|25UM65-P Widescreen LCD Monitor||LCD Monitor|||5 ms|UW-UXGA|"25"""||Yes||||||Yes|USB 3.0|||||||||
D2W67AA#ABA - Hp Prodisplay P19a 19-inch Led Backlit Monitor (energy Star) - PC-Canada.com|Yes|No|No|5:4|LED|HP|250 cd/mÂ²|||Black||1,000:1||"2.3"" (57.5 mm)"|"8.1"" (206.4 mm)"||||Security Lock||EPEAT Gold, ENERGY STAR, TCO Certified Displays|Yes||||"13.7"" (347 mm)"|"16.5"" (418.2 mm)"|170Â°|110 V AC, 220 V AC|3 Year|Hewlett-Packard|D2W67AA#ABA|http://www.hp.com/ca||1280 x 1024|Wall Mountable, Arm-mountable|1|||25 W|ProDisplay P19A 19-Inch LED Backlit Monitor (ENERGY STAR) VGA Cable AC Power Cable Printed Documentation And CD DisplayAssistant And Adobe Acrobat Reader software||does not accept phone orders.||Essential|P19A|ProDisplay P19A 19-Inch LED Backlit Monitor (ENERGY STAR)|Business|LCD Monitor|||5 ms|SXGA|"19"""|Anti-glare|No||500 mW||||||160Â°|Yes|100 x 100|Yes||3.50 kg||"16.3"" (414 mm)"|"16.3"" (414 mm)"
VN279QL - Asus Vn279ql Widescreen Lcd Monitor - PC-Canada.com|Yes|Yes|Yes|16:9|LED|Asus|300 cd/mÂ²|Speaker|EAC logo BSMI CB CCC CE C-Tick CU FCC ISO-9241-307 PSE TUV-GS UkrSEPRO UL/cUL VCCI WHQL|Black|16.7 Million Colors|100,000,000:1|||"8.9"" (225.5 mm)"||Yes||Mobile High-Definition Link (MHL), MultiScreen, Splendid Video Intelligence Technology, Security Lock||ENERGY STAR, China Energy Label (CEL), J-Moss (Japanese RoHS), RoHS, TCO Certified Displays 6.0, WEEE|Yes|Yes|Yes|Yes||"20.7"" (526 mm)"|178Â°||3 Year|ASUS Computer International|VN279QL|http://www.asus.com||1920 x 1080|Wall Mountable|1|2|300 mW|35 W|VN279QL Widescreen LCD Monitor VGA cable Audio cable Power cord Quick start guide Warranty Card|Advanced-Multi-domain Vertical Alignment Plus (A-MVA+)|does not accept phone orders.|PC||VN279QL|VN279QL Widescreen LCD Monitor|VN|LCD Monitor|||5 ms|Full HD|"27"""||Yes|75 Hz|500 mW||||||178Â°|Yes|100 x 100|Yes||6.10 kg|||"24.4"" (619.2 mm)"
23MP75HM-P - Lg 23mp75hm-p Widescreen Lcd Monitor - PC-Canada.com|||Yes|16:9|LED|LG|250 cd/mÂ²|Speaker|||16.7 Million Colors|1,000:1||"2.9"" (73 mm)"|"7.2"" (182 mm)"||||Smart Resolution Technology, Sleep Timer, Intelligent Auto, Reading Mode, Dual Web, Dual-screen Display||||Yes|Yes|Yes|"12.6"" (320 mm)"|"16.7"" (423 mm)"|178Â°|||LG Electronics|23MP75HM-P|http://www.lg.com/ca||1920 x 1080||1|2||21 W||Advanced High Performance In-plane Switching (AH-IPS) Technology|does not accept phone orders.|||23MP75HM-P|23MP75HM-P Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"23"""||Yes||300 mW||||||178Â°|Yes|75 x 75|Yes||3.05 kg|3.95 kg|"21"" (533 mm)"|"21"" (533 mm)"
60A0MAR1US - Lenovo Thinkvision Lt2013p 19.5-inch Led Backlit Lcd Monitor - PC-Canada.com|Yes|Yes|Yes|16:9|LED|Lenovo|250 cd/mÂ²|USB Hub|SAFETY:cTUVusIEC950 CB ReportNEMKOKVALITETUkraineCCCNOMSASOCEGOSTPSBBSMIJEITATUV-SSABSKCINSMGreenmark by TUV/Carbon footprinte-standbyGSEMI:FCC BCEVCCIKCICBSMICCCSABSERGONOMIC:EPA 6.0TUV-GSISO 9241-307e-standbyCSCChina National Monitor Energy Efficiency standard Tier 1TUV-Green MarkGHG(B2B)ECO declaration|Black|16.7 Million Colors|1,000:1|||||Yes||Security Lock||ENERGY STAR 6.0, EPEAT Gold, TCO Certified Displays 6.0, TCO Certified Edge Displays 1.1, ULE Gold, RoHS, China RoHS, Turkey RoHS, MPR II, China Energy Label (CEL)|Yes||Yes|||"13.3"" (336.6 mm)"|170Â°|110 V AC, 220 V AC|3 Year|Lenovo Group Limited|60A0MAR1US|http://www.lenovo.com/ca/en||1600 x 900||1||500 mW|36 W|ThinkVision LT2013p 19.5-inch LED Backlit LCD MonitorStandVGA CableUSB CablePower CordCD-ROM (Containing Multilingual User's Guide, Setup Test Pattern, and Windows Installation File)Quick Start and Safety Poster||does not accept phone orders.|PC|ThinkVision|LT2013p|ThinkVision LT2013p 19.5-inch LED Backlit LCD Monitor||LCD Monitor|||5 ms|HD+|"19.5"""|||75 Hz|1 W||||Yes|USB 2.0|160Â°|Yes|100 x 100|Yes||4.40 kg||"18.4"" (467.1 mm)"|"18.4"" (467.1 mm)"
GL2460HM - Benq Gl2460hm Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|BenQ|250 cd/mÂ²|||Glossy Black|16.7 Million Colors|1,000:1||"7.6"" (194 mm)"||||Yes|Senseye 3, Eco Mode||||Yes|Yes|Yes|"17.1"" (434 mm)"||170Â°|||BenQ Corporation|GL2460HM|http://www.benq.ca||1920 x 1080|Wall Mountable|1|2||23 W|||does not accept phone orders.|||GL2460|GL2460HM Widescreen LCD Monitor|GL|LCD Monitor|||2 ms|Full HD|"24"""||Yes||300 mW||||||160Â°|Yes|100 x 100|Yes||4.30 kg||"22.2"" (565 mm)"|
UM.WG6AA.B01 - Acer G226hql Widescreen Lcd Monitor - PC-Canada.com|Yes|No|No|16:9|LED|Acer|200 cd/mÂ²|||Black|16.7 Million Colors|100,000,000:1||"6.6"" (167.6 mm)"||||Yes|||MPR II, ENERGY STAR|Yes|Yes|||"14.4"" (365.8 mm)"||90Â°|110 V AC, 220 V AC||Acer, Inc|UM.WG6AA.B01|http://www.acer.ca||1920 x 1080||1||400 mW|22 W|G226HQL Widescreen LCD Monitor1 x VGA Cable1 x DVI CablePower Cord|Twisted Nematic Film (TN Film)|does not accept phone orders.|||G226HQL|G226HQL Widescreen LCD Monitor|G|LCD Monitor|||5 ms|Full HD|"21.5"""|Anti-glare||60 Hz|450 mW||||||50Â°|||Yes||1.90 kg|2 kg|"20.1"" (510.5 mm)"|
C4D33AA#ABA - Hp Pavilion 20xi Ips Led Backlit Monitor - PC-Canada.com||||16:9|LED|HP|250 cd/mÂ²|||||1,000:1||||||Yes|Security Lock||||Yes|||||178Â°|||Hewlett-Packard|C4D33AA#ABA|http://www.hp.com/ca||1600 x 900||1|||||In-plane Switching (IPS) Technology|does not accept phone orders.||Pavilion|20xi|Pavilion 20xi IPS LED Backlit Monitor||LCD Monitor|||7 ms|HD+|"20"""|||60 Hz|||||||178Â°|||Yes||2.80 kg|||
E9Q82A8#ABA - Hp Dreamcolor Z24x Professional Display(e9q82a8) - PC-Canada.com|Yes||Yes|16:10|LED|HP|350 cd/mÂ²|USB Hub|Microsoft WHQL Certification FCC CE UL TUV-GS KC-Ergonomics C-Tick S-Mark for Argentina VCCI CCC PSB for Singapore EAC(Russia) NOM (Mexico)|Black|1.07 Billion Colors|5,000,000:1||"6.7"" (168.9 mm)"|"23.8"" (604.5 mm)"||Yes|Yes|Security Lock||ENERGY STAR, EPEAT Gold, TCO Certified Displays 6.0, China Energy Label (CEL), TÃV, WEEE, RoHS, CECP, TCO Certified Displays|Yes|Yes|Yes||"36.5"" (927.1 mm)"|"52.5"" (1333.5 mm)"|178Â°|110 V AC, 220 V AC|3 Year|Hewlett-Packard|E9Q82A8#ABA|http://www.hp.com/ca||1920 x 1200||1|||84 W|DreamColor Z24x Professional Display(E9Q82A8) DVD Documentation Kit DisplayPort 1.2 Cable DVI-D Cable USB 3.0 Cable Power Cord Factory Calibration Report|In-plane Switching (IPS) Technology|does not accept phone orders.|PC|Business|Z24x|DreamColor Z24x Professional Display(E9Q82A8)|Z|LCD Monitor|||12 ms|WUXGA|"24"""|Anti-glare|||500 mW||45Â°|-5Â°to20Â°|Yes|USB 3.0|178Â°||||||6.98 kg|"55.9"" (1420.9 mm)"|"55.9"" (1420.9 mm)"
E1659FWU - Aoc E1659fwu 16-inch Class Usb-powered Monitor - PC-Canada.com|Yes||Yes|16:9|LED|AOC|200 cd/mÂ²||cCSAus cTUVus CE FCC|Glossy Piano Black|16.7 Million Colors|500:1|||"0.9"" (23 mm)"|Landscape/Portrait|||Ultra Slim||ENERGY STAR, RoHS|Yes|||||"9.2"" (234 mm)"|90Â°||1 Year|AOC|E1659FWU|http://us.aoc.com||1366 x 768|Wall Mountable, Arm-mountable|1|||8 W|E1659FWU 16-Inch Class USB-Powered Monitor Base Carry case USB 3.0 Cable CD-ROM (Drivers, Software, User's Manual, Warranty)||does not accept phone orders.|PC, Mac||E1659FWU|E1659FWU 16-Inch Class USB-Powered Monitor||LCD Monitor|||8 ms|HD|"16"""||No|60 Hz|1 W|||15Â°to30Â°|Yes|USB 3.0|50Â°|Yes|75 x 75|||1.09 kg|||"14.8"" (375 mm)"
SX-17P - Ag Neovo Sx-17p Lcd Monitor - PC-Canada.com||||||AG Neovo|250 cd/mÂ²|Speaker|||16.7 Million Colors|1,000:1||"6.9"" (175 mm)"||||Yes||||||||"15.7"" (398 mm)"||170Â°|||AG Neovo Technology Corporation|SX-17P|http://www.agneovo.com||1280 x 1024|Wall Mountable|1|2||31.99 W|||does not accept phone orders.|||SX-17P|SX-17P LCD Monitor||LCD Monitor|||3 ms|SXGA|"17"""||Yes||990 mW|Yes|||||160Â°|Yes|100 x 100|Yes||6.70 kg||"16.1"" (409 mm)"|
22M45D-B - Lg 22m45d-b Widescreen Lcd Monitor - PC-Canada.com||||16:9|LED|LG|250 cd/mÂ²|||Black|16.7 Million Colors|5,000,000:1||"2.4"" (60 mm)"|"7.4"" (188 mm)"|||Yes|Reading Mode, Cable Management, Flicker-free, Dual-screen Display, Super Energy Saving||||Yes|||"12.4"" (316 mm)"|"16.5"" (418 mm)"|170Â°|||LG Electronics|22M45D-B|http://www.lg.com/ca||1920 x 1080|Wall Mountable|1|||21 W||Twisted Nematic Film (TN Film)|does not accept phone orders.|||22M45D-B|22M45D-B Widescreen LCD Monitor|M45|LCD Monitor|||5 ms|Full HD|"21.5"""||||300 mW||||||160Â°|Yes||Yes||2.20 kg|2.60 kg|"20"" (509 mm)"|"20"" (509 mm)"
PA248Q - Asus Proart Pa248q Widescreen Lcd Monitor - PC-Canada.com|Yes|Yes|Yes|16:10|LED|Asus|300 cd/mÂ²|USB Hub|UL/cULCBCEFCCCCCTUV-GSTUV-ERGOISO9241-307BSMIGost-RC-TickVCCIPSBNOMWHQL|Black|16.7 Million Colors|80,000,000:1||"9.3"" (235 mm)"|||Yes|Yes|Splendid Video Intelligence Technology, Picture in Picture, Security Lock||TCO Certified Displays 5.2, ENERGY STAR, ErP, J-Moss (Japanese RoHS), RoHS|Yes|Yes|Yes|Yes|"16.4"" (416.3 mm)"||178Â°|110 V AC, 220 V AC|3 Year|ASUS Computer International|PA248Q|http://www.asus.com||1920 x 1200|Wall Mountable|1|||75 W|ProArt PA248Q Widescreen LCD MonitorCable TieDVI CableVGA CablePower CordDisplayPort CableUSB 3.0 CableQuick Start GuideSupport CDWarranty CardColor Pre-calibration Report|In-plane Switching (IPS) Technology|does not accept phone orders.|PC, Mac|ProArt|PA248Q|ProArt PA248Q Widescreen LCD Monitor|PA|LCD Monitor|||6 ms|WUXGA|"24"""|||76 Hz|1 W||||Yes|USB 3.0|178Â°|Yes|100 x 100|Yes||||"21.9"" (557.3 mm)"|
"AS172-BK - Nec Display 17"" Value Desktop Monitor With Led Backlighting - PC-Canada.com"|Yes|||5:4|LED|NEC Display|250 cd/mÂ²||ISO 9241-307 Class I|Black||1,000:1||"2.7"" (68.6 mm)"|"8.1"" (205.7 mm)"|||Yes|Intelligent Power Manager (IPM) System, Sync on Green, AccuColor, Display Power Management Signaling (DPMS), Eco Mode, Carbon Footprint Meter||ENERGY STAR 6.0, EPEAT Silver, TCO Certified Displays 6.0, RoHS|Yes|Yes|||"12.2"" (309.9 mm)"|"14.7"" (373.4 mm)"|170Â°||3 Year|NEC Display Solutions|AS172-BK|http://www.necdisplay.com||1280 x 1024|Desk Mountable|1|||11 W|"17"" Value Desktop Monitor with LED Backlighting Setup Sheet User Manual Power Cord 15-pin D-sub cable"|Twisted Nematic Film (TN Film)|does not accept phone orders.||AccuSync|AS172-BK|"17"" Value Desktop Monitor with LED Backlighting"||LCD Monitor|||5 ms|SXGA|"17"""|||76 Hz|150 mW||||||170Â°|Yes|100 x 100|Yes||2.90 kg|3.30 kg|"14.7"" (373.4 mm)"|"14.7"" (373.4 mm)"
VG932M-LED - Viewsonic Vg932m-led Lcd Monitor - PC-Canada.com|Yes|Yes||4:3|LED|Viewsonic|250 cd/mÂ²|Speaker|CECBULcULFCC-B / ICES-003BC-TICKBSMIGOST-RHYGENICPSBCCCCELCEPC|||1,000:1||"2.5"" (63.5 mm)"|"9.1"" (231.1 mm)"|||Yes|Eco Mode, Security Lock||WEEE, RoHS, ENERGY STAR, TCO Certified Displays 6.0, EPEAT Silver, CECP, China Energy Label (CEL)|Yes||||"14"" (355.6 mm)"|"18.8"" (477.5 mm)"|170Â°|110 V AC, 220 V AC|3 Year|Viewsonic Corporation|VG932M-LED|http://www.viewsonic.com||1280 x 1024||1|2||18 W|VG932m-LED LCD MonitorPower CableVGA CableAudio CableQuick Start GuideWizard CD-ROM||does not accept phone orders.|PC, Mac||VG932m-LED|VG932m-LED LCD Monitor||LCD Monitor|||5 ms|SXGA|"19"""|Anti-glare|Yes|75 Hz|||||||160Â°|Yes|100 x 100|Yes||3.20 kg|4.20 kg|"16.2"" (411.5 mm)"|"16.2"" (411.5 mm)"
29UM65-P - Lg 29um65-p Widescreen Lcd Monitor - PC-Canada.com||||21:9|LED|LG||||||||||||Yes||||||Yes|||||||LG Electronics|29UM65-P|http://www.lg.com/ca||2560 x 1080||1|||||In-plane Switching (IPS) Technology|does not accept phone orders.|||29UM65-P|29UM65-P Widescreen LCD Monitor||LCD Monitor||||UW-UXGA|"29"""||||||||||||||||||
UM.EV6AA.002 - Acer V226wl Widescreen Lcd Monitor - PC-Canada.com||||16:10|LED|Acer|250 cd/mÂ²|||Black|16.7 Million Colors|100,000,000:1||"8.1"" (207 mm)"||||Yes|||TCO '06|Yes|Yes|||"16.5"" (419.1 mm)"||170Â°|110 V AC, 220 V AC||Acer, Inc|UM.EV6AA.002|http://www.acer.ca||1680 x 1050||1||350 mW|24.20 W|V226WL Widescreen LCD Monitor1 x DVI Cable1 x VGA CablePower Cord||does not accept phone orders.|||V226WL|V226WL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|WXGA+|"22"""|Anti-glare||60 Hz|450 mW||||||160Â°|||Yes||3.09 kg|3.52 kg|"19.9"" (505.8 mm)"|
"NC1901 - Nanov 19"" Lcd Cctv Monitor - PC-Canada.com"||||||Nanov|400 cd/mÂ²||ULcULFCCCE||16.7 Million Colors|600:1||"2.3"" (58.9 mm)"||||||||||||"20"" (508 mm)"||140Â°|110 V AC, 220 V AC|1 Year|Nanov Display, Inc|NC1901|http://www.nanovdisplay.com||1280 x 1024|Wall Mountable, Ceiling Mountable|1|2||45 W|||does not accept phone orders.|||NC1901|"19"" LCD CCTV Monitor"||LCD Monitor|||8 ms|SXGA|"19"""|Anti-glare|Yes|75 Hz|5 W|Yes|||||140Â°|Yes|100 x 100|Yes||||"19.5"" (495 mm)"|
C9E54AA#ABA - Hp Prodisplay P191 18.5-inch Led Backlit Monitor - PC-Canada.com|Yes|||16:9|LED|HP|250 cd/mÂ²|||Black||1,000:1||"1.9"" (47.5 mm)"|"5.6"" (142.7 mm)"||||Security Lock||ENERGY STAR, TCO Certified Displays, EPEAT Gold|Yes||||"10.9"" (275.8 mm)"|"13.4"" (341.1 mm)"|170Â°|110 V AC, 220 V AC|3 Year|Hewlett-Packard|C9E54AA#ABA|http://www.hp.com/ca||1366 x 768||1|||20 W|ProDisplay P191 18.5-inch LED Backlit MonitorVGA CableAC Power CablePrinted Documentation and CD||does not accept phone orders.||Business|P191|ProDisplay P191 18.5-inch LED Backlit Monitor||LCD Monitor|||5 ms|WXGA|"18.5"""|Anti-glare|Yes||500 mW||||Yes||160Â°|Yes|100 x 100|Yes||3.20 kg||"17.7"" (449.3 mm)"|"17.7"" (449.3 mm)"
20M35D-B - Lg 20m35d-b Lcd Monitor - PC-Canada.com|Yes||||LED|LG|||||16.7 Million Colors|5,000,000:1||||||Yes|||||||||||||LG Electronics|20M35D-B|http://www.lg.com/ca||1600 x 900||1|||||Twisted Nematic Film (TN Film)|does not accept phone orders.|||20M35D-B|20M35D-B LCD Monitor||LCD Monitor|||5 ms|HD+|"19.5"""|||||||||||||Yes|||||
VW22AT-CSM - Asus Vw22at-csm Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:10|LED|Asus|250 cd/mÂ²|Speaker|BSMI CB CCC CE C-Tick FCC Gost-R TUV-Ergo TUV-GS UL/cUL VCCI WHQL|Black|16.7 Million Colors|50,000,000:1||"2.5"" (63.3 mm)"|"8.3"" (210.3 mm)"|||Yes|Splendid Video Intelligence Technology, Security Lock, SmartContrast||ErP, J-Moss (Japanese RoHS), RoHS, TCO Certified Displays 5.2, WEEE, ENERGY STAR|Yes|Yes|||"13.4"" (340.8 mm)"|"16"" (406.2 mm)"|170Â°|220 V AC, 110 V AC|3 Year|ASUS Computer International|VW22AT-CSM|http://www.asus.com||1680 x 1050|Wall Mountable|1|2|300 mW|33 W|VW22AT-CSM Widescreen LCD Monitor DVI cable VGA cable Audio cable Power cord Quick start guide Warranty Card||does not accept phone orders.|PC||VW22AT-CSM|VW22AT-CSM Widescreen LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"22"""||Yes|76 Hz|500 mW||||||160Â°|Yes|100 x 100|Yes||3.90 kg||"20.2"" (514 mm)"|"20.2"" (514 mm)"
"C4D30AA#ABA - Hp Pavilion 22xi 54.6 Cm (21.5"") Diagonal Ips Led Backlit Monitor - PC-Canada.com"|Yes|||16:9|LED|HP|250 cd/mÂ²||CBCEFCC MarkingCSA/C-UL/C-ETL MarkUL/CSA-NTRL/ETL-NRTL MarkICESCCCBauartISO9241-307GOST 25861HRN N N0.201GOST R 50377-1992GOST 25861EEI CertificateIS 1121SASOSABS IEC 60950-1NOM-019-SCFI-1998KC MarkKCC MarkPSB MarkISC MarkC-Tick|||1,000:1||"6.7"" (170 mm)"||||Yes|Security Lock||REACH, ENERGY STAR 5.2, ErP, CECP|Yes|Yes|Yes||"15.1"" (383 mm)"||178Â°|||Hewlett-Packard|C4D30AA#ABA|http://www.hp.com/ca||1920 x 1080||1|||28 W||In-plane Switching (IPS) Technology|does not accept phone orders.||Pavilion|22xi|"Pavilion 22xi 54.6 cm (21.5"") Diagonal IPS LED Backlit Monitor"||LCD Monitor|||7 ms|Full HD|"21.5"""|Anti-glare||60 Hz|500 mW||||||178Â°|||Yes||3 kg||"19.6"" (497 mm)"|
e2752Vh - Aoc E2752vh 27 Inch Led Monitor - PC-Canada.com|Yes|||16:9|LED|AOC|300 cd/mÂ²|Speaker||Black|16.7 Million Colors|20,000,000:1|||"8.3"" (210 mm)"|||Yes|Off Timer||ENERGY STAR|Yes|Yes|Yes|||"17.8"" (452 mm)"|170Â°||1 Year|AOC|E2752VH|http://us.aoc.com||1920 x 1080|Wall Mountable|1|2||40 W|||does not accept phone orders.|PC|ENTERTAINING|e2752Vh|e2752Vh 27 Inch LED Monitor|52|LCD Monitor|||5 ms|Full HD|"27"""||Yes||600 mW||||||160Â°|Yes|100 x 100|Yes||5.29 kg|||"25.4"" (645.7 mm)"
C9V75A8#ABA - Hp Promo Elitedisplay E231 23-inch Led Backlit Monitor - PC-Canada.com|Yes|Yes|Yes|16:9|LED|HP|250 cd/mÂ²|USB Hub|CECBKCKCCNOMPSBICETUV-SCCCCECPSEPAISCVCCIFCCHSMI|Black|16.7 Million Colors|1,000:1|China|"2"" (51 mm)"|"9.5"" (242.4 mm)"|Portrait|Yes|Yes|Security Lock||ENERGY STAR, TCO Certified Edge, EPA, EPEAT Gold|Yes|Yes|||"13"" (329 mm)"|"18.5"" (469.9 mm)"|170Â°|110 V AC, 220 V AC|3 Year|Hewlett-Packard|C9V75A8#ABA|http://www.hp.com/ca||1920 x 1080||1||500 mW|36 W|Promo EliteDisplay E231 23-Inch LED Backlit MonitorVGA CableDisplayPort CableUSB CableAC Power Cable||does not accept phone orders.||Advantage|E231|Promo EliteDisplay E231 23-Inch LED Backlit Monitor||LCD Monitor|||5 ms|Full HD|"23"""|Anti-glare|No|60 Hz|500 mW||||Yes|USB 2.0|160Â°|Yes|100 x 100|Yes||3.90 kg||"21.4"" (544 mm)"|"21.4"" (544 mm)"
VN279Q - Asus Vn279q Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|Asus|300 cd/mÂ²|Speaker|EAC logo BSMI CB CCC CE C-Tick CU FCC ISO-9241-307 PSE TUV-GS UkrSEPRO UL/cUL VCCI WHQL|Black|16.7 Million Colors|100,000,000:1||"7.4"" (188 mm)"|||Yes||Mobile High-Definition Link (MHL), MultiScreen, Splendid Video Intelligence Technology, Security Lock||ENERGY STAR, China Energy Label (CEL), ErP, J-Moss (Japanese RoHS), RoHS, TCO Certified Displays 6.0, WEEE|Yes|Yes|Yes|Yes|"21.1"" (535.9 mm)"||178Â°||3 Year|ASUS Computer International|VN279Q|http://www.asus.com||1920 x 1080|Wall Mountable|1|2|300 mW|35 W|VN279Q Widescreen LCD Monitor VGA cable Audio cable Power cord Quick start guide Warranty Card|Advanced-Multi-domain Vertical Alignment (A-MVA)|does not accept phone orders.|PC||VN279Q|VN279Q Widescreen LCD Monitor|VN|LCD Monitor|||5 ms|Full HD|"27"""||Yes|75 Hz|500 mW||||||178Â°|Yes|100 x 100|Yes||||"27.8"" (706.1 mm)"|
2572MB1 - Lenovo Thinkvision Lt2252p 22-inch Led Backlit Lcd Monitor - PC-Canada.com|Yes|Yes|Yes|16:10|LED|Lenovo|250 cd/mÂ²||ULICCEGSKCCSACCCTUVPSBCSCVCCISASOJEITATUV-SGOSTBSMISEMKONEMKOAS/NZAKVALITETFCC Class BISO 9241-307EPA China Tier 1China Energy Efficiency Standard Tier 1IECEE CB Certificate (world-wide - IEC-950/EN 60950)|||1,000:1||"9.5"" (241.1 mm)"|||Yes|Yes|Security Lock||EPA, CECP, RoHS, MPR II, ULE Gold, EPEAT Gold, China RoHS, ENERGY STAR 6.0, TCO Certified Edge Displays 1.1|Yes|Yes|||"14.5"" (367.1 mm)"||170Â°|||Lenovo Group Limited|2572MB1|http://www.lenovo.com/ca/en||1680 x 1050||1|||26 W|||does not accept phone orders.|PC|ThinkVision|LT2252p|ThinkVision LT2252p 22-inch LED Backlit LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"22"""||||500 mW||||||160Â°|Yes|100 x 100|Yes||5.14 kg||"19.9"" (506 mm)"|
VE278H - Asus Ve278h Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|Asus|300 cd/mÂ²||CBUL/cULCEFCCCCCBSMIGost-RC-TickVCCIPSBEKWHQL|Black|16.7 Million Colors|1,200:1||"2.3"" (59.5 mm)"|||||Security Lock, Splendid Video Intelligence Technology||WEEE, RoHS, J-Moss (Japanese RoHS), ErP, ENERGY STAR|Yes|Yes|Yes|Yes|"15.2"" (385.6 mm)"||170Â°|110 V AC, 220 V AC|3 Year|ASUS Computer International|VE278H|http://www.asus.com||1920 x 1080|Wall Mountable|1|2|500 mW|45 W|VE278H Widescreen LCD MonitorVGA CablePower CordAudio CableQuick Start GuideHDMI-to-DVI CableWarranty Card||does not accept phone orders.|PC||VE278H|VE278H Widescreen LCD Monitor|VE|LCD Monitor|||2 ms|Full HD|"27"""||Yes|75 Hz|500 mW||||||160Â°|Yes|100 x 100|Yes||6 kg||"25.3"" (643 mm)"|
VS238H-P - Asus Vs238h-p Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|Asus|250 cd/mÂ²||UL/cULCBCEErPFCCCCCBSMIGost-RC-TickVCCIPSBEKJ-MOSSWHQL|Black|16.7 Million Colors|50,000,000:1||"7.9"" (200 mm)"|||||||ENERGY STAR, WEEE, RoHS|Yes|Yes|Yes||"15.8"" (400.3 mm)"||170Â°||3 Year|ASUS Computer International|VS238H-P|http://www.asus.com||1920 x 1080|Wall Mountable|1||500 mW|27 W|VS238H-P Widescreen LCD MonitorVGA CableDVI CablePower CordWarranty CardQuick Start Guide||does not accept phone orders.|PC||VS238H-P|VS238H-P Widescreen LCD Monitor|VS|LCD Monitor|||2 ms|Full HD|"23"""|||75 Hz|500 mW||||||160Â°|Yes|100 x 100|Yes||3.40 kg||"21.7"" (552 mm)"|
