3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|environmentconscious and reliable|features|flexible viewing and connectivity options|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|impressive screen clarity|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|superb performance|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|versatile connections|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|UM.FG7EE.001, 3054998, Acer, LCD Monitor, IML Direct Italy||Yes|No||16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||38 mm|186 mm|||Yes|33 kWh|A||ComfyView|||['ECO', 'MPR II', 'ENERGY STAR']|Yes||Yes||329 mm|411 mm||178°||['230 V AC', '120 V AC']|2 Year|Acer, Inc|UM.FG7EE.001||1920 x 1080|||1||300 mW|40 W|LED Monitor G247HL 1 x VGA cable Power cord||Vertical Alignment (VA)||||G247HL|LED Monitor G247HL||LCD Monitor|||6 ms|Full HD|"61 cm (24"")"|||||60 Hz|450 mW||||||-5°to15°||||178°|||Yes||||546 mm|546 mm
3D|278G4DHSD/00, Philips, LCD Monitor, IML Direct Italy||Yes|||16:9||Philips|250 cd/m²|USB Hub|GOSTBSMICEFCC Class BSEMKOTUV/ISO9241-307UL/cUL|['Glossy', 'Black Cherry']|16.7 Million Colours|||1,000:1||44 mm|197 mm|||||||['Security Lock', 'SmartImage', 'Ambiglow']|||['TCO Certified Displays', 'EPEAT Silver', 'WEEE', 'ENERGY STAR 5.0', 'RoHS']|Yes||Yes||376 mm|471 mm||178°||['220 V AC', '110 V AC']||Philips Electronics|278G4DHSD/00||1920 x 1080|||1||300 mW|25.94 W|||In-plane Switching (IPS) Technology|['PC', 'Mac']||Brilliance|278G4DHSD|LCD Monitor with Ambiglow||LCD Monitor|||7 ms|Full HD|"68.6 cm (27"")"|||||60 Hz|500 mW|||||||Yes|USB 3.0||178°|||Yes||5 kg|5.44 kg|623 mm|623 mm
|T45HNUK, S602QX2, Lenovo, LCD Monitor, IML Direct Italy||Yes|||16:10||Lenovo|250 cd/m²||TUVISO 9241-307Safety:ULIEC950 CB ReportNEMKOTUV-GSCCCBSMINOMICCPGostSISIRTUV-S/UL-Ar/IRAM-SISCAAA-SJEITASABS-LoAKCE-StandbyEMI:FCC BICCEVCCIBSMICCCSABS-CoCAAA-RSO|Business Black|16.7 Million Colours|||1,000:1||50.5 mm||||Yes||||Security Lock|||['China Energy Label (CEL)', 'TCO Certified Displays 6.0', 'MPR II', 'ENERGY STAR 6.0', 'RoHS', 'ULE Gold', 'TCO Certified Edge Displays 1.1', 'EPEAT Gold']|Yes||||354.1 mm|||170°||['220 V AC', '110 V AC']||Lenovo Group Limited|T45HNUK||1440 x 900|||1||500 mW|20 W||||PC||ThinkVision|LT1953|ThinkVision LT1953 19.0-Inch Wide LCD Monitor||LCD Monitor|||5 ms|WXGA+|"48.3 cm (19"")"|||||75 Hz|500 mW||||||||||160°|Yes|100 x 100|Yes||3 kg||443.2 mm|
|VS229HV, 2925554, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Asus|250 cd/m²||BSMI CB CCC CE CEL level 1 C-Tick FCC Gost-R PSB UL/cUL VCCI WHQL|Black|16.7 Million Colours|||80,000,000:1||200 mm||||Yes||||['Security Lock', 'Splendid Video Intelligence Technology']|||['ENERGY STAR 6.0', 'WEEE', 'RoHS', 'ErP']|Yes|Yes|Yes|Yes|385.5 mm|||178°|||3 Year|ASUS Computer International|VS229HV||1920 x 1080|Wall Mountable||1||500 mW|21.50 W|VS229HV Widescreen LCD Monitor DVI cable VGA cable Power cord Quick start guide Warranty Card||In-plane Switching (IPS) Technology|PC|||VS229HV|VS229HV Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|||||75 Hz|500 mW||||||-5°to20°||||178°|Yes|100 x 100|Yes||3.50 kg||514.1 mm|
|60B4RAT6UK, 3092025, Lenovo, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Lenovo|300 cd/m²|['Speaker', 'USB Hub']|ISO 9241-307|Black|1.073 Billion Colors|||3,000,000:1|||289.31 mm||Yes|No||||['CAD/CAM Mode', 'Security Lock', 'Mobile High-Definition Link (MHL)']|||['RoHS', 'TCO Certified Edge Displays 1.2', 'TCO Certified Displays', 'ULE Gold', 'TÜV', 'EPEAT Gold', 'ENERGY STAR 6.0', 'China RoHS']|Yes|Yes|Yes||443.2 mm|||170°||['220 V AC', '110 V AC']|3 Year|Lenovo Group Limited|60B4RAT6UK|110 mm|3840 x 2160|||1|2|||||Twisted Nematic Film (TN Film)|PC||ThinkVision|Pro2840m|Thinkvision Pro2840m Widescreen LCD Monitor||LCD Monitor|Yes|85% Plastic|5 ms|QFHD|"71.1 cm (28"")"||||Yes|60 Hz||||45°|||-5°to20°|Yes|USB 3.0||160°|Yes|100 x 100||No|10.19 kg||665.7 mm|
|9H.LCHLB.QBE, 3197520, BenQ, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|BenQ|350 cd/m²|USB Hub||['Red', 'Black']|16.7 Million Colours|||12,000,000:1||199 mm|||Yes|Yes||||['Senseye 3', 'Flicker-free', 'Game Mode', 'Smart Scaling', 'Black eQualizer', 'FPS Mode', 'Motion Blur Reduction Technology', 'Eye-Care', 'Security Lock', 'Advanced Motion Accelerator (AMA)', 'Low Blue Light']|||ENERGY STAR 6.0|Yes|Yes|Yes|Yes|520 mm|||170°||['230 V AC', '120 V AC']||BenQ Corporation|9H.LCHLB.QBE|140 mm|1920 x 1080|Wall Mountable||1||500 mW|50 W|XL2430T Widescreen LCD Monitor Signal Cable (DVI-DL, USB 3.0) S Switch Arc Dust cover||Twisted Nematic Film (TN Film)|PC|||XL2430T|XL2430T Widescreen LCD Monitor|XL|LCD Monitor|||1 ms|Full HD|"61 cm (24"")"|||||144 Hz|500 mW|||45°|||-5°to20°|Yes|USB 3.0||160°|Yes|100 x 100|Yes||7 kg||568 mm|
|C9V75AA#AR6, HP, LCD Monitor, IML Direct Italy|||||16:9|LED|HP|250 cd/m²|USB Hub||Black||||5,000,000:1||51 mm|242.40 mm||Yes|Yes||||||Click to view|['ENERGY STAR', 'TCO Certified Edge']|Yes||||329 mm|469.90 mm|||||3 Year|Hewlett-Packard|C9V75AA#AR6||1920 x 1080|||1|||36 W|EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD|||||Elite|E231|EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"|||||||||||||Yes||||||Yes||3.90 kg||544 mm|544 mm
|E2280WSD-B, Iiyama, LCD Monitor, IML Direct Italy||Yes|||16:10|LED|iiyama|300 cd/m²|Speaker|CETUV-GSCU|Black|16.7 Million Colours|||1,000:1|||204.50 mm|||Yes||||Security Lock|||['TCO Certified Displays', 'ENERGY STAR']|Yes|Yes||||395.50 mm||178°||['220 V AC', '110 V AC']||iiyama North America, Inc|E2280WSD-B||1680 x 1050|||1|2||21 W|ProLite E2280WSDPower CableVGA (D-Sub) CableDVI-D CableAudio CableStandStand-BaseCable HolderQuick Start GuideSafety Guide|||['Mac', 'PC']||ProLite|E2280WSD|ProLite E2280WSD||LCD Monitor|||5 ms||"55.9 cm (22"")"||||Yes|75 Hz|500 mW||||||||||170°|Yes|100 x 100|Yes||3.60 kg|||512.50 mm
No|LS22C150NS/EN, 886J914, Samsung, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Samsung|200 cd/m²|||Shiny Black|16.7 Million Colours|||700:1||53 mm|197 mm||No|No||||['MagicTune', 'Off Timer', 'MagicBright3', 'Magic Upscale', 'Eco Saving', 'Eco Mode']|||ENERGY STAR 6.0|Yes||||311 mm|385 mm||90°||['110 V AC', '220 V AC']|3 Year|Samsung|LS22C150NS/EN||1920 x 1080|||1||300 mW|18 W|S22C150N Widescreen LCD Monitor D-sub cable Quick Setup Guide|||['Mac', 'PC']|||S22C150N|S22C150N Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"||||No||300 mW|||||||No|||65°|||Yes||2.70 kg|3.10 kg|512 mm|512 mm
|F0W81AA#ABB, HP, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|HP|250 cd/m²|USB Hub||Silver||||5,000,000:1||55 mm|516.56 mm||Yes|Yes||||Security Lock|||['TCO Certified Displays', 'EPEAT Gold', 'TCO Certified Edge', 'ENERGY STAR']|Yes|Yes|||362.6 mm|276.20 mm||178°||['220 V AC', '110 V AC']|3 Year|Hewlett-Packard|F0W81AA#ABB||1920 x 1200|||1|||40 W|EliteDisplay E241i 61 cm (24'') IPS LED Backlit Monitor (ENERGY STAR) VGA cable DVI cable (only in the Asia-Pacific region) USB cable DisplayPort cable (not in the Asia-Pacific region with the exception of Australia and New Zealand) power cord Printed documentation and CD (with User Manual, warranty, drivers) Display Assistant Software||In-plane Switching (IPS) Technology|||Elite|E241i|EliteDisplay E241i 61 cm (24'') IPS LED Backlit Monitor (ENERGY STAR)||LCD Monitor|||8 ms|WUXGA|"61 cm (24"")"|Anti-glare||||||||180°|||-5°to30°|Yes|USB 2.0||178°|||Yes|||6.58 kg|556 mm|556 mm
|UM.IV6EE.A01, ACEV206HQLAB, Acer, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|Acer|200 cd/m²|||Black|16.7 Million Colours|||100,000,000:1|||191 mm||||||||||['MPR II', 'EPEAT Gold']|Yes||||276.2 mm|362.20 mm||90°||['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.IV6EE.A01|No|1600 x 900|||1||350 mW|16.20 W|V206HQL Widescreen LCD Monitor1 x VGA CablePower Cord||Twisted Nematic Film (TN Film)||||V206HQL|V206HQL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|HD+|"49.5 cm (19.5"")"|Anti-glare||||60 Hz|450 mW|||No|||-5°to25°||||65°|Yes|100 x 100|Yes||||463.4 mm|463.40 mm
|UM.FV6EE.005, 8654E16, Acer, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||206.8 mm||||Yes|||||||"['ENERGY STAR', 'EPEAT Gold', ""TCO '06""]"|Yes|Yes|||422.2 mm|||170°||['110 V AC', '220 V AC']|3 Year|Acer, Inc|UM.FV6EE.005|No|1920 x 1080|||1||350 mW|20.90 W|V246HL Widescreen LCD MonitorPower Cord1 x VGA Cable||Twisted Nematic Film (TN Film)||||V246HL|V246HL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|Full HD|"61 cm (24"")"|Anti-glare|||Yes|60 Hz|450 mW|||No|||-5°to25°||||160°|Yes|100 x 100|Yes||3.50 kg|3.90 kg|567 mm|
|E950SWDAK, 2613855, AOC, LCD Monitor, IML Direct Italy|||No||16:9|LED|AOC|250 cd/m²|||Black|16.7 Million Colours|||1,000:1||||||Yes|||||||ENERGY STAR 5.0|Yes|||||||170°||['220 V AC', '110 V AC']||AOC|E950SWDAK||1366 x 768|Wall Mountable||1|||||||PC|||e950Swdak|e950Swdak Widescreen LCD Monitor||LCD Monitor|||5 ms|WXGA|"47 cm (18.5"")"||||||||||||||||160°|||Yes|||||
|I2267FWH, 2593494, AOC, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|AOC|250 cd/m²||cCSAusCEFCCGOSTTUV-BauartISO 9241-307EuP||16.7 Million Colours|||1,000:1|||||No|No||||Security Lock|||['ENERGY STAR 5.0', 'RoHS', 'TCO Displays 5.0']|Yes|Yes|Yes|Yes||||178°||['110 V AC', '220 V AC']|3 Year|AOC|I2267FWH||1920 x 1080|||1||500 mW|23 W|"54,6cm (21,5"") LED MonitorPower CableD-Sub CableHDMI CableAudio CableDriver CDWarranty Card"||In-plane Switching (IPS) Technology|||Style|i2267Fwh|"54,6cm (21,5"") LED Monitor"||LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|||||60 Hz|500 mW||||||||||178°|||Yes|||||
|HP247HJB, V320114, Hannspree, LCD Monitor, IML Direct Italy|||||16:9|LED|Hanns.G||||||||||||||Yes||||||||||Yes|||||||||Hannspree, Inc|HP247HJB||1920 x 1080|||1||||||||||HP247HJB|HP247HJB Widescreen LCD Monitor||LCD Monitor||||Full HD|"61 cm (24"")"|||||||||||||||||||Yes|||||
|K9601662, 2315302, Barco, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|4:3||Barco||USB Hub|UL 60601-1 1ST EDITIONCAN/CSA-C22.2 NO. 601.1-M90UL 60950-1 1ST EDITIONCSA C22.2 NO. 60950-1-03 1ST EDITIONIEC 60601-1 2ND ED:1988 + A1:1991 + A2:1995IEC 60950-1:2001 1ST EDITIONCE - 2004/108/ECCE - 93/42/ECA1:2007/47/EC CLASS IIBDEMKO - EN 60601-1CCC - GB9254-2008 + GB4943-2001 + GB17625.1-2003VCCIFCC class BBSMIFDA 510KCEBEC/KEMAUL/CSANEMA 5-15P|Dark Grey||||900:1||100 mm|285 mm|||Yes||||['Landscape/Portrait Viewable', 'Pivot Display']|||RoHS|Yes||||369 mm|604 mm||170°||['220 V AC', '110 V AC']|5 Year|Barco|K9601662||2048 x 1536|||1|||64 W|Coronis MDCG-3120 Medical LCD MonitorGetting Started GuideQuick-Installation SheetVideo Cable (DVI Dual Link)Main CablesUSB 2.0 CableExternal Power Supply||In-plane Switching (IPS) Technology|||Coronis|MDCG-3120|Coronis MDCG-3120 Medical LCD Monitor||LCD Monitor|||50 ms||"50.8 cm (20"")"|||||80 Hz||||||||Yes|USB 2.0||170°|Yes|100 x 100|||8.10 kg|14.20 kg|477 mm|477 mm
|UM.VS5EE.B01, 8653Q46, Acer, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100000000:1|||142.24 mm||||31 kWh|A|||||['ENERGY STAR', 'MPR II']|Yes||Yes|||403.86 mm||170°||['110 V AC', '220 V AC']|3 Year|Acer, Inc|UM.VS5EE.B01|No|1920 x 1080|||1||530 mW|26 W|S235HL Widescreen LCD MonitorPower CordVGA CableFoot Stand||In-plane Switching (IPS) Technology||||S235HL|S235HL Widescreen LCD Monitor|S|LCD Monitor|||6 ms|Full HD|"58.4 cm (23"")"|||||60 Hz|600 mW|||No|||-5°to15°||||160°|No||Yes|||4.60 kg||548.64 mm
|VP2770-LED, B921314, ViewSonic, LCD Monitor, IML Direct Italy||Yes|Yes|Yes||LED|Viewsonic|300 cd/m²|USB Hub||Black|1.07 Billion Colors|||1,000:1||56 mm|347.80 mm|Landscape/Portrait|Yes|Yes|||||||||Yes|Yes||381.7 mm|469.70 mm||178°||||Viewsonic Corporation|VP2770-LED||2560 x 1440|Wall Mountable||1|||40 W|||Super In-plane Switching (S-IPS) Technology|['PC', 'Mac']|||VP2770-LED|VP2770-LED Widescreen LCD Monitor|VP|LCD Monitor|||12 ms|WQHD|"68.6 cm (27"")"|Anti-glare||||||||||||Yes|USB 3.0||178°|Yes|100 x 100|Yes||5.80 kg|8.43 kg|642.7 mm|642.70 mm
|22M45HQ-B, 2998779, LG Electronics, LCD Monitor, IML Direct Italy||Yes||||LED|LG||||Black||||||||||||||||||||Yes|||||||||LG Electronics|22M45HQ-B||1920 x 1080|||1||||||||||22M45HQ-B|22M45HQ-B Widescreen LCD Monitor||LCD Monitor|||2 ms|Full HD|"55.9 cm (22"")"|||||||||||||||||||Yes||14 kg|||
|210-ACWC, 0912939, Dell, LCD Monitor, IML Direct Italy|||||16:9|LED|Dell|300 cd/m²|['USB Hub', 'Microphone', 'Speaker']|||16.77 Million Colors|||8,000,000:1||46.2 mm|196.09 mm||Yes|||||||Click to view|['TCO Certified Displays', 'ENERGY STAR 6.0', 'RoHS', 'EPEAT Gold']|Yes||Yes||418.1 mm|467.61 mm||||||Dell, Inc|210-ACWC||1920 x 1080|||1|||60 W|||||25%|UltraSharp|UZ2715H|UltraSharp 27 Multimedia Monitor - UZ2715H||LCD Monitor|||8 ms|Full HD|"68.6 cm (27"")"||||Yes|||||||||Yes||||Yes||Yes|Yes|4.69 kg|6.83 kg|658.9 mm|658.88 mm
|220P4LPYES/00, Philips, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|Philips|250 cd/m²|['Speaker', 'USB Hub']|UL/cULBSMICEFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GS|['Black', 'Silver']|16.7 Million Colours|||1,000:1||59 mm|220 mm||Yes|Yes||||['SmartImage', 'Security Lock', 'PowerSensor', 'SmartErgoBase']|||['EPEAT Gold', 'RoHS', 'TCO Certified Displays 5.2', 'WEEE', 'ENERGY STAR 5.0', 'TCO Certified Edge']|Yes|Yes||Yes|349 mm|517 mm||170°||['110 V AC', '220 V AC']||Philips Electronics|220P4LPYES/00||1680 x 1050|||1|2||16.80 W||||['Mac', 'PC']|65%|Brilliance|220P4LPYES|LCD Monitor, LED Backlight with PowerSensor|P|LCD Monitor|Yes|Plastic|5 ms|WSXGA+|"55.9 cm (22"")"||||Yes|60 Hz|300 mW|||||||Yes|USB 2.0||160°|Yes|100 x 100|Yes||3.38 kg|5.50 kg|504 mm|504 mm
|E2470SWHE, 2926715, AOC, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|AOC|250 cd/m²||CE GOST NRTL TUV-GS TUV-Bauert|Black|16.7 Million Colours|||20,000,000:1|||78.20 mm||No|No||||['Security Lock', 'Screen+', 'i-Menu', 'Eco Mode', 'e-Saver']|||['RoHS', 'TCO Certified Displays 6.0', 'EuP', 'ENERGY STAR 6.0', 'EPEAT Gold']|Yes|Yes|Yes|||396.90 mm||170°||['220 V AC', '110 V AC']|3 Year|AOC|E2470SWHE||1920 x 1080|Wall Mountable||1||500 mW|26 W|"e2470Swhe 59.9cm (23.6"") LCD Monitor Power Cable D-Sub Cable HDMI Cable Product CD-ROM Warranty Card on CD-ROM"||Twisted Nematic Film (TN Film)|||Value|e2470Swhe|"e2470Swhe 59.9cm (23.6"") LCD Monitor"||LCD Monitor|||5 ms|Full HD|"59.9 cm (23.6"")"||||No|60 Hz|500 mW||||||-5°to15°|No|||160°|Yes|100 x 100|Yes||3.58 kg|||551.40 mm
|196V4LAB2/00, 2547747, Philips, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Philips|200 cd/m²|Speaker|BSMICEFCCGOSTPSBSASOSEMKOTUV/ISO9241-307UL/cUL|Glossy Black|16.7 Million Colours|||600:1||48 mm|201 mm|||Yes||||['SmartContrast', 'Security Lock']|||['EPEAT Silver', 'ENERGY STAR 5.0', 'WEEE', 'RoHS']|Yes|Yes|||279 mm|349 mm||90°||['220 V AC', '110 V AC']||Philips Electronics|196V4LAB2/00||1366 x 768|||1|2|500 mW|14.12 W||||['PC', 'Mac']|||196V4LAB2/00|LCD Monitor with LED Backlight|V|LCD Monitor|||5 ms|WXGA|"47 cm (18.5"")"||||Yes|60 Hz|500 mW||||||||||65°|Yes|100 x 100|Yes||2.66 kg|2.98 kg|443 mm|443 mm
|E2473HS-GB1, 2579471, Iiyama, LCD Monitor, IML Direct Italy||Yes|No||16:9|LED|iiyama|300 cd/m²|Speaker|CETUV-BauartVCCI-BPSECU|Black|16.7 Million Colours|||1,000:1||218.5 mm||||Yes||||['Security Lock', 'X-Res Technology']|||ENERGY STAR|Yes|Yes|Yes|Yes|418 mm|||170°||['220 V AC', '110 V AC']|3 Year|iiyama North America, Inc|E2473HS-GB1||1920 x 1080|['Wall Mountable', 'Desk Mountable']||1|2||22 W|ProLite E2473HSPower CableVGA Cable (D-Sub)DVI CableAudio CableStandCable GuideQuick Start GuideSafety Guide|||['Mac', 'PC']||ProLite|E2473HS|ProLite E2473HS||LCD Monitor|||2 ms|Full HD|"61 cm (24"")"||||Yes|76 Hz|500 mW||||||||||160°|Yes|100 x 100|Yes||4.30 kg||556 mm|
|A1X76AA#ABU, 94389XM, HP, LCD Monitor, IML Direct Italy||||No|4:3|LED|HP|300 cd/m²|['USB Hub', 'Speaker']|UL CB CE FCC ICES BSMI CCC SEPA CECP C-Tick S-Mark VCCI ISO 11469 ISO 1043 ISO 14001|Jack Black||||1,000:1||40.6 mm|||Yes|Yes||||Security Lock|||['ENERGY STAR', 'Eco-label', 'WEEE', 'EPEAT Gold', 'REACH', 'China Energy Label (CEL)', 'IT Eco Declaration']|Yes|Yes|||208.3 mm|||176°||['220 V AC', '110 V AC']||Hewlett-Packard|A1X76AA#ABU||1024 x 768|||1|2|500 mW|18 W||||PC|||L6010|L6010 10.4-inch Retail Monitor||LCD Monitor|Yes|15.7% Plastic|25 ms|XGA|"26.4 cm (10.4"")"|['Anti-static', 'Anti-glare']|||Yes|60 Hz|1 W|||||||Yes|USB 2.0||176°|Yes|75 x 75|Yes||1.20 kg||254 mm|
|XB2380HS-B1, IIYNOT007, Iiyama, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|iiyama|250 cd/m²|Speaker|CETUV-GSVCCI-BCU|Black|16.7 Million Colours|||1,000:1||244.5 mm||||Yes||||Security Lock|||['TCO Displays 5.0', 'ENERGY STAR']|Yes|Yes|Yes||545.5 mm|||178°||['220 V AC', '110 V AC']|3 Year|iiyama North America, Inc|XB2380HS-B1||1920 x 1080|['Desk Mountable', 'Wall Mountable']||1|2||26 W|ProLite XB2380HS-1Power CableVGA (D-Sub) CableDVI-D CableAudio CableStandScrewCable HolderQuick Start GuideSafety Guide||In-plane Switching (IPS) Technology|['Mac', 'PC']||ProLite|XB2380HS|ProLite XB2380HS-1||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"||||Yes|75 Hz|1 W||||||||||178°|Yes|100 x 100|Yes||5.80 kg||548.5 mm|
|VX229H, 2835530, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Asus|250 cd/m²|Speaker|BSMI CB CCC CE C-Tick CU FCC UL/cUL VCCI|Black|16.7 Million Colours|||1,000:1|||210.10 mm|||||||['Splendid Video Intelligence Technology', 'Mobile High-Definition Link (MHL)', 'Game Mode', 'Security Lock', 'Ultra Slim']|||['China Energy Label (CEL)', 'WEEE', 'ErP', 'RoHS', 'ENERGY STAR 6.0']|Yes|Yes|Yes|Yes||371.30 mm||178°||['110 V AC', '220 V AC']|3 Year|ASUS Computer International|VX229H||1920 x 1080|||1|2|500 mW|26 W|VX229H Widescreen LCD Monitor VGA Cable Audio Cable Power Cable Power Supply Quick Start Guide HDMI-to-DVI Cable Warranty Card HDMI Cable||Advanced High Performance In-plane Switching (AH-IPS) Technology|PC|||VX229H|VX229H Widescreen LCD Monitor|VX|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"||||Yes|76 Hz|500 mW||||||||||178°|||Yes||3.05 kg|||499.80 mm
|VE228DE, 2720917, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|Asus|200 cd/m²||BSMI CB CCC CE CEL level 2 C-Tick FCC Gost-R PSB UL/cUL WHQL VCCI|Black|16.7 Million Colours|||80,000,000:1||54.9 mm|201.82 mm|||||||['SmartContrast', 'Security Lock', 'Splendid Video Intelligence Technology']|||['WEEE', 'ENERGY STAR', 'RoHS', 'J-Moss (Japanese RoHS)', 'ErP']|Yes||||308.5 mm|387.96 mm||90°||['220 V AC', '110 V AC']|3 Year|ASUS Computer International|VE228DE||1920 x 1080|Wall Mountable||1||500 mW|30 W|VE228DE Widescreen LCD Monitor VGA cable Power cord Quick start guide Warranty Card|||PC|||VE228DE|VE228DE Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|||||76 Hz|500 mW||||||||||65°|Yes|100 x 100|Yes||4.10 kg||512.8 mm|542.84 mm
|27MP65HQ-P, 2998423, LG Electronics, LCD Monitor, IML Direct Italy|||||16:9|LED|LG||||||||||106 mm|213 mm|||Yes|||||||ENERGY STAR|Yes||Yes||369 mm|476 mm||||||LG Electronics|27MP65HQ-P||1920 x 1080|||1||300 mW|26 W|||In-plane Switching (IPS) Technology||||27MP65HQ-P|27MP65HQ-P Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"68.6 cm (27"")"|Anti-glare||||60 Hz|300 mW|||||||||||Yes||Yes||4.60 kg||623 mm|623 mm
|210-41199, DELU2913WM, Dell, LCD Monitor, IML Direct Italy||Yes|Yes||21:9|LED|Dell|300 cd/m²|USB Hub|EMC|Black|16.78 Million Colors|||1,000:1||61.2 mm|194.20 mm||Yes|Yes||||['Cable Management', 'Security Lock', 'Uniform Luminance Technology (ULT)']|||['TCO Certified Displays', 'EPEAT Gold', 'ENERGY STAR']|Yes|Yes|Yes||317 mm|487 mm||178°||['110 V AC', '220 V AC']|3 Year|Dell, Inc|210-41199||2560 x 1080|Wall Mountable||1||500 mW|32 W|Dell UltraSharp 29 Ultrawide Monitor - U2913WM Power Cable DVI Dual Link Cable Display Port Cable (Mini DP to DP) USB 3.0 Upstream Cable Cable Tie Drivers and Documentation Media Colour Calibrated Factory Report Quick Setup Guide Safety Information||Advanced High Performance In-plane Switching (AH-IPS) Technology|||UltraSharp|U2913WM|Dell UltraSharp 29 Ultrawide Monitor - U2913WM||LCD Monitor|||8 ms|Full HD|"73.7 cm (29"")"|Anti-glare||||60 Hz|500 mW|||||||Yes|USB 3.0||178°|Yes||Yes|No|5.76 kg||699.8 mm|699.80 mm
|60003414, 3967930, NEC Display Solutions, LCD Monitor, IML Direct Italy|||||16:10|LED|NEC Display|350 cd/m²|['USB Hub', 'Speaker']||Black|16.77 Million Colors|||25,000:1||230 mm|||Yes|Yes||||||Click to view|['EPEAT Gold', 'ENERGY STAR 6.0', 'MPR III', 'TCO Certified Edge Displays 1.2', 'TCO Certified Displays 6.0', 'RoHS', 'GEEA Energy Efficiency Label']|Yes||Yes||408.9 mm||||||3 Year|NEC Display Solutions|60003414||1920 x 1200|||1|||29 W|MultiSync EA244WMi Widescreen LCD Monitor Audio cord CD-ROM Control Sync cable User manual Sales Office List USB cable Power Cord 2 x Signal Cable (DVI-D; VGA-VGA) 2 x VGA-VGA Signal Cable|||||MultiSync|EA244WMi|MultiSync EA244WMi Widescreen LCD Monitor||LCD Monitor|||6 ms|WUXGA|"61 cm (24"")"||||Yes|||||||||Yes||||Yes||Yes||7.50 kg||556.2 mm|
