<page title>|ac power in|adattatore acdc|alimentazione|altezza|altezza con supporto|altezza imballo|altoparlante  cuffia  spinotto di uscita|altoparlanti|altoparlanti incorporati|angolo di inclinazione|angolo di rotazione|angolo di visione orizzontale|angolo di visione verticale|angolo di visualizzazione orizzontale|angolo di visualizzazione verticale|area di visualizzazione effettiva|blocco cavo|bluetooth|caratteristiche|caratteristiche sicurezza|cavi inclusi|cavo alimentazione incluso|certificato energy star|certificazione|certificazione energy star|classe efficienza energetica|collegamento ethernet lan|colore|colore del prodotto|colore piedi|colori del display|colori display|comandi  regolazioni|common interface plus ci|compatibile con montaggio vesa|compatibilità 3d|compatibilità elettromagnetica|compatibilità sistema operativo mac|composite sync|conforme agli standard|conformità epeat|connessione cuffia|connessione wlan|connettori di ingresso|consumi|consumi modalità risparmio energetico|consumi modalità spento|consumi modalità standby|consumo energetico annuo|consumo energetico in standby|consumo energetico max|controllo del volume|copertura schermo|dcin jack|descrizione prodotto|dettagli dimensioni e peso|dimensione visibile diagonale|dimensione visibile orizzontale|dimensione visibile verticale|dimensioni imballo lxpxa|dimensioni lxpxa|dimensioni lxpxa con base|dimensioni lxpxh|dimensioni schermo|display surface|dot pitch|dot rate video|formato|fotocamera integrata|frequenza di ingresso|frequenza scansione orizzontale|frequenza scansione verticale|full hd|funzione risparmio|girevole|guida rapida|guida utente su cdrom|hdcp|hdmi|inclinazione|inclinazione regolabile|indicatore led alimentazione|indicatori led|ingresso audio|ingresso audio per pc|interfacce|interfaccia comune|interfaccia di montaggio schermo piatto|interruttore integrato|intervallo di scansione verticale|intervallo di temperatura|intervallo temperatura di funzionamento|larghezza|larghezza con supporto|larghezza imballo|led standby|lettore di schede integrato|lingue osd|luminosità|luminosità schermo|lunghezza cavo|lunghezza diagonale|manuale dellutente|megapixel|microfono incorporato|microfono spinotto dingresso|mobile highdefinition link mhl|modalità video supportate|montabile a parete|mtbf|number of simultaneous touchpoints windows 7|numero di altoparlanti|numero di lingue osd|numero di prodotti inclusi|on screen display osd|peso|peso incluso imballo|peso prodotto con supporto|pictureinpicture|pivot angle|pixel pitch|plug  play|porta dvi|porta rs232|porta usb|posizionamento supportato|potenza assorbita in esercizio|potenza di uscita  canale|potenza in uscita rms|profondità|profondità con supporto|profondità imballo|protezione per i bambini|quantità|quantità displayports|quantità porte dvid|quantità porte hdmi|quantità porte thunderbolt|quantità porte usb 20|quantità porte usb 30|quantità porte vga dsub|range di scansione orizzontale|range di umidità di funzionamento|rapporto daspetto|rapporto di contrasto|rapporto di contrasto dinamico|regolazione altezza|regolazione posizione display|regolazioni formato schermo|retroilluminazione a led|risoluzione|risoluzione massima|risoluzione nativa|risoluzioni grafiche supportate|rotazione|schermo srgb|sicurezza|sintonizzatore tv integrato|sistema operativo linux supportato|sistema operativo windows supportato|source datasheet|standard ambientali|standard di conformità|subwoofer incorporato|supporto colore|sync hv separato|syncongreen sog|tecnologia display|tecnologia retroilluminazione|tecnologia touchscreen|telecomando|tempo di risposta|tensione richiesta|thin client installato|tipi schede di memoria|tipo|tipo alimentazione|tipo di display|tipo di dispositivo|tipo di prodotto|tipo di schermo|tipo schermo|tipologia di retroilluminazione|tipologia display|tipologia hd|tipologia touch screen|umidità|uscita audio|velocità refresh orizzontale|velocità refresh verticale|voltaggio di ingresso|webcam girevole
Asus Led 27 MX279H IPS 5ms.VGA.HDMI MONITOR LED||||441.3 mm||537 mm|||Si|||||178 °|178 °||Kensington||||AC, Audio (3.5mm), VGA|||BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, PSE, RoHS, UL/cUL, VCCI, WEEE|Si|Non specificato|||Nero, Argento||16.77 M||||N|N||||||3.5 mm|||37 W|0.5 W|0.5 W|||||Digitale||||||||||||"['685.8 mm (27 "")', '68.6 cm']"||0.311 x 0.311 mm||16:9|N|50/60 Hz|30 - 80 kHz|56 - 76 Hz||||Si||Si||20 - -5 °||Si|||Si||||Si||||622.6 mm||700 mm|||||250 cd/m²|||||||||N|||2||||5.2 kg|8 kg||||||N||||||6 W|225.2 mm||114 mm|||||2||||1||||1000:1|80000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||Si||N||Windows 7 Home Premium, Windows 8|.|||||||IPS||||5 ms||N||||||||||LED|Full HD||||||100 - 240 V|
AOC LED 215 i2276Vwm 5ms VGA HDMI Speaker MONITOR LED|||||40,16 cm|||||||||178°|178°||Kensington||||||||Si|Non specificato|||Nero||16,77M||||100 x 100 mm||||||Argento||||25W||0,5W|0,5W|||||||||54,6 cm|47,664 cm|26,811 cm|||||"54,61 cm (21.5"")"||0,248 x 0,248 mm||16:9||50/60 Hz||||||||Si||-4 - 21.5°|Si|||||||||50 - 76 Hz|||51,28 cm|51,28 cm||||||250 cd/m²|||||||Si||Si||||||Si|3,16 kg|4,32 kg||||||||||||||13,05 cm||||||2||||1|30 - 83 kHz|||1000:1|50000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||IPS||||5 ms||||||||||||LED|||||||100 - 240V|
Asus Led 27 VG278HE 3D 144hz HDMI MONITOR LED||||385.6 mm|437.8 mm|560 mm|||Si|||||170 °|160 °||Kensington||||Audio (3.5mm), DVI, VGA|||ErP, UL/cUL, CB, CE, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, J-MOSS, PSB, RoHS, WEEE, Windows 7 WHQL|Si||||Nero||16.77 M||||100 x 100 mm|Si||||||3.5 mm|||65 W|1 W|1 W|||||||||||||||||"685.8 mm (27 "")"||0.311 x 0.311 mm||16:9|N|50/60 Hz|110 - 160 kHz|100 - 144 Hz||||Si||Si|Si|15 - -5 °||Si|Si||Si||||||||643 mm|643 mm|732 mm|Si||||300 cd/m²|||||||||Si|||2||||8 kg|10 kg|||||Si|||||||6 W|59.5 mm|249.7 mm|176 mm||||1|1||||1|||||50000000:1|Si||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||||||2 ms||N||||||||||LCD|Full HD||||||100 - 240 V|
AOC 19.5 e2070Swn|||||346.35 mm||||N|||||90 °|50 °||Kensington|||||||CE, FCC, GOST, RoHS, EuP, NRTL|Si||||Nero||16.77 M||||100 x 100 mm|N|||||Argento||||18 W||0.3 W|0.5 W|||||||||495 mm|432 mm|239.8 mm|||||"['49.5 cm', '495.3 mm (19.5 "")']"|Matt|0.27 x 0.27 mm||16:9|N|50/60 Hz|||||N|||N||-5 - 15 °|Si|||||||||55 - 75 Hz||||464.63 mm||||||200 cd/m²|||||||||Si|||||||||2.27 kg|||||N||||||||156 mm||||||||||1|30 - 83 kHz|||800:1|20000000:1|N||||1600 x 900 Pixels|||1600 x 900|N|||N|||.|||||||TN+Film||||5 ms||N|||||||||W-LED|LED|||||||90 - 240 V|
ACER LED 27 B276HUL||||38,1 cm|55,8 cm||||Si||-90 - 90°|||178°|178°||Kensington||||||||Si|Non specificato|||Grigio||16,77M||||100 x 100 mm||||||Oro||||32,8W||0,35W|0,49W||||||||||||||||"['68,6 cm', '68,58 cm (27"")']"||0,233 x 0,233 mm||16:9|N||||||Si|||||-5 - 35°|Si||||||||||||64 cm|64 cm||||||350 cd/m²|||||||||Si|||2||||6 kg||8,51 kg|||||Si||||||2W|6,2 cm|24,7 cm||||2||2|||2||||||100000000:1|15 cm||||2560 x 1440 Pixels|||||||N||||||||||IPS||||6 ms||N||||||||||LCD|||||||110 - 220V|
Samsung 22 S22C200B MONITOR LED||||30,19 cm|38,535 cm|37,1 cm||||||||170°|160°|||||||||UL, CSA, TUV, NEMKO, KC, CCC, PSB, GOST, SIQ, PCBC, NOM, IRAM, SASO, FCC, CE, VCCI, KCC, C-Tick, CCC|Si|Non specificato|||Nero||16,77M||||100 x 100 mm||||||Oro||||24W|19W||0,1W||||||||||||||||"54,61 cm (21.5"")"||||16:9|No|50/60 Hz||||||Si||No||-1 - 20°|Si|||||||||||0 - 40 °C|50,43 cm|50,43 cm|59,3 cm|||||250 cd/m²|||Si||||||Si|||||||3,05 kg|4,65 kg|3,5 kg|||||Si|||||||7,76 cm|18,5 cm|14 cm||1|||||||1||10 - 80%||1000:1|Contrasto Mega|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||5 ms||||||||||||LED|Full HD||||||100 - 240V|
AOC 23 i2369Vm IPS||||39,8 cm|||||Si|||||178°|178°||Kensington|No|||AC, HDMI, VGA|||TCO ́06 EnergyStar 6 TÜV ISO 9024-307 FCC CE NRTL EuP RoHS GOST|Si||No||Nero||16,77M||||75 x 75 mm|No|||||||No||25W||0,5W|0,5W||||||||||50,976 cm|28,674 cm|||||"['58,4 cm', '58,42 cm (23"")']"||0,265 x 0,265 mm||16:9|No|50/60 Hz|||||No|||Si||-5 - 15°|Si|||||||||50 - 76 Hz|||53,14 cm||||No|||250 cd/m²|||||||Si||Si|||||||4,98 kg|6,65 kg||||||No|||||||20,4 cm|||||1||2||||1|30 - 83 kHz|||1000:1|50000000:1|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|No|||No||||||||||IPS||||6 ms||No||||||||||LED|Full HD||||||90 - 240V|
IIyama LED 28 PL B2888UHSU-B1 4k 1ms VGA DVI HDMI DP 4k Sp ...|Si||||41,2 cm||1||Si||-45 - 45°|||170°|160°||Kensington||||AC, Audio (3.5mm), DisplayPort, DVI, HDMI, USB|||CE, TÜV-Bauart, VCCI-B, PSE, CU|Si|Non specificato|||Nero||1070M||||100 x 100 mm|No|||||||||34,5W|||0,5W||||||||||34,128 cm|62,093 cm|||||"71,12 cm (28"")"||0,16 x 0,16 mm||16:9|No|50/60 Hz|24 - 140 kHz|24 - 76 Hz|||Si|Si||Si||0 - 17°|Si|||||||||||||||||CHI (SIMPL), CHI (TR), DEU, DUT, ENG, FRE, JPN, POL, RUS||300 cd/m²||||||||1080p, 2160p|Si|||2|9||Si||||Si|||Si|Si||||||6W||||||2|1|1|||2|1||||1000:1|5000000:1|13 cm||||3840 x 2160 Pixels|||2560 x 1440, 3840 x 2160, 1920 x 1080 (HD 1080)||||No||Si||||No||Si||TN||||1 ms||No||||||||||LED|4K Ultra HD||||||100 - 240V|
AOC LED 27 i2770Vhe 5ms VGA DVI HDMI MONITOR LED|||||44,93 cm|50 cm||||||||178°|178°|||No|||AC, HDMI, VGA|||CE, Energy Star 6.0, EPEAT Gold, EuP, GOST, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS|Si|Non specificato|No||Nero||16,77M||||100 x 100 mm||||||Oro||No||32W||0,5W|0,5W||||||||||||||||"['68,58 cm (27"")', '68,6 cm']"||0,311 x 0,311 mm||16:9||50/60 Hz|||||No|||Si||-5 - 25°|Si|Si|Si|Si|||||Si|50 - 76 Hz|||64,24 cm|64,24 cm|73 cm|Si||||300 cd/m²|||||||||Si||||||||6,8 kg|4,8 kg||||Si|Si||||||||24,19 cm|14,5 cm||||1|1||||1|30 - 83 kHz|||1000:1|50000000:1|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|No|||||||||||||IPS||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
Asus LED 21.5 VK228H MONITOR LED|Si|||387.22 mm|387.22 mm|443 mm|1||Si|||||170 °|160 °||Kensington|N|||AC, Audio (3.5mm), DVI, USB, VGA|||UL/cUL, CB, CE, ErP, BSMI, Gost-R, C-Tick, VCCI, J-MOSS|Si||N||Nero||16.77 M||||100 x 100 mm|N|FCC, CCC|Si||TCO 5.2|Oro|3.5 mm|N||25 W|||0.5 W||||||||||||||||"['546.1 mm (21.5 "")', '54.6 cm']"||0.248 x 0.248 mm||16:9|Si|50/60 Hz||||||Si||Si|Si|20 - -5 °||Si|Si||Si||||Si|50 - 76 Hz|-20 - 60 °C|0 - 40 °C|514.1 mm|514.1 mm|566 mm|Si||||250 cd/m²|||Si|1 MP||||1080p|Si|||2||1 pezzi||3.1 kg|5.2 kg|||||Si|||||||2 W|48.4 mm|200.6 mm|130 mm||||1|1||1||1|30 - 82 kHz|10 - 80 %|||80000000:1|||4:3||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|||RoHS, WEEE|N|Si|Si|.|||||||||||5 ms||N||||||||||LED|Full HD||5 - 90 %||||100 - 240 V|
Asus LED 21.5 VE228DE 5ms.VGA MONITOR LED||||308.5 mm|387.9 mm|468 mm|||N|||||170 °|160 °||Kensington||||AC, VGA|||BSMI, CB, CCC, CE, CEL level 2, C-Tick, ErP, FCC, Gost-R, J-MOSS, PSB, RoHS, UL/cUL, VCCI, WEEE, WHQL|Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N|||||||||30 W||0.5 W|0.5 W||||||||||||||||"['54.6 cm', '546.1 mm (21.5 "")']"||0.248 x 0.248 mm||16:9|N|50/60 Hz||||||Si||||-5 - 20 °|Si|Si|||||||||||512.8 mm|512.8 mm|576 mm|Si||||200 cd/m²||||||||1080p|Si|||||||4.1 kg|||||||N|||||||54.9 mm|201.8 mm|148 mm|||||||||1|||||80000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N||Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8|.|||||||||||5 ms||N||||||||||LCD|Full HD||||||100 - 240 V|
HannsG 27 HT271HPB Touch MONITOR LED||||46,59 cm||54 cm|1||Si|||||170°|160°||||||AC, Audio (3.5mm), USB, VGA||||||||Nero, Grigio|||16,7M|||100 x 100 mm|||||||||||||0,5W||||||||||||||||"['68,58 cm (27"")', '68,58 cm']"||0,311 x 0,311 mm||16:9||50/60 Hz|31 - 80 kHz|56 - 75 Hz|Si|||||||10 - 60°||||1||||||||5 - 35 °C|65,49 cm||72 cm|||DEU, DUT, ENG, ESP, FRE, ITA, POR, RUS||300 cd/m²|||||||||Si|||2||||6,9 kg|8,9 kg||||||||||||3W|8,58 cm||14,4 cm|||||1||1||1||20 - 85%||1000:1|80000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||Capacitivo||5 ms|||||AC|LED||||||||Da tavolo|||||100 - 240V|
Samsung 27 S27D590P MONITOR LED||||38,86 cm|46,5 cm|13,2 cm|1||No|||||178°|178°||||||HDMI||||Si|A|||Nero||16,77M|||||No||Si|||||||23W|||0,3W|44 kWh|||||Si||||||||||"68,58 cm (27"")"||||16:9|No|50/60 Hz|||||No|Si||||-1 - 15°|||||||||||||61,95 cm|61,95 cm|68,9 cm|||||300 cd/m²|||Si||||||No|||||||4,36 kg|6,76 kg|4,96 kg|||||No|||||||5,85 cm|16,92 cm|43,9 cm|||||2||||1||||1000:1|Contrasto Mega|No||||1920 x 1080 Pixels||||No|||No||Si||||||||AD-PLS||||5 ms||||||||||||LED|||||||100 - 240V|
IIyama MONITOR LED 19 IIyama PL C1911S-B3||||431.5 mm|||||Si|||||178 °|160 °||Kensington||||||||||||Nero||16.77 M||||100 x 100 mm|N|||||||||19 W|||||||||||||||||||"['48 cm', '482.6 mm (19 "")']"||||16:9|N|50/60 Hz||||||Si||N||||Si||||||||56 - 72 Hz|||407 mm|||Si||||250 cd/m²|||Si||||||Si|||2||||3.9 kg|||||||||||||1 W|200.5 mm|||||||||||1|30 - 82 kHz|||1000:1||||||1280 x 1024 Pixels|||1280 x 1024 (SXGA)|||CE, TÜV/Bauart, CU|N||Si|.|||||||||||5 ms||||||||||||LCD|N||||||100 - 240 V|
Acer LED 22 V226WLbmd MONITOR LED||||419.1 mm|||||Si|||||170 °|160 °||||||AC, VGA|||TCO||Non specificato|||Nero||16.77 M|||||N|||||Oro||||24.2 W||3.5 W|4.5 W||||||||||||||||"558.8 mm (22 "")"||||16:10|N|||||||||Si||||Si|||||||||||505.7 mm|||||||250 cd/m²||||||||||||2||||3.09 kg||3.52 kg|||||Si||||||4 W|207 mm|||||||||||1|||||100000000:1|||||1680 x 1050 Pixels|||1680 x 1050 (WSXGA+)||||N|||.|||||||TN+Film||||5 ms||N||||||||||LED|N||||||110 - 220 V|
Samsung 28 Samsung U28D590P 4k MONITOR LED||||41 cm|48,63 cm|45,2 cm|Si|||||||170°|160°|||No|||DisplayPort, HDMI|||||Non specificato|No||Nero||||||||||||||No||32W|||0,3W||||||||||||||||"['71,12 cm (28"")', '70,8 cm']"|Matt|||||50/60 Hz||||||||||||Si|Si||||||Si||||66,09 cm|66,09 cm|79,4 cm|Si||||370 cd/m²|||Si|||||||||||||5,05 kg|7,4 kg|5,65 kg||||Si|No|||||||6,47 cm|16,94 cm|10,9 cm|||1||2||||||||1000:1|Contrasto Mega|No||||3840 x 2160 Pixels|||3840 x 2160||||||||||||||TN||||1 ms||No||||||||||LED|4K Ultra HD||||||100 - 240V|
ASUS MONITOR LED 31.5 ASUS PQ321QE|Si|||489 mm||558 mm|1||Si|||||176 °|176 °||Kensington|||||||||Non specificato|||Nero||1073.7 M||||200 x 200 mm|||||||3.5 mm|||93 W|6 W||1 W||||||||||||||||"['800.1 mm (31.5 "")', '80.01 cm']"||0.182 x 0.182 mm||16:9||50/60 Hz|||||Si|||Si||-5 - 25 °|Si|Si|||Si||||||||750 mm||990 mm|||||350 cd/m²||||||Si|||Si|||2|||Si|13 kg|17 kg|||||||1|||||4 W|256 mm||230 mm|||1||||||||||800:1||Si||||3840 x 2160 Pixels|||3840 x 2160|||||||.|||||||IGZO|||Si|8 ms||||||||||||LED|4K Ultra HD||||||100 - 240 V|
Edge10 21.5 C221K CCTV without Fuss MONITOR LED|Si|||321 mm|||||Si|||||170 °|160 °||Kensington||||VGA|Si||||Non specificato|||Nero||16.77 M||||100 x 100 mm|N|||||||||35 W|||1 W||||||||||476.64 mm|268.11 mm|||||"['546.1 mm (21.5 "")', '54.7 cm']"||0.248 x 0.248 mm||16:9|N|50/60 Hz|||||||||||||||||||Si|60 - 75 Hz||5 - 40 °C|530 mm|||||||250 cd/m²|||||||||Si|||2|||Si|5.8 kg||7.3 kg|||||N||||||4 W|41 mm|||||||1||||1|30 - 80 kHz|10 - 85 %||||N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N||||||||||||||5 ms||N||||||||||LED|Full HD||||||100 - 240 V|
Samsung LED 32 S32D850T Quad-HD 16:9 5ms DVI USB DP Pivot MON...||||44,1 cm|63 cm|53,7 cm|['Si', '1']||No||-30 - 30°|||178°|178°||||||DisplayPort, DVI, HDMI, USB||||Si||||Nero, Grigio||1060M||||100 x 100 mm|||Si|||||||95W|46W||0,45W|||100W|||||||||||||"81,28 cm (32"")"||||16:9|No|50/60 Hz|||||Si|Si||||-5 - 20°|Si||||||||||||74,13 cm|74,13 cm|86 cm||||||||Si||||||Si|||||||9,4 kg|17500g|12200g|||||Si|||||||6,85 cm|28 cm|35,6 cm|||1||1|||4|||||3000:1|Contrasto Mega|13 cm||||2560 x 1440 Pixels|||2560 x 1440|Si|||No||Si||||||||||||5 ms||No||||||||||LED|Wide Quad HD||||||100 - 240V|
Asus LED 23 VS239NV IPS MONITOR LED||||40,03 cm|46 cm||||No|||||178°|178°||Kensington||||DVI, VGA||||||||Nero||16,77M||||100 x 100 mm|No|||||||||40W||1W|1W||||||||||||||||"58,42 cm (23"")"||0,2655 x 0,2655 mm||16:9|No||30 - 83 kHz|50 - 75 Hz||||Si||Si||-5 - 20°|Si|Si|Potenza||||||Si|50 - 75 Hz|||55,2 cm|40,8 cm||||||250 cd/m²|||||||||No|||||||3,5g||5,9g|||||Si|||||||20 cm|13 cm|||||1|||||1|30 - 83 kHz||||50000000:1|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||No||||||||||||||14 ms||||||||||||LED|Full HD|||||||
ASUS MONITOR LED 21.5 ASUS VE228HR||||306 mm|385.96 mm|468 mm|1||Si|||||170 °|160 °||Kensington||||AC, Audio (3.5mm), DVI, VGA|||EL, UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS, WEEE|Si||||Nero||16.77 M||||100 x 100 mm|N||||||3.5 mm|||30 W|1 W||||||||||||||576 x 148 x 468 mm|512.84 x 57 x 306 mm|512.84 x 201 x 385.96 mm||"['546.1 mm (21.5 "")', '54.6 cm']"||0.248 x 0.248 mm||16:9|N||30 - 83 kHz|50 - 76 Hz||||Si||Si|Si|-5 - 20 °||Si|||Si||||Si|50 - 76 Hz|||512.84 mm|512.84 mm|576 mm|Si||||250 cd/m²||||||||1080p|Si|||2||1 pezzi|||6.1 kg|4.1 kg|||||||||||2 W|57 mm|201 mm|148 mm||||1|1||||1|30 - 83 kHz|||1000:1|80000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N||Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows Vista Business, Windows Vista Business x64|.|||||||TN+Film||||5 ms||N||||||||||LED|Full HD|||||||
IIyama LED 24 B2481HS-B1 VGA.DVI.HDMI MONITOR LED||||405 mm|||||Si||-160 - 160 °|||178 °|170 °||Kensington||||||||Si||||Nero||16.77 M||||100 x 100 mm||||||||||22 W|||||||||||||521.28 mm|293.22 mm|||||"599.4 mm (23.6 "")"||0.2715 x 0.2715 mm||16:9|N|50/60 Hz||||||||Si||-5 - 22 °||||||||||56 - 75 Hz|||543.5 mm|||||||250 cd/m²|||||||||Si|||2||||5.5 kg||||0 - 90 °|||Si||||||2 W|244.5 mm||||||1|1||||1|24 - 80 kHz|||1000:1|5000000:1|130 mm||||1920 x 1080 Pixels||||Si|||N|||.|||||Si||TN+Film||||2 ms||N||||||||||LCD|Full HD||||||100 - 240 V|
HannsG 27 HS271HPB IPS MONITOR LED|Si|||44,8 cm||52 cm|||Si|||||178°|178°||Kensington||||AC, Audio (3.5mm), VGA|||FCC, UL/CUL, CE, CB, 3C, TCO6.0, GS|Si|Non specificato|||Nero||16,77M||||100 x 100 mm|No|||||||||40W||0,5W|0,5W||||||||||||||||"['68,58 cm (27"")', '68,6 cm']"|Matt|0,311 x 0,311 mm||16:9|No|50/60 Hz||||||Si||Si||-5 - 15°|Si||||Si|||||56 - 75 Hz||5 - 35 °C|64,66 cm||71 cm|||DEU, DUT, ENG, ESP, FRE, ITA, KOR, POR, RUS||300 cd/m²|||Si|||||1080p|Si|||2|12||Si|5,2 kg|6,6 kg||||||Si||||||4W|22 cm||11,6 cm||||1|1||||1|30 - 83 kHz|20 - 85%||1000:1|80000000:1|No||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||No||||||||||||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
AOC MONITOR LED 24 AOC g2460Pqu 144Hz Gaming||Si||393.6 mm|||1||Si|||||170 °|160 °||Kensington||||Audio (3.5mm), DVI, USB, VGA|||CE, EuP, FCC, GOST, ISO 9241 - 307, RoHS, TCO 5.0, TUV-GS, NRTL|Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N|||||Oro||||25 W||0.3 W|0.5 W||||||||||531.36 mm|298.89 mm|||||"['61 cm', '609.6 mm (24 "")']"||0.276 x 0.276 mm||16:9|N|50/60 Hz|||||Si||Si|Si||-5 - 15 °|Si|||||||||55 - 122 Hz|||565.4 mm|||||||350 cd/m²|||||||||Si|||||||6.54 kg|8.55 kg|||||Si|Si|||||||244.58 mm|||||1|1|1||4||1|30 - 140 kHz|||1000:1|20000000:1|130 mm||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||N|||.|||||||||||1 ms||||||||PC monitor|||W-LED|LED|Full HD|||Si|||90 - 240 V|
LG LED 22 22MB35PU-W 16:9 5ms VGA DVI Sp USB MONITOR LED||||46,39 cm|||||Si|||||170°|160°||Kensington||||Audio (3.5mm), DVI, VGA|||||Non specificato|||Bianco||16,77M||||100 x 100 mm|No|||Si||||||24W||0,3W|0,3W||||||||||||||||"['54,6 cm', '54,61 cm (21.5"")']"||0,248 x 0,248 mm||16:9|No|47-63 Hz||||||||Si||20 - 5°|Si||||Si||||Si|56 - 75 Hz|||50,92 cm|||||DEU, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SER, UKR||250 cd/m²|||||||||Si|||2||||3,6 kg||||||Si|Si||||||2W|22,42 cm||||||2|||2||1|30 - 83 kHz|||1000:1|5000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||No||||||||Si|Si|TN||||5 ms||No|||||||||W-LED|LCD|Full HD||||||90 - 264V|
Samsung LED 24 S24C350H MONITOR LED||||343 mm|436.5 mm|149 mm||||||||170 °|160 °||||||||||Si|B|||Nero||16.77 M|||||||Si|||||||23 W|||0.3 W||||||||||||||||"['609.6 mm (24 "")', '60.96 cm']"|||||||30 - 75 kHz|56 - 61 Hz|||||Si|Si|||Si||||||||||||567.8 mm|567.8 mm|641 mm|||||250 cd/m²|||Si|||||||||||||3.5 kg|5.1 kg|||||Si||||||||100 mm|230 mm|415 mm|||||1||||1|||||Contrasto Mega|||||1920 x 1080 Pixels|||||||||Si|.|||||||||||5 ms||||||||||||LED||||Si||||
HannsG 23 HT231HPB Touch MONITOR LED||||40,77 cm|||||Si|||||170°|160°||||||Audio (3.5mm), USB, VGA|||FCC, UL/CUL, CE, CB, 3C, China energy level 1, EnergyStar 6.0, HDMI, Win 8|Si||||Nero|||16,7M|||100 x 100 mm||||||||||26W|||0,5W|||||||||58,4 cm|||637,5 x 515,5 x 90 mm||||"58,42 cm (23"")"||0,265 x 0,265 mm||16:9||50/60 Hz|31 - 80 kHz|56 - 75 Hz|Si|||||||10 - 60°||||1||||||||5 - 35 °C|57,55 cm|||||||250 cd/m²|||||||||Si|||2|||Si|4,68 kg|6 kg||||||||||||3W|4,37 cm|||||||1||||1||20 - 85%|||80000000:1|N||||1920 x 1080 Pixels||||No|||||Windows 8||||||||||Capacitivo||5 ms|||||AC|LED||||||||Da tavolo||1|||100 - 240V|
Asus 24.1 VS24AHL IPS MONITOR LED||||534.5 mm||437 mm|1||N|||||178 °|178 °||Kensington||||AC, DVI, VGA|||BSMI, CB, CE, C-Tick, ErP, FCC, J-MOSS, PSE, RoHS, TCO6.0, UL/cUL, VCCI, WEEE, WHQL|Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N|||||Oro|3.5 mm|||30 W||0.5 W|0.5 W||||||||||||||||"['612.1 mm (24.1 "")', '61.13 cm']"||0.27 x 0.27 mm||16:10|N||30 - 83 kHz|50 - 61 Hz|||Si|Si||Si||20 - -5 °|Si|Si|Si||||||Si|50 - 61 Hz|||561.6 mm||637 mm|Si||||300 cd/m²|||||||||Si||||||Si|6.1 kg|7.8 kg||||||Si|||||||224.8 mm||174 mm||||1|1||||1|30 - 83 kHz||||80000000:1|Si||||1920 x 1200 Pixels|||1920 x 1200 (WUXGA)|Si|||N|||.|||||||IPS||||5 ms||N||||||||||LED|Full HD|||||||
