3d compatibility|<page title>|ac adapter included|ac power in|active display area w x h|annual energy consumption|aspect ratio|audio input|audio output|audio system|backlight type|bezel width bottom|bezel width side|bezel width top|bluetooth|builtin camera|builtin microphone|builtin speakers|builtin subwoofer|cable length|cable lock slot|cables included|camera included|card reader integrated|certification|child lock|color gamut|colour of product|common interface ci|common interface plus ci|compatibility|compatible memory cards|compatible operating systems|compliance industry standards|component video ypbprycbcr in|composite sync|composite video in|connection to pc|contrast ratio dynamic|contrast ratio typical|current rating|dcin jack|depth|depth max|depth with stand|digital horizontal frequency|digital vertical frequency|dimensions w x d x h with stand|dimensions wxdxh|display|display brightness|display diagonal|display diagonal metric|display number of colours|display resolution|display srgb|display surface|display technology|display type|display viewable area hxv|displayports quantity|dvi port|dvid ports quantity|effective viewing area|electromagnetic compatibility|energy efficiency class|energy star certified|epeat compliance|ethernet lan|ethernet lan data rates|ethernet lan rj45 ports|feet colour|full hd|glass thickness|glossy display|handheld remote control|hd type|hdcp|hdmi|hdmi ports quantity|hdready|headphone connectivity|headphone out|headphone outputs|height|height adjustment|height adjustment range|height max|height with stand|horizontal scan range|input current|input frequency|input voltage|interface type|led backlight|led indicators|linux operating systems supported|mac operating systems supported|manual|maximum analog resolution|maximum resolution|maximum screen size compatibility|maximum weight capacity|mean time between failures mtbf|megapixel|microphone in|mini displayport quantity|minimum screen size compatibility|mobile highdefinition link mhl|mounting interface|native resolution|nonoperating altitude|number of colours|number of displays supported|number of loudspeakers|number of osd languages|number of products included|number of simultaneous touchpoints windows 7|omnitapps multitouch compatibility|on screen display osd|on screen display osd languages|onoff switch|operating altitude|operating relative humidity hh|operating temperature tt|package dimensions wxdxh|package weight|packaging depth|packaging height|packaging width|pan range|pc audio in|picture enhancement|pictureinpicture|pivot|pivot angle|pixel pitch|placement supported|plug and play|power consumption active|power consumption average|power consumption max|power consumption off|power consumption powersave|power consumption standby|power consumption typical|power cord included|power led|power requirements|power supply type|product type|quantity|quick start guide|recyclable material|relative humidity|response time|rms rated power|rohs compliance|rotating|rotation|rs232 ports|safety|screen format adjustments|screen saving functions|screen size compatibility|security features|separate hv sync|speakers|standby led|storage relative humidity hh|storage temperature tt|supported graphics resolutions|supported video modes|swivel angle|swivel angle range|swivel webcam|swivelling|syncongreen sog|thin client installed|tilt adjustment|tilt angle|touch screen type|touch sensitive screen|touchscreen technology|tv tuner integrated|usb 20 ports quantity|usb 30 ports quantity|usb powered|usb required|usb version|user guide on cdrom|vertical scan range|vesa mounting interfaces compatibility|vga dsub input ports|vga dsub ports quantity|video dot rate|viewable size diagonal|viewable size horizontal|viewable size vertical|viewing angle|viewing angle horizontal|viewing angle vertical|voltage tolerance|volume control|wall mountable|weight|weight with stand|width|width with stand|wifi|windows operating systems supported
|Iiyama ProLite T1531SR-1 - MBE|||||4:3||||||||||||||||||['CE, TÃœV-Bauart, Gost-R, VCCI, IP54', 'CE, TÃœV-Bauart, Gost-R, VCCI, IP54']|||['Black', 'Black']|||||['Windows 7/Vista/XP/9X/2000/CE/NT4, Linux, Mac OSX/OS9, DOS', 'Windows 7/Vista/XP/9X/2000/CE/NT4, Linux, Mac OSX/OS9, DOS']|||||||500:1|||||||||['351 x 202 x 306 mm', '351 x 202 x 306 mm']||200 cd/mÂ²|"38.1 cm (15"")"|||1024 x 768 pixels|||||228 x 304 mm|||1|||||||||||||||||||||||||||31.5 - 60.2 kHz||||['USB, RS-232C', 'USB, RS-232C']||||||||||||||||['VESA', 'VESA']|||16.7M|||||||['Yes', 'Yes']||||20 - 80%|0 - 40 Â°C||||||||||||0.297 x 0.297 mm||['Yes', 'Yes']||||||2W|20W|||['AC 100 - 240 V, 50/60 Hz', 'AC 100 - 240 V, 50/60 Hz']|||||||8 ms|||||1||||||Yes|['2 x 1W', '2 x 1W']||10 - 90%|-20 - 60 Â°C||||||||||['-5 - 90Â°', '-5 - 90Â°']|||||1||||||56 - 75 Hz|100 x 100 mm||1||38 cm||||140Â°|125Â°||||4.1 kg|||||
|Benq BL702A - MBE|||||5:4|||||||||['No', 'No', 'No']||['No', 'No', 'No']||||||||||['Black', 'Black']|||||||||||12000000:1|1000:1|||13.7 cm|||||||LED|250 cd/mÂ²|"43.18 cm (17"")"||16.77M|1280 x 1024 pixels|||||||||||||||||||||||No|||||||37 cm|No||||||||||||||||||||||||||||||['17', '17']||||['Yes', 'Yes']||['Yes', 'Yes']||||||['12 cm', '12 cm']|['44 cm', '44 cm']|['43.4 cm', '43.4 cm']|||||||||||||||0.3W|17W||||||||||5 ms||||||||||||||||1280 x 1024 (SXGA)|||||No||||||||||||||||100 x 100 mm||1||||||170Â°|160Â°|||Yes|2.5 kg||36.9 cm|||['Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Y', 'Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Y']
No|AOC E2470SWDA 23.6 Widescreen LED Monitor - Black - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||||||CE, FCC, TUV, RoHS|||['Black', 'Black']|||||||||||20000000:1|1000:1||||||||||LED|250 cd/mÂ²|"59.94 cm (23.6"")"||16.77M|1920 x 1080 pixels||Matt|TN+Film||||Yes|1|||Unspecified|Yes|Gold|||||||||Full HD|Yes||||||||No||||30 - 83 kHz||50/60 Hz|90 - 240V||||||||||||||||||||||||||||||||||||||||||No||0.276 x 0.276 mm|||||||||||||||||||5 ms|['2W', '2W', '2W']|||||||||||||||1920 x 1080 (HD 1080)|||||Yes||No|Yes|-5 - 15Â°||||['No', 'No']|||||||55 - 75 Hz|100 x 100 mm||1|||53.136 cm|29.889 cm||170Â°|160Â°|||Yes||||||
No|ASUS VS278Q LED display - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|||||||['Black', 'Black']|||||||||||80000000:1||||5 cm|||30 - 83 kHz|55 - 76 Hz|648.86 x 225 x 470.11 mm||LED|300 cd/mÂ²|"68.58 cm (27"")"||16.77M|1920 x 1080 pixels||||||1|||||Unspecified|Yes||||||||||Full HD|Yes||2|||||39.323 cm|||||||50/60 Hz|110 - 240V||||||||||||||||||||||['2', '2', '2']||||||||||||['7.2 kg', '7.2 kg']|['17.5 cm', '17.5 cm']|['54.1 cm', '54.1 cm']|['72.5 cm', '72.5 cm']|||||||0.311 x 0.311 mm||||||||0.5W|45W||||||||||1 ms|['4W', '4W', '4W']|||||||||||||||1920 x 1080 (HD 1080)|||||||No||||||['No', 'No']||||||||100 x 100 mm||1||||||170Â°|160Â°|||Yes|5.1 kg||64.886 cm|||
No|HP ProDisplay P201 - MBE||Yes|||16:9||||||||No|['No', 'No', 'No']||['No', 'No', 'No']|||['Yes', 'Yes']|['AC, DVI, VGA', 'AC, DVI, VGA']|||TCO|||['Black', 'Black']|||||||||||3000000:1|1000:1|||4.75 cm||15.11 cm|||||LED|250 cd/mÂ²|"50.8 cm (20"")"|50.8 cm|16.77M|1600 x 900 pixels||Matt||||||1|||Unspecified|Yes||No||||||||No|Yes|||||||29.41 cm||||35.92 cm|||50/60 Hz|100 - 240V|||['Yes', 'Yes']|['Yes', 'Yes']||['Yes', 'Yes']|||||||||||||||||||||['Yes', 'Yes']||['Yes', 'Yes']||20 - 80%|5 - 35 Â°C||||||||||||0.2768 x 0.2768 mm||['Yes', 'Yes']|||22W|||0.5W|20W||['Yes', 'Yes']|||||['Yes', 'Yes']|||5 ms|||||||||||||['Yes', 'Yes']|||1600 x 900|||||||No|Yes|-5 - 25Â°||||['No', 'No']||||||||||1||||||170Â°|160Â°||||3.5 kg||48.2 cm|48.2 cm|No|['Yes', 'Yes']
No|Philips Brilliance LCD monitor with PowerSensor 240P4QPYES - MBE||Yes|||16:10||||W-LED||||No|['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|['No', 'No', 'No']||['Kensington', 'Kensington']||||RoHS, BSMI, CE, FCC B, GOST, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, UL/cUL, WEEE|||['Silver', 'Silver']|||||||||||20000000:1|1000:1|||6.5 cm||24.4 cm|24 - 94 kHz|48 - 85 Hz|555 x 244 x 550 mm||LED|300 cd/mÂ²|"60.96 cm (24"")"|61 cm|16.77M|1920 x 1200 pixels|Yes||IPS|||1|Yes|1|['518.4 x 324 mm', '518.4 x 324 mm']||Unspecified|Yes|Gold|No|||['Black', 'Black']|||||Full HD|Yes||||||1|38.8 cm|['Yes', '13 cm']|||55 cm|||50/60 Hz|100 - 240V|||['Yes', 'Yes']||||||||['30000h', '30000h']||||||||0 - 12192m|||['2', '2', '2']|['8', '8']||||['Yes', 'Yes']|['CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS', 'CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS']|['Yes', 'Yes']|0 - 3658m|20 - 80%|0 - 40 Â°C|632 x 286 x 457 mm|['9.8 kg', '9.8 kg']|['28.6 cm', '28.6 cm']|['45.7 cm', '45.7 cm']|['63.2 cm', '63.2 cm']||Yes|['SmartImage', 'SmartImage']|['No', 'No']|Yes|0 - 90Â°|0.270 x 0.270 mm||['Yes', 'Yes']|||||14W|0.2W|7.1W||['Yes', 'Yes']||||||['25%', '25%']||14 ms|['3W', '3W', '3W']||||||||||Yes||['Yes', 'Yes']||-20 - 60 Â°C|1920 x 1200 (WUXGA)|||-65 - 65Â°||Yes|Yes|No|Yes|-5 - 20Â°||||['No', 'No']|4|||||||100 x 100 mm||1||61 cm|51.84 cm|32.4 cm||178Â°|178Â°||['Digital', 'Digital']|Yes|4.64 kg|6.97 kg|55.5 cm|55.5 cm|No|['Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64', 'Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64']
No|Iiyama ProLite E2083HSD-B1 LED display - MBE||Yes|||16:9||||CCFL||||No|['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|['No', 'No', 'No']||['Kensington', 'Kensington']|['Audio (3.5mm), DVI, VGA', 'Audio (3.5mm), DVI, VGA']|||TCO, CE, TUV-GS, VCCI-B, GOST-R|||['Black', 'Black']|||||||||||5000000:1|1000:1|||20.3 cm|||30 - 80 kHz|55 - 75 Hz|||LED|250 cd/mÂ²|"49.53 cm (19.5"")"|49.53 cm|16.77M|1600 x 900 pixels|||TN+Film||||Yes|1|||Unspecified|Yes||No||||||||HD-ready|Yes|||||||36 cm|No||||30 - 80 kHz||50/60 Hz|100 - 240V||||||||||||||||||||||['2', '2', '2']|['10', '10']||||['Yes', 'Yes']|['CHI (SIMPL), CHI (TR), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL', 'CHI (SIMPL), CHI (TR), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL']|['Yes', 'Yes']|||||||||||||No||0.271 x 0.27 mm||||||||0.5W|15W|['Yes', 'Yes']|||||['1', '1']|['Yes', 'Yes']|||5 ms|['4W', '4W', '4W']||||||||||Yes|||||1600 x 900|||||No||No|Yes|-5 - 20Â°||||['No', 'No']|||||||55 - 75 Hz|100 x 100 mm||1||49.5 cm|23.63 cm|43.39 cm||170Â°|160Â°|||Yes|2.7 kg||46.95 cm||No|['Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows 95, Windows 98, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64', 'Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows 95, Windows 98, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64']
No|ASUS MX299Q 29 INCH ULTRAWIDE IPS LED 2560 X 1080 DUAL-LINK DVI-D HDMI DISPLAY PORT BANG & OLSEN SPEAKERS - MBE|||||21:9||||||||No|||['Yes', 'Yes', 'Yes']|['No', 'No', 'No']||['Kensington', 'Kensington']|['AC, Audio (3.5mm), DVI, HDMI', 'AC, Audio (3.5mm), DVI, HDMI']|||Energy Star 6.0|||['Black, Silver', 'Black, Silver']|||||||||||80000000:1||||||21.51 cm|30 - 83 kHz|50 - 61 Hz||||300 cd/mÂ²|"73.66 cm (29"")"||16.77M|2560 x 1080 pixels|||IPS|||1|||||Unspecified|Yes||No|||||||||Yes||1||3.5 mm||1|||||39.1 cm|||50/60 Hz|100 - 240V||||||['Yes', 'Yes']||||||||||||||||['2', '2', '2']||||||||||||['8.1 kg', '8.1 kg']|['15.9 cm', '15.9 cm']|['50.6 cm', '50.6 cm']|['81.4 cm', '81.4 cm']||Yes|||||0.2628 x 0.2628 mm||||||0.5W||0.5W|31.7W||||||||||5 ms|['6W', '6W', '6W']|||||BSMI, CB, CCC, CE, C-Tick, CU, ErP, FCC, J-MOSS, RoHS, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7)||||||||||2560 x 1080||||||||Yes|-5 - 20Â°||||||||||||||||||||178Â°|178Â°|||||5.5 kg||70.02 cm|No|
Yes|Benq XL2411Z - MBE|['Yes', 'Yes']|Yes|||16:9|||||||||['No', 'No', 'No']|||||['Kensington', 'Kensington']|['AC, DVI, VGA', 'AC, DVI, VGA']||||||['Black', 'Black']|||||||||||12000000:1|1000:1|||22.2 cm|||||||LED|350 cd/mÂ²|"60.96 cm (24"")"|||1920 x 1080 pixels|||LCD||||Yes|1||||||||||||||Full HD|Yes||2|||Yes|1|43.1 cm|['Yes', '13 cm']|||||||95 - 265V|||||||||||||||||||||||['17', '17']||||['Yes', 'Yes']||['Yes', 'Yes']|||||['8.5 kg', '8.5 kg']||||||||Yes|0 - 90Â°|0.276 x 0.276 mm||['Yes', 'Yes']||||0.5W|0.5W||36W|||||||['Yes', 'Yes']|||1 ms||||||||||||||||1920 x 1080 (HD 1080)|||-45 - 45Â°||Yes||No|Yes|-5 - 20Â°||||['No', 'No']||||||||100 x 100 mm||1|||53.1 cm|29.8 cm||170Â°|160Â°|||Yes|6 kg||57 cm|||
No|Acer Everyday G276HLAbid - MBE||Yes|||16:9||||||||No|['No', 'No', 'No']||['No', 'No', 'No']||||['AC', 'AC']|||MPR II|||['Black', 'Black']|||||||||||100000000:1||||17.89 cm|||||||LED|250 cd/mÂ²|"68.58 cm (27"")"|68.6 cm|16.77M|1920 x 1080 pixels|||TN+Film||||Yes|||||||No||||||||Full HD|Yes|['Yes', 'Yes']|1|||||44.2 cm|No||||30 - 80 kHz||50/60 Hz|100 - 240V|||['Yes', 'Yes']|['Yes', 'Yes']|['Yes', 'Yes']|['Yes', 'Yes']|||||['30000h', '30000h']|||||||||||||['1 pc(s)', '1 pc(s)']|||||['Yes', 'Yes']||0 - 40%|10 - 80 Â°C||||||||||No||0.311 x 0.311 mm|['Horizontal', 'Horizontal']|['Yes', 'Yes']||||||0.35W|||['Yes', 'Yes']|||||['Yes', 'Yes']|||2 ms|||||||||||||['Yes', 'Yes']|5 - 90%|-20 - 60 Â°C|1920 x 1080 (HD 1080)|1080p, 720p||||No||No|Yes|-5 - 15Â°||||['No', 'No']|||||||55 - 75 Hz|100 x 100 mm||1|||59.8 cm|33.6 cm||170Â°|160Â°|||Yes|4.6 kg||63.9 cm|||['Yes', 'Yes']
|Elo TouchSystems 1528L - MBE|||||4:3|||||||||||['Yes', 'Yes']||||||||||['Beige', 'Beige']||||||||||||400:1|||35 cm||||||||287 cd/mÂ²|"38.1 cm (15"")"|||1024 x 768 pixels||||LCD||||1||||||||||||||||||||||20.3 cm|||||31 - 60 kHz|||12V|||||||||||['50000h', '50000h']|||||||||16.2M||['2', '2']|||||['Yes', 'Yes']||||20 - 80%|-20 - 60 Â°C|['470 x 265 x 460 mm', '470 x 265 x 460 mm']|['10.1 kg', '10.1 kg']||||||||||||['Yes', 'Yes']|||||||48W||||['DC', 'DC']||||||8 ms|['4W', '4W']||||1|||||||||5 - 90%|0 - 40 Â°C|||||||||||['Tabletop', 'Tabletop']||Resistive||1||||||56 - 75 Hz|75 x 75 mm||1||||||150Â°|125Â°|||Yes|4.8 kg|6.9 kg|35.5 cm|||
No|Iiyama T2336MSC-B1 touch screen monitor - MBE|||||16:9|||||||||||['Yes', 'Yes']||||AC, DVI, USB, VGA|||['CE, TÃœV, VCCI, PSE, CU', 'CE, TÃœV, VCCI, PSE, CU']|||['Black', 'Black']|||||||||||1000:1|1000:1|||12 cm|||30 - 80 kHz|56 - 75 Hz|||IPS|225 cd/mÂ²|"58.42 cm (23"")"||['16.77M', '16.77M']|1920 x 1080 pixels||||LED||||1|||||||||||||||||1||||1|23.85 cm|Yes||||||50/60 Hz|100 - 240V||||||||||||||||||||||['2', '2']|||||['Yes', 'Yes']|||||||||||||||||0.2652 x 0.2652 mm||['Yes', 'Yes']||||||0.5W|26W||||['AC', 'AC']||||||5 ms|['4W', '4W']|||||||||||||||['1920 x 1080 (HD 1080)', '1920 x 1080 (HD 1080)']|||||||||['-5 - 90Â°', '-5 - 90Â°']|||Capacitive|||5||||||100 x 100 mm||1||||||178Â°|178Â°|||Yes|7.4 kg||56.1 cm|||['Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64', 'Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64']
|Acer Professional 196Lymdr - MBE|||||5:4|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']||||CE, TÃœV GS, ISO9241-307, TCO6.0|||['Grey', 'Grey']|||||||||||100000000:1||||22.1 cm|||||||LCD|250 cd/mÂ²|"48.26 cm (19"")"|48 cm|16.77M|1280 x 1024 pixels|||TN+Film||||No||||Unspecified|Yes||||||||||No|Yes|||||||51.92 cm|['Yes', '15 cm']|||||||100 - 240V||||||||||||||||||||||['2', '2', '2']||||||||||||||||||||||0.294 x 0.294 mm||||||0.35W||0.45W|15.8W|||||PC monitor|||||5 ms|['1W', '1W', '1W']||||||||||||||||||-60 - 60Â°||Yes||No|Yes|-5 - 35Â°||||['No', 'No']||||||||100 x 100 mm||1|||37.6 cm|30.1 cm||170Â°|160Â°|||Yes|5.33 kg||40.64 cm|||
No|DELL E Series E2014H - MBE||Yes|||16:9|No|No||||||No|['No', 'No', 'No']||['No', 'No', 'No']|||['Yes', 'Yes']|['DVI, VGA', 'DVI, VGA']||||||['Black', 'Black']||||||||||||1000:1|1.5A||4.65 cm||16.55 cm|||||LED|250 cd/mÂ²|"49.4 cm (19.45"")"|49.4 cm|16.77M|1600 x 900 pixels|||TN+Film||||Yes|1|||Unspecified|Yes|Gold|No||||||||Full HD|Yes|||||||27.63 cm|No|||35.88 cm|||50/60 Hz|100 - 240V|||['Yes', 'Yes']||||||||||||||||0 - 12191m||||||||['Yes', 'Yes']||['Yes', 'Yes']|0 - 5000m|10 - 80%|0 - 40 Â°C||['4.25 kg', '4.25 kg']|||||||['No', 'No']|||0.27 x 0.27 mm||['Yes', 'Yes']|||22W|||0.5W|14W|['Yes', 'Yes']|['Yes', 'Yes']||||['1', '1']|['Yes', 'Yes']|||5 ms|||||||||||||['Yes', 'Yes']|5 - 90%|-20 - 60 Â°C|1600 x 900|||||No||No|Yes|||||['No', 'No']||||||||100 x 100 mm||1|||23.976 cm|43.2 cm||170Â°|160Â°|||Yes|2.41 kg||47.39 cm|47.39 cm|No|
No|Philips Brilliance LED Monitor 221S3LCB - MBE|||||16:9||||W-LED|||||['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']||||RoHS|||['Black', 'Black']||||||BSMI, CE Mark, FCC Class B, GOST, SEMKO, TCO 5.1, TUV Ergo, TUV/GS, UL/cUL|||||20000000:1|1000:1|||5.9 cm||22 cm|||||LCD|250 cd/mÂ²|"54.61 cm (21.5"")"|54.6 cm|16.77M|1920 x 1080 pixels|Yes|||||||1||||Yes|Silver|||||||||Full HD|Yes|||||||32.3 cm|['7 cm', 'Yes']|||40 cm|30 - 83 kHz||50/60 Hz|100 - 240V|||||||||||['30000h', '30000h']||||||||||||['8', '8']||||['Yes', 'Yes']|['CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS', 'CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS']||||0 - 40 Â°C||['6.67 kg', '6.67 kg']|['17.5 cm', '17.5 cm']|['46.6 cm', '46.6 cm']|['56.5 cm', '56.5 cm']|||['SmartImage', 'SmartImage']||No||0.248 x 0.248 mm||['Yes', 'Yes']||||0.1W|15.43W|0.1W|16.81W||['Yes', 'Yes']|||||||20 - 80%|5 ms|||||||||||Yes||['Yes', 'Yes']||-20 - 60 Â°C|1920 x 1080 (HD 1080)|||-65 - 65Â°||Yes|Yes|No|Yes|-5 - 20Â°||||['No', 'No']|||||||56 - 75 Hz|100 x 100 mm||1|||47.66 cm|26.81 cm||176Â°|170Â°|||Yes|3.46 kg|4.83 kg|50.7 cm|50.7 cm||
No|Viewsonic LED LCD VX2263SMHL-W - MBE|['Yes', 'Yes']||||16:9|Yes|Yes||W-LED|||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|['AC, DC, VGA', 'AC, DC, VGA']||||||['White', 'White']|||||||||||50000000:1|1000:1|||4.1 cm||16.4 cm|||||LED|250 cd/mÂ²|"54.61 cm (21.5"")"|||1920 x 1080 pixels|||TFT||||||||Unspecified|Yes|Silver|||||||||Full HD|No||2|||||31.24 cm||||38.77 cm|||50/60 Hz|100 - 240V||||||||||||||||||||||['2', '2', '2']|||||||||||||||||||||||||||||||20W|||||||['Yes', 'Yes']|||14 ms|['1.5W', '1.5W', '1.5W']||||||||||Yes|||||2048 x 1080|1080p||||||No||||||['No', 'No']||||||||100 x 100 mm||1||21.5 cm|18.7 cm|10.5 cm||178Â°|178Â°|||Yes|2.6 kg|2.9 kg|49.88 cm|49.88 cm||
No|ASUS VS229HV 21.5 INCH WIDE LED IPS  1920 x 1080  DVI  VESA 100 x 100  BLACK - MBE|||||16:9||||W-LED|||||['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']|['AC, DVI, VGA', 'AC, DVI, VGA']|||BSMI, CB, CCC, CE, CEL level 1, C-Tick, ErP, FCC, Gost-R, PSB, RoHS, UL/cUL, VCCI, WEEE, WHQL|||['Black', 'Black']|||||||||||8000000:1||||20 cm|||30 - 83 kHz|50 - 75 Hz|||LED|250 cd/mÂ²|"54.61 cm (21.5"")"||16.77M|1920 x 1080 pixels|||IPS||||Yes|1|||Unspecified|Yes||||||||||Full HD|Yes||1|||||38.55 cm|Yes||||30 - 83 kHz|||||||||||||||||||||||||||||||||||||['5.6 kg', '5.6 kg']|['13 cm', '13 cm']|['44.3 cm', '44.3 cm']|['56.6 cm', '56.6 cm']|||||||0.248 x 0.248 mm||||||0.5W||0.5W|21.5W|||||||['Yes', 'Yes']|||5 ms||||||||||||||||1920 x 1080 (HD 1080)|||||||No|Yes|20 - -5Â°||||['No', 'No']|||||||50 - 75 Hz|100 x 100 mm||1||||||178Â°|178Â°|||Yes|3.5 kg||51.41 cm|||['Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64', 'Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64']
