3d capable|<page title>|aspect ratio|brightness|builtin devices|bundled with|character resolution|colour|colour support|compliant standards|contrast ratio|designed for|device type|diagonal size|diagonal size cm|digital tv tuner|dimensions wxdxh|display format|display position adjustments|energy class|energy consumption per year|environmental standards|features|hdcp compatible|hdmi ports qty|height rack units|image aspect ratio|input connectors|kvm switch|lcd backlight technology|localisation|manufacturer selling program|manufacturer warranty|microsoft certification|native resolution|panel type|pc interface|pixel pitch|power|power consumption operational|product description|product type|remote control|resolution|response time|screen coating|speaker system|speakers|targeting|technology|tv tuner|usb port|video interface|video wall components qty|weight
|OHC24 Shop : Monitor > Monitor search help > LG Electronics 19MB35PM 48 > 26CM 19IN ANA/DIG 19MB35PM-B|5:4|250 cd/m2||||Anthracite dark|16.7 million colours|Plug and Play, FCC Class B certified, CSA, UL, TUV GS, C-Tick, NEMKO, SEMKO, EN 61000-3-3, EN55024, EN55022 Class B, DDC/CI, ISO 9241-307, VCCI V-2, EN 61000-3-2:2006, TCO Displays 6.0, EN 60950-1:2006|5000000:1 (dynamic)||"LED-backlit LCD monitor - 19"""||||40.89 cm x 21 cm x 37.13 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||3 years warranty||1280 x 1024 at 75 Hz|AH-IPS||0.294 mm|||"LG 19MB35PM-B - LED monitor - 19"""||||5 ms (grey-to-grey)|||Integrated|||||||3.8 kg
|"OHC24 Shop : Monitor > Monitor search help > NEC E171M LED 43 > 27 17IN ANA/DIG 43.2 cm (17"")/ 1.280 60003582"|5:4|250 cd/m2|Stereo speakers|||Black|16.7 million colours|Plug and Play, FCC Class B certified, MPR II, CSA, UL, TUV GS, cUL, DDC-2B, DDC-2Bi, MPR III, VESA EDID, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, TCO Displays 6.0, EAC|1000:1||"LED-backlit LCD monitor - 17"""||||36.8 cm x 23 cm x 35.85 cm||Height, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||3 years warranty||1280 x 1024 at 75 Hz|||0.264 mm|||"NEC MultiSync E171M - LED monitor - 17"""||||5 ms|||Integrated|||||||4.2 kg
|"OHC24 Shop : Monitor > Monitor search help > AOC i2473Pwm/24"" IPS LED Monitor > 1920 x 1080 >  5ms >  2 x I2473PWM"|Widescreen|250 cd/m2||||Black, silver|16.7 million colours|Plug and Play, CB, CCC, FCC, WEEE, cTUVus, CECP, TCO Displays 6.0, EPA 6.0, CEL Grade 1, China RoHS|||"LED-backlit LCD monitor - 23.8"""||||54.71 cm x 18.26 cm x 40.86 cm||Tilt|||||||||2xHDMI, VGA|||||3 years warranty||FullHD 1920 x 1080 at 60 Hz|AH-IPS||0.2745 mm|||"AOC I2473PWM - LED monitor - 23.8"""||||5 ms (grey-to-grey); 5 ms (black-to-white)|||Integrated|||||||4.12 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama PL T1931SR-B1|5:4|200 cd/m2|Touch-screen , stereo speakers|||Black|16.7 million colours|Plug and Play, FCC Class B certified, UL, TUV, VCCI Class B ITE, cUL|900:1||"LCD monitor - 19"""||||43.1 cm x 39.1 cm x 21.8 cm||Tilt|||||||||DVI-D, VGA|||||||1280 x 1024|TN||0.294 mm|||"Iiyama ProLite T1931SR-B1 - LCD monitor - 19"""||||5 ms|||Integrated|||||||6.5 kg
|"OHC24 Shop : Monitor > Monitor search help > Philips C221S3UCW/21.5"" LED Clinical USB C221S3UCW/00"|Widescreen - 16:9|150 cd/m2||||Textured white|16.7 million colours|Plug and Play, RoHS, Lead-Free, WEEE, EN 60601-1-2, EN 60601-1|1000:1||"LED-backlit LCD monitor - 21.5"""||||50.7 cm x 20.1 cm x 40.2 cm - with stand||Height, swivel, tilt|||ENERGY STAR Qualified||||||USB|||||3 years warranty||FullHD 1920 x 1080 at 60 Hz|TN||0.248 mm|||"Philips C221S3UCW - LED monitor - 21.5"""||||5 ms||||||||||3.85 kg
|OHC24 Shop : Monitor > Monitor search help > EIZO EV2416WTS 24.1IN GRAU 1920X1200 1000:1 250 CDM2 DP DVI 21393|Widescreen|250 cd/m2|USB Hub|||Grey|16.8 million colours|FCC Class B certified, TUV, TUV GS, C-Tick, VCCI Class B ITE, TUV S, VESA DPMS, CB, ICES-003 Class B, CCC, RoHS, WEEE, PSE Mark, Green Mark, GOST-R, cTUVus, J-MOSS, TCO Displays 6.0|1000:1||"LED-backlit LCD monitor - 24.1"""||||55.25 cm x 20 cm x 46.8 cm - with stand||Height, swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort|||||5 years warranty||1920 x 1200|TN||0.27 mm|||"EIZO FlexScan EV2416W-TS - LED monitor - 24.1"""||||5 ms (black-to-white)|Anti-glare||Integrated|||||||4.9 kg
|OHC24 Shop : Monitor > Monitor search help > BenQ BL902TM 1000:1 250 CD/QM 160 5 MS LED  9H.L5FLA.DBE|5:4|250 cd/m2|Stereo speakers|||Black||TCO Displays 5.0|1000:1 / 12000000:1 (dynamic)||"LED-backlit LCD monitor - 19"""||||41.9 cm x 22.3 cm x 43.2 cm - with stand||Height, swivel, tilt|||ENERGY STAR Qualified , EPEAT Silver||||||DVI-D, VGA||||||Compatible with Windows 7|1280 x 1024|TN||0.294 mm|||"BenQ BL902TM - LED monitor - 19"""||||5 ms||||||||||5.1 kg
|OHC24 Shop : Monitor > Monitor search help > Hewlett-Packard Monitor HP EliteDisplay S231d LED  F3J72AA#UUZ|Widescreen - 16:9|250 cd/m2|720p webcam|||Black|16.7 million colours|Plug and Play, CSA, VCCI, C-Tick, BSMI, cUL, NOM, TUV S, WHQL, CB, CCC, PSB, FCC, S Mark, TCO Certified Edge, E-Standby, KC, CECP, EAC, CEL Grade 1, ISC|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 23"""||||54.4 cm x 24.24 cm x 46.99 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified , EPEAT Gold||||||VGA, DisplayPort|||German, French, Italian / Switzerland||3 years warranty||1920 x 1080 at 60 Hz|IPS||0.265 mm|||"HP EliteDisplay S231d - LED monitor - 23"""||||7 ms (grey-to-grey)|Anti-glare|||||||||6.12 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama PL T1931SAW-B1|5:4|230 cd/m2|Touch-screen , stereo speakers|||Black|16.7 million colours|VCCI, DDC-2B, VESA DPMS, GOST-R, IP54, TUV Bauart|900:1||"LCD monitor - 19"""||||43.2 cm x 39 cm x 21.8 cm||Tilt|||||||||DVI-D, VGA|||||||1280 x 1024|TN||0.294 mm|||"Iiyama ProLite T1931SAW-1 - LCD monitor - 19"""||||5 ms|||Integrated|||||||6.6 kg
|"OHC24 Shop : Monitor > Monitor search help > AG Neovo TM-23 58.4CM 23IN LED 58.4 cm (23"")/ TM230011E0100"|Widescreen|220 cd/m2|Touch-screen||||16.7 million colours|VESA FPMPMI, CB, FCC, RoHS, WEEE, GOST-R, REACH|1000:1||"LED-backlit LCD monitor - 23"" - Multi-Touch"||||56.1 cm x 23.85 cm x 42.26 cm - with stand||Tilt|||||||||HDMI, VGA, DisplayPort|||||||FullHD 1920 x 1080|IPS||0.265 mm|||"Neovo TM-23 - LED monitor - 23"""||||3 ms (grey-to-grey)|||Integrated|||||||7.4 kg
|OHC24 Shop : Monitor > Monitor search help > NEC 60002794||250 cd/m2|Stereo speakers|||Grey, silver|16.7 million colours|Plug and Play, FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-1, DDC-2B, ISO 13406-2, MPR III, PCT, VESA DPMS, TUV Ergo, DDC/CI, RoHS, TCO Displays 5.0|1000:1||"LCD monitor - 17"""||||36.8 cm x 23 cm x 35.9 cm||Height, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||3 years warranty|Compatible with Windows 7|1280 x 1024 at 60 Hz|TN||0.264 mm|||"NEC MultiSync LCD175M - LCD monitor - 17"""||||5 ms|||Integrated|||||||5.2 kg
|"OHC24 Shop : Monitor > Monitor search help > EIZO Foris FS2333 >  23"" Wide >  Lautsprecher >  IPS >  21371"|Widescreen - 16:9|250 cd/m2|Remote control|||Black|16.8 million colours|FCC Class B certified, TUV, TUV GS, C-Tick, TUV S, CB, ICES-003 Class B, TUV Ergo, RoHS, WEEE, GOST-R, cTUVus, VCCI Class B|1000:1 / 5000:1 (dynamic)||"LED-backlit LCD monitor - 23"""||||54.5 cm x 20 cm x 39 cm - with stand||Height, swivel, tilt|||ENERGY STAR Qualified||||||2xHDMI, DVI-D, VGA|||||5 years warranty||FullHD 1920 x 1080 at 50 Hz|IPS||0.265 mm|||"EIZO Foris FS2333 - LED monitor - 23"""||||16 ms (On/Off); 3.4 ms (grey-to-grey)|||Integrated|||||||5.4 kg
|OHC24 Shop : Monitor > 80 Zoll and greater > NEC 60002612||||||Black||||||"82"""|207 cm||193 cm x 15 cm x 114 cm - without stand|1080p (FullHD)|||||Ambient light sensor (ALS), temperature sensor, portrait mode, TileComp, TileMatrix||1 port(s)||16:9||||||3 years warranty||||DVI, HDMI||AC 120/230 V ( 50/60 Hz )|900 Watt|"NEC MultiSync LCD8205 - 82"" LCD flat panel display"|LCD flat panel display|Remote control|1920 x 1080|||2 speakers|||S-PVA|No tuner||Component, composite, HDMI, S-Video||145 kg
|OHC24 Shop : Monitor > Monitor search help > Star Micronics SCD-400/CUST. DIS. WHITE VER 2 CUSTOMER 99253000|||||2 lines x 20 characters|White||FCC Class A certified, VDE Class B|||Customer display||||11 cm x 4.5 cm x 23 cm||||||||||||||||||||||||Star SCD-400 - customer display||||||||||||||0.8 kg
|OHC24 Shop : Monitor > Monitor search help > ASUS - VS24AHL 90LM00A0-B02370|Widescreen - 16:10|300 cd/m2||||Black|16.7 million colours|UL, VCCI, C-Tick, BSMI, cUL, WHQL, CB, FCC, RoHS, WEEE, PSE Mark, J-MOSS, ErP Ready, TCO Displays 6.0|1000:1 / 80000000:1 (dynamic)||"LED-backlit LCD monitor - 24.1"""||||56.16 cm x 22.48 cm x 53.45 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA|||||3 years warranty||1920 x 1200|IPS||0.27 mm|||"ASUS VS24AHL - LED monitor - 24.1"""||||5 ms (grey-to-grey)|Anti-glare|||||||||6.1 kg
|"OHC24 Shop : Monitor > Monitor search help > Iiyama P1905S-B2 48CM 19IN LED 48.3 cm (19"")/ 1.280 x"|5:4|300 cd/m2||||Black|16.7 million colours|TUV GS, VESA DPMS|1000:1||"LED-backlit LCD monitor - 19"""||||41.45 cm x 20.05 cm x 42.05 cm||Tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||||1280 x 1024|TN||0.294 mm|||"Iiyama ProLite P1905S-2 - LED monitor - 19"""||||5 ms|8H Hard Coating||Integrated|||||||4.6 kg
|OHC24 Shop : Monitor > Monitor search help > LG - 23MB35PY-B|Widescreen - 16:9|250 cd/m2||||Anthracite dark|16.7 million colours|Plug and Play, FCC Class B certified, CSA, UL, TUV GS, EN 61000-3-3, EN55024, TUV Ergo, DDC/CI, ISO 9241-307, EN 61000-3-2:2006, TCO Displays 6.0, EN 60950-1:2006, EN55022:2006 Class B|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 23"""||||54.8 cm x 24.6 cm x 36.7 cm - with stand||Height, swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort|||||||1920 x 1080 at 60 Hz|AH-IPS||0.265 mm|||"LG 23MB35PY-B - LED monitor - 23"""||||5 ms (grey-to-grey)|Anti-glare, 3H Hard Coating||Integrated|||||||4.5 kg
|"OHC24 Shop : Monitor > Monitor search help > AOC i2276Vw/22"" IPS LED Monitor > 1920 x 1080 >  5ms >  DVI / I2276VW"|Widescreen|250 cd/m2||||Black|16.7 million colours|Plug and Play, GOST, RoHS, ISO 9241-307, TCO '06, cTUVus, TUV Bauart, EuP|1000:1 / 50000000:1 (dynamic)||"LED-backlit LCD monitor - 21.5"""||||55.28 cm x 13.05 cm x 40.16 cm - with stand||Tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||3 years warranty||1920 x 1080 at 60 Hz|IPS||0.248 mm|||"AOC i2276Vw - Value Series - LED monitor - 21.5"""||||6 ms (grey-to-grey)||||||||||3.16 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions 2242L Open Frame Monitor 22-inch E667969|Widescreen - 16:10|270 cd/m2|Touch-screen||||16.7 million colours|UL, VCCI, C-Tick, BSMI, GOST, cUL, NOM, CB, CCC, IC, MIC, EK, FCC, RoHS, WEEE, S Mark|1000:1||"LCD monitor - 22"""||||53.7 cm x 7.7 cm x 36 cm|||||||||||DVI-D, VGA|||Worldwide||3 years warranty||1680 x 1050 at 60 Hz|||0.282 mm|||"Elo 2242L - LCD monitor - 22"""||||5 ms||||||||||8.8 kg
|"OHC24 Shop : Monitor > Monitor search help > LG Electronics Monitor 19"" 19MB15T-B Touch 19MB15T-B.AEU"|5:4|250 cd/m2||||Black|16.7 million colours|FCC Class B certified, TUV GS|5000000:1 (dynamic)||"LED-backlit LCD monitor - 19"""||||40.6 cm x 9.4 cm x 34.5 cm - with stand||Tilt|||||||||VGA|||||||1280 x 1024|IPS|||||"LG 19MB15T-B - LED monitor - 19"""||||14 ms||||||||||3.8 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions ET1517L TOUCHDISPLAY 1517L E579160|4:3|250 cd/m2|Touch-screen|||White|16.2 million colours|UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, S Mark, China RoHS|700:1||"LED-backlit LCD monitor - 15"""||||35.8 cm x 19.7 cm x 31.9 cm - with stand|||||||||||VGA|||Worldwide||3 years warranty||1024 x 768 at 75 Hz||||||"Elo Desktop Touchmonitors 1517L IntelliTouch - LED monitor - 15"""||||16 ms|Anti-glare|||||||||4.3 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama PL T1731SR-B1|5:4|200 cd/m2|Touch-screen , stereo speakers|||Black|16.7 million colours|Plug and Play, FCC Class B certified, UL, TUV, VCCI Class B ITE, cUL|900:1||"LCD monitor - 17"""||||38.7 cm x 34.2 cm x 20.2 cm||Tilt|||||||||DVI-D, VGA|||||||1280 x 1024|TN||0.264 mm|||"Iiyama ProLite T1731SR-B1 - LCD monitor - 17"""||||5 ms|||Integrated|||||||5.7 kg
|OHC24 Shop : Monitor > Monitor search help > Barco - MDSC-2242 K9307914|Widescreen - 16:9|500 cd/m2|Remote control|||White, RAL 9003|1.07 billion colours|UL, DEMKO, IEC 60601-1-2, EMC, CEBEC, KEMA, UL 60601-1, FCC CFR47 Part 15, WEEE, EN 55011, cULus, REACH, CISPR 11, CAN/CSA C22.2 No. 601.1-M90, IP21, IPX5, RoHS2, IEC 60601-1, FCC CFR47 Part 18 B|4000:1||"LED-backlit LCD monitor - 2MP - colour - 42"""||||101.5 cm x 9 cm x 60.8 cm - without stand|||||||||||DVI-I, DisplayPort, HD-SDI|||United States, Europe||3 years warranty||1920 x 1080|AMLCD||0.4845 mm|||"Barco MDSC-2242 - LED monitor - 2MP - colour - 42"""||||8 ms (grey-to-grey)|Anti-reflective|||||||||24 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama PL T1931SR-W1|5:4|200 cd/m2|Touch-screen , stereo speakers|||White|16.7 million colours|Plug and Play, FCC Class B certified, UL, TUV, VCCI Class B ITE, cUL|900:1||"LCD monitor - 19"""||||43.1 cm x 39.1 cm x 21.8 cm||Tilt|||||||||DVI-D, VGA|||||||1280 x 1024|TN||0.294 mm|||"Iiyama ProLite T1931SR-W1 - LCD monitor - 19"""||||5 ms|||Integrated|||||||6.5 kg
|OHC24 Shop : Monitor > Monitor search help > HP EliteDisplay - E271i D7Z72AA#UUZ|Widescreen - 16:9|250 cd/m2|USB Hub|||Silver grey||Plug and Play, VCCI, BSMI, NOM, TUV S, CB, CCC, PSB, FCC, KCC, TCO Certified Edge, KC, CECP, CEL, EPA|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 27"""||||64.2 cm x 5.22 cm x 38.73 cm - without stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified , EPEAT Gold||||||DVI-D, VGA, DisplayPort|||German, French, Italian / Switzerland||3 years warranty|Compatible with Windows 7|1920 x 1080 at 60 Hz|IPS||0.311 mm|||"HP EliteDisplay E271i - LED monitor - 27"""||||7 ms (grey-to-grey)|Anti-glare|||||||||4.9 kg
|"OHC24 Shop : Monitor > Monitor search help > Samsung Monitor 22"" S.master S22C450DW LS22C45UDW/EN"|Widescreen - 16:10|250 cd/m2|USB Hub|||Matte black|||1000:1||"LED-backlit LCD monitor - 22"""||||50.24 cm x 21 cm x 38.85 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort|||||||1680 x 1050|TN|||||"Samsung S22C450DW - LED monitor - 22"""||||5 ms||||||||||5.1 kg
|"OHC24 Shop : Monitor > Monitor search help > BenQ BL2211TM 55.88cm (22"") LED Display 1680 x 9H.LATLA.HPE"|Widescreen - 16:10|250 cd/m2||||Matte black|16.7 million colours|TUV GS, EN 60950, TUV Ergo, ISO 9241-307, TCO Displays 6.0|1000:1 / 12000000:1 (dynamic)||"LED-backlit LCD monitor - 22"""||||52.2 cm x 6.1 cm x 34.8 cm - without stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI, VGA|||||3 years warranty||1680 x 1050|TN||0.282 mm|||"BenQ BL2211TM - LED monitor - 22"""||||5 ms|||Integrated|||||||
|OHC24 Shop : Monitor > Monitor search help > Elo - 1915L AccuTouch E607608||187 cd/m2|Touch-screen|||Dark grey|16.7 million colours|FCC Class B certified, IC Class B, UL, TUV GS, VCCI Class B ITE, cUL, C-Tick Class B, RoHS|1000:1||"LCD monitor - 19"""||||42.9 cm x 20.7 cm x 38.6 cm|||||||||||VGA|||Worldwide||||1280 x 1024 at 75 Hz||||||"Elo 1915L AccuTouch - LCD monitor - 19"""||||5 ms||||||||||7.9 kg
|"OHC24 Shop : Monitor > Monitor search help > Iiyama PROLITE B2280WSD-W1 22IN 56CM 55.9 cm (22 "")/"|Widescreen - 16:10|250 cd/m2||||White|16.7 million colours|TUV GS, VESA DPMS, TCO Displays 5.0|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 22"""||||51.25 cm x 24.45 cm x 42.35 cm||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||||1680 x 1050|TN||0.282 mm|||"Iiyama ProLite B2280WSD-1 - LED monitor - 22"""||||5 ms|||Integrated|||||||5.5 kg
Yes|OHC24 Shop : Monitor > Monitor search help > Sony Personal 3D Viewer HMZ-T3W 2x OLED|Widescreen - 16:9||||||||||Head mounted display||||18.9 cm x 27 cm x 14.8 cm||||||||||||||||||1280 x 720||||||Sony Personal 3D Viewer HMZ-T3W - 3D head mounted display||||||||||||||320 g
|OHC24 Shop : Monitor > Monitor search help > NCR 2X20 VFD DISPLAY CHARCOAL 2 LINE X 20 CHAR 5975-1001-9082|||||2 lines x 20 characters|Charcoal grey|||||Customer display||||15 cm x 12.2 cm x 4.6 cm||||||||||||||||||||||||NCR RealPOS 5975 - customer display||||||||||||||
|OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions ET1717L TOUCHDISPLAY E214112|5:4|250 cd/m2|Touch-screen|||White|16.7 million colours|UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, S Mark, China RoHS|800:1||"LED-backlit LCD monitor - 17"""||||39.2 cm x 21.5 cm x 36.1 cm - with stand|||||||||||VGA|||Worldwide||3 years warranty||1280 x 1024 at 75 Hz||||||"Elo Desktop Touchmonitors 1717L IntelliTouch - LED monitor - 17"""||||5 ms (tr - tf)|Anti-glare|||||||||5.4 kg
|"OHC24 Shop : Monitor > Monitor search help > NEC EA294WMI BLACK 73 > 7CM 29IN 73.7 cm (29 "")/ 1.920 60003417"|Widescreen - 21:9|300 cd/m2|USB Hub|||Black|16.8 million colours|FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-2B, DDC-2Bi, MPR III, PCT, VESA EDID, CCC, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, GEEA, ERP, TCO Displays 6.0|1000:1||"LED-backlit LCD monitor - 29"""||||70.58 cm x 23 cm x 41.04 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified , EPEAT Gold||||||HDMI, 2xDVI-D, VGA, DisplayPort|||||3 years warranty|Compatible with Windows 7|2560 x 1080|IPS|||||"NEC MultiSync EA294WMi - LED monitor - 29"""||||14 ms|||Integrated|||||||7.5 kg
|OHC24 Shop : Monitor > Monitor search help > Intellinet - KVM-Konsole mit KVM-Switch - 8 506540|4:3|250 cd/m2|Keyboard, touchpad|||Black|16.2 million colours|Plug and Play, FCC Class B certified, RoHS|400:1||"KVM console - 17"""||||44.6 cm x 63.6 cm x 4.2 cm|||||||||1U||VGA|8 ports||||3 years warranty||2048 x 1536 at 60 Hz|||0.264 mm|||"Intellinet KVM console - 17"""||||||||||||||20.6 kg
|OHC24 Shop : Monitor > Monitor search help > 3M M1866PW 47CM 18 > 5IN LED TOUCH 6MS BLACK 20TP DE272920856|Widescreen - 16:9|250 cd/m2|Touch-screen||||16.7 million colours|FCC Class B certified, TUV, C-Tick, RoHS|1000:1||"LED-backlit LCD monitor - 18.5"" - Multi-Touch"||||45.3 cm x 18 cm x 35.5 cm|||||||||||HDMI, VGA, DisplayPort|||||1 year warranty|Compatible with Windows 7|1366 x 768|IPS||0.3 mm|||"3M Multi-touch Display M1866PW - LED monitor - 18.5"""||||9 ms|||Integrated|||||||4.9 kg
|OHC24 Shop : Monitor > Monitor search help > Hewlett-Packard HP EliteDisplay E190i TFT Display E4U30AT#UUZ|5:4|250 cd/m2|USB Hub|||Black|16.7 million colours|Plug and Play, CSA, UL, TUV, VCCI, GS, CCC, FCC, ISO 9241-307, KCC, CISPR, MEPS, KC, CECP, EuP, TCO Displays|1000:1 / 3000000:1 (dynamic)||"LED-backlit LCD monitor - 18.9"""||||41.7 cm x 4.7 cm x 34.7 cm - without stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified , EPEAT Gold||||||DVI-D, VGA, DisplayPort|||German, French, Italian / Switzerland||||1280 x 1024 at 60 Hz|IPS||0.2928 mm|||"HP EliteDisplay E190i - LED monitor - 18.9"""||||14 ms (grey-to-grey)|Anti-glare, anti-static|||||||||3 kg
|OHC24 Shop : Monitor > Monitor search help > Philips 231S4LSB/00 58 > 4CM/23IN LED 250CD/QM 5 MS|Widescreen - 16:9|250 cd/m2||||Textured black with black stand|16.7 million colours|Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, WEEE, TCO Displays 5.2|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 23"""||||54.7 cm x 20.7 cm x 43.1 cm - with stand||Tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||3 years warranty||FullHD 1920 x 1080 at 60 Hz|||0.265 cm|||"Philips S-line 231S4LSB - LED monitor - 23"""||||5 ms||||||||||3.68 kg
|"OHC24 Shop : Monitor > Monitor search help > Samsung Monitor 23"" S.master S23C450B LS23C45KBS/EN"|Widescreen - 16:9|250 cd/m2||||Matte black|16.7 million colours||1000:1||"LED-backlit LCD monitor - 23"""||||54.29 cm x 22.4 cm x 47.46 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||3 years warranty|Compatible with Windows 7|FullHD 1920 x 1080|TN||0.2655 mm|||"Samsung S23C450B - LED monitor - 23"""||||5 ms||||||||||4.6 kg
|OHC24 Shop : Monitor > Monitor search help > Roline 26.50.0203||250 cd/m2|Keyboard, touchpad|||Black|||400:1||"KVM console - 19"""|||||||||||||1U|||PS/2||||||1280 x 1024||||||"Secomp ROLINE KVM console - 19"""||||||||||||||
|"OHC24 Shop : Monitor > Monitor search help > Iiyama XB2779QS-B1 69CM 27IN LED 68.6 cm (27"")/"|Widescreen - 16:9|440 cd/m2||||Black|16.8 million colours|VESA DPMS, PSE Mark, GOST-R, TUV Bauart, VCCI Class B|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 27"""||||65 cm x 23 cm x 43.55 cm - with stand||Height, swivel, tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA, DisplayPort|||||||QHD 2560 x 1440|AH-IPS||0.233 mm|||"Iiyama ProLite XB2779QS-1 - LED monitor - 27"""||||5 ms|||Integrated|||||||8.2 kg
|OHC24 Shop : Monitor > Monitor search help > LG Electronics FLATRON 22MN43D-PZ 54 > 61CM 54.6 cm|Widescreen - 16:9|200 cd/m2||||Matte black|16.7 million colours|Plug and Play, TUV, DDC-2B, EN 61000-3-3, EN55024, EN55022 Class B, EN 61000-3-2:2006, EN 60950-1:2006|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 21.5"""|||DVB-C, DVB-T|50.86 cm x 18.09 cm x 38.65 cm - with stand||Tilt|Class B||ENERGY STAR Qualified||||||HDMI, VGA , composite video, component video|||||||FullHD 1920 x 1080|TN||0.248 mm|||"LG 22MN43D-PZ - LED monitor - 21.5"""||||5 ms (grey-to-grey)|Anti-glare, 3H Hard Coating||Integrated|||||||3.4 kg
|OHC24 Shop : Monitor > Monitor search help > Elo - 1931L IntelliTouch Zero Bezel/iTouch Plus E000394|5:4|225 cd/m2|Touch-screen|||Black|16.7 million colours|UL, VCCI, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, E-Standby, China RoHS, RCM|1000:1||"LED-backlit LCD monitor - 19"" - Multi-Touch"||||42 cm x 4.2 cm x 34.8 cm|||||||||||DVI-D, VGA|||Worldwide||3 years warranty||1280 x 1024 at 75 Hz||||||"Elo Open-Frame Touchmonitors 1931L IntelliTouch Zero Bezel/iTouch Plus - LED monitor - 19"""||||14 ms||||||||||4.3 kg
|OHC24 Shop : Monitor > Monitor search help > ASUS - MX299Q 90LM0080-B01170|Widescreen - 21:9|300 cd/m2||||Black, silver|16.7 million colours|UL, VCCI, C-Tick, BSMI, cUL, WHQL, CB, CCC, FCC, RoHS, WEEE, J-MOSS, ErP Ready|1000:1 / 80000000:1 (dynamic)||"LED-backlit LCD monitor - 29"""||||70.02 cm x 21.51 cm x 39.1 cm - with stand||Tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, DisplayPort||||||Compatible with Windows 7|FullHD 2560 x 1080|AH-IPS||0.2628 mm|||"ASUS MX299Q - LED monitor - 29"""||||5 ms (grey-to-grey)|||Integrated|||||||5.5 kg
|OHC24 Shop : Monitor > Monitor search help > Hewlett-Packard HP Graphical POS Pole Display 2-line QZ704AA||700 cd/m2|||2 lines x 20 characters|HP jack black||FCC Class B certified, C-Tick, WHQL, ICES-003 Class B, MIC, RoHS, WEEE|||Customer display||||22.6 cm x 4.025 cm x 7.2 cm - without stand|||||||||||||||||||||0.495 mm|||HP Graphical POS Pole Display - customer display||||||||||||||586.9 g
