3d technology|3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|features|firewireilink|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product code|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
||LH22UDBPLBB/EN, 2514217, Samsung, LCD Monitor, JR Linton|||||1:1|Edge LED|Samsung|450 cd/m²||||16.7 Million Colours|||4,000:1||79.5 mm|||Yes|Yes|||||||||Yes||393.3 mm|||178°|||Samsung|LH22UDBPLBB/EN||960 x 960|Wall Mountable|Yes|1|||67 W|||||PC|||SyncMaster|UD22B|SyncMaster UD22B Widescreen LCD Monitor||LCD Monitor|||6 ms||"55.9 cm (22"")"||||||1 W||||||||178°|Yes|300 x 300|Yes||5.80 kg||393.3 mm|
||220P4LPYEB/00, 2674289, Philips, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|Philips|250 cd/m²|['USB Hub', 'Speaker']|BSMICE MarkFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL|Black|16.7 Million Colours|||1,000:1||59 mm|220 mm||Yes|Yes|||['SmartImage', 'SmartErgoBase', 'Security Lock', 'PowerSensor']|||['EPEAT Gold', 'ENERGY STAR 5.0', 'TCO Certified Edge', 'WEEE', 'RoHS', 'TCO Certified Displays 5.2']|Yes|Yes||Yes|349 mm|517 mm||170°|['220 V AC', '110 V AC']||Philips Electronics|220P4LPYEB/00||1680 x 1050|||1|2||16.80 W|||||['PC', 'Mac']|65%||Brilliance|220P4LPYEB|Brilliance LCD Monitor, LED Backlight with PowerSensor|P|LCD Monitor|Yes|Plastic|5 ms|WSXGA+|"55.9 cm (22"")"||||Yes|60 Hz|300 mW||||||Yes|USB 2.0|160°|Yes|100 x 100|Yes||3.38 kg|5.50 kg|504 mm|504 mm
||EV2316WFS3-BK, EIZOEV2316WFSBK, Eizo Nanao, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9||Eizo|250 cd/m²|['Speaker', 'USB Hub']|CE TÜV GS ISO 9241-307 Class 1|Black|16.7 Million Colours|||1,000:1|||230 mm||Yes|Yes|||['EcoView Sense', 'EcoView Index', 'EcoView Optimizer', 'Auto EcoView']|||['TÜV', 'ENERGY STAR', 'TCO Certified Displays 6.0']|Yes|Yes||Yes||480 mm||170°||5 Year|Eizo Nanao Tech|EV2316WFS3-BK|140 mm|1920 x 1080|||1|||43 W|FlexScan EV2316WFS3 Widescreen LCD Monitor Manual in German, English and French Power cable Signal cables (DP-DP and DVI-D-DVI-D) ICC colour profile|||Twisted Nematic Film (TN Film)||||FlexScan|EV2316WFS3|FlexScan EV2316WFS3 Widescreen LCD Monitor|EV|LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"||||Yes|61 Hz|300 mW||172°|||-5°to35°|Yes|USB 2.0|160°|||Yes||5.40 kg|||540 mm
||UM.EB6EE.009, 3051252, Acer, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|Acer|250 cd/m²|||White|16.7 Million Colours|||100,000,000:1||52 mm|221.20 mm|||Yes||||||['EPEAT Gold', 'TCO Certified Displays 6.0']|Yes|Yes|||333.1 mm|534.10 mm||170°|['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.EB6EE.009|150 mm|1680 x 1050|||1||350 mW|17.20 W|B246HL Widescreen LCD MonitorPower Cord1 x VGA Cable1 x DVI Cable|||Twisted Nematic Film (TN Film)|||||B226WL|B246HL Widescreen LCD Monitor|B|LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"|Anti-glare|||Yes|60 Hz|450 mW||60°|||-5°to35°|||160°|Yes|100 x 100|Yes||3.09 kg|5.75 kg|505.8 mm|505.80 mm
||19B1CS/86, Philips, LCD Monitor, JR Linton||Yes|Yes|Yes|5:4||Philips|250 cd/m²|Speaker|BSMICE MarkFCC Class BGOSTSEMKOTUV ErgoTUV/ GSUL/ cUL|['Silver', 'Black']|16.7 Million Colours|||25,000:1||68 mm|201 mm|||Yes|||['TrueVision', 'SmartImage', 'SmartErgoBase', 'Security Lock']|||['TCO Certified Displays 5.2', 'ENERGY STAR 5.0', 'RoHS', 'EPEAT Silver']|Yes|Yes|||350 mm|442 mm||176°|['110 V AC', '220 V AC']|3 Year|Philips Electronics|19B1CS/86||1280 x 1024|||1|2|500 mW|18.20 W|||||['PC', 'Mac']|||Brilliance|19B1CS|Brilliance LCD Monitor with Ergo Base, USB, Audio|B|LCD Monitor|||5 ms|SXGA|"48.3 cm (19"")"||||Yes|60 Hz|800 mW||||||Yes|USB 2.0|170°|Yes|100 x 100|Yes||3.50 kg|4.60 kg|404 mm|404 mm
||60003147, NECLCDV651, NEC Display Solutions, LCD Monitor, JR Linton|||||16:9||NEC Display|400 cd/m²|Speaker|||16.7 Million Colours||Yes|5,000:1||118.9 mm|512 mm||Yes|Yes|||||||||Yes||909.2 mm|944.70 mm||178°|||NEC Display Solutions|60003147||1920 x 1080|Wall Mountable||1|||330 W|||||['Mac', 'PC']|||MultiSync|V651|MultiSync V651 Widescreen LCD Monitor||LCD Monitor|||8 ms|Full HD|"162.6 cm (64"")"||||Yes|60 Hz|1.90 W|Yes|||||||178°|Yes|400 x 200|Yes||53.80 kg|56.70 kg|1540.4 mm|1540.40 mm
||857-BBCJ, DELE1914H, Dell, LCD Monitor, JR Linton||Yes|||16:9|LED|Dell|200 cd/m²||||16.7 Million Colours|||600:1||46.5 mm|165.50 mm||||||['PowerNap', 'Security Lock']|||['China Energy Label (CEL)', 'EPEAT Silver', 'TCO Certified Displays', 'ENERGY STAR']|Yes||||267 mm|354.10 mm||90°|['220 V AC', '110 V AC']|3 Year|Dell, Inc|857-BBCJ||1366 x 768|Wall Mountable||1||500 mW|18 W|E1914H Widescreen LCD Monitor Stand Riser Stand Base VESA Screw Cover Power Cable VGA Cable Drivers and Documentation Media Quick Setup Guide Product Information Guide||1|Twisted Nematic Film (TN Film)|||||E1914H|E1914H Widescreen LCD Monitor||LCD Monitor|||5 ms|HD|"47 cm (18.5"")"|Anti-glare||||60 Hz|500 mW||||||||65°|Yes|100 x 100|Yes||2.39 kg||446.4 mm|446.40 mm
||ET.CV3RE.D25, 865W073, Acer, LCD Monitor, JR Linton||Yes|No|No|4:3||Acer|250 cd/m²|||Black|16.7 Million Colours|||50,000:1||180.4 mm||||||||||"[""TCO '05"", 'TCO Displays 5.0']"|Yes||||406.8 mm|||178°||3 Year|Acer, Inc|ET.CV3RE.D25|No|1280 x 1024|Wall Mountable||1||530 mW|18.50 W|V193DOb LCD MonitorPower CableVGA Cable|||Twisted Nematic Film (TN Film)|||||V193DOb|V193DOb LCD Monitor|V3|LCD Monitor|||5 ms|SXGA|"48.3 cm (19"")"|||||75 Hz|530 mW||No|||-5°to15°|||178°|Yes|100 x 100|Yes||3.91 kg||408 mm|
||274E5QHAW/00, 2716378, Philips, LCD Monitor, JR Linton||Yes|||16:9|LED|Philips|250 cd/m²|Speaker|BSMI CE Mark cETLus FCC Class B GOST SASO SEMKO TUV/ISO9241-307|Glossy White|16.7 Million Colours|||1,000:1||46 mm|237 mm||||||['Sync on Green', 'SmartResponse', 'TrueVision', 'Security Lock', 'SmartImage', 'Mobile High-Definition Link (MHL)']|||['EPEAT Silver', 'ENERGY STAR 6.0', 'TCO Certified Displays 6.0', 'WEEE', 'RoHS']|Yes|Yes|Yes|Yes|375 mm|470 mm||178°|['220 V AC', '110 V AC']|3 Year|Philips Electronics|274E5QHAW/00||1920 x 1080|||1|2|300 mW|25.60 W||||Advanced High Performance In-plane Switching (AH-IPS) Technology|['PC', 'Mac']||||274E5QHAW|"LCD Monitor with SmartImage Lite 274E5QHAW Ultra Narrow Bezel 27"" / 68.6cm MHL"||LCD Monitor|||5 ms|Full HD|"68.6 cm (27"")"||||Yes|60 Hz|500 mW||||||||178°|Yes|100 x 100|Yes||4.88 kg|5.10 kg|622 mm|622 mm
||RXW42, AGRXW42, AG Neovo, LCD Monitor, JR Linton|||||||AG Neovo|500 cd/m²|Speaker|||16.7 Million Colours|Yes|Yes|5,000:1||106 mm|190 mm|||Yes||||||['RoHS', 'WEEE']|Yes||||604 mm|667 mm||178°|['220 V AC', '110 V AC']||AG Neovo Technology Corporation|RXW42||1920 x 1080|||1|2|||RXW42 Widescreen LCD MonitorUser Manual15-Pin VGA Cable24-Pin DVI CablePower CordAudio CableIR Remote ControlWarranty||||||||RX-W42|RXW42 Widescreen LCD Monitor|RX|LCD Monitor|||6.50 ms|Full HD|"106.7 cm (42"")"||||Yes|||Yes|||||||178°|||Yes||27 kg|28.40 kg|1011 mm|1011 mm
||221S3LSB/00, Philips, LCD Monitor, JR Linton||Yes|||16:9|LED|Philips|250 cd/m²||BSMICEFCC Class BGOSTSEMKOTUV ErgoTUV/GSUL/cUL|Black|16.7 Million Colours|||1,000:1||59 mm|201 mm|||Yes|||['SmartPower', 'SmartTouch']|||['ENERGY STAR', 'EPEAT Silver', 'RoHS', 'TCO Certified Displays 5.1']|Yes|Yes|||323 mm|402 mm||176°|['220 V AC', '110 V AC']|2 Year|Philips Electronics|221S3LSB/00||1920 x 1080|||1||100 mW|16.81 W|||||['Mac', 'PC']|||Brilliance|221S3LSB|Brilliance 221S3LSB Widescreen LCD Monitor|S|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|||||60 Hz|100 mW||||||||170°|Yes|100 x 100|Yes||3.44 kg|3.85 kg|507 mm|507 mm
||MC914B/B, Apple, LCD Monitor, JR Linton|||||16:9|LED|Apple|375 cd/m²|['USB Hub', 'Speaker', 'Microphone', 'Camera']|||16.7 Million Colours|||1,000:1|||||||||Security Lock|Yes||||||||||178°|['220 V AC', '110 V AC']|1 Year|Apple, Inc|MC914B/B||2560 x 1440||Yes|1|||250 W|Thunderbolt Display (27-Inch)AC Power LeadMagSafe to MagSafe 2 ConverterPrinted Documentation|||||||||Thunderbolt Display (27-Inch)||LCD Monitor|||12 ms|WQHD|"68.6 cm (27"")"||||Yes||2 W||||Yes||Yes|USB 2.0|178°|Yes||||10.80 kg|||
||XUB2790HS-B1, 3009765, Iiyama, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|iiyama|250 cd/m²|Speaker|CE VCCI-B PSE TUV-Bauart Economy Mode Law on Promoting Green Purchasing|Black Marvel|16.77 Million Colors|||5,000,000:1||230 mm||Landscape||Yes|||['OverDrive', 'i-Style-Color', 'Ultra Slim']|||['TÜV', 'Green Star', 'RoHS-6', 'TCO Certified Displays', 'ENERGY STAR']|Yes|Yes|Yes|Yes|433 mm|||89°|['220 V AC', '110 V AC']||iiyama North America, Inc|XUB2790HS-B1|130 mm|1920 x 1080|Wall Mountable||1|2||55 W||||Advanced High Performance In-plane Switching (AH-IPS) Technology|['PC', 'Mac']|||ProLite|XUB2790HS|ProLite XUB2790HS Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"68.6 cm (27"")"|Anti-glare|||Yes|59.93 Hz|||||||||89°|Yes|100 x 100|Yes|No|4.25 kg|6.50 kg|622.5 mm|
||861-10383, 0912945, Dell, LCD Monitor, JR Linton|||||16:10|LED|Dell|250 cd/m²|USB Hub||Silver|16.78 Million Colors|||2,000,000:1||59.8 mm|183.30 mm||Yes|Yes|||||Click to view|['China Energy Label (CEL)', 'TCO Certified Displays', 'ENERGY STAR', 'EPEAT Gold']|Yes||||332.7 mm|497.40 mm||||3 Year|Dell, Inc|861-10383||1680 x 1050|||1|||45 W|"Professional P2213 56cm (22"") Monitor with LED Stand Power cable DVI cable USB cable VGA cable Drivers and documentation media Quick setup guide Safety information"|||||25%||Professional|P2213|"Professional P2213 56cm (22"") Monitor with LED"||LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"||||||||||||Yes|||Yes||Yes||3.43 kg||510.4 mm|510.40 mm
||60002712, 3967364, NEC Display Solutions, LCD Monitor, JR Linton|||||16:9|CCFL|NEC Display|700 cd/m²||CETUV GSC-tickFCC Class BUL / C-UL or CSACCCPSBVCCI|Black|16.7 Million Colours|Yes|Yes|4,000:1||150 mm||Landscape/Portrait|Yes|Yes|||['CableComp', 'Smart Scheduling', 'Ambient Light Sensor', 'Carbon Footprint Meter', 'Auto Brightness Control (ABC)', 'Screen Saver', 'TileMatrix Support', 'Off Timer', 'Zoom', 'Picture on Picture', 'Picture in Picture', 'Video Wall', 'TileComp']|||['ENERGY STAR 5.0', 'EuP', 'RoHS']|Yes|Yes|Yes||721 mm||||['220 V AC', '110 V AC']|3 Year|NEC Display Solutions|60002712||1920 x 1080||Yes|1|||280 W|MultiSync P551 Widescreen LCD MonitorPower Cord15-pin D-sub CableSetup SheetWireless Remote ControlBatteriesMain Switch CoverCD-ROM (User Manual)3 x Clamp9 x Screw||||['Mac', 'PC']|||MultiSync|P551|MultiSync P551 Widescreen LCD Monitor|P|LCD Monitor|||8 ms|Full HD|"139.7 cm (55"")"|||||60 Hz|1 W|Yes||||||||Yes|400 x 400|Yes||40.01 kg||1250.2 mm|
||60A4RAT1EU, S604EA3, Lenovo, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|Lenovo|300 cd/m²|USB Hub|CTUVusCSACB ReportNEMKONOMSASOTUV-GSCCCGOSTPSBBSMIKCJEIDATUV-SISCKVALITETKUCASINSMSABSSTZBELLISOTANKONCARCSMSONCAPEMIFCC BICCEVCCIKCC-TickSABSBSMICCCERGONOMICVOCCECPe-Standby|Business Black|1.07 Billion Colors|||1,000:1||62 mm|241.81 mm||Yes|Yes|||['Picture in Picture', 'Picture by Picture', 'Mobile High-Definition Link (MHL)', 'Security Lock', 'Digital Daisy Chain']|||['Turkey RoHS', 'TCO Certified Edge', 'TCO Certified Displays 6.0', 'REACH', 'ENERGY STAR 6.0', 'ULE Gold', 'China RoHS', 'EPEAT Gold', 'EPA', 'CECP', 'China Energy Label (CEL)', 'Taiwan Green Mark']|Yes||Yes|||471.17 mm||178°|['220 V AC', '110 V AC']||Lenovo Group Limited|60A4RAT1EU||2560 x 1600|||1||500 mW|130 W|||1|Advanced High Performance In-plane Switching (AH-IPS) Technology|PC|||ThinkVision|LT3053p|ThinkVision LT3053p 30-inch WQXGA IPS LED Backlit LCD Professional Monitor||LCD Monitor|||6 ms|WQXGA|"76.2 cm (30"")"|||||60 Hz|1.20 W||||||Yes|USB 3.0|178°|Yes|100 x 100|Yes||11.50 kg||690.1 mm|690.12 mm
||B2283HS-B1, II-B2283HS-B1, Iiyama, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|iiyama|250 cd/m²||CE TUV-GS VCCI-B CU ISO-9241-307:2008|Black|16.7 Million Colours|||5,000,000:1||56.5 mm|230 mm|||Yes|||['Security Lock', 'Flicker-free', 'Display Power Management Signaling (DPMS)']|||['TÜV', 'ENERGY STAR', 'TCO Certified Displays 6.0']|Yes|Yes|Yes|Yes|310.5 mm|501.50 mm||170°|['120 V AC', '230 V AC']|3 Year|iiyama North America, Inc|B2283HS-B1|130 mm|1920 x 1080|||1|2||21 W|ProLite B2283HS Widescreen LCD Monitor Power Cable VGA Cable DVI-D Cable Audio Cable Stand Quick Start Guide Safety Guide|||Twisted Nematic Film (TN Film)|['Mac', 'PC']|||ProLite|B2283HS|ProLite B2283HS Widescreen LCD Monitor||LCD Monitor|||2 ms|Full HD|"55.9 cm (22"")"||||Yes|75 Hz|500 mW||90°|||5°to22°|||160°|Yes|100 x 100|Yes||4.80 kg||505 mm|505 mm
||VA2046A-LED, B921483, ViewSonic, LCD Monitor, JR Linton||Yes|||16:9|LED|Viewsonic|200 cd/m²||CB UL cUL FCC-B TUV-S NOM CE GOST-R+Hygienic SASO Ukraine CCC BSMI PSB C-TICK|Black|16.2 Million Colours|||600:1||49 mm|197.60 mm|||No|||['Eco Mode', 'Security Lock']|||['WEEE', 'RoHS', 'China Energy Label (CEL)']|Yes|No|No||301.8 mm|360.20 mm||90°|['220 V AC', '110 V AC']|2 Year|Viewsonic Corporation|VA2046A-LED||1600 x 900|Wall Mountable||1|||18 W|20'' LED Display 1 x Power Cable 1 x D-Sub Cable 1 x Quick Start Guide 1 x CD-ROM||||['Mac', 'PC']||||VA2046a-LED|20'' LED Display||LCD Monitor|||5 ms|HD+|"50.8 cm (20"")"|Anti-glare|||No|75 Hz|||||||No||65°|Yes|100 x 100|Yes||2.60 kg|3 kg|478.2 mm|478.20 mm
||LS24C570HL/EN, Samsung, LCD Monitor, JR Linton||Yes|||16:9|LED|Samsung|250 cd/m²|||High Glossy Black|16.7 Million Colours|||1,000:1||100 mm|200 mm||||||['Off Timer', 'MultiScreen', 'Magic Upscale', 'MagicTune', 'MagicBright3', 'MagicAngle', 'Eco Saving']||||||Yes||343 mm|567.80 mm||178°|['220 V AC', '110 V AC']||Samsung|LS24C570HL/EN||1920 x 1080|||1|||27 W|||||['PC', 'Mac']||||S24C570HL|S24C570HL Widescreen LCD Monitor|570|LCD Monitor|||5 ms|Full HD|"59.9 cm (23.6"")"||||||300 mW||||||||178°|||Yes||3.60 kg|4 kg|567.8 mm|436.50 mm
||60003608, NECMON767, NEC Display Solutions, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|NEC Display|250 cd/m²|['USB Hub', 'Speaker']|CE TÜV Ergonomics TÜV GS FCC Class B PCT/Gost UL/C-UL CSA ISO 9241-307 (pixel failure class I) DDC-2B DDC-2Bi|Black|16.77 Million Colors|||25,000:1||230 mm||Landscape/Portrait|Yes|Yes|||['Ultra Slim', 'Carbon Savings Meter', 'Carbon Footprint Meter', 'Ambient Light Sensor', 'Eco Mode', 'Intelligent Power Manager (IPM) System', 'OSD/Power Lock']|||['RoHS', 'MPR III', 'TCO Certified Edge', 'MPR II', 'ErP', 'EPEAT Gold', 'TCO Certified Displays 6.0', 'ENERGY STAR']|Yes|Yes|Yes|Yes|418 mm|||178°|['220 V AC', '110 V AC']|3 Year|NEC Display Solutions|60003608|130 mm|1920 x 1080|||1|2||31 W||||In-plane Switching (IPS) Technology|PC|||MultiSync|EA273WMi|MultiSync EA273WMi Widescreen LCD Monitor||LCD Monitor|||6 ms|Full HD|"68.6 cm (27"")"||||Yes|60 Hz|500 mW||170°|||5°to30°|Yes|USB 2.0|178°|Yes|100 x 100|Yes||8.70 kg||639.3 mm|
||C9F26AA#ABB, HP, LCD Monitor, JR Linton||Yes|||16:9|LED|HP|250 cd/m²|||Black||||1,000:1||47.5 mm|151.10 mm|||Yes|||Security Lock|||['EPEAT Gold', 'TCO Certified Displays', 'ENERGY STAR']|Yes|Yes|||294.1 mm|359.20 mm||170°|['220 V AC', '110 V AC']|3 Year|Hewlett-Packard|C9F26AA#ABB||1600 x 900|||1|||22 W|ProDisplay P201 50,8 cm (20'') LED Backlit Monitor (C9F26AA)VGA CableDVI CableAC PowerPrinted Documentation and CD|||||||Essential|P201|ProDisplay P201 50,8 cm (20'') LED Backlit Monitor||LCD Monitor|||5 ms|HD+|"50.8 cm (20"")"|Anti-glare|||||500 mW||||||||160°|Yes|100 x 100|Yes||3.50 kg||482 mm|482 mm
||9H.L9JLB.QBE, M352239, BenQ, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|BenQ|250 cd/m²|['USB Hub', 'Speaker']||Black|16.7 Million Colours|||5,000:1||259 mm|||Yes|Yes|||['Picture by Picture', 'Picture in Picture', 'Eco Mode', 'Senseye 3', 'Security Lock']|||['TCO Certified Displays 6.0', 'EPEAT Silver', 'ENERGY STAR']|Yes|Yes||Yes|504 mm|||178°|['110 V AC', '220 V AC']||BenQ Corporation|9H.L9JLB.QBE||1920 x 1080|Wall Mountable||1|2||23 W|||||PC||||BL2410PT|BL2410PT Widescreen LCD Monitor||LCD Monitor|Yes|Plastic|4 ms|Full HD|"61 cm (24"")"|Anti-glare|||Yes||200 mW||||||Yes||178°|Yes|100 x 100|Yes||6.70 kg||565 mm|
||203V5LSB26/10, 2788558, Philips, LCD Monitor, JR Linton||Yes|No|No|16:9|LED|Philips|200 cd/m²||BSMI CE Mark FCC Class B GOST SEMKO TUV/ISO9241-307 cETLus|Black|16.7 Million Colours|||600:1||48 mm|170 mm|||No|||['Sync on Green', 'SmartContrast', 'Security Lock']|||['WEEE', 'EPEAT Silver', 'RoHS', 'ENERGY STAR 6.0']|Yes|No|||285 mm|345 mm||90°|['220 V AC', '110 V AC']||Philips Electronics|203V5LSB26/10||1600 x 900|Wall Mountable|No|1||500 mW|14.52 W|||||['PC', 'Mac']|||V-line|203V5LSB26|LCD Monitor With SmartControl Lite||LCD Monitor|||5 ms|HD+|"49.5 cm (19.5"")"||||No|60 Hz|500 mW||||||||50°|Yes|100 x 100|Yes|No|2.03 kg|2.33 kg|465 mm|465 mm
||C3Z93A3#ABU, 9439AXK, HP, LCD Monitor, JR Linton||Yes|||16:9|LED|HP|250 cd/m²||CB CE FCC Marking ES 5.2 CSA/C-UL/C-ETL Mark UL/CSA-NTRL/ETL-NRTL Mark ICES CCC Bauart ISO9241-307 GOST 25861 HRN N N0.201 GOST R 50377-1992 GOST 25861 EEI IS 1121 SASO SABS IEC 60950-1 NOM-019-SCFI-1998 KC Mark KCC Mark PSB Mark ISC mark C-Tick|Black|16.77 Million Colors|||1,000:1||171 mm||||Yes|||Security Lock|||['ENERGY STAR', 'EPA', 'CECP', 'ErP', 'WEEE', 'REACH']|Yes|Yes|Yes||404 mm|||178°|['220 V AC', '110 V AC']|1 Year|Hewlett-Packard|C3Z93A3#ABU||1920 x 1080||No|1|||30 W|"Pavilion 23bw 58.4 cm (23"") IPS LED Backlit Monitor A/C Power Cable Power Adapter VGA Cable DVI-D Cable Cable Management Clip Documentation CD Set Up Poster Telephone Card"|||In-plane Switching (IPS) Technology|PC|||Pavilion|23bw|"Pavilion 23bw 58.4 cm (23"") IPS LED Backlit Monitor"||LCD Monitor|||7 ms|Full HD|"58.4 cm (23"")"|Anti-glare|||No|76 Hz|500 mW||||||||178°|||Yes|No|3.50 kg||532 mm|
||9H.LC8LA.TBE, 3003899, BenQ, LCD Monitor, JR Linton||Yes|No||16:9|LED|BenQ|300 cd/m²|||Glossy Black|16.7 Million Colours|||12,000,000:1||215 mm||||Yes|||['Security Lock', 'Eco Mode', 'Flicker-free', 'Senseye 3']|||ENERGY STAR|Yes|Yes|Yes|Yes|488 mm|||170°|['220 V AC', '110 V AC']||BenQ Corporation|9H.LC8LA.TBE||1920 x 1080|Wall Mountable||1|||21 W||||Twisted Nematic Film (TN Film)|PC||||GL2760H|GL2760H Widescreen LCD Monitor||LCD Monitor|||2 ms|Full HD|"68.6 cm (27"")"||||No||300 mW|||||-5°to20°|||160°|Yes|100 x 100|Yes||5.40 kg||641 mm|
||231S4LSB/00, Philips, LCD Monitor, JR Linton||Yes|||16:9|LED|Philips|250 cd/m²||BSMICEFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL|Black|16.7 Million Colours|||1,000:1||60 mm|207 mm|||Yes|||['Security Lock', 'SmartImage']|||['EPEAT Gold', 'RoHS', 'TCO Certified Displays 5.2', 'WEEE', 'ENERGY STAR 5.0']|Yes|Yes|||343 mm|431 mm||170°|['220 V AC', '110 V AC']|2 Year|Philips Electronics|231S4LSB/00||1920 x 1080|||1||100 mW|21.30 W|||||['Mac', 'PC']|||Brilliance|231S4LSB|LCD Monitor, LED Backlight with SmartImage|S|LCD Monitor|Yes|25% Plastic|5 ms|Full HD|"58.4 cm (23"")"|||||60 Hz|100 mW||||||||160°|Yes|100 x 100|Yes||3.03 kg|3.68 kg|547 mm|547 mm
||E2481HS-B1, IIYNOT006, Iiyama, LCD Monitor, JR Linton||Yes|||16:9|LED|iiyama|250 cd/m²|Speaker|CUTUV-GSCE|Black|16.7 Million Colours|||1,000:1||213.5 mm||||Yes|||Security Lock|||['TCO Displays 5.0', 'ENERGY STAR']|Yes|Yes|Yes||402 mm|||178°|['110 V AC', '220 V AC']|3 Year|iiyama North America, Inc|E2481HS-B1||1920 x 1080|['Wall Mountable', 'Desk Mountable']||1|2||22 W|ProLite E2481HSCable HolderPedestal FootFootQuick Start GuideSafety GuidePower CableVGA Cable (D-Sub)DVI CableAudio Cable||||['PC', 'Mac']|||ProLite|E2481HS|ProLite E2481HS||LCD Monitor|||2 ms|Full HD|"61 cm (24"")"||||Yes|75 Hz|1 W||||||||170°|Yes|100 x 100|Yes||3.80 kg||543.5 mm|
||LS22C45KBSV/EN, 886H968, Samsung, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|Samsung|250 cd/m²||Eco Label Certifications:UL 60950-1CSA C22.2 No. 60950-1TUV: EN60950-1NEMKO: EN60950-1KC: K60950-1CCC: GB 4943-2001PSB: IEC60950-1GOST: IEC60950-1, EN55022SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NAME -019-SCFI-1993IRAM IEC60950-1SASO: IEC60950-1EMC:FCC Part 15 Subpart B Class ACE EN55022, EN55024VCCI V-3 (CISPR22)KCC: KN22, KN24C-Tick: AS / NZS3548 ( CISPR22)CCC: GB 9254-2008, GB 17625.1-2003|Matte Black|16.7 Million Colours|||1,000:1||55.5 mm|210 mm||No|Yes|||['Off Timer', 'MultiScreen', 'MagicBright3', 'MagicRotation', 'Eco Saving', 'MagicAngle', 'MagicTune']|||['ENERGY STAR', 'EPEAT Gold', 'TCO Certified Displays']|Yes||No||301.9 mm|425.35 mm||170°|['220 V AC', '110 V AC']|1 Year|Samsung|LS22C45KBSV/EN||1920 x 1080|||1|||24 W|"21.5"" S22C450B Series 4 LED Business MonitorD-Sub CableDVI CablePower Cablee-ManualCD-ROMQuick Installation Guide"||||PC|||Business|S22C450B|"21.5"" S22C450B Series 4 LED Business Monitor"|450|LCD Monitor|Yes|Plastic|5 ms|Full HD|"54.6 cm (21.5"")"||||No||100 mW||||||||160°|Yes|100 x 100|Yes||3.05 kg|4.50 kg|504.3 mm|504.30 mm
||9H.LATLA.TPE, M352412, BenQ, LCD Monitor, JR Linton||Yes|||16:10|LED|BenQ|250 cd/m²|Speaker||Black|16.7 Million Colours|||1,000:1||183.9 mm||||Yes|||['Security Lock', 'Senseye 3', 'Eco Mode']|||TCO Certified Displays 6.0|Yes|||Yes|414 mm|||170°|['220 V AC', '110 V AC']||BenQ Corporation|9H.LATLA.TPE||1680 x 1050|Wall Mountable||1|2||26 W||||Twisted Nematic Film (TN Film)|PC||||BL2211M|BL2211M Widescreen LCD Monitor|BL|LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"||||Yes||300 mW||||||||160°|Yes|100 x 100|Yes||4.20 kg||522.2 mm|
