<page title>|ac power in|adattatore acdc|alimentazione|altezza|altezza con supporto|altezza imballo|altitudine di funzionamento|altitudine di nonfunzionamento|altoparlante  cuffia  spinotto di uscita|altoparlanti incorporati|altre caratteristiche|altre caratteristiche quantità 1 source datasheet|altre caratteristiche source datasheet|angolo di rotazione|angolo di visualizzazione orizzontale|angolo di visualizzazione verticale|angolo visuale|area di visualizzazione effettiva|blocco cavo|bluetooth|cable lock slot type|capacità totale hard disk|cavi inclusi|cavo alimentazione incluso|certificati di sicurezza|certificati di sicurezza certificazione energy star si|certificazione|certificazione energy star|classe efficienza energetica|collegamento ethernet lan|colore|colore del piede|colore del prodotto|colori del display|common interface plus ci|compatibile con montaggio vesa|compatibilità 3d|compatibilità elettromagnetica|compatibilità sistema operativo mac|condizioni ambientali|conforme agli standard|conformità epeat|connessione cuffia|connessione wlan|connessioni audio|consumi|consumi modalità attivo|consumi modalità risparmio energetico|consumi modalità spento|consumi modalità standby|consumo energetico max|consumo energia modalità economica|contenuto dellimballo cavi inclusi ac vga|controllo del volume|convenienza|dcin jack|design colore del prodotto nero|dimensione visibile diagonale|dimensione visibile orizzontale|dimensione visibile verticale|dimensioni altoparlante centrale l x a x p|dimensioni imballo lxpxa|dimensioni lxpxa|dimensioni lxpxa con base|dimensioni schermo|dimensioni schermo cm|display surface|dot pitch|dot rate video|famiglia processore|formato|fotocamera integrata|frequenza di ingresso|frequenza scansione orizzontale|frequenza scansione verticale|full hd|funzione risparmio|girevole|guida rapida|guida utente su cdrom|hdcp|hdmi|inclinazione|inclinazione regolabile|indicatore led alimentazione|indicatori led|ingresso audio|ingresso audio per pc|ingresso segnale|intel antitheft technology|intel hyperthreading technology|intel identity protection technology|intel my wifi technology|intel rapid start technology|intel small business advantage sba|intel smart connect technology|intel smart response technology|intel turbo boost technology|intel visual technologies|intel vpro technology|intel wireless display technology|interfaccia comune|interruttore integrato|intervallo di scansione verticale|intervallo di temperatura|intervallo temperatura di funzionamento|larghezza|larghezza con supporto|larghezza imballo|led standby|lettore di schede integrato|lingue osd|luminosità schermo|lunghezza cavo|manuale dellutente|materiale riciclabile|materiali della confezione riciclabili|megapixel|megapixel totali|mhl specification|microfono incorporato|microfono spinotto dingresso|miglioramento dellimmagine|mobile highdefinition link mhl|modalità video supportate|montabile a parete|mouse incluso|mtbf|networking connessione wlan n collegamento ethernet lan n|numero di altoparlanti|numero di core del processore|numero di lingue osd|numero di prodotti inclusi|on screen display osd|performance|peso|peso contenzione inclusa|peso incluso imballo|peso prodotto con supporto|peso schermo con supporto|pictureinpicture|pivot angle|plug  play|porta dvi|posizionamento supportato|potenza in uscita rms|processore|prodotto senza piedistallo kg|profondità|profondità con supporto|profondità imballo|quantità|quantità displayports|quantità porte dvid|quantità porte ethernet lan rj45|quantità porte hdmi|quantità porte usb 20|quantità porte usb 30|quantità porte vga dsub|ram installata|range di scansione orizzontale|range di umidità di funzionamento|rapporto di contrasto|rapporto di contrasto dinamico|regolazione altezza|regulatory approvals|retroilluminazione a led|risoluzione|risoluzione consigliata|risoluzione massima|risoluzioni grafiche supportate|rotazione|schermo srgb|segnale ingresso sincronizz video|sicurezza|sintonizzatore tv integrato|sistema operativo incluso|sistema operativo linux supportato|sistema operativo windows supportato|smartcontrast|smartresponse|source datasheet|specificazioni ambientali|subwoofer incorporato|supporto di memoria|supporto lingue|sync hv separato|syncongreen sog|tecnologia display|tecnologia touch|tempo di risposta|thin client|thin client installato|thin client thin client installato n|thin client thin client installato no|tipi schede di memoria|tipo di prodotto|tipo di ram|tipologia di retroilluminazione|tipologia display|tipologia hd|touch screen|umidità|umidità relativa|uscita audio|velocità processore|voltaggio di ingresso|webcam girevole|wifi
Philips Philips 200V4LAB 00 200V4LAB 00 Planet Computer.it||||299 mm|369 mm|372 mm|0 - 3658 m|3658 - 12192 m||Si|||||170 °|160 °||432 x 239.76 mm|Kensington|N|||||||RoHS|Si|Non specificato||||Nero|16.77 M||100 x 100 mm|N||Si|"Altitudine di non-funzionamento 3658 - 12192 m
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %
Altitudine di funzionamento 0 - 3658 m"||Argento||N||15.02 W|||0.5 W|0.5 W|15.02 W|||||||||||567 x 372 x 124 mm||479 x 369 x 201 mm|49.5 cm|||0.27 x 0.27 mm|||16:9|N|50/60 Hz||||||||Si||-5 - 20 °|Si|Si|Si||Si||||||||||||||||56 - 75 Hz|-20 - 60 °C|0 - 40 °C|479 mm|479 mm|567 mm|Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR|250 cd/m²|||||||||||||Si||30.000 h||2||9||Si||2.39 kg||3.79 kg|2.72 kg|||||||4 W|||48 mm|201 mm|124 mm|||1|||||1||30 - 83 kHz|20 - 80 %|1000:1|10000000:1|N|||1600 x 900 Pixels||1600 x 900 Pixels|1600 x 900||Si|||N|||Si|||.||N|||||||5 ms||N|"Altre caratteristiche
Source data-sheet .
Dimensioni (LxPxA) con base 479 x 369 x 201 mm
Risoluzione massima 1600 x 900 Pixels
Dimensioni imballo (LxPxA) 567 x 372 x 124 mm
Area di visualizzazione effettiva 432 x 239.76 mm"|||||W-LED|LCD|||||||100 - 240 V||
Aoc AOC E2260PQ E2260PQ Planet Computer.it|Si||||40,83 cm|17,7 cm||||Si|||||170°|160°|||Kensington|No|||AC, Audio (3.5mm), DVI, VGA||||CE, CU, Energy Star 6.0, EPEAT Silver, EuP, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety|Si|Non specificato|No|||Bianco|16,77M||100 x 100 mm|No|||||Argento||||19W|||0,5W|0,5W|||||||||47,664 cm|26,811 cm|||||55,9 cm|||0,282 x 0,282 mm|||16:10||50/60 Hz|30 - 83 kHz|50 - 76 Hz|||Si||Si|Si||-5 - 22°|Si|Si|Si|||||||||||||||||Si||||50,78 cm|50,78 cm|65,2 cm|Si|||250 cd/m²|||||||||||||Si||70000h||||||Si||||7,22 kg|5,65 kg||||Si|Si||2W||||24,46 cm|41,3 cm||1|1|||||1||||1000:1|50000000:1|['Si', '13 cm']|||1680 x 1050 Pixels|||1680 x 1050 (WSXGA+)|Si|||||||||||||||||TN||2 ms|Thin client installato No|No||||||W-LED|LED|||||||100 - 240V||No
Hp Hewlett Packard HP ProDisplay P17A F4M97AT ABB Planet Computer.it||||31,66 cm|38,72 cm|||||No|||"Thin Client
Thin client installato No"||170°|160°||||||||||||Si|Non specificato||||Nero|16,77M||100 x 100 mm|No|||||||||15,2W||0,5W|||||||||||33,79 cm|27,03 cm|||||43,2 cm|||0,264 x 0,264 mm|||5:4|No|50/60 Hz||||||||No||-5 - 25°|Si||||||||||||||||||||50 - 76 Hz|||37,72 cm|37,72 cm|||||250 cd/m²|||||||||||||Si||||||||||3,23 kg|||3,72 kg|||||No|||||5,7 cm|20,63 cm|||||||||1||24 - 83 kHz||1000:1|||||1280 x 1024 Pixels||||||||No|||||||||||||TN+Film||5 ms||No|||||||LCD|No||||||100 - 240V||
Hp Hewlett Packard HP Z27i D7P92A4 Planet Computer.it||||37,92 cm|42,04 cm|||||N||||-45 - 45°|178°|178°|||Si|N|||AC, DisplayPort, DVI, USB|||||Si|Non specificato|N|||Nero|||||||||Oro||N||60W||||0,5W|75W||||||||||||||68,58 cm|||0,233 x 0,233 mm|||16:9|N|50/60 Hz|||||Si|||Si||-5 - 20°|Si||||||||||||||||||||50 - 76 Hz|-20 - 60 °C|5 - 35 °C|64,1 cm|64,1 cm|||||350 cd/m²|||||||||||||Si|||||||||||||7,6 kg|||0 - 90°|Si|Si|||||6,55 cm|24,24 cm|||1|1||1||5|1||24 - 94 kHz|20 - 80%|1000:1|5000000:1|['12 cm', 'Si']|||2560 x 1440 Pixels|||720 x 400, 2560 x 1440, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1280 x 800 (WXGA), 1440 x 900 (WXGA+), 1600 x 1200 (UXGA), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 1920 x 1200 (WUXGA), 640 x 480 (VGA), 800 x 600 (SVGA)|Si||||N|||||||||||||IPS||8 ms|Thin client installato N|N|||||||LCD|||5 - 95%||||100 - 240V||
Benq Benq BL2700HT 9H.LCSLB.QBE Planet Computer.it||||51,9 cm|||||1|Si||||-360 - 360°|178°|178°|||Kensington|No|||VGA||||TCO 6 Energy Star 6.0|Si||No|||Nero|16,77M||100 x 100 mm||||||Argento||||45W||0,3W|0,3W|||27W|||||||59,76 cm|33,615 cm|||||"68,58 cm (27"")"|||0,311 x 0,311 mm|||16:9|No||||||Si|||Si||-5 - 20°|Si||Si|Si|||||||||||||||||50 - 76 Hz|||62,3 cm||||No||300 cd/m²|||||||||||||Si||60000h||1||||||6,3 kg||8,2 kg||||0 - 90°||Si||2W|||23 cm|||||||1|||1||30 - 83 kHz||3000:1|20000000:1|['12 cm', 'Si']|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||||||Si|||||No|||||A-MVA||4 ms|Thin client installato No|No|||||||LED|Full HD||||||||No
Benq Benq BL902TM 9H.L5FLA.DBE Planet Computer.it||||432.35 mm|361.25 mm|230 mm|||1|Si|||||170 °|160 °|||Kensington||||AC||||||||||Nero|16.77 M||100 x 100 mm|N||||||3.5 mm|||25.8 W||0.3 W|||||||||||||||||"482.6 mm (19 "")"||||||5:4|N|||||||||Si||||||||||||||||||||||||||419.2 mm|419.2 mm|535 mm||||250 cd/m²||Si|||||||||||Si||||2||17||Si||5.1 kg||7.6 kg||||||Si||2 W|||222.6 mm|56.05 mm|440 mm||||||||1||||1000:1|12000000:1||||1280 x 1024 Pixels||||||||N|||||||||||||||5 ms||N|"Ergonomia
Numero di lingue OSD 17
Compatibile con montaggio VESA 100 x 100 mm
On Screen Display (OSD) Si
Montabile a parete Si
Blocco cavo Kensington"||||||LED|||||||90 - 264 V||
Aoc AOC E2260PDA LED display E2260PDA Planet Computer.it|||||244.6 mm||||1|||||0 - 178 °|170 °|160 °|||Kensington|N|||||||CE, FCC, GOST, RoHS, TÜV-Bauart, TÜV-GS, ISO 9241-307, TCO 5.0, cTUVus, EuP|Si|Non specificato|N|||Nero|16.77 M|N|100 x 100 mm||||||Oro||N||15.5 W|||0.34 W|0.4 W|||||||||476.64 mm|268.11 mm|||||55.8 cm|||0.248 x 0.248 mm|146 MHz||16:10|N|50/60 Hz|||||Si|||Si|N|-5 - 15 °|Si||||||||||||||||||N||55 - 75 Hz||||507.8 mm|||N||250 cd/m²|||||||||||||Si|||||||1 pezzi|Si||||7.22 kg|5.65 kg|||-2 - 92 °|Si|||||||521.3 mm|||||||||1||30 - 80 kHz||1000:1|20000000:1|['Si', '130 mm']|||1680 x 1050 Pixels|||1680 x 1050 (WSXGA+)|Si||||N||||||.|||||||||5 ms||N|||N|||W-LED|LED|HD-Ready||||Si||90 - 240 V|N|
Philips Philips 246V5LSB 246V5LSB 00 Planet Computer.it||||354 mm|435 mm|446 mm||||N|||"Thin Client
Thin client installato N"||170 °|160 °|||Kensington||||||||BSMI, Marca CE, cETLus, FCC Clase B, GOST, PSB, SASO, SEMKO, Certificado TCO, TUV/ISO9241-307, WEEE|Si|Non specificato||||Nero|16.77 M||100 x 100 mm|N|||||Argento||||20.12 W|||0.3 W|0.5 W|||||||||531.36 mm|298.89 mm|||||61 cm|||0.277 x 0.277 mm|||16:9|N|50/60 Hz||||||||Si||-5 - 20 °|||||||||||||||||||||56 - 75 Hz|-20 - 60 °C|0 - 40 °C|565 mm|565 mm|613 mm|||CHI (SIMPL), DEU, ESP, FRE, ITA, POR, RUS, TUR|250 cd/m²||||||||||||1080p|Si||30.000 h||||||Si||4.22 kg||6.05 kg|4.65 kg|||||Si|||||63 mm|238 mm|131 mm|||1|||||1||30 - 83 kHz|20 - 80 %|1000:1|10000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||Si|||N||||||.|||||||TFT||5 ms||N||||||W-LED|LCD|Full HD|||20 - 80 %|||100 - 240 V||
Lg Electronics LG 20M35A-B 20M35A-B.AEU Planet Computer.it|Si|||28,7 cm|38,8 cm|35,7 cm||||No|||||90°|65°|||Si||||AC||||UL(cUL), FCC-B, CE, EPA, TUV, EPA Gold||||||Nero|16,77M||75 x 75 mm|No|||||||||16W|||0,3W|0,3W|||||||||||||||"49,53 cm (19.5"")"|||0,271 x 0,262 mm|||16:9|No|||||||Si||No||3 - 20°|Si|Si||||||||||||||||||Si|56 - 75 Hz|||46,3 cm|46,3 cm|53,8 cm|Si|||200 cd/m²||Si||||||||||720p|Si||||||||||1,9 kg||3,2 kg|2,2 kg||||Si|No|||||9,8 cm|17,8 cm|14,3 cm||||||||1||30 - 83 kHz||600:1|5000000:1||||1600 x 900 Pixels|||1600 x 900, 1280 x 720 (HD 720)|||||No|||Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64||||||||||TN||5 ms||No||"Performance
Sistema operativo Windows supportato Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64"|||||LED|HD-ready||||||100 - 240V||
Aoc AOC i2369Vm I2369VM Planet Computer.it|||||||||||||||178 °|178 °||||||||||||||||||16.77 M|||N||||||||||||||||||||||509.76 mm|286.74 mm|||||58.4 cm|||0.265 x 0.265 mm|||16:9||||||||||Si|||||||||||||||||||||||50 - 76 Hz|||||||||250 cd/m²|||||||||||Si|||||||||||||||||||||||||||||||||||||30 - 83 kHz||1000:1|50000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||IPS||6 ms|||||||||LED|Full HD||||||||
Asus ASUS VS207DE 90LM0010-B03170 Planet Computer.it||||35,55 cm||||||No|||||90°|65°|||Kensington|||||||||Si|Non specificato||||Nero|16,77M||75 x 75 mm|No|||||||||16,4W||0,5W|0,5W||||||||||||||||"49,53 cm (19.5"")"|49,5 cm||0,270 x 0,270 mm|||16:9|No|||||||||||-5 - 20°|Si|||||||||||||||||||||||46,8 cm||||||200 cd/m²|||||||||||||Si||||||||||2,59 kg||||||||No|||||18,5 cm||||||||||1|||||80000000:1|No|||1600 x 900 Pixels||||||||No|||||||||||||||5 ms|Thin client installato No|No|||||||LED|||||||||
Aoc AOC g2460Pqu G2460PQU Planet Computer.it||Si||393.6 mm|||||1|Si|||||170 °|160 °|||Kensington||||Audio (3.5mm), DVI, USB, VGA||||CE, EuP, FCC, GOST, ISO 9241 - 307, RoHS, TCO 5.0, TUV-GS, NRTL|Si|Non specificato||||Nero|16.77 M||100 x 100 mm|N|||||Oro||||25 W|||0.3 W|0.5 W|||||||"Connettività
Uscita audio Si
Quantità porte USB 2.0 4
Altoparlante / Cuffia / spinotto di uscita 1
Porta DVI Si
Quantità porte VGA (D-Sub) 1
Quantità porte DVI-D 1
Quantità porte HDMI 1
Quantità DisplayPorts 1"||531.36 mm|298.89 mm|||||61 cm|||0.276 x 0.276 mm|||16:9|N|50/60 Hz|||||Si||Si|Si||-5 - 15 °|Si||||||||||||||||||||55 - 122 Hz|||565.4 mm||||||350 cd/m²|||||||||||||Si||||||||||6.54 kg||8.55 kg|||||Si|Si|||||244.58 mm||||1|1||1|4||1||30 - 140 kHz||1000:1|20000000:1|['130 mm', 'Si']|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si||||N||||||.|||||||||1 ms||||||PC monitor||W-LED|LED|Full HD||||Si||90 - 240 V||
Philips Philips 244E5QHAD E-line 23.8  60.5 cm MHL LCD monitor with SmartImage lite 244E5QHAD 00 Planet Computer.it|||Esterna 100-240 V CA, 50/60 Hz||||||||||||||178º / 178º|527.04 x 296.46 mm|||||||||||||Black Cherry||||||||||||||Ingresso audio PC Uscita cuffia||18.6 W||||||||blocco Kensington Montaggio VESA (100 x 100 mm) Accensione/spegnimento Menu Volume Ingr. SmartImage Lite||||||557 x 338 x 45 mm|599 x 478 x 99 mm||557 x 428 x 213 mm|||||||||||||||||||||||||HDMI (digitale, HDCP) MHL-HDMI (digitale, HDCP) VGA (analogico)||||||||||||||||||||||||||||100 %|||1080p @ 30 Hz|||SmartImage Lite||||||||||||||5.34 kg (11.8 lbs)|||3.80 kg (8.38 lbs)||||||||3.44 kg (7.58 lbs)||||||||||||||||||BSMI marchio CE cETLus FCC Class B GOST SASO SEMKO TCO 6 TUV/ISO9241-307 WEEE|||1920 x 1080 a 60 Hz|||||Sincronizzazione separata Sync su verde||||||20.000.000:1|5 ms (grigio su grigio)|.|EnergyStar 6.0 EPEAT Silver RoHS Senza piombo Senza mercurio|||Portoghese brasiliano Cecoslovacco Olandese Italiano Finlandese Francese Tedesco Greco Ungherese Italiano Giapponese Coreano Polacco Portoghese Russo Cinese semplificato Spagnolo Svedese Cinese tradizionale Turco Ucraino|||||||||||||||||||||||
Benq Benq GL2460 9H.LA6LB.RPE Planet Computer.it|||||||||||||||170°|160°||||||||||||||||||16,77M|||||||||||||||||||||||||||||||"60,96 cm (24"")"|||0,276 x 0,276 mm|||16:9||||||||||||||||||||||||||||||||||||||||||250 cd/m²|||||||||||No|1080i, 1080p, 720p||||||||||||||||||||||||||||||||||||||1000:1|12000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||TN+Film||2 ms|||||||||LED|Full HD||||||||
Aoc AOC I2276VWM I2276VWM Planet Computer.it|||||||||||||||178°|178°||||||||||||||||||16,77M||||||||||||||||||||||||54,6 cm|47,664 cm|26,811 cm|||||"54,61 cm (21.5"")"|||0,248 x 0,248 mm|||16:9||||||||||Si|||||||||||||||||||||||50 - 76 Hz|||||||||250 cd/m²|||||||||||Si|||||||||||||||||||||||||||||||||||||30 - 83 kHz||1000:1|50000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||IPS||5 ms|||||||||LED|||||||||
Philips Philips 278C4QHSN 00 278C4QHSN 00 Planet Computer.it||||37,6 cm|47,1 cm|52,7 cm||||No|||||178°|178°||597,89 x 336,31 mm|Kensington||||||||EPEAT Silver, RoHS, EnergyStar 5.0, Lead-free, Mercury Free|Si|Non specificato||||Nero|16,77M||No|No||Si||BSMI, CE Mark, FCC Class B, GOST, SASO, SEMKO, TCO 5.2, TUV/ ISO9241-307, UL/cUL, WEEE|Argento||||28,2W|||0,3W|0,4W|||||||||||||||68,6 cm|||0,311 x 0,311 mm|||16:9|No|50/60 Hz||||||||No||-5 - 20°||Si|Si|Si|||||||||||||||||56 - 75 Hz|-20 - 60 °C||62,3 cm|62,3 cm|66,8 cm|Si|||250 cd/m²|||||||||||||No||30000h||||||Si||5 kg||8,84 kg|5,44 kg||||Si||||||4,4 cm|19,7 cm|10 cm|||||3|||1||30 - 83 kHz|0 - 40%|1000:1|20000000:1|No|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|||||No|||Si||||||||Si|Si|IPS||7 ms||No||||||W-LED|LCD|Full HD|||20 - 80%|Si||100 - 240V||
Benq Benq BL2710PT 9H.LAALB.RBE Planet Computer.it|Si|||525 mm||484 mm|||1|Si||||-45 - 45 °|178 °|178 °|||Kensington||||||||TCO 6.0|Si|Non specificato||||Nero|1070 M||100 x 100 mm|N||||||||||||||||||||||||||||68.58 cm|||0.2331 x 0.2331 mm|||16:9|N||||||Si|||Si||-5 - 20 °|Si|||Si||||||||||||||||||||639 mm||709 mm||||350 cd/m²|||||||||||||Si||||2||||Si||8.2 kg||11 kg||||||Si||6 W|||259 mm||241 mm||1|||1|2|2|1|||||1000:1|['Si', '150 mm']|||2560 x 1440 Pixels|||2560 x 1440|||||N|||||||||||||IPS||12 ms|Thin client installato N|N|||||||LED|||||||90 - 264 V||
Aoc AOC I2476VW I2476VW Planet Computer.it|||||||||||||||178°|178°||||||||||||||||||16,77M|||No||||||||||||||||||||||52,128 cm|29,322 cm|||||"59,94 cm (23.6"")"|59,9 cm||0,2715 x 0,2715 mm|||16:9||||||||||Si|||||||||||||||||||||||50 - 76 Hz|||||||||250 cd/m²||||||||||||1080p||||||||||||||||||||||||||||||||||||30 - 83 kHz||1000:1|50000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||||6 ms|||||||||LED|Full HD||||||||
Hp Hewlett Packard HP ProDisplay P201 C9F26AT ABB Planet Computer.it|Si|||294.1 mm|359.2 mm|||||N|||"Dimensioni e peso
Profondità (con supporto) 151.1 mm
Altezza (con supporto) 359.2 mm
Larghezza (con supporto) 482 mm
Profondità 47.5 mm
Larghezza 482 mm
Altezza 294.1 mm
Peso 3.5 kg"||170 °|160 °|||Si|N|||AC, DVI, VGA||||TCO|Si|Non specificato|N|||Nero|16.77 M|||N|||||||N||20 W||||0.5 W|22 W||||||||||||||50.8 cm||Matt|0.2768 x 0.2768 mm|||16:9|N|50/60 Hz||||||Si||Si||-5 - 25 °|Si|Si|Si|||||||||||||||||Si|||5 - 35 °C|482 mm|482 mm||Si|||250 cd/m²||Si|||||||||||||||||||Si||3.5 kg|||||||Si||||||47.5 mm|151.1 mm||||1|||||1|||20 - 80 %|1000:1|3000000:1||||1600 x 900 Pixels|||1600 x 900|||||N||Si|Si|||.|||||||||5 ms||N|||||||LED|N||||||100 - 240 V||
Hp Hewlett Packard HP Pavilion 27xi C4D27AA ABB Planet Computer.it||Si||45,4 cm||||||No|||||178°|178°|||Kensington||||AC, DVI, VGA|Si|||CB, CE, FCC, ErP, CSA/C-UL/C-ETL, UL/CSA-NTRL/ETL-NRTL, ICES, CCC, Bauart, CECP, ISO9241-307, GOST 25861, HRN N N0.201, GOST R 50377-1992, GOST 25861, EEI, IS 1121, SASO, SABS IEC 60950-1, NOM-019-SCFI-1998, KC, KCC, PSB, ISC, C-Tick|Si|Non specificato|No|||Nero, Argento|16,77M|||No|||||||||35W||||0,5W||||||Si|||||||||"68,58 cm (27"")"|68,58 cm|Lucida|0,311 x 0,311 mm|||16:9|No|50/60 Hz||||||Si||Si||-5 - 25°|Si|Si|Si|||||||||||||||||Si||-20 - 60 °C|5 - 35 °C|62,2 cm|||Si|||250 cd/m²||Si||||||||||1080p|||30000h||||||Si||5,3 kg|||||||Si|Si|||||19,2 cm|||||1||1|||1|||20 - 80%|1000:1|10000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|||||No||Si|Si||||||||||IPS||7 ms||No||||||W-LED|LED|Full HD||5 - 90%||||100 - 240V||No
Philips Philips 231P4QPYKES Display Full HD P-line 58,4 cm  23   Monitor LCD IPS||||343 mm|515 mm|400 mm|||1|Si||||-65 - 65 °|178 °|178 °||509.18 x 286.41 mm|Kensington||||||||RoHS, BSMI, CE, FCC B, GOST, SASO, SEMKO, TUV Ergo, TUV/GS, TCO 5.2, UL/cUL, WEEE|Si|Non specificato|||||16.77 M||100 x 100 mm|N||Si|"Umidità relativa 20 - 80 %
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C"||Oro||||29.1 W||18 W||0.3 W|||||||||||||||58.4 cm|||0.265 x 0.265 mm|||16:9|Si|50/60 Hz|||||Si|||Si||-5 - 20 °|Si|Si|Si||Si||||||||||||||||56 - 75 Hz|-20 - 60 °C|0 - 40 °C|547 mm|547 mm|600 mm|Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS|250 cd/m²|||||2 MP|||Si|Si|||1080p|Si||30000 h||2||||Si||3.09 kg||5.23 kg|7.7 kg|||0 - 90 °|Si|||3 W|||60 mm|220 mm|263 mm||1|1|||3||1||30 - 83 kHz||1000:1|20000000:1|['130 mm', 'Si']|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|Si|||N|||Si|||.|||||Si|Si|IPS||7 ms||N||||||W-LED|LCD|Full HD|||20 - 80 %|||100 - 240 V||
Asus ASUS MX239H 90LMGC051L010O1C- Planet Computer.it|||||||||||||||178°|178°||||||||||||||||||16,77M|||No||||||||||||||||||||||||||||"58,42 cm (23"")"|58,4 cm||0,2652 x 0,2652 mm|||16:9|||28 - 83 kHz|||||||Si|||||||||||||||||||||||50 - 75 Hz|||||||||250 cd/m²||||||||||||1080p||||||||||||||||||||||||||||||||||||28 - 83 kHz|||80000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||IPS||5 ms|||||||||LCD|Full HD||||||||
Hp Hewlett Packard HP Z23i D7Q13AT ABB Planet Computer.it|Si|Si||329 mm|469.9 mm|518 mm|0 - 5000 m|0 - 12192 m||N||||0 - 360 °|178 °|178 °|||Kensington|N|||AC||||CB, CE, CEL Grade 1, TUV, GS, TCO, GOST, CUL, FCC, E-Star 5.0, CSA, NOM, S-Mark, VCCI, MIC, PSB, ISC, CCC, BSMI, C-Tick, ICES, Microsoft WHQL, TCO|Si|Non specificato||||Nero|16.77 M|||N|||||Oro||N||28 W||22 W||0.5 W|36 W||||||"Condizioni ambientali
Altitudine di non-funzionamento 0 - 12192 m
Umidità 5 - 95 %
Intervallo temperatura di funzionamento 5 - 35 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %
Altitudine di funzionamento 0 - 5000 m"||||||||58.42 cm||Matt|0.265 x 0.265 mm|||16:9|N|50/60 Hz|||||Si|Si||Si||-5 - 30 °|Si|Si|Si|||||||||||||||||Si|50 - 76 Hz|-20 - 60 °C|5 - 35 °C|544 mm|544 mm|620 mm|Si|||250 cd/m²||Si||||||||||1080p|Si||30000 h||||||Si||4.19 kg||8.4 kg|6.4 kg|||0 - 90 °|Si|Si|||||51 mm|242.9 mm|183 mm||1|1|||3||1||24 - 94 kHz|20 - 80 %|1000:1|5000000:1|['150 mm', 'Si']|||1920 x 1080 Pixels|||720 x 400, 1600 x 900, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1440 x 900 (WXGA+), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)|Si||||N|||Si|||.|||||Si||IPS||8 ms||N|"Altre caratteristiche
Source data-sheet .
Eventi programmabili 10"||||||LED|Full HD||5 - 95 %||||100 - 240 V||
Lg Electronics LG 19M35A-B LED display 19M35A-B.AEU Planet Computer.it|Si|||27,8 cm|37,2 cm||||1|No|||"Thin Client
Thin client installato No"||90°|65°|||||||AC, VGA||||||Non specificato||||Nero|16,77M||75 x 75 mm|No||||||3.5 mm|||13W||||0,3W|||||||"Contenuto dell'imballo
Cavi inclusi AC, VGA"||||||||"46,99 cm (18.5"")"|||0,3 x 0,3 mm|||16:9|No|50/60 Hz||||||||||||||||||||||||||||||||||44,1 cm|44,1 cm|||||200 cd/m²|||||||||||||Si||||||||||1,8 kg||3,1 kg|2,1 kg|||||No|||||9,8 cm|18,5 cm|||||||||1||||600:1|||||1366 x 768 Pixels|||1366 x 768|||||No|||||||||||||TN+Film||5 ms||No|||||||LED|No||||||100 - 240V||
