3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|color|color supported|compatibility|component video|composite video|contrast ratio|country of origin|depth|depth with stand|digital zoom|display orientation|displayport|dvi|features|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|image sensor|input voltage|interfacesports|limited warranty|manufacturer|manufacturer part number|manufacturer website address|maximum adjustable height|maximum resolution|mount type|multitouch screen|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|resolution|response time|screen mode|screen size|screen surface|serial port|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|tilt angle|touchscreen|touchscreen type|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|"Lg 22m45d-b 21.5"" Led Lcd Monitor - 16:9 - 5 Ms - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 5,000,000:1 - Full Hd - Dvi - Vga - 21 W - Black - (22M45D-B) - SoftwareCity.ca - Canada"|||||16:9|LED|LG|250 cd/mÂ²|||Black|16.7 Million Colors||||5,000,000:1||"2.4"" (60 mm)"|"7.4"" (188 mm)"||||Yes|Cable Management, Flicker-free, Dual-screen Display, Super Energy Saving, Reading Mode||||Yes|||"12.4"" (316 mm)"|"16.5"" (418 mm)"||170Â°|||||LG Electronics|22M45D-B|http://www.lg.com/ca||1920 x 1080|Wall Mountable|||1|||21 W||||Twisted Nematic Film (TN Film)||||22M45D-B|22M45D-B Widescreen LCD Monitor|M45|LCD Monitor||||5 ms|Full HD|"21.5"""|||||300 mW||||||||160Â°|Yes||Yes||2.20 kg|2.60 kg|"20"" (509 mm)"|"20"" (509 mm)"
|"Philips Brilliance 298p4qjeb 29"" Led Lcd Monitor - 21:9 - 14 Ms - Adjustable Display Angle - 2560 X 1080 - 16.7 Million Colors - 300 Cd/mÂ² - 1,000:1 - Qhd - Dvi - Hdmi - Displayport - Usb - 38.50 W - Textured Black - Weee, Rohs, Tco '06, Energy Star 6.0, Epeat Gold - (298P4QJEB/27) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|21:9|LED|Philips|300 cd/mÂ²|Speaker, USB Hub|BSMI CE Mark FCC Class B TUV Ergo GOST SASO SEMKO TUV/GS UL/cUL|Textured Black|16.7 Million Colors||||1,000:1||"2.3"" (59 mm)"|"10.7"" (273 mm)"|||Yes|Yes|SmartErgoBase, Multiview, Security Lock, Picture in Picture||WEEE, RoHS, TCO '06, ENERGY STAR 6.0, EPEAT Gold|Yes|Yes|Yes|Yes|"13"" (330 mm)"|"21.2"" (538 mm)"||178Â°||110 V AC, 220 V AC|||Philips Electronics|298P4QJEB/27|http://www.philips.com||2560 x 1080||||1|2||38.50 W||||Advanced High Performance In-plane Switching (AH-IPS) Technology|PC, Mac|65%|Brilliance|298P4QJEB|Brilliance LCD Monitor with MultiView||LCD Monitor||Plastic||14 ms|QHD|"29"""||||60 Hz|300 mW||||||Yes|USB 3.0|178Â°|Yes|100 x 100|||5.67 kg|8.46 kg|"27.6"" (700 mm)"|"27.6"" (700 mm)"
|"Asus Vg248qe 24"" Lcd Monitor - 1 Ms - 1920 X 1080 - Full Hd - Speakers - Dvi - Hdmi - Black - (VG248QE) - SoftwareCity.ca - Canada"|||||||Asus||||Black||||||||||||Yes||||||Yes||||||||||ASUS Computer International|VG248QE|http://www.asus.com||1920 x 1080||||1|||||||||||VG248QE|VG248QE Widescreen LCD Monitor||LCD Monitor||||1 ms|Full HD|"24"""|||Yes||||||||||||||||||
|"Acer B296cl 29"" Led Lcd Monitor - 21:9 - 8 Ms - Adjustable Display Angle - 2560 X 1080 - 16.7 Million Colors - 300 Cd/mÂ² - Full Hd - Speakers - Dvi - Hdmi - Displayport - Usb - Black - Epeat Gold, Tco Certified Displays 6.0, Energy Star - (UM.RB6AA.001) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|21:9|LED|Acer|300 cd/mÂ²|USB Hub||Black|16.7 Million Colors||||100,000,000:1||||||Yes|Yes|||EPEAT Gold, TCO Certified Displays 6.0, ENERGY STAR|Yes||Yes|||||178Â°||110 V AC, 220 V AC|||Acer, Inc|UM.RB6AA.001|http://www.acer.ca||2560 x 1080||||1||350 mW|36.30 W|B296CL LCD Monitor1 x DVI Cable1 x Displayport Cable1 x HDMI Cable1 x USB 3.0 CablePower Cord|||In-plane Switching (IPS) Technology||||B296CL|B296CL Widescreen LCD Monitor|B|LCD Monitor||||8 ms|Full HD|"29"""|Anti-glare||Yes|60 Hz|450 mW||||||Yes|USB 3.0|178Â°||||||||
|"Lg 20m35d-b 19.5"" Led Lcd Monitor - 5 Ms - Adjustable Display Angle - 1600 X 900 - 16.7 Million Colors - 200 Cd/mÂ² - 5,000,000:1 - Hd+ - Dvi - Vga - 16 W - Epeat Gold - (20M35D-B) - SoftwareCity.ca - Canada"||Yes||||LED|LG|200 cd/mÂ²||||16.7 Million Colors||||5,000,000:1||"3.9"" (99.1 mm)"|"7.3"" (185.4 mm)"|||No|Yes|Super Energy Saving, Flicker-free||EPEAT Gold|Yes||No||"11.3"" (287 mm)"|"15"" (381 mm)"|83 kHz|90Â°||||3 Year|LG Electronics|20M35D-B|http://www.lg.com/ca||1600 x 900|Wall Mountable|||1||300 mW|16 W||||Twisted Nematic Film (TN Film)|PC|||20M35D-B|20M35D-B LCD Monitor||LCD Monitor||||5 ms|HD+|"19.5"""|Anti-glare|||75 Hz|300 mW||||||||65Â°|||Yes||1.91 kg||"18.2"" (462.3 mm)"|"18.2"" (462.3 mm)"
|"Benq Bl2410pt 24"" Lcd Monitor - 16:9 - 4 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 5,000:1 - Full Hd - Dvi - Vga - Displayport - Usb - 23 W - Black - (BL2410PT) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:9||BenQ|250 cd/mÂ²|USB Hub||Black|16.7 Million Colors||||5,000:1|||"10.2"" (259 mm)"|||Yes|Yes|Ambient Light Sensor, Eco Mode, Senseye 3, Security Lock||||Yes|No|Yes||"19.8"" (504 mm)"||178Â°|||||BenQ Corporation|BL2410PT|http://www.benq.ca||1920 x 1080|Wall Mountable|||1|||23 W||||Advanced Hyper Viewing Angle (AHVA)|PC, Mac|||BL2410PT|BL2410PT Widescreen LCD Monitor|BL|LCD Monitor||||4 ms|Full HD|"24"""|||||200 mW||||||Yes|USB 3.0|178Â°|Yes|100 x 100|Yes||6.70 kg|||"22.2"" (565 mm)"
|"Viewsonic Td3240 32"" Led Lcd Touchscreen Monitor - 6.50 Ms - Projected Capacitive - Multi-touch Screen - 1920 X 1080 - 3,000:1 - 315 Cd/mÂ² - Speakers - Dvi - Usb - Vga - Energy Star - 3 Year - (TD3240) - SoftwareCity.ca - Canada"||||||LED|Viewsonic|315 cd/mÂ²|Speaker, USB Hub|CE CB UL/cUL FCC-A UkrSEPRO + DoC||||||3,000:1||"2.7"" (68.6 mm)"||||Yes|Yes|||ENERGY STAR|Yes|||Yes|"18.9"" (480.1 mm)"|||178Â°||110 V AC, 220 V AC||3 Year|Viewsonic Corporation|TD3240|http://www.viewsonic.com||1920 x 1080|Wall Mountable|Yes|Yes||||65 W|Intuitive Multi-Touch Design Power Cable VGA Cable DVI Cable DVI to DisplayPort Adapter Audio Cable USB Cable Quick Start Guide ViewSonic Wizard CD||||PC, Mac|||TD3240|Intuitive Multi-Touch Design||LCD Touchscreen Monitor||||6.50 ms|Full HD|"32"""|Anti-scratch, Anti-glare||Yes|63 Hz|||||Yes|Projected Capacitive|Yes||178Â°|Yes|400 x 200|Yes||||"31"" (787.4 mm)"|
|"Viewsonic Vg2239m-led 22"" Led Lcd Monitor - Adjustable Display Angle - 1920 X 1080 - Full Hd - Speakers - Dvi - Vga - Displayport - (VG2239M-LED) - SoftwareCity.ca - Canada"||Yes|Yes|Yes||LED|Viewsonic||Speaker|||||||||||||Yes|Yes||||||||||||||||Viewsonic Corporation|VG2239m-LED|http://www.viewsonic.com||1920 x 1080||||1|||||||||||VG2239m-LED|VG2239m-LED Widescreen LCD Monitor||LCD Monitor|||||Full HD|"22"""|||Yes|||||||||||Yes||Yes|||||
|"Asus Vb198t-p 19"" Led Lcd Monitor - 4:3 - 5 Ms - Adjustable Display Angle - 1280 X 1024 - 16.7 Million Colors - 250 Nit - Sxga - Speakers - Dvi - Vga - 27 W - Black - Rohs, Tco Certified Displays 5.2, Energy Star, Erp, J-moss (japanese Rohs), Weee - (VB198T-P) - SoftwareCity.ca - Canada"||Yes|||4:3|LED|Asus|250 cd/mÂ²|Speaker|C-TickBSMICBCCCCEFCCGost-RISO-9241-307PSBTUV-ErgoTUV-GSUL/cULVCCIWHQL|Black|16.7 Million Colors||||50,000,000:1||"8.3"" (210 mm)"|||||Yes|Splendid Video Intelligence Technology, Security Lock, Cable Management||RoHS, TCO Certified Displays 5.2, ENERGY STAR, ErP, J-Moss (Japanese RoHS), WEEE|Yes|Yes|||"15.9"" (405 mm)"||80 kHz|170Â°||||3 Year|ASUS Computer International|VB198T-P|http://www.asus.com||1280 x 1024|Wall Mountable|||1|2|200 mW|27 W|VB198T-P LCD MonitorDVI CableVGA CableAudio CableQuick Start GuideSupport CDWarranty Card||||PC|||VB198T-P|VB198T-P LCD Monitor|VB|LCD Monitor||||5 ms|SXGA|"19"""|||Yes|76 Hz|300 mW||||||||160Â°|Yes|100 x 100|Yes||3.20 kg||"16.3"" (413 mm)"|
|"Asus Vk248h-csm 24"" Led Lcd Monitor - 16:9 - 2 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 300 Nit - 2,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - Usb - 60 W - Glossy Piano Black - Rohs, Weee - (VK248H-CSM) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|Asus|300 cd/mÂ²|Webcam, Speaker|UL/cULCBCEFCCCCCBSMIGost-RC-TickVCCIPSBWHQL|Glossy Piano Black|16.7 Million Colors||||2,000:1|||"2.4"" (61.5 mm)"|||No|Yes|Trace Free Technology, Splendid Video Intelligence Technology, Security Lock||RoHS, WEEE|Yes|Yes|Yes|Yes||"14.1"" (358.8 mm)"|83 kHz|170Â°||||3 Year|ASUS Computer International|VK248H-CSM|http://www.asus.com||1920 x 1080|Wall Mountable|||1|2||60 W|VK248H-CSM Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordUSB CableQuick Start GuideSupport CDWarranty Card|Retail|||PC|||VK248H-CSM|VK248H-CSM Widescreen LCD Monitor|VK|LCD Monitor||||2 ms|Full HD|"24"""|||Yes|75 Hz|2 W||||||Yes||160Â°|Yes|100 x 100|Yes|Yes|5.50 kg|||"22.4"" (568.4 mm)"
|"Nec Display Accusync As222wm-bk 21.5"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 1,000:1 - Full Hd - Speakers - Dvi - Vga - 18 W - Black - Energy Star 6.0, Tco Certified Displays 6.0, Epeat Silver, Rohs - (AS222WM-BK) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|NEC Display|250 cd/mÂ²|Speaker|ISO 9241-307 Class I|Black|16.7 Million Colors||||1,000:1||"8.1"" (205.1 mm)"|"2.4"" (60 mm)"|||No|Yes|Sync on Green, AccuColor, Touch Controls, Security Lock, Eco Mode, Intelligent Power Manager (IPM) System, Off Timer, Carbon Footprint Meter||ENERGY STAR 6.0, TCO Certified Displays 6.0, EPEAT Silver, RoHS|Yes|Yes|No||"11.9"" (301.1 mm)"|"14.4"" (364.7 mm)"|81.10 kHz|176Â°||||3 Year|NEC Display Solutions|AS222WM-BK|http://www.necdisplay.com||1920 x 1080|Wall Mountable, Desk Mountable|||1|2||18 W|"22"" LED-Backlit Value Widescreen Desktop Monitor w/ Built-in Speakers Setup Sheet User Manual Power Cord 15-pin D-sub Cable Audio Cable"|||Twisted Nematic Film (TN Film)|PC||AccuSync|AS222WM-BK|"22"" LED-Backlit Value Widescreen Desktop Monitor w/ Built-in Speakers"||LCD Monitor||||5 ms|Full HD|"21.5"""|Matte||Yes|76 Hz|350 mW||||||||170Â°|Yes|100 x 100|Yes||3.70 kg|4.10 kg|"20"" (507.4 mm)"|"20"" (507.4 mm)"
|"Pos-x Evo-rd4-lcd15 15"" Lcd Monitor - 1024 X 768 - 16.7 Million Colors - 250 Nit - Xga-2 - Vga - Black - Rohs - (EVO-RD4-LCD15) - SoftwareCity.ca - Canada"|||||||POS-X|250 Nit||IP54 FCC Class A CE LVD|Black|16.7 Million Colors||||||"2.5"""||||||||RoHS|Yes||||"11"""|||||||3 Year|POS-X, Inc|EVO-RD4-LCD15|http://www.pos-x.com||1024 x 768||||1||||EVO-RD4-LCD15 Integrated LCD Customer Display Mounting Bracket & Hardware VGA Cable|||||||EVO-RD4-LCD15|EVO-RD4-LCD15 Integrated LCD Customer Display||LCD Monitor|||||XGA-2|"15"""||||||||||||||Yes|100 x 100|Yes||14.30 lb||"14.2"""|
|"Asus Vn289h 28"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 300 Nit - 80,000,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - Displayport - 35 W - Black - Energy Star 6.0, China Energy Label (cel), Erp, Rohs, Tco Certified Displays 6.0, Weee, Meps - (VN289H) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|Asus|300 cd/mÂ²|Speaker|BSMI CB CCC CE C-Tick CU FCC PSE UL/cUL VCCI WHQL|Black|16.7 Million Colors||||80,000,000:1||"8.3"" (210 mm)"|"8.3"" (210 mm)"|||Yes|Yes|Flicker-free, VividPixel Technology, Mobile High-Definition Link (MHL), Eye-Care, Splendid Video Intelligence Technology, Reading Mode, QuickFit, Trace Free Technology, Security Lock, Game Mode||ENERGY STAR 6.0, China Energy Label (CEL), ErP, RoHS, TCO Certified Displays 6.0, WEEE, MEPS|Yes|Yes|Yes|Yes|"17.7"" (450.7 mm)"|"17.7"" (450.7 mm)"|80 kHz|178Â°|||||ASUS Computer International|VN289H|http://www.asus.com||1920 x 1080|Wall Mountable|||1|2|500 mW|35 W|VN289H Widescreen LCD Monitor VGA Cable Audio Cable Power Cord Quick Start Guide Warranty Card|||Vertical Alignment (VA)|PC|||VN289H|VN289H Widescreen LCD Monitor||LCD Monitor||||5 ms|Full HD|"28"""|||Yes|75 Hz|500 mW|||-5Â°to20Â°|||||178Â°|Yes|100 x 100|Yes|No|5.20 kg||"26"" (660.2 mm)"|"26"" (660.2 mm)"
|"Lg 32wl30ms-b 32"" Edge Led Lcd Monitor - 16:9 - 25 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 400 Nit - 500,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - Usb - 65 W - Black - Erp, Energy Star 5.1, Tco - (32WL30MS-B) - SoftwareCity.ca - Canada"||Yes|||16:9|Edge LED|LG|400 cd/mÂ²||"ULcULCB schemeTUVFCC Class ""B""VCCIC-tickCEKCC"|Black|16.7 Million Colors||Yes||500,000:1||"1.4"" (35.6 mm)"|"11.9"" (302.3 mm)"||Landscape/Portrait||Yes|Digital Signage Ready, Temperature Sensor, Picture in Picture, Security Lock||ErP, ENERGY STAR 5.1, TCO|Yes|Yes|Yes||"17.4"" (442 mm)"|"19.6"" (497.8 mm)"|67.50 kHz|178Â°||120 V AC, 230 V AC||3 Year|LG Electronics|32WL30MS-B|http://www.lg.com/ca||1920 x 1080|||Yes|1|2|500 mW|65 W||||In-plane Switching (IPS) Technology|PC|||32WL30MS-B|"32"" Class (31.5"" Measured Diagonally) IPS Edge LED Super Narrow Bezel"||LCD Monitor||||25 ms|Full HD|"32"""|Anti-glare||Yes|60 Hz|1 W||||||Yes||178Â°|Yes|200 x 200|Yes||7.89 kg|8.66 kg|"29.1"" (739.1 mm)"|"29.1"" (739.1 mm)"
|"Viewsonic Vg2428wm-led 24"" Led Lcd Monitor - 5 Ms - 1920 X 1080 - 1,000:1 - Full Hd - Dvi - Vga - (VG2428WM-LED) - SoftwareCity.ca - Canada"|||Yes|||LED|Viewsonic|||||||||1,000:1|||||||Yes||||||||||||||||Viewsonic Corporation|VG2428WM-LED|http://www.viewsonic.com||1920 x 1080||||1|||||||||||VG2428wm-LED|VG2428wm-LED Widescreen LCD Monitor||LCD Monitor||||5 ms|Full HD|"24"""||||||||||||||||Yes|||||
|"Asus Pa249q 24"" Led Lcd Monitor - 16:10 - 6 Ms - Adjustable Display Angle - 1920 X 1200 - 1073.7 Million Colors (10-bit) - 350 Nit - 80,000,000:1 - Wuxga - Dvi - Hdmi - Vga - Displayport - Usb - 72 W - Black - Energy Star, China Energy Label (cel), Epeat Gold, Erp, J-moss (japanese Rohs), Rohs, Tco Certified Displays 6.0, Weee - (PA249Q) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:10|LED|Asus|350 cd/mÂ²|USB Hub|BSMI CB CCC CE C-Tick FCC Gost-R ISO-9241-307 PSE TUV-Ergo TUV-GS UL/cUL VCCI WHQL NOM|Black|1073.7 Million Colors (10-bit)||||80,000,000:1||"2.4"" (62 mm)"|"9.3"" (235 mm)"|||Yes|Yes|Splendid Video Intelligence Technology, Picture in Picture, Picture by Picture, Security Lock||ENERGY STAR, China Energy Label (CEL), EPEAT Gold, ErP, J-Moss (Japanese RoHS), RoHS, TCO Certified Displays 6.0, WEEE|Yes|Yes|Yes|Yes|"14.3"" (362.8 mm)"|"16.4"" (416.3 mm)"|83 kHz|178Â°||110 V AC, 220 V AC||3 Year|ASUS Computer International|PA249Q|http://www.asus.com||1920 x 1200|Wall Mountable|||1||0 mW|72 W|PA249Q Widescreen LCD Monitor Cable Tie DVI Cable VGA Cable Power Cord DisplayPort Cable USB 3.0 Cable Quick Start Guide Support CD Warranty Card Color Pre-calibration Report|||Advanced High Performance In-plane Switching (AH-IPS) Technology|PC, Mac|||PA249Q|PA249Q Widescreen LCD Monitor|PA|LCD Monitor||||6 ms|WUXGA|"24"""||||76 Hz|1 W||||||Yes|USB 3.0|178Â°|Yes|100 x 100|Yes||6.60 kg||"21.9"" (557.2 mm)"|"21.9"" (557.2 mm)"
|"Nec Display Multisync Ea244wmi-bk 24"" Led Lcd Monitor - 16:10 - 5 Ms - Adjustable Display Angle - 1920 X 1200 - 16.7 Million Colors - 350 Nit - 1,000:1 - Wuxga - Speakers - Dvi - Hdmi - Vga - Displayport - Usb - 29 W - Energy Star 6.0, Tco Certified Displays 6.0, Epeat Gold, Rohs - (EA244WMI-BK) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:10|LED|NEC Display|350 cd/mÂ²|USB Hub, Speaker|ISO 9241-307 Class I||16.7 Million Colors||||1,000:1||"2.6"" (66 mm)"|"9.1"" (231.1 mm)"|||Yes|Yes|Smart Sensing Technology, Ambient Light Sensor, Eco Mode, Touch Controls, AccuColor||ENERGY STAR 6.0, TCO Certified Displays 6.0, EPEAT Gold, RoHS|Yes|Yes|Yes||"14.2"" (360.7 mm)"|"21.2"" (538.5 mm)"|77 kHz|178Â°||||3 Year|NEC Display Solutions|EA244WMI-BK|http://www.necdisplay.com||1920 x 1200|Arm-mountable|||1|||29 W|"24"" Widescreen LED-Backlit Desktop Monitor w/ IPS PanelSetup SheetUser ManualPower Cord15-pin D-sub CableDVI-D CableUSB CableAudio CableControlSync Cable"|||In-plane Switching (IPS) Technology|||MultiSync|EA244WMI-BK|"24"" Widescreen LED-Backlit Desktop Monitor w/ IPS Panel"||LCD Monitor||||5 ms|WUXGA|"24"""|||Yes|60 Hz|470 mW||||||Yes|USB 2.0|178Â°|Yes|100 x 100|Yes||4.81 kg|7.62 kg|"21.9"" (556.3 mm)"|"21.9"" (556.3 mm)"
|"Acer T232hl 23"" Led Lcd Touchscreen Monitor - 16:9 - 5 Ms - 1920 X 1080 - Adjustable Display Angle - 16.7 Million Colors - 300 Nit - Speakers - Hdmi - Usb - Vga - (UM.VT2AA.A01) - SoftwareCity.ca - Canada"||Yes|No|No|16:9|LED|Acer|300 cd/mÂ²|USB Hub||Black|16.7 Million Colors||||100,000,000:1||"1.5"" (38 mm)"|"2"" (50 mm)"|||||Mobile High-Definition Link (MHL)||MPR II|Yes||Yes||"16.5"" (420 mm)"|"17.9"" (455 mm)"||178Â°||220 V AC, 110 V AC|||Acer, Inc|UM.VT2AA.A01|http://www.acer.ca||1920 x 1080||||||480 mW|20.90 W|T232HL Widescreen LCD Touchscreen Monitor1 x HDMI Cable1 x VGA Cable1 x USB 3.0 CablePower Cord|||||||T232HL|T232HL Widescreen LCD Touchscreen Monitor|T|LCD Touchscreen Monitor||||5 ms|Full HD|"23"""|Anti-glare||Yes|60 Hz|490 mW||||Yes||Yes|USB 3.0|178Â°|||Yes||5.16 kg|5.70 kg|"22.6"" (574 mm)"|"22.6"" (574 mm)"
|"Viewsonic Td2740 27"" Led Lcd Touchscreen Monitor - 16:9 - 12 Ms - Projected Capacitive - Multi-touch Screen - 1920 X 1080 - Adjustable Display Angle - 3000:1 - 260 Cd/mÂ² - Speakers - Hdmi - Usb - Vga - Glossy Black - Weee, Rohs - 3 Year - (TD2740) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|Viewsonic|260 cd/mÂ²|USB Hub, Speaker, Webcam, Microphone|CE CB FCC-B w/ ICES003 US NRTL w/ CA cULus\cTUVus cETLus/cBVus Mexico Energy ISO9241-3:2008|Glossy Black|||||3000:1|||"2"" (50.8 mm)"|||Yes||Mobile High-Definition Link (MHL), Security Lock||WEEE, RoHS|Yes||Yes|Yes||"16.5"" (419.1 mm)"|82 kHz|178Â°||110 V AC, 220 V AC||3 Year|Viewsonic Corporation|TD2740|http://www.viewsonic.com||1920 x 1080|Wall Mountable|Yes|||||52 W|TD2740 Touchscreen LCD Monitor Power cable Audio cable VGA cable HDMI cable USB cable Quick Start Guide ViewSonic Wizard CD||||PC|||TD2740|TD2740 Touchscreen LCD Monitor||LCD Touchscreen Monitor||||12 ms|Full HD|"27"""|Anti-scratch||Yes|75 Hz|||||Yes|Projected Capacitive|Yes|USB 2.0|178Â°|Yes|100 x 100|Yes|||8.80 kg||"26.5"" (673.1 mm)"
|"Asus Ve248h 24"" Led Lcd Monitor - 16:9 - 2 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Nit - 10,000,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - 34 W - Black - Energy Star, Rohs, Weee - (VE248H) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|Asus|250 cd/mÂ²||CELUL/cULCBCEEuPFCCCCCBSMIGost-RC-TickVCCIPSBJ-MOSS|Black|16.7 Million Colors||||10,000,000:1||"7.9"" (201 mm)"|||||Yes|||ENERGY STAR, RoHS, WEEE|Yes|Yes|Yes||"16.1"" (409.7 mm)"|||170Â°||||3 Year|ASUS Computer International|VE248H|http://www.asus.com||1920 x 1080|Wall Mountable|||1|2||34 W|VE248H Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordQuick Start GuideWarranty Card||||PC|||VE248H|VE248H Widescreen LCD Monitor|VE|LCD Monitor||||2 ms|Full HD|"24"""|||Yes|76 Hz|990 mW||||||||160Â°|Yes|100 x 100|Yes||4.40 kg||"22.4"" (569.4 mm)"|
|"Viewsonic Td2340 23"" Led Lcd Touchscreen Monitor - 7 Ms - Projected Capacitive - Multi-touch Screen - 1920 X 1080 - Adjustable Display Angle - 1,000:1 - 250 Cd/mÂ² - Speakers - Hdmi - Usb - Vga - Black - Energy Star, Epeat Gold, Tco Certified Displays 5.2, Erp, China Energy Label (cel), Reach, Rohs, Weee - (TD2340) - SoftwareCity.ca - Canada"||Yes||Yes||LED|Viewsonic|250 cd/mÂ²|Speaker, USB Hub|CECBBSMIPSBSASOC-tickSASOKCUL/cULFCC-BGOST-RUkrSEPRO + DoCCCC|Black|||||1,000:1||"2.6"" (66 mm)"|"12.8"" (325.1 mm)"|||Yes||Security Lock, Eco Mode, Auto-off||ENERGY STAR, EPEAT Gold, TCO Certified Displays 5.2, ErP, China Energy Label (CEL), REACH, RoHS, WEEE|Yes||Yes|Yes|"17.9"" (454.7 mm)"|"17.9"" (454.7 mm)"||178Â°||110 V AC, 220 V AC|||Viewsonic Corporation|TD2340|http://www.viewsonic.com||1920 x 1080|Wall Mountable|Yes|||||45 W|||||PC, Mac|||TD2340|TD2340 Touchscreen LCD Monitor||LCD Touchscreen Monitor||||7 ms|Full HD|"23"""|Anti-glare||Yes||||||Yes|Projected Capacitive|Yes||178Â°|Yes|100 x 100|Yes||6.58 kg|9.25 kg|"22.7"" (576.6 mm)"|"22.7"" (576.6 mm)"
|"Viewsonic Vg2437mc-led 24"" Led Lcd Monitor - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 300 Cd/mÂ² - 1,000:1 - Full Hd - Speakers - Dvi - Vga - Displayport - Usb - 24.50 W - Epeat Silver, Energy Star, Rohs, Weee - (VG2437MC-LED) - SoftwareCity.ca - Canada"||Yes|Yes|Yes||LED|Viewsonic|300 cd/mÂ²|Webcam, Microphone, Speaker, USB Hub|UL/cULFCC-B||||||1,000:1||"2.4"" (61 mm)"|"9.4"" (238.8 mm)"|||Yes|Yes|||EPEAT Silver, ENERGY STAR, RoHS, WEEE|Yes|Yes||Yes|"13.4"" (340.4 mm)"|"17.8"" (452.1 mm)"||170Â°||110 V AC, 220 V AC||3 Year|Viewsonic Corporation|VG2437MC-LED|http://www.viewsonic.com||1920 x 1080||||1|||24.50 W|VG2437mc-LED Full HD Resolution with DisplayPort ConnectivityPower CableVGA Video CableDVI CableAudio CableUSB CableMic CableViewSonic Wizard CD-ROMQuick Start Guide||||PC, Mac|||VG2437mc-LED|VG2437mc-LED Full HD Resolution with DisplayPort Connectivity||LCD Monitor|Yes|||5 ms|Full HD|"24"""|Anti-glare||Yes|60 Hz|||||||Yes|USB 2.0|160Â°|Yes|100 x 100|Yes||3.76 kg|5.22 kg|"21.9"" (556.3 mm)"|"21.9"" (556.3 mm)"
|"Benq Gw2760hs 27"" Led Lcd Monitor - 16:9 - 4 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 300 Nit - 20,000,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - 27 W - Glossy Black - Energy Star 6.0, Tco Certified Displays 6.0 - (GW2760HS) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|BenQ|300 cd/mÂ²|Speaker||Glossy Black|16.7 Million Colors||||20,000,000:1||"7.5"" (191 mm)"|||||Yes|Eco Mode, Senseye 3, Flicker-free, Security Lock|Click to view|ENERGY STAR 6.0, TCO Certified Displays 6.0|Yes|Yes|Yes|Yes|"18.6"" (472 mm)"||83 kHz|178Â°||120 V AC, 230 V AC|||BenQ Corporation|GW2760HS|http://www.benq.ca||1920 x 1080|Wall Mountable|||1|2||27 W||||Vertical Alignment (VA)|PC|||GW2760HS|GW2760HS Widescreen LCD Monitor|GW|LCD Monitor||||4 ms|Full HD|"27"""|||Yes|76 Hz||||-5Â°to15Â°|||||178Â°|Yes|100 x 100|Yes||4.50 kg||"24.5"" (623 mm)"|
