3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|features|firewireilink|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|B2280HS-W1, 2611287, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|iiyama|250 cd/m²|Speaker|CETUV-GSCU|White|16.7 Million Colours|||1,000:1||244.5 mm||||Yes|||Security Lock||['ENERGY STAR', 'TCO Displays 5.0']|Yes|Yes|Yes||523 mm|||160°|['110 V AC', '220 V AC']|3 Year|iiyama North America, Inc|B2280HS-W1||1920 x 1080|||1|2||21 W|ProLite B2280HSPower CableVGA (D-Sub) CableDVI-D CableAudio CableStandScrewCable HolderQuick Start GuideSafety Guide||||['Mac', 'PC']||ProLite|B2280HS|ProLite B2280HS||LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"||||Yes|75 Hz|1 W||||||||160°|Yes|100 x 100|Yes||5.10 kg||509.5 mm|
|L-W22, 52619, AG Neovo, LCD Monitor, Kingsfield Computer Products Ltd||||||LED|AG Neovo|250 cd/m²|Speaker|FCCCBCE||16.7 Million Colours|||20,000,000:1||180 mm||||Yes|||||['REACH', 'WEEE', 'RoHS']|Yes||Yes||366 mm|||160°|['220 V AC', '110 V AC']|3 Year|AG Neovo Technology Corporation|L-W22||1920 x 1080|Wall Mountable||1|2|400 mW|32.90 W|L-W22 Widescreen LCD MonitorCD-ROM (User Manual)15-Pin D-Sub CableAudio CableAC Power Cord||||PC|||L-W22|L-W22 Widescreen LCD Monitor|L|LCD Monitor|||3 ms|Full HD|"55.9 cm (22"")"||||Yes|75 Hz|400 mW||||||||160°|Yes|100 x 100|Yes||3.50 kg||506 mm|
|BDL3250EL/00, 2760259, Philips, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|Edge LED|Philips|360 cd/m²|Speaker|CE FCC Class B UL/cUL CCC C-Tick GOST||16.7 Million Colours|Yes|Yes|1,400:1||69 mm||Landscape/Portrait|Yes|Yes|||['3D De-interlace', 'Digital Daisy Chain', 'Picture by Picture', '3D Comb Filter', 'Tiled Matrix', 'Digital Signage Ready', 'Video Wall', 'Picture on Picture', 'SmartPower', 'Picture in Picture']||RoHS|Yes||Yes||444.6 mm|||178°|['220 V AC', '110 V AC']|3 Year|Philips Electronics|BDL3250EL/00||1920 x 1080||Yes|1|2||41 W|LED Display Remote Control Batteries for Remote Control Power Cord VGA Cable User Guide on CD-ROM Quick Start Guide||1||PC|||BDL3250EL|LED Display||LCD Monitor|||8 ms|Full HD|"81.3 cm (32"")"||||Yes|60 Hz|500 mW||||||Yes||178°|Yes|400 x 200|Yes||11.40 kg||750.2 mm|
|34UM95-P, 4065879, LG Electronics, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes||21:9|LED|LG|320 cd/m²|['USB Hub', 'Speaker']|UL (cUL) FCC-B CE|['Black', 'Silver']|1.07 Billion Colors|||10,000,000:1||172.9 mm|82.90 mm||Yes|Yes|||['Flicker-free', 'Dual Link-up', 'Split Screen', 'Picture by Picture', 'Reading Mode', 'OverDrive']||['ENERGY STAR', 'TCO Certified Displays 6.0', 'EPA', 'TÜV']|Yes|Yes|Yes|Yes|379.8 mm|468.90 mm||178°|||LG Electronics|34UM95-P|20 mm|3440 x 1440|['Wall Mountable', 'Arm-mountable']||1|2|500 mW|80 W||||In-plane Switching (IPS) Technology|['Mac', 'PC']|||34UM95-P|34UM95-P Widescreen LCD Monitor||LCD Monitor|||5 ms|QHD|"86.4 cm (34"")"|['Anti-reflective', 'Anti-glare']|||Yes|61 Hz|1.20 W||||Yes|-5°to15°|Yes|USB 3.0|178°|Yes|100 x 100|||6.70 kg|7.70 kg|829.9 mm|829.90 mm
|K9307906, 2655423, Barco, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|LED|Barco|450 cd/m²||IP21 IPX5 IEC60601 3rd Edition CE C-UL-US DEMKO IEC60601-1 UL60601-1 CAN/CSA C22.2 No. 60601-1-08 IEC60601-1-2 EN55011 /CISPR 11 FCC CFR47 Part 15 & 18/Class B|White|1 Billion Colors||Yes|1,400:1||90 mm|||Yes|Yes|||['Picture and Picture (PAP)', 'Picture in Picture', 'Cable Management']||['WEEE', 'REACH', 'RoHS 2']|Yes||Yes||411 mm|||178°|['220 V AC', '110 V AC']|3 Year|Barco|K9307906||1920 x 1080|['Arm-mountable', 'Desk Mountable']||1|||120 W|26-inch Full HD Surgical Display User Manual Mains Cable External Power Supply|||In-plane Switching (IPS-Pro) Technology||||MDSC-2226|26-inch Full HD Surgical Display||LCD Monitor||||Full HD|"66 cm (26"")"|Anti-reflective|Yes|3G-SDI||||Yes|||||||178°|Yes|100 x 100|Yes||9.50 kg||633 mm|
|PB238Q, 2529493, ASUSTeK COMPUTER, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|Asus|250 cd/m²|['USB Hub', 'Speaker']||Black|16.7 Million Colours|||80,000,000:1||57.6 mm|201 mm||Yes|Yes|||['Security Lock', 'Splendid Video Intelligence Technology', 'Trace Free Technology']||||Yes|Yes||323.7 mm|414 mm||178°|||ASUS Computer International|PB238Q||1920 x 1080|Wall Mountable||1|2||||||In-plane Switching (IPS) Technology|PC|||PB238Q|PB238Q Widescreen LCD Monitor|PB|LCD Monitor|||6 ms|Full HD|"58.4 cm (23"")"||||Yes||500 mW||||||Yes|USB 2.0|178°|Yes|100 x 100|Yes||5.50 kg||548.8 mm|548.80 mm
|T52DEEU, LENMON044, Lenovo, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No|No|16:9|LED|Lenovo|200 cd/m²||UL|Raven Black||||400:1||21.5 mm|||||||||['RoHS', 'EPEAT Gold', 'ENERGY STAR']|Yes||||217.9 mm|||90°||3 Year|Lenovo Group Limited|T52DEEU||1366 x 768|||1|||5 W|LT1421 Widescreen LCD MonitorUSB Cable||||||ThinkVision|LT1421|LT1421 Widescreen LCD Monitor||LCD Monitor|||8 ms|WXGA|"35.6 cm (14"")"||||||100 mW||||||Yes|USB 2.0|50°|No||||870 g||335 mm|
|236V4LSB/00, Philips, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|Philips|250 cd/m²||BSMICE MarkingCEFCC Class BGOSTPSBSASOSEMKOTUV/ISO9241-307UL / cUL|Glossy Black|16.7 Million Colours|||1,000:1||48 mm|219 mm|||Yes|||Security Lock||['ENERGY STAR 5.0', 'RoHS', 'EPEAT Silver', 'WEEE', 'TCO Certified Displays']|Yes|Yes|||339 mm|417 mm||170°|['110 V AC', '220 V AC']||Philips Electronics|236V4LSB/00||1920 x 1080|||1||500 mW|24.82 W|||||['Mac', 'PC']|||236V4LSB|236V4LSB Widescreen LCD Monitor|V|LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"|||||60 Hz|500 mW||||||||160°|Yes|100 x 100|Yes||2.82 kg|3.06 kg|549 mm|549 mm
|UM.CV6EE.009, 8654K90, Acer, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No|No|5:4|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||52 mm|207 mm||||||||['TCO Certified Displays 6.0', 'EPEAT Gold']|Yes||||337 mm|408 mm||170°|['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.CV6EE.009|No|1280 x 1024|||1||350 mW|15.80 W|V196LWidescreen LCD MonitorPower Cord1 x VGA Cable|||Twisted Nematic Film (TN Film)||||V196L|V196L LCD Monitor|V|LCD Monitor|||5 ms|SXGA|"48.3 cm (19"")"|Anti-glare||||75 Hz|450 mW||No|||-5°to25°|||160°|Yes|100 x 100|Yes||2.70 kg|3.10 kg|406.4 mm|406.40 mm
|LS24C45KBSV/EN, Samsung, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|Samsung|250 cd/m²||TUV : EN60950-1UL: UL 60950-1CSA: CSA C22.2 No. 60950-1NEMKO: EN60950-1KC: K60950-1CCC: GB 4943-2001PSB: IEC60950-1GOST: IEC60950-1, EN55022SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NOM-019-SCFI-1993IRAM: IEC60950-1SASO: IEC60950-1EMC:FCC: FCC Part 15, Subpart B class ACE: EN55022, EN55024VCCI: V-3 (CISPR22)KCC: KN22, KN24C-Tick: AS / NZS3548 (CISPR22)CCC: GB 9254-2008, GB 17625.1-2003|Matte Black|16.7 Million Colours|||1,000:1||56.7 mm|224 mm||No|Yes|||['MagicBright3', 'Off Timer', 'MagicAngle', 'MultiScreen', 'Eco Saving', 'MagicTune', 'MagicRotation']||['ENERGY STAR', 'TCO Certified Displays', 'EPEAT Gold']|Yes||No||333.2 mm|486.75 mm||170°|['220 V AC', '110 V AC']|3 Year|Samsung|LS24C45KBSV/EN||1920 x 1080|Wall Mountable||1|||30 W|"24"" S24C450B Series 4 LED Business Monitor with DVI CableDVI CableD-Sub Cable1.5 m Power CordE-manualInstallation CDQuick Installation Guide"||||PC|||S24C450B|"24"" S24C450B Series 4 LED Business Monitor with DVI Cable"|450|LCD Monitor|Yes|Plastic|5 ms|Full HD|"61 cm (24"")"||||No||100 mW||||||||160°|Yes|100 x 100|Yes||3.50 kg|5.20 kg|565.4 mm|565.40 mm
|LS27C65UXS/EN, 886N202, Samsung, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|Samsung|300 cd/m²|['USB Hub', 'Speaker']|"Security:
UL (USA): UL 60950-1 CSA (Canada): CSA C22.2 No. 60950-1 TÜV (Germany): EN60950-1 NEMKO (Norway): EN60950-1 KC (Korea): K60950-1 CCC (China): GB 4943-2001 PSB (Singapore): IEC60950-1 GOST (Russia): IEC60950-1, EN55022 SIQ (Slovenia): IEC60950-1, EN55022 PCBC (Poland): IEC60590-1, EN55022 NOM (Mexico): NOM-019-SCFI 1993 IRAM (Argentina): IEC60950-1 SASO (Saudi Arabia): IEC60950-1 EMC:
FCC (U.S.) FCC Part 15, Subpart B Class A CE (Europe) EN55022, EN55024 VCCI (Japan) V-3 (CISPR22) KCC (Korea): KN22, KN24 C-Tick (Australia): AS / NZS3548 (CISPR22) CCC (China): GB 9254-2008, GB 17625.1-2003"|Matte Black|16.7 Million Colours|||1,000:1||56.7 mm|224 mm|Landscape/Portrait|Yes|Yes|||['Eco Saving', 'MagicBright3', 'MagicTune', 'MagicRotation', 'Off Timer', 'MultiScreen']||['ENERGY STAR', 'TCO Certified Displays 6.0', 'EPEAT Gold']|Yes||Yes||378.1 mm|532.80 mm||178°|['220 V AC', '110 V AC']|3 Year|Samsung|LS27C65UXS/EN|130 mm|1920 x 1080|Wall Mountable||1|2||30 W||||AD-PLS Technology|PC|||S27C650X|S27C650X Widescreen LCD Monitor|650|LCD Monitor|Yes|Plastic|5 ms|Full HD|"68.6 cm (27"")"||||Yes||300 mW||45°|||-4°to25°|Yes|USB 2.0|178°|Yes|100 x 100|Yes||5.30 kg|6.95 kg|639 mm|639 mm
|UM.HS6EE.001, ACES276HLTMJJ, Acer, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Titanium||||100,000,000:1|||||||38 kWh|A|||MPR II|Yes||Yes|||||||3 Year|Acer, Inc|UM.HS6EE.001|No|1920 x 1080|||1||450 mW|36 W|S276HL Widescreen LCD Monitor1 x VGA CablePower Cord|||In-plane Switching (IPS) Technology||||S276HL|S276HL Widescreen LCD Monitor||LCD Monitor|||6 ms||"68.6 cm (27"")"||||Yes||490 mW||No|||-5°to15°||||No||Yes|||||
|UM.WG6EE.L01, 2941160, Acer, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||36.5 mm|168 mm|||Yes|32 kWh|B|||MPR II|Yes||Yes||311.5 mm|365 mm||178°|['220 V AC', '110 V AC']|2 Year|Acer, Inc|UM.WG6EE.L01|No|1920 x 1080|||1||300 mW|20.50 W|G226HQL Widescreen LCD Monitor1 x VGA CablePower Cord|||In-plane Switching (IPS) Technology||||G226HQL|G226HQL Widescreen LCD Monitor|G|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare||||60 Hz|340 mW||No|||-5°to15°|||178°|||Yes||2.46 kg|2.80 kg|511 mm|511 mm
|859-BBBI, Dell, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|Dell|250 cd/m²|USB Hub|||16.7 Million Colours|||2,000,000:1||46.5 mm|180 mm|Landscape/Portrait|Yes|Yes|||['Cable Management', 'Security Lock']||['EPEAT Gold', 'ENERGY STAR 6.0', 'RoHS', 'TCO Certified Displays', 'CECP', 'China Energy Label (CEL)']|Yes|Yes|||323 mm|493 mm||178°|['220 V AC', '110 V AC']|3 Year|Dell, Inc|859-BBBI||1920 x 1080|['Wall Mountable', 'Arm-mountable']||1||300 mW|38 W|23 Monitor - P2314H Stand Cable cover Power cable DP cable USB cable VGA cable Drivers and documentation media Quick setup guide Safety information|||In-plane Switching (IPS) Technology||25%||P2314H|23 Monitor - P2314H||LCD Monitor|Yes|Plastic|8 ms|Full HD|"58.4 cm (23"")"|||||60 Hz|300 mW||||||Yes|USB 2.0|178°|||Yes||3.34 kg||545.8 mm|545.80 mm
|UM.FV6EE.001, 8654J43, Acer, LCD Monitor, Kingsfield Computer Products Ltd||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||52 mm|206.80 mm|||Yes|||||['TCO Certified Displays 6.0', 'EPEAT Gold']|Yes|Yes|||335.9 mm|422.20 mm||170°|['110 V AC', '220 V AC']|3 Year|Acer, Inc|UM.FV6EE.001|No|1920 x 1080|||1||350 mW|20.90 W|V246HL Widescreen LCD MonitorPower Cord1 x VGA Cable|||Twisted Nematic Film (TN Film)||||V246HL|V246HL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|Full HD|"61 cm (24"")"|Anti-glare||||60 Hz|450 mW||No|||-5°to25°|||160°|Yes|100 x 100|Yes||3.50 kg|3.90 kg|567 mm|567 mm
|VG2233-LED, B921450, ViewSonic, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|Viewsonic|250 cd/m²|||||||1,000:1||51 mm|204.30 mm|||Yes|||Eco Mode||['TCO Certified Displays 5.2', 'ENERGY STAR']|Yes||||306.4 mm|365.90 mm||170°|['110 V AC', '220 V AC']||Viewsonic Corporation|VG2233-LED||1920 x 1080|Wall Mountable||1|||22 W|||||['PC', 'Mac']|||VG2233-LED|VG2233-LED Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare||||75 Hz|||||||||160°|Yes|100 x 100|Yes||3.22 kg|6.72 kg|505.6 mm|505.60 mm
|861-10376, DELP2213, Dell, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:10|LED|Dell|250 cd/m²|USB Hub|EMC|Black|16.78 Million Colors|||1,000:1||59.8 mm|183.30 mm||Yes|Yes|||['Security Lock', 'Cable Management']||['China Energy Label (CEL)', 'EPEAT Gold', 'TCO Certified Displays', 'ENERGY STAR']|Yes|Yes|||332.7 mm|497.40 mm||170°|['220 V AC', '110 V AC']|3 Year|Dell, Inc|861-10376||1680 x 1050|||1|||45 W|Professional P2213 22'' (56cm) LED Monitor VGA,DVI-D,DP (1680x1050) Black VGA Cable Stand Power Cable DVI Cable USB Cable Drivers and Documentation Media Quick Setup Guide Safety Information|||||25%|Professional|P2213|Professional P2213 22'' (56cm) LED Monitor VGA,DVI-D,DP (1680x1050) Black||LCD Monitor|Yes||5 ms|WSXGA+|"55.9 cm (22"")"|Anti-glare||||60 Hz|300 mW||||||Yes|USB 2.0|160°|Yes|100 x 100|Yes||3.43 kg||510.4 mm|510.40 mm
|ET.BB3RE.D03, 8655F69, Acer, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|No|||Acer|250 cd/m²|Speaker||Dark Grey|16.2 Million Colours|||20,000:1||198.5 mm||||Yes|||||"[""TCO '05"", ""TCO '03"", 'TCO Displays 5.0']"|Yes||||422.7 mm|||176°||3 Year|Acer, Inc|ET.BB3RE.D03|80 mm|1280 x 1024|Wall Mountable||1|||13.90 W|B173DOymdh LCD MonitorPower CableVGA CableDVI CableSpeaker Cable|||Twisted Nematic Film (TN Film)||||B173DOymdh|B173DOymdh LCD Monitor||LCD Monitor|||5 ms|SXGA|"43.2 cm (17"")"||||Yes|75 Hz|580 mW||45°|||-5°to20°|||176°|Yes|100 x 100|Yes||4.90 kg||369.7 mm|
|LS19C45KBWV/EN, Samsung, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:10|LED|Samsung|250 cd/m²||UL CSA EN60950-1 NEMKO KC K60950-1 CCC GB 4943-2001 PSB GOST SIQ PCBC IEC60590-1 EN55022 NOM IRAM SASO FCC EN55024 VCCI V-3 (CISPR22) KCC KN22 KN24 C-Tick AS/NZS3548(CISPR22) CCC GB 9254-2008 GB 17625.1-2003|Matte Black|16.7 Million Colours|||1,000:1||54.8 mm|210 mm||No|Yes|||['MagicRotation', 'MultiScreen', 'MagicTune', 'Off Timer', 'MagicBright3', 'MagicAngle', 'Eco Saving', 'Display Power Management Signaling (DPMS)']||['TCO Certified Displays', 'ENERGY STAR', 'EPEAT Gold', 'TÜV']|Yes||No||289.9 mm|423.20 mm||170°|['230 V AC', '120 V AC']|3 Year|Samsung|LS19C45KBWV/EN|100 mm|1440 x 900|Wall Mountable||1|||19 W|"19"" LED Monitor S19C450BW D-sub Cable 1.5m Power Cable Length E-manual Install CD Quick Setup Guide"|||Twisted Nematic Film (TN Film)|PC|||S19C450BW|"19"" LED Monitor S19C450BW"|450|LCD Monitor|||5 ms|WXGA+|"48.3 cm (19"")"||||No||||45°|||-3°to25°|No||160°|Yes|100 x 100|Yes||2.75 kg|4.25 kg|439.4 mm|439.40 mm
|XB2779QS-B1, 2883685, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|iiyama|440 cd/m²|Speaker|CE TUV-Bauart GOST-R VCCI-B PSE|Black|16.77 Million Colors|||1,000:1||230 mm||Landscape/Portrait|Yes|Yes|||['Eco Mode', 'OverDrive', 'Security Lock', 'Display Power Management Signaling (DPMS)', 'i-Style-Color']||ENERGY STAR|Yes|Yes|Yes|Yes|564.5 mm|||178°|['220 V AC', '110 V AC']||iiyama North America, Inc|XB2779QS-B1|130 mm|2560 x 1440|Wall Mountable||1|2||55 W||||Advanced High Performance In-plane Switching (AH-IPS) Technology|['Mac', 'PC']||ProLite|XB2779QS|"ProLite XB2779QS-B1 27"" LED AH-IPS Monitor"||LCD Monitor|||5 ms|WQHD|"68.6 cm (27"")"||||Yes|75 Hz|500 mW||45°|||0°Up to17°|||178°|Yes|100 x 100|Yes|No|8.20 kg||650 mm|
|19B4LCB5/00, 2905225, Philips, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes|Yes|5:4|LED|Philips|250 cd/m²|Speaker|BSMI CE Mark cETLus FCC Class B GOST SEMKO TUV Ergo TUV/GS|Textured Black|16.7 Million Colours|||1,000:1||61 mm|227 mm|Landscape/Portrait||Yes|||['Security Lock', 'TrueVision', 'Eco Mode', 'Sync on Green', 'Cable Management', 'SmartPower', 'SmartErgoBase', 'SmartControl', 'SmartImage']||['TCO Certified Displays 6.0', 'RoHS', 'EPEAT Gold', 'WEEE', 'ENERGY STAR 6.0']|Yes|Yes||Yes|346 mm|404 mm||170°|['220 V AC', '110 V AC']||Philips Electronics|19B4LCB5/00||1280 x 1024|||1|2|100 mW|14 W|||||['Mac', 'PC']||Brilliance|19B4LCB5|Brilliance LCD Monitor, LED Backlight with SmartImage|B|LCD Monitor|Yes|25%|5 ms|SXGA|"48.3 cm (19"")"||||Yes|60 Hz|100 mW||||||||160°|Yes|100 x 100|Yes||2.71 kg|4.61 kg|404 mm|506 mm
|AS23.6LED, VIGAS236LED, Vigilant Vision, Ltd, LCD Monitor, Kingsfield Computer Products Ltd|||||16:9|LED|Vigilant|250 cd/m²|Speaker|CE FCC|Black|16.7 Million Colours|||10,000:1||48 mm|||||||['Picture on Picture', 'Sleep Timer', 'Picture in Picture']||['WEEE', 'ENERGY STAR', 'RoHS']|Yes||Yes||370 mm|425 mm||170°|['220 V AC', '110 V AC']||Vigilant Vision, Ltd|AS23.6LED||1920 x 1080|Desk Mountable||1|2||35 W|"23.6 "" (16:9) LED Monitor Power Supply Kettle Lead VGA Cable Remote Control Screws For Stand User Manual"||||PC|||AS23.6LED|"23.6 "" (16:9) LED Monitor"||LCD Monitor|||5 ms|Full HD|"59.9 cm (23.6"")"||||Yes|75 Hz|||||||||160°|Yes|100 x 100|Yes||6.05 kg||524 mm|524 mm
|201BL2CB/00, Philips, LCD Monitor, Kingsfield Computer Products Ltd||Yes|Yes||16:9|LED|Philips|250 cd/m²|Speaker|BSMICEFCC Class BGOSTSEMKOTUV/GSTUV ErgoUL/cUL|Black|16.7 Million Colours|||1,000:1||49 mm|220 mm|||Yes|||['Security Lock', 'SmartPower', 'SmartImage']||['RoHS', 'TCO Certified Displays 5.2', 'EPEAT Gold', 'ENERGY STAR 5.0']|Yes|Yes||Yes|316 mm|407 mm||176°|['220 V AC', '110 V AC']|2 Year|Philips Electronics|201BL2CB/00||1600 x 900|||1|2|100 mW|17 W|||||['PC', 'Mac']||Brilliance|201BL2CB|"Brilliance LED Monitor 201BL2CB B-line 20"" / 50.8 cm with SmartImage"|B|LCD Monitor|||5 ms|HD+|"50.8 cm (20"")"||||Yes|60 Hz|100 mW||||||Yes|USB 2.0|170°|Yes|100 x 100|Yes||3.69 kg|5.06 kg|494 mm|494 mm
|BDL:K1453V160-UK, FB22T-7LED, Fujitsu Siemens Computers, Kingsfield Computer Products Ltd||Yes|Yes|Yes|16:9|LED|Fujitsu|250 cd/m²|['Speaker', 'USB Hub']|CE EN 60950 TÜV GS GOST FCC Class B cUL C-Tick VCCI KC TÜV-S BSMI CCC SASO ISO9241-307||16.7 Million Colours|||1,000:1||61 mm|200 mm|||Yes|||['Eco Mode', 'Security Lock']||['WEEE', 'RoHS', 'TCO Certified Displays 6.0', 'IT Eco Declaration', 'ENERGY STAR 6.0', 'EPEAT Gold']|Yes|Yes|Yes|Yes|320 mm|339 mm||176°|['110 V AC', '220 V AC']|3 Year|Fujitsu|BDL:K1453V160-UK||1920 x 1080|||1|2|200 mW|22 W|Display B22T-7 LED proGREEN DVI-D Data cable 1.8 m D-SUB Data cable 1.8 m Audio cable 1.8 m USB-cable 1.8 m UK Power cable Quickstart flyer Utility CD Warranty booklet Safety booklet||||PC||proGREEN|B22T-7|Display B22T-7 LED proGREEN||LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare|||Yes|76 Hz|300 mW||||||Yes|USB 2.0|170°|Yes|100 x 100|Yes||3.10 kg||516 mm|516 mm
|T45HNUK, S602QX2, Lenovo, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:10||Lenovo|250 cd/m²||TUVISO 9241-307Safety:ULIEC950 CB ReportNEMKOTUV-GSCCCBSMINOMICCPGostSISIRTUV-S/UL-Ar/IRAM-SISCAAA-SJEITASABS-LoAKCE-StandbyEMI:FCC BICCEVCCIBSMICCCSABS-CoCAAA-RSO|Business Black|16.7 Million Colours|||1,000:1||50.5 mm||||Yes|||Security Lock||['MPR II', 'RoHS', 'China Energy Label (CEL)', 'ULE Gold', 'TCO Certified Edge Displays 1.1', 'TCO Certified Displays 6.0', 'EPEAT Gold', 'ENERGY STAR 6.0']|Yes||||354.1 mm|||170°|['220 V AC', '110 V AC']||Lenovo Group Limited|T45HNUK||1440 x 900|||1||500 mW|20 W|||||PC||ThinkVision|LT1953|ThinkVision LT1953 19.0-Inch Wide LCD Monitor||LCD Monitor|||5 ms|WXGA+|"48.3 cm (19"")"|||||75 Hz|500 mW||||||||160°|Yes|100 x 100|Yes||3 kg||443.2 mm|
|861-10395, DELS2240L, Dell, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|Dell|250 cd/m²||EMC||16.7 Million Colours|||1,000:1||175.8 mm|||||||Security Lock||['EPEAT Silver', 'ENERGY STAR']|Yes||Yes||380.2 mm|||178°|['220 V AC', '110 V AC']|1 Year|Dell, Inc|861-10395||1920 x 1080|||1|||18 W|"S2240L 21.5"" (54.6cm) LED Monitor Full HD (1920x1080) VGA,HDMI Power Cable Adapter Adapter Cable VGA Cable Velcro Strap Drivers & Documentation Media Quick Setup Guide Product and Safety Information Guide"|||In-plane Switching (IPS) Technology||||S2240L|"S2240L 21.5"" (54.6cm) LED Monitor Full HD (1920x1080) VGA,HDMI"||LCD Monitor|||7 ms|Full HD|"54.6 cm (21.5"")"|||||60 Hz|500 mW||||||||178°|||Yes||2.60 kg|3.69 kg|499.1 mm|
|LS22C300HS/EN, SAMS22C300HS, Samsung, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||16:9|LED|Samsung|250 cd/m²|||['Black', 'Red']|16.7 Million Colours|||1,000:1||53 mm|195 mm||No|No|||['MagicTune', 'Off Timer', 'MagicBright3', 'MagicAngle', 'MagicBright12', 'Magic Upscale', 'Eco Saving', 'MultiScreen', 'Sleep Timer']||ENERGY STAR 6.0|Yes||Yes||319 mm|398 mm||170°|['110 V AC', '220 V AC']||Samsung|LS22C300HS/EN||1920 x 1080|||1|||21 W|||||['Mac', 'PC']|||S22C300H|S22C300H Widescreen LCD Monitor|300|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"||||No||300 mW||||||No||160°|||Yes||2.60 kg|2.90 kg|510 mm|510 mm
|19S4LSB/00, Philips, LCD Monitor, Kingsfield Computer Products Ltd||Yes|||5:4|LED|Philips|250 cd/m²||SASOSEMKOBSMICEFCC Class BGOSTTUV ErgoTUV/GSUL/cUL|Black|16.7 Million Colours|||1,000:1||55 mm|188 mm|||Yes|||['Security Lock', 'TrueVision', 'SmartImage', 'SmartPower']||['TCO Certified Displays 5.2', 'EPEAT Gold', 'ENERGY STAR 5.0', 'WEEE', 'RoHS']|Yes|Yes|||347 mm|419 mm||170°|['220 V AC', '110 V AC']|2 Year|Philips Electronics|19S4LSB/00||1280 x 1024|||1||100 mW|17.60 W|||||['Mac', 'PC']|30%|Brilliance|19S4LSB|Brilliance 19S4LSB LCD Monitor|S|LCD Monitor|Yes|25%|5 ms|SXGA|"48.3 cm (19"")"|||||60 Hz|100 mW||||||||160°|Yes|100 x 100|Yes||3.10 kg|3.83 kg|404 mm|404 mm
