3d compatibility|<page title>|ac adapter included|ac power in|annual energy consumption|anschlüsse|aspect ratio|audio input|audio output|auflösung empfohlen|backlight type|bezel width bottom|bezel width side|bezel width top|bildformat|blickwinkel horizontal|blickwinkel vertikal|bluetooth|builtin camera|builtin microphone|builtin speakers|builtin subwoofer|cable lock slot|cables included|camera included|card reader integrated|certification|colour|colour of product|common interface ci|common interface plus ci|compatible memory cards|compatible with vesawall mounting system|compliance industry standards|composite sync|composite video in|connection to pc|contrast ratio dynamic|contrast ratio typical|dcin jack|depth|depth with stand|digital horizontal frequency|digital vertical frequency|dimensions w x d x h|dimensions w x d x h with stand|display|display brightness|display diagonal|display diagonal metric|display number of colours|display resolution|display srgb|display surface|display technology|display type|display viewable area hxv|displaygröße|displayports quantity|dvi port|dvid ports quantity|dvii ports quantity|effective viewing area|eigenschaften|electromagnetic compatibility|energy efficiency class|energy star certified|epeat compliance|ethernet lan|ethernet lan connection|farbe allgemein|farbe herstellerspezifisch|feet colour|full hd|gewicht netto|glossy display|handheld remote control|hd type|hdcp|hdmi|hdmi ports quantity|hdready|headphone connectivity|headphone out|headphone outputs|height|height adjustment|height with stand|helligkeitleuchtstärke|horizontal scan range|input frequency|input voltage|io ports|kontrastverhältnis|lcd paneltechnologie bzw tm |led backlight|led indicators|linux operating systems supported|mac operating systems supported|manual|maximum resolution|mean time between failures mtbf|megapixel|microphone in|mobile highdefinition link mhl|netzteil|nonoperating altitude|number of colours|number of loudspeakers|number of osd languages|number of products included|on screen display osd|on screen display osd languages|onoff switch|operating altitude|operating relative humidity hh|operating relative humidity range|operating temperature range tt|operating temperature tt|package dimensions wxdxh|package weight|packaging depth|packaging height|packaging width|pc audio in|picture enhancement|pictureinpicture|pivot|pivot angle|pixel pitch|placement supported|plug and play|power consumption|power consumption active|power consumption average|power consumption economy mode|power consumption max|power consumption off|power consumption powersave|power consumption standby|power consumption typical|power cord included|power led|power requirements|product type|prüfzeichenzertifikatezulassungen|quantity|quick start guide|reaktionszeit|relative humidity|response time|rms rated power|rotating|safety|screen saving functions|separate hv sync|signalart|standby led|storage relative humidity hh|storage relative humidity range|storage temperature range tt|storage temperature tt|strahlungsnorm|supported graphics resolutions|supported video modes|svideo in|svideo inputs quantity|swivel|swivel angle|swivel angle range|swivel webcam|swivelling|syncongreen sog|thin client installed|tilt adjustment|tilt angle|tv tuner integrated|usb 20 ports quantity|usb 30 ports quantity|usb powered|user guide on cdrom|vertical scan range|vesa bohrung|vesa mounting interfaces compatibility|vga dsub ports quantity|video dot rate|viewable size diagonal|viewable size horizontal|viewable size vertical|viewing angle horizontal|viewing angle vertical|volume control|wall mountable|weight|weight with stand|width|width with stand|wifi|windows operating systems supported|wireless lan connection
N|"M2870VHE - AOC Value m2870Vhe LED monitor 28"" 1920 - Xpcpro.com"||Y|||16:9||||W-LED|||||||N|||N||Kensington|AC, DVI, VGA|||CE, Energy Star 6.0, EPEAT Silver, EuP, GOST, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety||Black|||||||||50000000:1|3000:1|||241.9 mm|30 - 83 kHz|50 - 76 Hz|||LED|300 cd/m²|"28 """|71.1 cm|16.77 M|1920 x 1080 pixels|||WVA|||||Y|1|||||Unspecified|Y|Silver|N|||||||||Full HD|Y||1||||||N|449.3 mm|||50/60 Hz|100 - 240 V|||||Y|||||||||||||||Y||Y|||||||6800 g|145 mm|500 mm|730 mm||||N||0.32 x 0.32 mm||Y||||||0.5 W||0.5 W|27.7 W||Y||||||||5 ms|||||||Y||||||1920 x 1080 HD 1080|1080p|||||||N||N|Y|-5 - 25 °|||||Y|||100 x 100 mm|1|||620.9 mm|341.2 mm|178 °|178 °||Y||4800 g|642.4 mm|642.4 mm|N||
N|200S4LMB/00 - Philips S-line 200S4LMB  LED monitor - Xpcpro.com|||||16:9||||||||||||N||Y||Kensington||||||Black|||||||||20000000:1|1000:1||48 mm|227 mm|30 - 83 kHz|56 - 75 Hz|||LCD|250 cd/m²|"19.5 """|49.5 cm|16.77 M|1600 x 900 pixels|Y||LCD/TFT|||||Y|1||462 x 239.76 mm||||Y|Silver|||||Black||||||Y|||||||299 mm|Y|479 mm|||50/60 Hz|100 - 240 V||||||||||30.000 h|||||||2|21|||CHI SIMPL, CHI TR, CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR|||20 - 80 %|||0 - 40 °C|560 x 361 x 222 mm|5990 g|222 mm|361 mm|560 mm|Y|||Y||0.27 x 0.27 mm||||13.01 W||||0.5 W|10.03 W|0.5 W|13.01 W||||||||||5 ms|4 W||||Y||||||-20 - 60 °C||||||||-65 - 65 °||Y|Y||Y|-5 - 20 °|N|||||||100 x 100 mm|1|||||170 °|160 °||Y|1870 g|4200 g|479 mm|479 mm|||
N|"UM.HB6EE.001 - Acer B276HLymdpr LED monitor 27"" - Xpcpro.com"|||||16:9||||||||||||||Y|||DisplayPort, DVI, VGA|||TCO||Black|||||||||100000000:1|||221 mm||||||LCD|300 cd/m²|"['69 cm', '27 ""']"||16.77 M|1920 x 1080 pixels||||||||||||||Unspecified||||||||||||Full HD|Y|||||||408 mm||||||110 - 220 V|||||||||||||||||2 pcs||||||||||||||||||||||||||||||||||Y||||||||5 ms|||||||||||||1920 x 1080 HD 1080||||||||||N|||||||||||1|||||178 °|178 °|||4900 g|7500 g|640 mm||||
N|22M45HQ-B - LG 22M45HQ-B  flatron LED  monitor  - Xpcpro.com|Y||||16:9||||||||||||N||N||N|AC|||||Black|||||||||5000000:1|1000:1|Y|60 mm|188 mm|||||LED|250 cd/m²|"21.5 """||16.77 M|1920 x 1080 pixels|||TN|||||N|1|||||Unspecified||Gold|||||Black|||||Full HD|Y||1||3.5 mm||1|316 mm|N|416 mm||||100 - 240 V||||||||||||||||||||Y||Y||||||||||||||||0.248 x 0.248 mm||Y||||||0.3 W||0.3 W|21 W||Y||||||||5 ms|||||||Y||||||1920 x 1080 HD 1080|1080p|||||||||N|Y|3 - 20 °|N|||||||75 x 75 mm|1|||||170 °|160 °||Y|2200 g||509 mm|509 mm|||
|"60003584 - NEC MultiSync E224Wi LED monitor 22"" - Xpcpro.com"|||||16:9||||W-LED||||||||N|||||DVI|||TCO, RoHS||Black||||||||||||58.5 mm|213.9 mm|||||LED|250 cd/m²|"21.5 """||16.77 M|1920 x 1080 pixels||||||||Y|1|||||Unspecified|Y|Silver||||||||||Full HD|Y|||||||301.1 mm||474.5 mm||31.5 - 81.1 kHz||||||||||Y|||||||0 - 12192 m|||||Y|||0 - 2000 m||20 - 80 %|5 - 35 °C||||||||||Y||0.25 x 0.25 mm||Y|||||||0.4 W||26 W||||||||||6 ms|||||||||10 - 85 %|-10 - 60 °C|||1920 x 1080 HD 1080|1080p|||||||Y|||Y|||||||56 - 76 Hz||100 x 100 mm|1|||||178 °|178 °||Y|3900 g|5900 g|507.4 mm|507.4 mm|||
|P1905S-B2 - Iiyama P1905S-B2 48CM 19IN LED - Xpcpro.com||||D-Sub 15 pol., DVI-D||||1.280 x 1.024|||||Normal 4:3/5:4|170 °|160 °|||||||||||||||||||||||||||||||||||||||||"48.3 cm 19"""|||||||||||||schwarz||||5 kg||||||||||||||250 cd/qm|||||1000 :1|TN|||||||||||intern|||||||||||||||||||||||||||||||||||||||||||5 ms||||||||digital/analog||||||||||||||||||||||||||100 x 100 mm|||||||||||||||||
N|S26361-K1471-V140 - Fujitsu B19-7 LED LED monitor - Xpcpro.com||Y|||5:4|Y|Y|||||||||N|N|N|N||Kensington|AC, Audio 3.5mm, DVI, VGA|||RoHS||Grey|||||||||2000000:1|1000:1||64 mm|209 mm|||||LED|250 cd/m²|"19 """|48.3 cm|16.77 M|1280 x 1024 pixels||Matt|IPS|||||Y|1|||||Unspecified|Y||N||||||||||Y||||3.5 mm||1|349 mm|Y|370 mm||30 - 82 kHz|50/60 Hz|100 - 240 V|||||Y|||||||||||||||Y|||||||5 - 35 °C||7200 g|||||||||0.293 x 0.293 mm|||||||||0.27 W||17 W|||||||Y|||8 ms|||||||||||||720 x 400, 1024 x 768 XGA, 640 x 480 VGA, 800 x 600 SVGA||||||||Y||N|Y|-5 - 35 °|N|||||56 - 76 Hz||100 x 100 mm|1|||375 mm|300 mm|178 °|178 °||Y|2850 g|5480 g|414 mm|414 mm|N||
|"E2260PDA - AOC e2260Pda LED monitor 22"", 1680 x - Xpcpro.com"|||||16:10||Y||W-LED|||||||N|N||||Kensington|||N|CE, FCC, GOST, RoHS, TÜV-Bauart, TÜV-GS, ISO 9241-307, TCO 5.0, cTUVus, EuP||Black|N|N|N||||||20000000:1|1000:1|||521.3 mm|||||LED|250 cd/m²|"['22 ""', '55.8 cm']"||16.77 M|1680 x 1050 pixels||||||||||1||||Unspecified|Y|Gold||N||||||||HD-Ready|Y|N||||1|||Y|244.6 mm||30 - 80 kHz|50/60 Hz|90 - 240 V|||||||||||||||||||1 pcs|Y|||||||||7220 g|||||||Y|-2 - 92 °|0.248 x 0.248 mm||Y||||||0.34 W||0.4 W|15.5 W||||||||||5 ms|||||||||||||1680 x 1050 WSXGA||||||0 - 178 °|N|Y||N|Y|-5 - 15 °|N|||N||55 - 75 Hz||100 x 100 mm|1|146 MHz||476.64 mm|268.11 mm|170 °|160 °||Y||5650 g||507.8 mm|||N
N|"23MP55HQ - LG Electronics 23MP55HQ, Monitor 23"" - Xpcpro.com"|Y||||16:9||||||||||||N||N||Y|AC, VGA|||||Black|||||||||5000000:1|1000:1|Y|60 mm|188 mm|30 - 83 kHz|56 - 61 Hz|||LED|250 cd/m²|"23 """||16.77 M|1920 x 1080 pixels||Matt|IPS|||||N||||||Unspecified||Gold||||||||||Full HD|Y||1||3.5 mm||1|332 mm|N|436 mm||30 - 83 kHz|50/60 Hz|100 - 240 V||||||||||||||||||||Y||Y||||||||124 mm|400 mm|612 mm||||||0.2652 x 0.2652 mm||||||||0.3 W||0.3 W|21 W||Y||||||||5 ms|||||||Y||||||1920 x 1080 HD 1080|1080p|||||||||N|Y|5 - 20 °|N|||||56 - 75 Hz||75 x 75 mm|1|||||178 °|178 °||Y|2900 g|3200 g|544 mm|544 mm|||
N|C9E49AT#ABB - HP ProDisplay P221, LED monitor - Xpcpro.com||Y|||16:9|||||||||||N|N||N||Y|AC, DVI, VGA|||TCO||Black|||||||||3000000:1|1000:1||47.5 mm|160 mm|||||LED|250 cd/m²|"['54.6 cm', '21.5 ""']"||16.77 M|1920 x 1080 pixels|||||||||1|||||Unspecified|Y|||N||||||N||Full HD|Y|||||||315.2 mm||379 mm|||50/60 Hz|100 - 240 V|||||Y|Y||Y||||||||||||Y||Y|||20 - 80 %|5 - 35 °C||||||||||||0.248 x 0.248 mm||Y|||||28 W|||0.5 W|22 W||Y|||||Y|||5 ms|||||||Y||||||1920 x 1080 HD 1080|1080p|||||||||N|Y|-5 - 25 °|N||||||||1|||||170 °|160 °|||4000 g||518 mm|518 mm||Y|N
N|"UM.CV6EE.005 - Acer V196WLbmd LED monitor 19"" 1440 - Xpcpro.com"|||||16:10||||||||||||N||Y|||AC, VGA|||TCO||Black|||||||||100000000:1|||191 mm||||||LED|250 cd/m²|"['48.3 cm', '19 ""']"||16.77 M|1440 x 900 pixels|||IPS|||||||||||Unspecified||Gold||||||||||N|Y|||||||378 mm||||||110 - 220 V|||||||||||||||||2 pcs|||||||||||||||||||||||||||||3.5 W||4.5 W|13 W||Y||||||||5 ms|2 W||||||||||||1440 x 900 WXGA||||||||||N|||N||||||||1|||||170 °|160 °|||2700 g|3100 g|440 mm||||
|E2460PQ - AOC Professional E2460PQ Professional - Xpcpro.com||||||||1.920 x 1.080|||||Wide 15:9/16:9/16:10|170 °|160 °|||||||||||||||||||||||||||||||||||||||||"61 cm 24"""||||||höhenverstellbar, neigbar, Pivot drehbar 90°, schwenkbar, Speaker|||||||||||6,38 kg||||||||||||||250 cd/qm|||||1000 :1||||||||||||intern||||||||||||||||||||||||||||||||||||||||CE, Energy Star, EPEAT Gold, ISO 9241-307, TÜV-GS|||2 ms||||||||digital/analog||||||TCO 6.0||||||||||||||||||||100 x 100 mm|||||||||||||||||
|"60003608 - NEC MultiSync EA273WMi LED monitor 27"", - Xpcpro.com"||Y|||16:9|Y|||W-LED|||||||N|N||Y||N|AC, Audio 3.5mm, DVI, USB, VGA|||TCO, RoHS, ISO 9241-307 Class I||Black||||||Y||||1000:1||66.5 mm|230 mm|31.5 - 83 kHz|56 - 75 Hz|||LED|250 cd/m²|"['68.58 cm', '27 ""']"||16.77 M|1920 x 1080 pixels|Y||IPS||||1|Y|1|||||Unspecified|Y|Gold||N||||||||Full HD|Y||1|||||377.8 mm|Y|548 mm||31.5 - 83 kHz|||||||Y|||Y|||||||0 - 12192 m|||||Y||Y|0 - 2000 m||20 - 80 %|5 - 35 °C||||||||||Y||0.31 x 0.31 mm|Horizontal/Vertical|Y||||||||0.48 W|31 W||Y||||1|Y|||6 ms|||||Y||Y||10 - 85 %|-10 - 60 °C|||1920 x 1080 HD 1080||||||||Y|Y|N|Y||N|4||||56 - 75 Hz||100 x 100 mm|1|||||178 °|178 °||Y|4300 g|7200 g|639.3 mm|639.3 mm|||N
N|"I2757FM - AOC I2757FM  LED monitor  27""  1920 x - Xpcpro.com"|||- kWh||16:9||||||||||||N||Y||N|AC, HDMI, VGA|||TÜV, ISO 9241-307, cCSAus, CE, FCC||Black, Silver|||||||||20000000:1|1000:1||130 mm||||||LED|250 cd/m²|"['27 ""', '68.6 cm']"||16.77 M|1920 x 1080 pixels|||IPS|||||||||||Unspecified|Y|-||||||Y|||||N||1|||||449 mm|N||||50/60 Hz|100 - 240 V||||||||||||||||||||||||||||||||||||||0.311 x 0.311 mm||||||||||- W|- W||||||||||5 ms|||||||||||||1920 x 1080 HD 1080||||||||||N|||N|1||||||N mm|1|||597.89 mm|336.31 mm|178 °|178 °||N|- g||622 mm||||
|"P1X15HV0E11-A3 - Neovo X15,  LCD monitor  15"",  - Xpcpro.com"|||||||||||||||||||||||||Safety & EMI: FCC, UL/CUL, CE, TUV/BAURT,NORDIC, TCO 95, BSMI, VCCI,CB, ISO 13406||Black||||||||||400:1||155 mm||||||TFT|500 cd/m²|"15 """||16.7 M|1024 x 768 pixels||||||||||||||||||||||||||||||||||359 mm||||30 - 60 kHz|||Inputs: - 15-Pin D-Sub - Digital 29-Pin DVI-D - S-Video 4-Pin Mini Din S-Video - CVBS CVBS Jack - Connector Power 3-Pin AC Plug|||||||||||||||||||||||||||||||||||||0.297 mm||||||||||5 W|48 W|||Power AC 100 - 240V, 50 - 60Hz||||||||||||||||||||||||||||||||0 - 20 °||||||50 - 75 Hz||100 x 100 mm||||||140 °|120 °|||4800 g||380 mm||||
N|22MB35PU-W - LG FLATRON Monitor 22MB35PU-W LED - Xpcpro.com|||||16:9||||W-LED||||||||N||Y||Kensington|Audio 3.5mm, DVI, VGA|||||White||||||Y|||5000000:1|1000:1||224.2 mm||||||LCD|250 cd/m²|"21.5 """|54.6 cm|16.77 M|1920 x 1080 pixels|||TN|||||Y|2|||||Unspecified||||||||||||Full HD|Y|||||||463.9 mm||||30 - 83 kHz|47-63 Hz|90 - 264 V|||||||||||||||||2||||DEU, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SER, UKR|Y|||||||||||Y|||Y||0.248 x 0.248 mm||Y||||||0.3 W||0.3 W|24 W||||||||||5 ms|2 W||||Y||||||||1920 x 1080 HD 1080|||||||||Y|N|Y|20 - 5 °|N|2||||56 - 75 Hz||100 x 100 mm|1|||||170 °|160 °||Y|3600 g||509.2 mm||||
N|244E5QHSD/00 - Philips E-line 244E5QHSD LED - Xpcpro.com|||||16:9||||W-LED||||||||N||N||Kensington||||||Black, Cherry|||||||||20000000:1|1000:1||45 mm|213 mm|30 - 83 kHz|56 - 75 Hz|||LCD|250 cd/m²|"23.8 """|60.5 cm|16.77 M|1920 x 1080 pixels|Y||||||||||||||Y|Silver||||||||||Full HD|Y||2|||||338 mm|N|428 mm|||50/60 Hz|100 - 240 V|||||Operation, Stand-by|||||30.000 h|||Y|||||21|||CHI SIMPL, CHI TR, CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR|||20 - 80 %|||0 - 40 °C||5340 g|99 mm|478 mm|599 mm||||||0.2745 x 0.2745 mm||Y||||||0.3 W||0.5 W|18.2 W||||||||||5 ms|||||Y||||||-20 - 60 °C|||||||||||Y||Y|-5 - 20 °|N|||||||100 x 100 mm|1|||||178 °|178 °||Y|3440 g|3800 g|557 mm|557 mm|||
|B2083HSD-B1 - Iiyama ProLite B2083HSD-1  LED - Xpcpro.com||||||||1.600 x 900|||||Wide 15:9/16:9/16:10|170 °|160 °|||||||||||||||||||||||||||||||||||||||||"50.8 cm 20"""|||||||||||||schwarz||||2,7 kg||||||||||||||250 cd/qm|||||1000 :1|TN||||||||||||||||||||||||||||||||||||||||||||||||||||||5 ms||||||||digital/analog||||||||||||||||||||||||||100 x 100 mm|||||||||||||||||
|"UM.PB6EE.009 - Acer B286HK LED monitor 28"" 3840 x - Xpcpro.com"|||||16:9|||||||||||N|||Y|||AC, DisplayPort, DVI, USB|||TCO Certified Displays 6.0, ECO||Grey|||||||||100000000:1|||64.5 mm|247.2 mm|||||LED|300 cd/m²|"28 """|71.1 cm|16.77 M|3840 x 2160 pixels|||TNFilm|||||Y||||||Unspecified|Y|Gold|N|||||||||4K Ultra HD|Y||1|||||381.9 mm|Y|408.5 mm||||120 - 230 V|||||Y||||||||||||2|||||Y||||||||||||||||||Y||||||0.4 W||0.5 W|39 W||Y||||||||1 ms|||||||Y||||||3840 x 2160||||||||Y||N|Y|-5 - 35 °||1||||||100 x 100 mm||||||170 °|160 °||Y|||658.7 mm|658.7 mm|N||
|I2360SH - AOC IPS MONITOR - I2360SHProfessional - Xpcpro.com|||||16:9||Y||||||||||||Y||Kensington||||EuP, FCC, GOST, ISO 9241-307, NRTL, RoHS, TCO 6.0, TÜV-GS||Black|||||||||20000000:1|1000:1||209.4 mm||30 - 83 kHz|50 - 76 Hz|||LED|250 cd/m²|"23 """||16.77 M|1920 x 1080 pixels|||IPS|||||Y|1|||||Unspecified|Y|Gold||||||||||Full HD|Y||1||||1|394.7 mm|N|||||||||||||Y||||||||||27||Y||||||||||||||||N||||||||||0.5 W||0.5 W|25 W||||||||||6 ms|||||||||||||1920 x 1080 HD 1080||||||||||||||||||||100 x 100 mm|1|||||178 °|178 °||N|3730 g||548.5 mm||||
|221P3LPYES/00 - Philips Brilliance P-line - Xpcpro.com|||||16:9||||||||||||||||||||||||||||||||1000:1|||||||507 x 487 x 220 mm||250 cd/m²|||||Y||||||||||||||||||||||||||||||||||130 mm|||||||||||||||30.000 h||||||||||||||||||||||||||||0.248 x 0.248 mm|||||||||||||||||||||5 ms|||||||||||||||||||||||||-5/20 °|||||||||||||||||||5.64 kg|||||
|LS24C65KMWG/EN - Samsung 6 Series S24C650MW LED - Xpcpro.com||||||||||||||||N|||Y|||AC, DVI, VGA|||||Black|||||||||Mega Contrast|||54.2 mm|224 mm|||||LED|300 cd/m²|"24 """|60.96 cm|16.77 M|1920 x 1080 pixels|||AD-PLS|||||Y|1|||||Unspecified|||N|||||||||Full HD|Y|||||||359.4 mm|Y|382.3 mm||||||||||||Y|||||||||2|||Y||Y||||||||433 mm|188 mm|628 mm||||Y|-1 - 95 °|0.27 x 0.27 mm||Y|||||||||||Y||||||||5 ms|2 W||||||Y||||||1920 x 1080 HD 1080||||||-45 - 45 °||Y||N|Y|-3 - 25 °|||||||||1|||||178 °|178 °||Y|5700 g||554.8 mm|554.8 mm|N||
N|S26361-K1482-V160 - Fujitsu E19-7 LED LED monitor - Xpcpro.com||Y|||5:4|Y|Y|||||||||N|N|N|N||Kensington|AC, Audio 3.5mm, DVI, VGA|||RoHS||Black|||||||||2000000:1|1000:1||64 mm|209 mm|||||LED|250 cd/m²|"19 """|48.3 cm|16.77 M|1280 x 1024 pixels|||IPS|||||Y|1|||||Unspecified|Y||N||||||||||Y||||3.5 mm|1||349 mm||391 mm||30 - 82 kHz|50/60 Hz|100 - 240 V||||||||||||||||||||Y|||||||5 - 35 °C||4900 g|||||||||0.293 x 0.293 mm|||||||||0.26 W||17 W|||||||Y|||8 ms|||||||||||||720 x 400, 1024 x 768 XGA, 1280 x 720 HD 720, 640 x 480 VGA, 800 x 600 SVGA||||||||Y||N|Y|-5 - 20 °|N|||||56 - 76 Hz||100 x 100 mm|1|||375 mm|300 mm|178 °|178 °||Y|3090 g|3520 g|414 mm|414 mm|N||
|"LW27A011E0100 - Neovo L-W27 LED monitor 27"" 1920 x - Xpcpro.com"|||||||||||||||||||Y|||AV|||FCC, CB, CE, BSMI, GOST-R, WEEE, RoHS, REACH||Black|||||||||20000000:1|||210 mm|||||||300 cd/m²|"27 """|68.6 cm|16.77 M|1920 x 1080 pixels||||LED||||Y|1|||||||||||||||||Full HD|||1|||||439 mm||||30 - 83 kHz||||||||||Y||||||||||||||||10 - 85 %|||0 - 40 °C||7700 g|148 mm|527 mm|730 mm||||||0.311 x 0.311 mm||Y||||||0.5 W||0.5 W|50 W|||||||||||4 W|||||||10 - 85 %|||-25 - 55 °C||||||||||||||||||||56 - 75 Hz||100 x 100 mm||||||170 °|160 °||Y|5900 g||642 mm||||
N|241B4LPYCB/00 - Philips Brilliance B-line - Xpcpro.com||Y|||16:9||||W-LED||||||||N||Y||Kensington||||BSMI, CE Mark, FCC B, GOST, SASO, SEMKO, TCO 5.2, TUV Ergo, TUV/GS, UL/cUL, WEEE||Black||||||||Y|20000000:1|1000:1||55 mm|227 mm|30 - 83 kHz|56 - 75 Hz|||LED|250 cd/m²|"['24 ""', '61 cm']"||16.77 M|1920 x 1080 pixels|Y||||||1||1||||||Y|Gold||||||Y|||||Y||||3.5 mm|1||352 mm|['100 mm', 'Y']|403 mm|||50/60 Hz|100 - 240 V|||||||Y||1920 x 1080 pixels||||||||2 pcs|8|1 pcs|Y|CHI SIMPL, DEU, ENG, ESP, FRE, ITA, POR, RUS|Y|||20 - 80 %|0 - 40 °C|||8300 g|172 mm|405 mm|624 mm|Y|SmartImage||Y|0 - 90 °|0.276 x 0.276 mm|Horizontal/Vertical|Y|||||||12 W|0.1 W|21.44 W||Y||||||||5 ms|3 W||TCO edge, RoHS, PVC / BFR free, Mercury free, Lead free|Y|Y||Y|||-20 - 60 °C|||1920 x 1080 HD 1080|||||-65 - 65 °||||Y|N||-5 - 20 °|N|2||||||100 x 100 mm|1|||531.4 mm|298.9 mm|170 °|160 °||Y|4300 g|6300 g|565 mm|565 mm||Y|
N|"E2770SHE - AOC e2770She  LED monitor  27"" 1920 x - Xpcpro.com"|||||16:9||||||||||||N||Y||||||CE, FCC, TUV-GS, GOST, RoHS||Black|||||||||20000000:1|1000:1||||||||LED|250 cd/m²|"27 """||16.77 M|1920 x 1080 pixels|||TNFilm|||||N||||||Unspecified|Y|Silver||||||||||Full HD|Y||2||||||N|||30 - 83 kHz|50/60 Hz|90 - 240 V||||||||||||||||||||||||||||||||||||N|||||||||||||||||||||||5 ms|2 W||||||||||||1920 x 1080 HD 1080||||||||N||N|Y|-5 - 15 °|N|||||55 - 75 Hz||100 x 100 mm|1|||597.89 mm|336.31 mm|170 °|160 °||Y|||||||
N|B2483HS-B1 - Iiyama ProLite B2483HS-1  LED monitor - Xpcpro.com|||||16:9||||||||||||N||Y||Kensington|AC, DVI, VGA|||||Black|||||||||5000000:1|1000:1||516.5 mm||||||LED|300 cd/m²|"24 """|61 cm|16.77 M|1920 x 1080 pixels||||||||Y|1|||||Unspecified|Y|||||||||||Full HD|Y||1|||||230 mm|Y|||30 - 80 kHz|50/60 Hz|100 - 240 V|||||||Y||||||||||||||CHI TR, DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS|||||||||||||||||0.277 x 0.277 mm||||||||||0.5 W|24 W|||||||Y|||2 ms|4 W||||||||||||1920 x 1080 HD 1080||||||45 - 90 °||||N||5 - 22 °|N|||||55 - 75 Hz||100 x 100 mm|1|||||170 °|170 °||Y|5100 g||565.5 mm|||Y|
N|"E2752VQ - AOC e2752Vq  LED monitor  27""  1920 x - Xpcpro.com"||Y|- kWh||16:9||||W-LED|||||||N|N||Y||-|AC, Audio 3.5mm, DVI, VGA|||EPEAT Silver||Black|||||TCO 5.0||||20000000:1|1200:1||210 mm||||||LED|300 cd/m²|"27 """||16.77 M|1920 x 1080 pixels|||||||1||1|-|||CE, FCC|Unspecified|Y|||N||||Y|||||Y|Y|1|Y||||452 mm|||||50/60 Hz|96 - 264 V|||||Y|||Y|||||||||||1 pcs|||Y|||5 - 40 %|20 - 80 °C|||7394 g|||||||||0.311 x 0.311 mm|Horizontal|Y||||||||0.50 W|50 W||Y|||||Y|||2 ms|||RoHS||||Y||||||1920 x 1080 HD 1080|1080i, 1080p, 720i, 720p|||||||||N||-3 - 19 °|N|5||||||100 x 100 mm|1|||597.89 mm|336.31 mm|170 °|160 °||Y|5287 g||645.7 mm|||Y|
N|"TD2340 - ViewSonic LED monitor 23"" Multi-Touch, - Xpcpro.com"|||||16:9|1|||W-LED||||||||||Y|||AC, Audio 3.5mm, DisplayPort, HDMI, USB, VGA|||EPEAT Gold, RoHS||Black|||||||||20000000:1|1000:1||453.8 mm||24 - 83 kHz|50 - 76 Hz||576.6 x 324.5 x 453.8 mm|IPS|250 cd/m²|"23 """|||1920 x 1080 pixels|||||508 x 287 mm||1||||||||Y||||||||||||||1|||1||66.5 mm|||||50/60 Hz|100 - 240 V||||Y|||||||||||||2 pcs|||Y|||||20 - 90 %|0 - 40 °C||671 x 234 x 510 mm|12200 g||||||||||||||||||18.5 W||45 W||||||||||7 ms|4 W||||Y||||||||||||||||||||-5 - 50 °||3||||||100 x 100 mm|1|||||178 °|178 °||Y|6600 g|9200 g|576.6 mm||||
N|"VX2252MH - ViewSonic VX2252MH LED monitor 22"" 1920 - Xpcpro.com"||Y|||16:9|Y|||W-LED|||||||N|N||Y|N|N|DVI, VGA|||CE,CB, BSMI, PSB, SASO, C-tick, UL/cUL, FCC-B including ICES003, TUV-S, NOM, GOST-R/Hygienic, UkrSEPRO, Erp, CCC, China Energy, WEEE, RoHS, SVHC list||Black|||||||||50000000:1|1000:1||53 mm|222.5 mm|24 - 82 kHz|50 - 75 Hz|||LED|250 cd/m²|"['54.61 cm', '21.5 ""']"|||1920 x 1080 pixels|Y||TFT|||||Y|1|||||Unspecified|Y|Silver||N||||||||Full HD|Y||1|||||327.2 mm|N|402 mm||24 - 82 kHz|50/60 Hz|100 - 240 V|||||Y||Y||||||||||2|||Y||Y|||10 - 90 %|0 - 40 °C|||4800 g|118 mm|436 mm|550 mm|||N|N||||Y|||||||15.8 W||21.5 W|Y|||||1|Y|||2 ms|4 W||||Y||||||||1920 x 1080 HD 1080|1080p|||||||N||N|Y|0 - 20 °|N|||||50 - 75 Hz||100 x 100 mm|1||546 mm|475 mm|267 mm|178 °|178 °||Y|2900 g|3300 g|511.1 mm|511.1 mm||Y|N
