<page title>|adjustable display angle|adjustable display height|adjustable display pivot|antiglare|aspect ratio|assembly required|backlight technology|be comfortable|brand name|brightness|builtin devices|certifications  standards|color|color supported|compatibility|component video|composite video|contrast ratio|country of origin|customizable color|depth|depth with stand|diagonal screen size|dimensions|display orientation|displayport|dvi|ecolabel|features|full hd resolution|hd compatible|hdcp supported|hdmi|headphone jack|height|height with stand|horizontal viewable angle|input voltage|integrated speakers|item |manufacturer|manufacturer |maximum resolution|model name|monitor brightness|monitor color|mount type|multitouch screen|native resolution|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|panel technology|pixel pitch|platform supported|postconsumer recycled content|product line|product name|product series|product type|quantity|recycled|response time|screen mode|screen size|screen surface|screen type|signal input type|speakers|standard refresh rate|standby power consumption|stay versatile|superb performance|svideo|tilt angle|total recycled content|touchscreen|touchscreen type|tv tuner|typical response time|ultrawide viewing angle|usb|usb standard|versatile connections|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|viewable image size|viewing angle|wall mountable|warranty length|webcam|weight|weight with stand approximate|width|width with stand|work with ease stay entertained for hours
Lenovo ThinkVision LT2223p 215 LED LCD Monitor 169 by Office Depot|Yes|Yes|Yes||16:9||LED||Lenovo||USB Hub|TUV Green Mark; ISO 9241-307; e-Standby; CSC; GHG Saftey:; BELLIS; CCC; CE; cULus+ICES; KC; GOST; IEC950 CB Report; JEITA; KEBS; KONCAR; KVALITET; NEMKO; NOM; OTAN; PSB; SASO; SONCAP; TUV bauart; TUV-S EMI:; BSMI; CE DoC; FCC B DoC; IC; SABS; VCCI|Business Black|16.7 Million Colors|||||||"2.2"""|"8.60"""||||Yes||ENERGY STAR 6.0; EPEAT Gold; TCO Certified Displays 6.0; TCO Certified Edge Displays 1.1; ULE Gold; EU RoHS; China Energy Label (CEL); IT Eco Declaration; REACH; EuP; China RoHS; EU WEEE; CECP; MPR II|||||Yes|||"14.29"""||110 V AC; 220 V AC||196490|Lenovo Group Limited|RG0547|1920 x 1080|LT2223p|||||||1||500 mW|8 W|||PC||ThinkVision|ThinkVision LT2223p 21.5-inch FHD LED Backlit LCD (1920 X 1080) Monitor||LCD Monitor||||Full HD|"21.5"""|||||60 Hz|500 mW|||||||||||Yes|USB 2.0|||Yes||Yes||||3-year limited||10.94 lb||"20.2"""|"20.18"""|
Asus VK278Q 27 LED LCD Monitor 169 2 ms by Office Depot|Yes||||16:9||LED||Asus|300 Nit|Webcam; Speaker|UL/cUL; CB; CE; EuP; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSB; EK; J-MOSS; Taiwan Green Mark; Vista WHQL|Black|16.7 Million Colors||||10,000,000:1|||"8.7"""||||||Yes|ENERGY STAR; RoHS; WEEE|||||Yes||"18.1"""|||||415669|ASUS Computer International|DL7134|1920 x 1080|VK278Q|||Wall Mountable||||1|2||45 W|||PC|||VK278Q Widescreen LCD Monitor|VK|LCD Monitor|||2 ms|Full HD|"27"""||||Yes|85 Hz|2 W||||||||||||||160°|Yes|100 x 100|Yes||170°||||14.33 lb||"25.3"""||
Acer V196WL 19 LED LCD Monitor 1610 5 ms by Office Depot|Yes|No|No||16:10||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1|||"7.5"""|||||||TCO '06; EPEAT Gold|||||||"14.9"""|||110 V AC; 220 V AC||630640|Acer, Inc|RA7827|1440 x 900|V196WL|||||||1||350 mW|13 W|Twisted Nematic Film (TN Film)|||||V196WL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|WXGA+|"19"""|Anti-glare||||60 Hz|450 mW||||||||||||||160°|||Yes||170°||||5.95 lb|6.83 lb|"17.3"""||
HP x2401 24 LED LCD Monitor 169 12 ms by Office Depot|Yes||||16:9||LED||HP|250 Nit||ICP-AES|Piano Black|||||5,000:1|||"5.2"""|||||Yes||ENERGY STAR; EPEAT Silver|Ultra Slim|||Yes|Yes||"16.9"""|||||415621|Hewlett-Packard|3439673|1920 x 1080|x2401|||||||1|||28 W|MVA technology|||||x2401 24-Inch LED Backlit Monitor||LCD Monitor|||12 ms|Full HD|"24"""|Anti-glare||||60 Hz|500 mW||||||||||||||178°|Yes||||178°||||10.14 lb||"22.3"""||
Night Owl NO 8LCD 8 LCD Monitor by Office Depot|||||||||Night Owl||||||||Yes||||"1.4"""||||||||||||||"6.7"""|||||817222|Night Owl, LLC|DQ3558|800 x 600|NO-8LCD|||Wall Mountable||||1|||||||||NO-8LCD CCTV LCD Monitor||LCD Monitor||||SVGA|"8"""|||||||||||||||||||||||||||1-year limited||2.50 lb||"7.9"""||
Acer V206HQL 195 LED LCD Monitor 169 5 ms by Office Depot|Yes|No|No||16:9||LED||Acer|200 Nit|||Black|16.7 Million Colors||||100,000,000:1||||"7.52"""|||||Yes|EPEAT Gold; MPR II||||Yes|||"10.9"""|"14.26"""||110 V AC; 220 V AC||375238|Acer, Inc|RT7693|1600 x 900|V206HQL|||||||1||350 mW|16.20 W|Twisted Nematic Film (TN Film)|||||V206HQL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|HD+|"19.5"""|Anti-glare||||60 Hz|450 mW||||||||||||||65°|||Yes||90°||||||"18.2"""|"18.24"""|
Viewsonic VX2252mh 22 LED LCD Monitor 2 ms by Office Depot|Yes||||||LED||Viewsonic|250 Nit|Speaker|||||||1,000:1|||"2.1"""|"8.80"""|||||Yes|ENERGY STAR; RoHS|ClearMotiv; Security Lock||||Yes||"12.9"""|"15.80"""||110 V AC; 220 V AC||988526|Viewsonic Corporation|TC2965|1920 x 1080|VX2252mh|||Wall Mountable||||1|2|||||PC|||VX2252mh Widescreen LCD Monitor|VX|LCD Monitor|||2 ms|Full HD|"22"""||||Yes||||||||||||||||160°|Yes||Yes||170°||3-year limited||6.39 lb|7.25 lb|"20.1"""|"20.10"""|
Compaq Business L2206tm 215 LED LCD Touchscreen Monitor 169 5 ms by Office Depot|Yes|Yes|Yes||16:9||LED||Compaq|250 Nit|Speaker; USB Hub|CAS and IEC 60950-1 Second Edition; CEL Grade 1; CB; CE; TUV-GS; ISO 13406-2; CSA; FCC; Gost; NOM; TUV-S; VCCI; KC/KCC; PSB; ISC; BSMI; C-Tick; CCC; SEPA; CEL; E-Standy|Black|||||1,000:1|||"2.1"""|"8.98"""|||Landscape/Portrait|Yes|Yes|EPEAT Gold; ENERGY STAR; TCO Displays 5.0; CECP|Video Wall; Security Lock|||Yes||Yes|"12.7"""|"17.52"""||110 V AC; 220 V AC||205396|Hewlett-Packard|PG3158|1920 x 1080|L2206tm|||Arm-mountable; Wall Mountable|Yes||||||39 W|||PC||Business|L2206tm 21.5-inch LED Backlit Touch Monitor||LCD Touchscreen Monitor|||5 ms|Full HD|"21.5"""|Anti-glare|||Yes|60 Hz|500 mW||||||Yes|Optical||||Yes|||160°|Yes||Yes||170°||3-year limited||15.40 lb||"20.4"""|"20.39"""|
Viewsonic Professional CDE4200 L 42 LED LCD Monitor 169 650 ms by Office Depot|Yes||||16:9||LED||Viewsonic|350 Nit|Speaker|FCC; CE; UL||||Yes|Yes|3,000:1|||"2.5"""|"8.20"""|42 inches|||||RoHS; CEC|Security Lock||||Yes|Yes|"24.6"""|"26.70"""||110 V AC; 220 V AC||318493|Viewsonic Corporation|11117729|1920 x 1080|CDE4200-L|||Wall Mountable||||1|2||59 W|||||Professional|"42"" Full HD LED Professional Display"||LCD Monitor|||6.50 ms|Full HD||Anti-glare|||Yes|||||||||||||Yes|||170°|Yes|200 x 200|Yes||170°||3-year limited||26.20 lb|27.80 lb|"38.4"""|"38.40"""|
Asus MX239H 23 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Asus|250 Nit|Speaker|CCC; CE; BSMI; CB; C-tick; FCC; Gost-R; PSE; UL/cUL; VCCI; WHQL|Black; Silver|16.7 Million Colors||||80,000,000:1||||"8.16"""||||||RoHS; ENERGY STAR; J-Moss (Japanese RoHS); WEEE; ErP|Security Lock; Splendid Video Intelligence Technology; Ultra Slim|||Yes|Yes|Yes||"15.44"""||110 V AC; 220 V AC||274403|ASUS Computer International|QV8893|1920 x 1080|MX239H|||||||1|2|500 mW|33 W|In-plane Switching (IPS) Technology||PC|||MX239H Widescreen LCD Monitor|MX|LCD Monitor|||5 ms|Full HD|"23"""||||Yes|75 Hz|500 mW||||||||||||||178°|||Yes||178°||||8.16 lb|||"20.56"""|
Viewsonic VA926 LED 19 LED LCD Monitor 5 ms by Office Depot|Yes||||||LED||Viewsonic|250 Nit|||Black|||||1,000:1|||"7.7"""||||||Yes|ENERGY STAR; RoHS; TCO Displays 5.0; EPEAT Silver|Security Lock||||||"17.1"""|||||794018|Viewsonic Corporation|QN8764|1280 x 1024|VA926-LED|||Wall Mountable||||1|||18 W|||PC|||VA926-LED LCD Monitor|VA|LCD Monitor|||5 ms|SXGA|"19"""||||||||||||||||||||160°|Yes||Yes||170°||||7.70 lb||"16.2"""||
Acer V236HL 23 LED LCD Monitor 169 5 ms by Office Depot|Yes|No|No||16:9||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1|||"2"""|"8.15"""|||||Yes|TCO Certified Displays 6.0||||Yes|||"12.8"""|"16.10"""||110 V AC; 220 V AC||416449|Acer, Inc|TC8983|1920 x 1080|V236HL|||||||1||||Twisted Nematic Film (TN Film)|||||V236HL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|Full HD|"23"""|Anti-glare|||Yes|60 Hz|||||||||||||||160°|||Yes||170°||||||"21.4"""|"21.42"""|
Viewsonic VA2703 LED 27 LED LCD Monitor 169 3 ms by Office Depot|Yes||||16:9||LED||Viewsonic|300 Nit||UL; cUL; FCC-B; TUV-S; CoC; Mexico Energy; CCC; CEL Level 1; BSMI; PAV; C-tick; SASO; KC|Black|||||1,200:1|||"2.2"""|"6.84"""|||||Yes|EPEAT Silver; WEEE; RoHS; ENERGY STAR|Eco Saving||||||"15.4"""|"17.17"""||||794009|Viewsonic Corporation|QY2549|1920 x 1080|VA2703-LED|||||||1|||30 W|||PC; Mac|||VA2703-LED Widescreen LCD Monitor|VA|LCD Monitor|||3 ms|Full HD|"27"""|Anti-glare|||||||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||10.63 lb|11.73 lb|"25.4"""|"25.35"""|
AOC e2752Vh 27 LED Monitor by Office Depot|Yes||||16:9||LED||AOC|300 Nit|Speaker||Black|16.7 Million Colors||||20,000,000:1||||"8.27"""|||||Yes|ENERGY STAR|Off Timer|||Yes|Yes|||"17.80"""||||683524|AOC|NG0147|1920 x 1080|e2752Vh|||Wall Mountable||||1|2||40 W|||PC||ENTERTAINING|e2752Vh 27 Inch LED Monitor|52|LCD Monitor|||5 ms|Full HD|"27"""||||Yes||600 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||1-year limited||11.66 lb|||"25.42"""|
Planar PL1700M white 17 LCD Monitor 5 ms by Office Depot|||||||||Planar|250 Nit||UL; TUV-GS; CE Mark; FCC/B; TCO 1999|White|16.7 Million Colors (24-bit)||||1,000:1|China||"7.8"""||||||||||||||"15.1"""|||110 V AC; 220 V AC||153757|Planar Systems, Inc|10527101|1280 x 1024|PL1700M-white|||||||1|||25 W|||PC; Mac|||PL1700M-white LCD Monitor|PL|LCD Monitor|||5 ms|SXGA|"17"""|Anti-glare|||Yes||||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||8.60 lb||"14.4"""||
Samsung S27C650P 27 LED LCD Monitor 169 4 ms by Office Depot|Yes|Yes|Yes||16:9||LED||Samsung|300 Nit|Speaker|"Safety:
; UL (USA): UL 60950-1; CSA (Canada): CSA C22.2 No. 60950-1; NOM (Mexico): NOM-019-SCFI-1993 EMC:
; FCC (USA) FCC Part 15 Subpart B class A"|Matte Black|16.7 Million Colors||||5,000:1|||"2.2"""|"8.80"""||||Yes||ENERGY STAR 6.0; TCO Certified Displays; EPEAT Gold; RoHS|Eco Saving; Off Timer; MultiScreen; MagicBright3; MagicTune; MagicRotation||||Yes||"14.9"""|"21"""||110 V AC; 220 V AC||895187|Samsung|RL7442|1920 x 1080|S27C650P|||Wall Mountable; Desk Mountable||||1|2||45 W|MVA technology|||||"27"" SC650 Series LED Monitor"|650|LCD Monitor|1||4 ms|Full HD|"27"""||||Yes||300 mW||||||||||||||178°|Yes|100 x 100|Yes||178°||3-year limited||9.90 lb|13.70 lb|"25.2"""|"25.20"""|
BenQ EW2730 27 LED LCD Monitor 169 8 ms by Office Depot|Yes||||16:9||LED||BenQ|300 Nit|Speaker; USB Hub||Metallic Black|16.7 Million Colors||||3,000:1|||"7.5"""||||||Yes|ENERGY STAR; RoHS; TCO Displays 5.0|Senseye 3|||Yes|Yes|Yes|"20.3"""|||||580783|BenQ Corporation|KD2764|1920 x 1080|EW2730|||Wall Mountable||||1|2||70 W|||PC|||EW2730 Widescreen LCD Monitor||LCD Monitor|||8 ms|Full HD|"27"""||||Yes|76 Hz|500 mW|||||||||||Yes|||178°|Yes|100 x 100|Yes||178°||||16.09 lb||"26"""||
Asus VS24AH P 241 LED LCD Monitor 1610 5 ms by Office Depot|Yes||||16:10||LED||Asus|||CE; BSMI; CB; C-tick; FCC; PSE; UL/cUL; VCCI; WHQL|Black|16.7 Million Colors||||80,000,000:1||||"8.09"""|24.1 inches||||Yes|EPEAT Gold; ENERGY STAR; ErP; J-Moss (Japanese RoHS); TCO Certified Displays 6.0; RoHS; WEEE|Splendid Video Intelligence Technology; Security Lock|||Yes|Yes|Yes||"17.36"""||||274844|ASUS Computer International|RG1093|1920 x 1200|VS24AH-P|300 Nit||Wall Mountable||||1||500 mW|30 W|In-plane Switching (IPS) Technology||PC|||VS24AH-P Widescreen LCD Monitor||LCD Monitor|||5 ms|WUXGA||||||61 Hz|500 mW||||||||||||||178°|Yes|100 x 100|Yes||178°||3-year limited||10.14 lb|||"22.11"""|
Asus Designo MX299Q 29 LED LCD Monitor 219 5 ms by Office Depot|Yes|No|No||21:9||LED||Asus|300 Nit|Speaker||Black; Silver|16.7 Million Colors||||80,000,000:1||||"8.47"""||||Yes|Yes||Trace Free Technology; Splendid Video Intelligence Technology; Security Lock|||Yes|Yes|Yes||"15.39"""||||685081|ASUS Computer International|TC4802|2560 x 1080|MX299Q||||||No|1|2|500 mW|31.70 W|Advanced High Performance In-plane Switching (AH-IPS) Technology||PC; Mac||Designo|Designo MX299Q Widescreen LCD Monitor|MX|LCD Monitor|||5 ms||"29"""||||Yes||500 mW|||||||||||No|||178°|No||No||178°|||No|12.13 lb|||"27.57"""|
Asus VS247H P 236 LED LCD Monitor 169 2 ms by Office Depot|Yes||||16:9||LED||Asus|300 Nit||UL/cUL; CB; CE; ErP; FCC; CCC; BSMI; Gost-R; C-tick; VCCI; PSB; EK; J-MOSS; WHQL|Black|16.7 Million Colors||||50,000,000:1||||"7.87"""||||||RoHS; ENERGY STAR; WEEE||||Yes|Yes|||"16.17"""||||866587|ASUS Computer International|KW3628|1920 x 1080|VS247H-P|||Wall Mountable||||1||500 mW|33 W|||PC|||VS247H-P Widescreen LCD Monitor|VS|LCD Monitor|||2 ms|Full HD|"23.6"""|||||75 Hz|500 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||9.70 lb|||"22.12"""|
Asus VE278H 27 LED LCD Monitor 169 2 ms by Office Depot|Yes||||16:9||LED||Asus|300 Nit||CB; UL/cUL; CE; FCC; CCC; BSMI; Gost-R; C-tick; VCCI; PSB; EK; WHQL|Black|16.7 Million Colors||||1,200:1|||"2.3"""|||||||WEEE; RoHS; J-Moss (Japanese RoHS); ErP; ENERGY STAR|Security Lock; Splendid Video Intelligence Technology|||Yes|Yes|Yes|"15.2"""|||110 V AC; 220 V AC||616079|ASUS Computer International|PY3733|1920 x 1080|VE278H|||Wall Mountable||||1|2|500 mW|45 W|||PC|||VE278H Widescreen LCD Monitor|VE|LCD Monitor|||2 ms|Full HD|"27"""||||Yes|75 Hz|500 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||13.23 lb||"25.3"""||
Acer T232HL bmidz 23 Touch Screen LED Monitor Black by Office Depot||||no|16:9||||Acer|||||||||1000:1 (typical); 100,000,000:1 (dynamic)|||||23 inches|"17.9""H x 21.5""W x 1.9""D"||||ENERGY STAR|||yes||||||178 degrees||Yes|570854|Acer, Inc.|T232HL BMIDZ|1920 x 1080|T232HL bmidz|250 cd/m2|Black|||1,000:1|||||||0.265 mm||0%|||||||||||IPS LCD|DVI-D (digital); HDMI; VGA 15-pin D-sub; 3-port USB hub||||||||0%|||No|5 ms (gray-to-gray)|||||||||23 inches||yes|3-yr limited||||||
Planar PT1700MX Touchscreen LCD Monitor by Office Depot|||||4:3||||Planar|240 Nit|||Black|16.7 Million Colors|Operating System:; Windows Vista; Windows XP; XP Embedded; Windows CE; Windows 2000; Windows ME; Windows 98; Linux; Apple Mac|||700:1|||"2.7"""|||||||RoHS|||||||"13.3"""|||110 V AC; 220 V AC||652239|Planar Systems, Inc|Q42642|1280 x 1024|PT1700MX|||Wall Mountable||||||||||PC; Mac|||PT1700MX Touchscreen LCD Monitor|PT|LCD Touchscreen Monitor||||SXGA|"17"""|||||76 Hz|||||||Yes|5-wire Resistive||||Yes||||Yes|100 x 100|Yes||||3-year limited||13.60 lb||"15.8"""||
DoubleSight Displays DS 220C 215 LED LCD Monitor 169 5ms Webcam Speaker Microphone by Office Depot|Yes||||16:9||LED||DoubleSight Displays|250 Nit|Webcam; Speaker; Microphone|UL|Piano Black|16.7 Million Colors||||1,000:1|||"7.3"""||||||Yes|ENERGY STAR|||||||"14.5"""|||110 V AC; 220 V AC||606748|DoubleSight Displays, LLC|KW3565|1920 x 1080|DS-220C|||Arm-mountable||||1|2||50 W||||||DS-220C Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"21.5"""||||Yes|75 Hz|2 W|||||||||||Yes|||160°|Yes|75 x 75|||170°||3-year limited||6 lb||"20"""||
Acer V226WL 22 LED LCD Monitor 1610 5 ms by Office Depot|Yes|No|No||16:10||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1|||"8.2"""||||||Yes|TCO '06; EPEAT Gold||||Yes|||"16.5"""|||110 V AC; 220 V AC||463627|Acer, Inc|RA7832|1680 x 1050|V226WL|||||||1||350 mW|24.20 W||||||V226WL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|WSXGA+|"22"""|Anti-glare|||Yes|60 Hz|450 mW||||||||||||||160°|||Yes||170°||||6.81 lb|7.76 lb|"19.9"""||
NEC Display MultiSync E223W BK 22 LED LCD Monitor 1610 5 ms by Office Depot|Yes|Yes|Yes||16:10||LED||NEC Display|250 Nit||ISO 13406-2 Class II|Black|16.7 Million Colors||||1,000:1|||"2.4"""|"8.40"""||||Yes|Yes|ENERGY STAR 6.0; TCO Certified Displays 6.0; EPEAT Silver; RoHS|Eco Mode; Carbon Footprint Meter; Cable Management; AccuColor; Touch Controls; Intelligent Power Manager (IPM) System; Off Timer|||Yes|||"13"""|"19.40"""||||480844|NEC Display Solutions|RA1122|1680 x 1050|E223W-BK|||||||1|||24 W|||||MultiSync|"22"" LED Backlit Widescreen Desktop Monitor"||LCD Monitor|||5 ms|WSXGA+|"22"""|Anti-glare; Anti-reflective||||75 Hz|350 mW||||||||||||||178°|Yes|100 x 100|Yes||178°||3-year limited||7.05 lb|10.80 lb|"19.8"""|"19.80"""|
NEC Display MultiSync PA272W BK 27 GB R LED LCD Monitor 169 6 ms by Office Depot|Yes|Yes|Yes||16:9||GB-R LED||NEC Display|340 Nit|USB Hub||Black|1.07 Billion Colors||||1,000:1|||"3.3"""|"9.30"""|||Portrait|Yes|Yes|TCO Displays 5.0; RoHS|DisplaySync Pro; Eco Mode; Carbon Footprint Meter; Cable Management; Digital Uniformity Correction; AmbiBright; CableComp; Tiled Matrix; TileComp; Ambient Light Sensor; Picture by Picture; Picture in Picture|||Yes|Yes||"14.9"""|"21.50"""||||734392|NEC Display Solutions|TH1654|2560 x 1440|PA272W-BK|||||||1|||73 W|Advanced High Performance In-plane Switching (AH-IPS) Technology||PC; Mac||MultiSync|"27"" Color Accurate Desktop Display (Black)"|PA|LCD Monitor|||6 ms|WQHD|"27"""|||||85 Hz|1 W|||||||||||Yes|||178°|Yes|200 x 100|||178°||4-year limited||19.60 lb|28.40 lb|"25.2"""|"25.20"""|
HP Ultra Slim W2371d 23 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||HP|||CB; CE; TUV-GS; ISO9241-307; CSA; FCC; EPA; GOST; NOM; TUV-S; VCCI; KC/KCC; PSB; ISC; BSMI; C-tick; CCC; SEPA; CEL; E-Standy; SmartWay Transport Partnership|Black|||||1,000:1|China||"7.3"""||23 inches||||Yes|EPEAT Silver; CECP; China Energy Label (CEL); ENERGY STAR|Security Lock|||Yes|||"15.6"""|||||476938|Hewlett-Packard|QN9110|1920 x 1080|W2371d|250 Nit||||||1|||31 W|||PC||Ultra Slim|W2371d 23-inch LED Backlit LCD Monitor||LCD Monitor||Yes|5 ms|Full HD||Anti-glare||||60 Hz|500 mW|||||Plastic|||||||||160°|Yes|75 x 75|Yes||170°||1-year limited||7.50 lb||"21.8"""||
HP Advantage E221 215 LED LCD Monitor 169 5 ms by Office Depot|Yes|Yes|Yes||16:9||LED||HP|250 Nit|USB Hub|CE; CB; KC; KCC; NOM; PSB; ICE; TUV-S; CCC; CECP; SEPA; ISC; VCCI; FCC; HSMI|Black|16.7 Million Colors||||1,000:1|China||"2"""|"9.34"""||||Yes|Yes|ENERGY STAR; EPEAT Gold; TCO; TCO Certified Edge; EPA; China Energy Label (CEL)|Security Lock|||Yes|||"12.2"""|"18.12"""||110 V AC; 220 V AC||459631|Hewlett-Packard|RC0682|1920 x 1080|E221|||||||1|||36 W|||||Advantage|EliteDisplay E221 21.5-Inch LED Backlit Monitor (ENERGY STAR)||LCD Monitor|||5 ms|Full HD|"21.5"""|Anti-glare||||60 Hz|500 mW|||||||||||Yes|USB 2.0||160°|Yes|100 x 100|Yes||170°||3-year limited||6.83 lb||"20.1"""|"20.05"""|
EVGA 1700 17 LCD Monitor 8 ms by Office Depot|||||||||EVGA|220 Nit|USB Hub; Webcam; Microphone|||||||500:1||||||||||||||||||||||443974|EVGA Corporation|BH3324|1440 x 900|1700|||||||2|||||||||InterView 1700 Widescreen LCD Monitor||LCD Monitor|||8 ms|WXGA+|"17"""|||||||||||||||||Yes|||35°|||||45°||||16.51 lb||||
Asus PB278Q 27 LED LCD Monitor 169 5 ms by Office Depot|Yes|Yes|Yes||16:9||LED||Asus|300 Nit|Speaker|UL/cUL; CB; CE; FCC; CCC; ISO9241-307; BSMI; Gost-R; C-tick; VCCI; PSE; WHQ|Black|||||80,000,000:1|||"2.7"""|"8.58"""||||Yes|Yes|ENERGY STAR; TCO Certified Displays 5.2; J-Moss (Japanese RoHS); RoHS|Trace Free Technology; Splendid Video Intelligence Technology; Security Lock; Cable Management|||Yes|Yes|Yes|"15.2"""|"21.74"""||110 V AC; 220 V AC||496531|ASUS Computer International|PY4303|2560 x 1440|PB278Q|||Wall Mountable||||1|2|500 mW|60 W|In-plane Switching (IPS) Technology||PC|||PB278Q Widescreen LCD Moitor|PB|LCD Monitor|||5 ms|WQHD|"27"""||||Yes|75 Hz|500 mW||||||||||||||178°|Yes|100 x 100|Yes||178°||||19.40 lb||"25.3"""|"25.31"""|
Asus PA249Q 24 LED LCD Monitor 1610 6 ms by Office Depot|Yes|Yes|Yes||16:10||LED||Asus|350 Nit|USB Hub|BSMI; CB; CCC; CE; C-tick; FCC; Gost-R; ISO-9241-307; PSE; TUV-ERGO; TUV-GS; UL/cUL; VCCI; WHQL; NOM|Black|1073.7 Million Colors (10-bit)||||80,000,000:1|||"2.4"""|"9.25"""||||Yes|Yes|ENERGY STAR; China Energy Label (CEL); EPEAT Gold; ErP; J-Moss (Japanese RoHS); RoHS; TCO Certified Displays 6.0; WEEE|Splendid Video Intelligence Technology; Picture in Picture; Picture by Picture; Security Lock|||Yes|Yes|Yes|"14.3"""|"16.39"""||110 V AC; 220 V AC||382267|ASUS Computer International|RG1261|1920 x 1200|PA249Q|||Wall Mountable||||1|||72 W|Advanced High Performance In-plane Switching (AH-IPS) Technology||PC; Mac|||PA249Q Widescreen LCD Monitor|PA|LCD Monitor|||6 ms|WUXGA|"24"""|||||76 Hz|1 W|||||||||||Yes|USB 3.0||178°|Yes|100 x 100|Yes||178°||3-year limited||14.55 lb||"21.9"""|"21.94"""|
Planar EP5550 55 Edge LED LCD Monitor 169 650 ms by Office Depot|||||16:9||Edge LED||Planar|700 Nit|Speaker|FCC Class A; EN60950; CE|Black|||Yes|Yes|4,000:1|||||||Landscape/Portrait|Yes|Yes||Digital Signage Ready; On/Off Scheduling; Picture in Picture; Ambient Light Sensor||||Yes|||||110 V AC; 220 V AC||372997|Planar Systems, Inc|QX6223|1920 x 1080|EP5550|||Wall Mountable|||Yes|1|2||225 W||||||EP5550 Widescreen LCD Monitor||LCD Monitor|||6.50 ms|Full HD|"55"""||||Yes|60 Hz|500 mW|||Yes|||||||||||178°|Yes|400 x 400|Yes||178°||3-year limited||68 lb||||
Dell E2414H 24 Widescreen HD LED Monitor Black by Office Depot||||yes|16:9||||Dell|||||||||1000:1|||||24 inches|"16.47""H x 22.44""W x 6.46""D"||||ENERGY STAR; EPEAT Gold|||yes||||||170 degrees||no|614935|Dell, Inc.|V2MFT|1920 x 1080|E2414H|250 cd/m2|Black|||1920 x 1080|||||||0.277 x 0.277 mm||0%|||||||||||TN (TFT active matrix LCD)|DVI-D (digital) with HDCP; VGA 15-pin D-sub||||||||0%|||No|5 ms|||||||||24 inches||no|3-yr limited||||||
Asus VS207T P 195 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Asus|250 Nit||BSMI; CB; CE; FCC; Gost-R; UL/cUL; VCCI; WHQL|Black|16.7 Million Colors||||80,000,000:1|||"7.3"""||||||Yes|EPEAT Gold; ENERGY STAR; ErP; RoHS; TCO Certified Displays 6.0; WEEE|Splendid Video Intelligence Technology; Security Lock|||Yes|||"14"""|||||416117|ASUS Computer International|QY7873|1600 x 900|VS207T-P|||Wall Mountable||||1|2|500 mW|25 W|||PC|||VS207T-P Widescreen LCD Monitor|VS|LCD Monitor|||5 ms|HD+|"19.5"""||||Yes|75 Hz|500 mW||||||||||||||160°|Yes|75 x 75|Yes||170°||3-year limited||5.71 lb||"18.4"""||
Lenovo ThinkVision LS2323 23 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Lenovo|250 Nit||FCC Class B Certified; EPA 5.1; VESA DDC/CI; VESA DPMS-compliant; ISO 9241-307|Raven Black|16.7 Million Colors||||1,000:1||||"7.67"""|||||Yes|EPEAT Gold; TCO Displays 5.0; ENERGY STAR; RoHS|Security Lock|||Yes||||"15.90"""||110 V AC; 220 V AC||623969|Lenovo Group Limited|PY3972|1920 x 1080|LS2323|||Wall Mountable; Desk Mountable||||1|||30 W|||PC||ThinkVision|LS2323 Wide Flat Panel Monitor||LCD Monitor|1||5 ms|Full HD|"23"""||||||500 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited|||8.20 lb||"21.57"""|
