<page title>|aspect ratio|brightness|builtin speakers|component|contrast ratio|display colors|displayport|dvi|dvid duallink|hdmi|ips|led|manufacturer|minidisplay port|model|part|recommended resolution|refresh rate|response time|screen size|svideo|vga|viewing angle|widescreen
"NEC EA244WMi-BK 24.0"" Monitor (EA244WMi-BK) - PCPartPicker Canada"|16:10|350 cd/m²|Yes||DCR 25,000:1 (1000:1)|16700000|1|1||1|Yes|Yes|NEC|||EA244WMi-BK|1920 x 1200||6 ms|"24"""||1|178° H x 178° V|Yes
"Hannspree HE247DPB 23.6"" Monitor (HE247DPB) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||Active Contrast 40,000,000:1 (1000:1)|16700000||1|||No|Yes|Hannspree|||HE247DPB|1920 x 1080||5 ms|"23.6"""||1|170° H x 160° V|Yes
"Asus VS239H-P 23.0"" Monitor (VS239H-P) - PCPartPicker Canada"|16:9|250 cd/m²|No||ASCR 50,000,000:1|16700000||1||1|Yes|Yes|Asus|||VS239H-P|1920 x 1080||5 ms|"23"""||1|178° H x 178° V|Yes
"Planar PLL2710W 27.0"" Monitor (997-7199-00) - PCPartPicker Canada"|16:9|300 cd/m²|No||1200:1|16700000||1|||No|Yes|Planar||PLL2710W|997-7199-00|1920 x 1080|||"27"""||1|170° H x 160° V|Yes
"AOC Q2770PQU 60Hz 27.0"" Monitor (Q2770PQU) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||20,000,000:1|16700000|1|1||1|Yes|Yes|AOC|||Q2770PQU|2560 x 1440|60Hz|5 ms|"27"""||1|178° H x 178° V|Yes
"ViewSonic VG2439M-TAA 60Hz 24.0"" Monitor (VG2439M-TAA) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||DC 20,000,000:1 (1000:1)|||1|||No|Yes|ViewSonic|||VG2439M-TAA|1920 x 1080|60Hz|5 ms|"24"""||1|170° H x 160° V|Yes
"Samsung 320MP-3 32.0"" Monitor (320MP-3) - PCPartPicker Canada"|16:9|450 cd/m²|No||DC 6000:1 (3500:1)|16700000|1|1||2|No|No|Samsung|||320MP-3|1366 x 768||8 ms|"32"""||1|178° H x 178° V|Yes
"Planar PXL2430MW 23.5"" Monitor (997-6399-00) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|||1||1|No|Yes|Planar||PXL2430MW|997-6399-00|1920 x 1080||5 ms|"23.5"""||1|178° H x 160° V|Yes
"Asus VE258Q 25.0"" Monitor (VE258Q) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||50,000,000:1 ASCR|16700000|1|1||1|No|Yes|Asus|||VE258Q|1920 x 1080||2 ms|"25"""||1|170° H x 160° V|Yes
"Asus VN289Q 60Hz 28.0"" Monitor (VN289Q) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||ASCR 80000000:1 (3000:1)|16700000|1|1||1|No|Yes|Asus|||VN289Q|1920 x 1080|60Hz|5 ms|"28"""||1|178° H x 178° V|Yes
"NEC EA273WMi-BK 60Hz 27.0"" Monitor (EA273WMi-BK) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1||1|1||1|Yes|Yes|NEC|||EA273WMi-BK|1920 x 1080|60Hz|6 ms|"27"""||1|178° H x 178° V|Yes
"Lenovo LI2221s 60Hz 21.5"" Monitor (18200525) - PCPartPicker Canada"|16:9|250 cd/m²|No||10,000,000:1 (1000:1)|||1|||Yes|Yes|Lenovo||LI2221s|18200525|1920 x 1080|60Hz|14 ms|"21.5"""||1|178° H x 178° V|Yes
"LG 19EN33S-B 18.5"" Monitor (19EN33S-B) - PCPartPicker Canada"|16:9|200 cd/m²|No||5,000,000:1||||||No|Yes|LG|||19EN33S-B|1366 x 768|||"18.5"""||1|90° H x 65° V|Yes
"Samsung S23C200B 23.0"" Monitor (S23C200B) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|||1|||No|Yes|Samsung|||S23C200B|1920 x 1080||5 ms|"23"""||1|170° H x 160° V|Yes
"LG 22EB23PY-B 22.0"" Monitor (22EB23PY-B) - PCPartPicker Canada"|16:10|250 cd/m²|Yes||Mega CR (DFC)||1|1|||No|Yes|LG|||22EB23PY-B|1680 x 1050||5 ms|"22"""||1|170° H x 160° V|Yes
"Lenovo LI2321S 60Hz 23.0"" Monitor (18200556) - PCPartPicker Canada"|16:9|250 cd/m²|No||10,000,000:1 (1000:1)|||1||1|Yes|Yes|Lenovo||LI2321S|18200556|1920 x 1080|60Hz|14 ms|"23"""||1|178° H x 178° V|Yes
"NEC PA302W-BK-SV 30.0"" Monitor (PA302W-BK-SV) - PCPartPicker Canada"|16:10|340 cd/m²|No||1000:1||2|1||1|Yes|Yes|NEC|||PA302W-BK-SV|2560 x 1600||6 ms|"30"""|||178° H x 178° V|Yes
"Samsung S22B300B 60Hz 21.5"" Monitor (S22B300B) - PCPartPicker Canada"|16:9|250 cd/m²|No||Mega Infinity DCR (1000:1)|16700000||1|||No|Yes|Samsung|||S22B300B|1920 x 1080|60Hz|5 ms|"21.5"""||1|170° H x 160° V|Yes
"AOC E970SWN 60Hz 18.5"" Monitor (E970SWN) - PCPartPicker Canada"|16:9|200 cd/m²|No||700:1|16700000|||||No|Yes|AOC|||E970SWN|1366 x 768|60Hz|5 ms|"18.5"""||1||Yes
"NEC P242W-BK 60Hz 24.0"" Monitor (P242W-BK) - PCPartPicker Canada"|16:10|350 cd/m²|No||1000:1||1|1||1|Yes|Yes|NEC|||P242W-BK|1920 x 1200|60Hz|8 ms|"24"""||1|178° H x 178° V|Yes
"Samsung C27A650X 27.0"" Monitor (C27A650X) - PCPartPicker Canada"|16:9|300 cd/m²|No||3000:1 / Mega DCR|||||1|No|Yes|Samsung|||C27A650X|1920 x 1080||8 ms|"27"""||1|178° H x 178° V|Yes
"HP LE2002xi 60Hz 20.0"" Monitor (QC841A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||DC 3,000,000:1 (1000:1)|16700000||1|||No|No|HP||LE2002xi|QC841A8#ABA|1600 x 900|60Hz|5 ms|"20"""||1|170° H x 160° V|Yes
"Acer XB270H Abprz 144Hz 27.0"" Monitor (UM.HB0AA.A01) - PCPartPicker Canada"|16:9|300 cd/m²|No||1,000:1|16700000|1|||1|No|Yes|Acer||XB270H Abprz|UM.HB0AA.A01|1920 x 1080|144Hz|1 ms|"27"""|||170° H x 160° V|Yes
"ViewSonic VA2703-LED 27.0"" Monitor (VA2703-LED) - PCPartPicker Canada"|16:9|300 cd/m²|No||1200:1|||1|||No|Yes|ViewSonic|||VA2703-LED|1920 x 1080|||"27"""||1|170° H x 160° V|Yes
"NEC PA272W-BK-SV 85Hz 27.0"" Monitor (PA272W-BK-SV) - PCPartPicker Canada"|16:9|340 cd/m²|No||1000:1|1070000000|1|1||1|Yes|Yes|NEC|||PA272W-BK-SV|2560 x 1440|85Hz|6 ms|"27"""|||178° H x 178° V|Yes
"Planar 997-7145-00 60Hz 27.0"" Monitor (997-7145-00) - PCPartPicker Canada"|16:9||Yes||1000:1|16700000|1|1||1|Yes|Yes|Planar|||997-7145-00|2560 x 1440|60Hz||"27"""||1||Yes
"Asus VG278HE 144Hz 27.0"" Monitor (VG278HE) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||50,000,000:1|16700000|||1|1|No|Yes|Asus|||VG278HE|1920 x 1080|144Hz|2 ms|"27"""||1|170° H x 160° V|Yes
"Acer G246HLAbd 60Hz 24.0"" Monitor (UM.FG6AA.A01) - PCPartPicker Canada"|16:9|250 cd/m²|No||ACM 100,000,000:1 (1000:1)|16700000||1|||No|Yes|Acer||G246HLAbd|UM.FG6AA.A01|1920 x 1080|60Hz|5 ms|"24"""||1||Yes
"V7 D185W1-8N 60Hz 18.5"" Monitor (D185W1-8N) - PCPartPicker Canada"|16:9|200 cd/m²|No||1000:1||||||No|Yes|V7|||D185W1-8N|1366 x 768|60Hz|5 ms|"18.5"""||1||Yes
"Lenovo 60A6MAR2US 60Hz 24.0"" Monitor (60A6MAR2US) - PCPartPicker Canada"|16:10|300 cd/m²|No||1000:1|16700000|||1||Yes|Yes|Lenovo|||60A6MAR2US|1920 x 1200|60Hz|7 ms|"24"""||1|178° H x 178° V|Yes
"Hannspree HL248DPB 23.6"" Monitor (HL248DPB) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||X-Contrast 30,000,000:1 (1000:1)|16700000||1|||No|Yes|Hannspree|||HL248DPB|1920 x 1080||5 ms|"23.6"""||1|170° H x 160° V|Yes
"Lenovo LT2223p 60Hz 21.5"" Monitor (60A1MAR2US) - PCPartPicker Canada"|16:9|250 cd/m²|No||2000000:1 (1000:1)|16700000|1|||1|No|Yes|Lenovo||LT2223p|60A1MAR2US|1920 x 1080|60Hz|5 ms|"21.5"""||1||Yes
"HP E221 60Hz 21.5"" Monitor (C9V76A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000|1|1|||No|Yes|HP||E221|C9V76A8#ABA|1920 x 1080|60Hz|5 ms|"21.5"""||1|170° H x 160° V|Yes
"ViewSonic VX2858Sml 60Hz 28.0"" Monitor (VX2858Sml) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||3000:1|16700000||||2|No|Yes|ViewSonic|||VX2858Sml|1920 x 1080|60Hz|6 ms|"28"""||1|176° H x 176° V|Yes
"NEC EA244UHD-BK 60Hz 24.0"" Monitor (EA244UHD-BK) - PCPartPicker Canada"|16:9|350 cd/m²|Yes||1,000:1|1070000000|2|2||1|Yes|Yes|NEC|||EA244UHD-BK|3840 x 2160|60Hz|6 ms|"24"""|||178° H x 178° V|Yes
"HP C9E54AA#ABA 60Hz 18.5"" Monitor (C9E54AA#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1||||||No|Yes|HP|||C9E54AA#ABA|1366 x 768|60Hz|5 ms|"18.5"""||1||Yes
"LG E2411PB-BN 24.0"" Monitor (E2411PB-BN) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1, 5M:1(DFC)|||1|||No|Yes|LG|||E2411PB-BN|1920 x 1080||5 ms|"24"""||1|170° H x 160° V|Yes
"HP C9E49AA#ABA 21.5"" Monitor (C9E49AA#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1||||||No|Yes|HP|||C9E49AA#ABA|1920 x 1080||5 ms|"21.5"""||1||Yes
"Dell E2214H 60Hz 21.5"" Monitor (E2214H) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000||1|||No|Yes|Dell|||E2214H|1920 x 1080|60Hz|5 ms|"21.5"""||1|170° H x 160° V|Yes
"Acer V196L bd 75Hz 19.0"" Monitor (UM.CV6AA.006) - PCPartPicker Canada"|5:4|250 cd/m²|No||100,000,000:1|16700000||1|||No|Yes|Acer||V196L bd|UM.CV6AA.006|1280 x 1024|75Hz|5 ms|"19"""||1|170° H x 160° V|No
"Acer V196WLb 60Hz 19.0"" Monitor (UM.CV6AA.001) - PCPartPicker Canada"|16:10|250 cd/m²|No||ACM 100,000,000:1 (1000:1)|16700000|||||No|Yes|Acer||V196WLb|UM.CV6AA.001|1440 x 900|60Hz|5 ms|"19"""||1|170° H x 160° V|Yes
"Acer V196WLbm 60Hz 19.0"" Monitor (UM.CV6AA.003) - PCPartPicker Canada"|16:10|250 cd/m²|Yes||100,000,000:1|16700000|||||No|Yes|Acer||V196WLbm|UM.CV6AA.003|1440 x 900|60Hz|5 ms|"19"""||1|170° H x 155° V|Yes
"Acer V196WLbd 60Hz 19.0"" Monitor (UM.CV6AA.002) - PCPartPicker Canada"|16:10|250 cd/m²|No||ACM 100,000,000:1 (1000:1)|16700000||1|||No|Yes|Acer||V196WLbd|UM.CV6AA.002|1440 x 900|60Hz|5 ms|"19"""||1||Yes
"Samsung S27D360H 60Hz 27.0"" Monitor (S27D360H) - PCPartPicker Canada"|16:9|300 cd/m²|No||DCR Mega Infinity (1000:1)|16700000||||1|No|Yes|Samsung|||S27D360H|1920 x 1080|60Hz|5 ms|"27"""||1|178° H x 178° V|Yes
"Hannspree HL273HPB 60Hz 27.0"" Monitor (HL273HPB) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||50,000,000:1|16700000||1||1|No|Yes|Hannspree|||HL273HPB|1920 x 1080|60Hz|2 ms|"27"""||1|160° H x 160° V|Yes
"LG 19MB35D-B 60Hz 19.0"" Monitor (19MB35D-B) - PCPartPicker Canada"|5:4|250 cd/m²|No||DCR 5,000,000:1 (1000:1)|16700000||1|||Yes|Yes|LG|||19MB35D-B|1280 x 1024|60Hz|5 ms|"19"""||1|178° H x 178° V|No
"Acer G276HLDbd 60Hz 27.0"" Monitor (UM.HG6AA.D03) - PCPartPicker Canada"|16:9|300 cd/m²|No||ACM 100,000,000:1 (3000:1)|16700000||1|||No|Yes|Acer||G276HLDbd|UM.HG6AA.D03|1920 x 1080|60Hz|6 ms|"27"""||1||Yes
"Acer G276HLDbmid 60Hz 27.0"" Monitor (UM.HG6AA.D02) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||ACM 100,000,000:1 (3000:1)|16700000||1||1|No|Yes|Acer||G276HLDbmid|UM.HG6AA.D02|1920 x 1080|60Hz|6 ms|"27"""||1||Yes
"Eizo SX2262W-BK 22.0"" Monitor (SX2262W-BK) - PCPartPicker Canada"|16:10|280 cd/m²|No||1000:1|16700000|1|2|||No|No|Eizo|||SX2262W-BK|1920 x 1200||6 ms|"22"""|||178° H x 178° V|Yes
"Asus MX279H 27.0"" Monitor (MX279H) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||80,000,000:1|16700000||||2|Yes|Yes|Asus|||MX279H|1920 x 1080||5 ms|"27"""||1|178° H x 178° V|Yes
"ViewSonic VA2251M-TAA 22.0"" Monitor (VA2251M-TAA) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DC 10,000,000:1|||1|||No|Yes|ViewSonic|||VA2251M-TAA|1920 x 1080||5 ms|"22"""||1|170° H x 160° V|Yes
"AOC E2060SWDA-TAA 60Hz 20.0"" Monitor (E2060SWDA-TAA) - PCPartPicker Canada"|16:9||No||20,000,000:1|||1|||No|Yes|AOC|||E2060SWDA-TAA|1600 x 900|60Hz|5 ms|"20"""||1||Yes
"Eizo SX2762W-BK 27.0"" Monitor (SX2762W-BK) - PCPartPicker Canada"|16:9|270 cd/m²|No||850:1|1070000000|1|1|||Yes|No|Eizo|1||SX2762W-BK|2560 x 1440||6 ms|"27"""|||178° H x 178° V|Yes
"Lenovo LS1922 18.5"" Monitor (2580AF1) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1||||||No|Yes|Lenovo||LS1922|2580AF1|1366 x 768||5 ms|"18.5"""||1|170° H x 160° V|Yes
"Asus PB287Q 60Hz 28.0"" Monitor (PB287Q) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||100,000,000:1|1070000000|1|||2|No|Yes|Asus|||PB287Q|3840 x 2160|60Hz|1 ms|"28"""|||170° H x 160° V|Yes
"Philips 272P4QPJKEB/27 60Hz 27.0"" Monitor (272P4QPJKEB/27) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||20,000,000:1 (1000:1)||1|1||2|No|Yes|Philips|||272P4QPJKEB/27|2560 x 1440|60Hz|12 ms|"27"""|||178° H x 178° V|Yes
"Acer H276HLbmid 60Hz 27.0"" Monitor (UM.HH6AA.001) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000||1||1|Yes|Yes|Acer||H276HLbmid|UM.HH6AA.001|1920 x 1080|60Hz|5 ms|"27"""||1|178° H x 178° V|Yes
"NEC E322 32.0"" Monitor (E322) - PCPartPicker Canada"|16:9|450 cd/m²|Yes|1|3000:1|16700000||||3|No|No|NEC|||E322|1366 x 768||8 ms|"32"""|1|1|178° H x 178° V|Yes
"HP L1506x 75Hz 15.0"" Monitor (LL543A8#ABA) - PCPartPicker Canada"|4:3|400 cd/m²|No||DC 1,000,000:1 (700:1)||||||No|Yes|HP||L1506x|LL543A8#ABA|1024 x 768|75Hz|8 ms|"15"""||1|160° H x 140° V|No
"Acer G226HQLBbd 60Hz 21.5"" Monitor (UM.WG6AA.B01) - PCPartPicker Canada"|16:9|200 cd/m²|No||ACM 100,000,000:1 (600:1)|16700000||1|||No|Yes|Acer||G226HQLBbd|UM.WG6AA.B01|1920 x 1080|60Hz|5 ms|"21.5"""||1||Yes
"Acer B243PWLAJbmdrz 60Hz 24.0"" Monitor (UM.FB3AA.A01) - PCPartPicker Canada"|16:10|300 cd/m²|Yes||ACM 100,000,000:1 (1000:1)|16700000|1|1|||Yes|Yes|Acer||B243PWLAJbmdrz|UM.FB3AA.A01|1920 x 1200|60Hz|14 ms|"24"""||1|178° H x 178° V|Yes
"ViewSonic VX2880ml 30Hz 28.0"" Monitor (VX2880ml) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||1,000:1|16700000|1|||1|No|Yes|ViewSonic|1||VX2880ml|3840 x 2160|30Hz|5 ms|"28"""|||170° H x 160° V|Yes
"Samsung S24A850DW 24.0"" Monitor (S24A850DW) - PCPartPicker Canada"|16:9|300 cd/m²|No||1000:1||1|2|||No|Yes|Samsung|||S24A850DW|1920 x 1080||5 ms|"24"""||1|178° H x 178° V|Yes
"Hannspree HL269DPB 26.0"" Monitor (HL269DPB) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||X-Contrast 30,000,000:1 (800:1)|16700000||1|||No|Yes|Hannspree|||HL269DPB|1920 x 1080||5 ms|"26"""||1|160° H x 150° V|Yes
"Asus VN279QL 27.0"" Monitor (VN279QL) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||100,000,000:1|16700000|1|||1|No|Yes|Asus|||VN279QL|1920 x 1080||5 ms|"27"""||1|178° H x 178° V|Yes
"HP E4S07AA#ABA 60Hz 23.0"" Monitor (E4S07AA#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||4,000,000:1|16700000||1|||No|Yes|HP|||E4S07AA#ABA|1920 x 1080|60Hz|5 ms|"23"""||1|170° H x 160° V|Yes
"Asus VS24AH-P 24.0"" Monitor (VS24AH-P) - PCPartPicker Canada"|16:10|300 cd/m²|No||80,000,000:1|16700000||1||1|Yes|Yes|Asus|||VS24AH-P|1920 x 1200||5 ms|"24"""||1|178° H x 178° V|Yes
"HP E2T08A8#ABA 60Hz 21.5"" Monitor (E2T08A8#ABA) - PCPartPicker Canada"|16:9|200 cd/m²|No||DCR 1,000,000:1 (600:1)|||1|||No|Yes|HP|||E2T08A8#ABA|1920 x 1080|60Hz|5 ms|"21.5"""||1|90° H x 50° V|Yes
"HP 2509p 25.0"" Monitor (LB943A8#ABA) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||DC 60,000:1 (1000:1)|||1||1|No|No|HP||2509p|LB943A8#ABA|1920 x 1080||3 ms|"25"""||1|160° H x 160° V|Yes
"HP Envy 27 60Hz 27.0"" Monitor (NV27) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||10,000,000:1||1|||1|Yes|Yes|HP||Envy 27|NV27|1920 x 1080|60Hz|7 ms|"27"""||1||Yes
"HP ZR2740w 60Hz 27.0"" Monitor (XW476A4#ABA) - PCPartPicker Canada"|16:9|380 cd/m²|No||1000:1|1070000000|1|1|||Yes|Yes|HP||ZR2740w|XW476A4#ABA|2560 x 1440|60Hz|12 ms|"27"""|||178° H x 178° V|Yes
"HP NV23(E1K96AA#ABA) 60Hz 23.0"" Monitor (NV23) - PCPartPicker Canada"|16:9|250 cd/m²|No||DC 10,000,000:1 (1000:1)|||1||2|Yes|Yes|HP||NV23(E1K96AA#ABA)|NV23|1920 x 1080|60Hz|7 ms|"23"""||1|178° H x 178° V|Yes
"Asus VE248Q 24.0"" Monitor (VE248Q) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||ASCR 50,000,000:1 (1,000:1)|16700000|1|||1|No|Yes|Asus|||VE248Q|1920 x 1080||2 ms|"24"""||1|170° H x 160° V|Yes
"HP DreamColor LP2480zx 24.0"" Monitor (GV546A8#ABA) - PCPartPicker Canada"|16:10|250 cd/m²|No|1|1000:1||1|2||1|Yes|Yes|HP||DreamColor LP2480zx|GV546A8#ABA|1920 x 1200||12 ms|"24"""|1||178° H x 178° V|Yes
"NEC EX231W-BK 23.0"" Monitor (EX231W-BK) - PCPartPicker Canada"|16:9|250 cd/m²|No||DC 25,000:1 (1,000:1)||1||||No|Yes|NEC|||EX231W-BK|1920 x 1080||5 ms|"23"""|||176° H x 170° V|Yes
"Acer B246HYL ymdpr 60Hz 23.8"" Monitor (UM.QB6AA.001) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||Contrast Ratio Max (ACM): 100,000,000:1<br/>Contrast Ratio (Native): 1000:1|16700000|1|1|||Yes|Yes|Acer||B246HYL ymdpr|UM.QB6AA.001|1920 x 1080|60Hz|6 ms|"23.8"""||1|178° H x 178° V|Yes
"Asus VE248H 24.0"" Monitor (VE248H) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||ASCR 10,000,000 :1|16700000||1||1|No|Yes|Asus|||VE248H|1920 x 1080||2 ms|"24"""||1|170° H x 160° V|Yes
"HP ProDisplay Smartbuy P231 60Hz 23.0"" Monitor (E4S07A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||DCR 4,000,000:1(1000:1)|16700000||1|||No|Yes|HP||ProDisplay Smartbuy P231|E4S07A8#ABA|1920 x 1080|60Hz|5 ms|"23"""||1|170° H x 160° V|Yes
"NEC EX201W-BK 20.0"" Monitor (EX201W-BK) - PCPartPicker Canada"|16:9|250 cd/m²|No||DC 25000:1 (1000:1)|16700000|1|1|||No|Yes|NEC|||EX201W-BK|1600 x 900||5 ms|"20"""||||Yes
"Samsung NC190-1 19.0"" Monitor (NC190-1) - PCPartPicker Canada"|5:4|250 cd/m²|No||1000:1|16700000|||||No|No|Samsung|||NC190-1|1280 x 1024||5 ms|"19"""||1|160° H x 160° V|No
"Planar PLL2410W 60Hz 24.0"" Monitor (997-6871-00) - PCPartPicker Canada"|16:9|300 cd/m²|No||1000:1|16700000||1|||No|Yes|Planar||PLL2410W|997-6871-00|1920 x 1080|60Hz|5 ms|"24"""||1|170° H x 160° V|Yes
"Acer B243HL DJObmdr 24.0"" Monitor (UM.FB3AA.D01) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||100,000,000:1|||1|||No|Yes|Acer||B243HL DJObmdr|UM.FB3AA.D01|1920 x 1080||5 ms|"24"""||1|170° H x 160° V|Yes
"HP L2311c 23.0"" Monitor (A1W80A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1 (static) / 1000000:1 (dynamic)|16700000|||||No|Yes|HP||L2311c|A1W80A8#ABA|1920 x 1080||5 ms|"23"""||1|170° H x 160° V|Yes
"Asus VS207T-P 19.5"" Monitor (VS207T-P) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||80,000,000:1|16700000||1|||No|Yes|Asus|||VS207T-P|1600 x 900||5 ms|"19.5"""||1|170° H x 160° V|Yes
"ViewSonic VG2439M-LED 24.0"" Monitor (VG2439M-LED) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||DC 20,000,000:1||1|1|||No|Yes|ViewSonic|||VG2439M-LED|1920 x 1080||5 ms|"24"""||1|170° H x 160° V|Yes
"NEC PA242W-BK 60Hz 24.0"" Monitor (PA242W-BK) - PCPartPicker Canada"|16:10|340 cd/m²|No||1000:1||1|1||1|Yes|Yes|NEC|||PA242W-BK|1920 x 1200|60Hz|8 ms|"24"""||1|178° H x 178° V|Yes
"Samsung S24C350HL 23.6"" Monitor (S24C350HL) - PCPartPicker Canada"|16:9|250 cd/m²|No||Mega Infiniti DCR (1000:1)|16700000||||1|No|Yes|Samsung|||S24C350HL|1920 x 1080||5 ms|"23.6"""||1|170° H x 160° V|Yes
"Eizo MX270W-BK 61Hz 27.0"" Monitor (MX270W-BK) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||1000:1|1070000000|1|1|||No|No|Eizo|||MX270W-BK|2560 x 1440|61Hz|12 ms|"27"""||||Yes
"DoubleSight DS-2200WA-C 21.5"" Monitor (DS-2200WA-C) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000||2|||No|Yes|DoubleSight|||DS-2200WA-C|1920 x 1080||5 ms|"21.5"""|||170° H x 160° V|Yes
"NEC EX231WP-BK 23.0"" Monitor (EX231wp-bk) - PCPartPicker Canada"|16:9|250 cd/m²|No||3000:1|16700000|1|1|||No|Yes|NEC||EX231WP-BK|EX231wp-bk|1920 x 1080||25 ms|"23"""|||178° H x 178° V|Yes
"HP E3F38A8#ABA 60Hz 23.0"" Monitor (E3F38A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1||||||No|Yes|HP|||E3F38A8#ABA|1920 x 1080|60Hz|5 ms|"23"""||1||Yes
"NEC V322-PC 60Hz 32.0"" Monitor (V322-PC) - PCPartPicker Canada"|16:9|340 cd/m²|No||3000:1|16700000|1|1||1|No|Yes|NEC|||V322-PC|1366 x 768|60Hz|8 ms|"32"""||1|178° H x 178° V|Yes
"ViewSonic VG2239M-TAA 22.0"" Monitor (VG2239M-TAA) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DC 20,000,000:1 (1000:1)||1|1|||No|Yes|ViewSonic|||VG2239M-TAA|1920 x 1080||5 ms|"22"""||1|170° H x 160° V|Yes
"Eizo S1923H-BK 60Hz 19.0"" Monitor (S1923H-BK) - PCPartPicker Canada"|5:4|250 cd/m²|No||1,000:1|||1|||No|No|Eizo|||S1923H-BK|1280 x 1024|60Hz|13 ms|"19"""||1|178° H x 178° V|No
"ViewSonic VG2228wm-LED 22.0"" Monitor (VG2228wm-LED) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1 static (typ); 10,000,000:1 dynamic|||1|||No|Yes|ViewSonic|||VG2228wm-LED|1920 x 1080||5 ms|"22"""||1|170° H x 160° V|Yes
"3M C2234SW 22.0"" Monitor (98-0003-3598-8) - PCPartPicker Canada"|16:10|250 cd/m²|No||1000:1|16700000||1|||No|No|3M||C2234SW|98-0003-3598-8|1680 x 1050||5 ms|"22"""||1|170° H x 160° V|Yes
"HP C9V73A8#ABA 20.0"" Monitor (C9V73A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1||||||No|Yes|HP|||C9V73A8#ABA|1600 x 900||5 ms|"20"""||1||Yes
"LG M2901SCBN 29.0"" Monitor (M2901SCBN) - PCPartPicker Canada"|683:240|420 cd/m²|No||1200:1|16000000||||1|Yes|No|LG|||M2901SCBN|1366 x 480||8 ms|"29"""||2|178° H x 178° V|Yes
"Acer V243HL DJbmd 60Hz 24.0"" Monitor (ET.FV3HP.D04) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||ACM 100,000,000:1 (1000:1)|16700000||1|||No|Yes|Acer||V243HL DJbmd|ET.FV3HP.D04|1920 x 1080|60Hz|5 ms|"24"""||1|170° H x 160° V|Yes
"Eizo CG246-BK 60Hz 24.0"" Monitor (CG246-BK) - PCPartPicker Canada"|16:10|300 cd/m²|No||1000:1||1|1||1|Yes|Yes|Eizo|||CG246-BK|1920 x 1200|60Hz|8 ms|"24"""||1|178° H x 178° V|Yes
"NEC EA191M-BK 19.0"" Monitor (EA191M-BK) - PCPartPicker Canada"|5:4|250 cd/m²|Yes||1500:1|||1|||No|No|NEC|||EA191M-BK|1280 x 1024||25 ms|"19"""||1|176° H x 176° V|No
"Samsung NC241-T 23.6"" Monitor (NC241-T) - PCPartPicker Canada"|16:9|300 cd/m²|No|||16700000|||||No|No|Samsung|||NC241-T|1920 x 1080||5 ms|"23.6"""||||Yes
